contest_id,handle,old_rating,new_rating
626,Petr,3166,3292
626,jqdai0815,3040,3148
626,ilyakor,2509,2731
626,bmerry,2792,2919
626,Errichto,2583,2753
626,tourist,3444,3373
626,gs12117,2574,2726
626,LayCurse,2776,2865
626,Um_nik,3047,3060
626,RomaWhite,2838,2897
626,dotorya,2704,2792
626,HYPERHYPERHYPERCUBELOVER,2591,2705
626,W4yneb0t,2878,2911
626,kcm1700,2811,2857
626,anta,2495,2622
626,Zlobober,2652,2731
626,SirShokoladina,2584,2678
626,I_love_Tanya_Romanova,2587,2676
626,RAVEman,2631,2705
626,izban,2665,2727
626,Swistakk,2714,2760
626,JoeyWheeler,2834,2846
626,ufo,2095,2309
626,subscriber,2749,2778
626,Marcin_smu,2634,2690
626,winger,2470,2568
626,jcvb,2803,2811
626,piob,2625,2676
626,rowdark,2653,2694
626,LHiC,2659,2697
626,ershov.stanislav,2676,2707
626,-XraY-,2910,2881
626,DBradac,2194,2353
626,Merkurev,2714,2730
626,zemen,2540,2599
626,ifsmirnov,2398,2494
626,al13n,2795,2785
626,jiaqiyang,2130,2298
626,andrew.volchek,2605,2640
626,Radewoosh,2378,2472
626,aid,2387,2477
626,Belonogov,2598,2630
626,sivukhin,2485,2545
626,andrewzta,2460,2525
626,quailty,2147,2297
626,matthew99,2755,2741
626,C_SUNSHINE,2432,2500
626,map,2227,2350
626,Copymaster,2476,2530
626,takio,2174,2309
626,White_Bear,2451,2508
626,I_love_tigersugar,2559,2587
626,sdya,2682,2677
626,eatmore,2663,2661
626,zld3794955,2407,2471
626,Alex_2oo8,2496,2535
626,ExfJoe,2259,2361
626,stevenkplus,2421,2477
626,el_sanchez,2386,2449
626,pparys,2229,2335
626,Shik,2667,2656
626,VladGavrila,2442,2488
626,dreamoon_love_AA,2619,2618
626,KrK,2498,2527
626,Arterm,2247,2342
626,Milanin,2514,2537
626,sankear,2450,2488
626,vilcheuski,2101,2233
626,DemiGuo,2477,2506
626,fkguyx042,2260,2346
626,snuke,2524,2539
626,Kurpilyansky,2304,2376
626,dj3500,2478,2503
626,ballon,2411,2453
626,sd0061,2361,2415
626,2222,2250,2333
626,vlad107,2570,2568
626,ainta,2594,2585
626,espr1t,2127,2240
626,Kaban-5,2403,2441
626,Xellos,2505,2516
626,suckerr,2351,2401
626,KADR,2502,2512
626,ctunoku,2020,2159
626,yummy,2289,2353
626,mmaxio,2746,2694
626,Ra16bit,2455,2473
626,KAN,2674,2637
626,alex20030190,2334,2382
626,Gassa,2315,2368
626,NVAL,2290,2348
626,Egor,3057,2926
626,vagnard,2265,2328
626,iamexist,2175,2262
626,riad,2168,2256
626,Kenny_HORROR,2378,2409
626,Antoniuk,1920,2076
626,ordcoder,2274,2331
626,Mediocrity,2203,2278
626,ffao,2486,2486
626,Dymonchyk,2359,2391
626,Enchom,2463,2468
626,pwypeanut,2198,2271
626,lbn187,2031,2150
626,nuip,2206,2276
626,geniucos,2269,2321
626,saketh,2294,2339
626,LiTi,2266,2318
626,Reyna,2114,2206
626,pacu,2299,2341
626,Edvard,2380,2400
626,Sinner,2141,2223
626,whd,2103,2195
626,zeliboba,2342,2370
626,lavin,2194,2259
626,kingofnumbers,2070,2169
626,RAD,2672,2616
626,wa1tz719,1920,2060
626,mhss,2154,2228
626,aurinegro,2296,2332
626,JohnPaulII,1945,2076
626,harhrayr,2208,2266
626,akulsareen,2169,2236
626,lucasr,1975,2095
626,shef_2318,2099,2184
626,-Wave-,2150,2221
626,PavelKunyavskiy,2923,2804
626,TeaPot,2663,2603
626,Mektpoy,1954,2077
626,KenKaneki,2310,2336
626,Laakeri,2403,2405
626,Skird,2221,2269
626,BSBandme,2134,2205
626,sokokaleb,2196,2249
626,KFDong,2348,2361
626,denote,1587,1819
626,jiangshibiao,2173,2231
626,aropan,2532,2498
626,zscc,2139,2205
626,AndreySergunin,2178,2233
626,marat.snowbear,2157,2217
626,ggoh,1890,2024
626,krismaz,2436,2423
626,chemthan,2141,2203
626,zshi,2476,2452
626,guille,2118,2185
626,albert96,2495,2465
626,BigBag,2134,2196
626,Kostroma,2674,2601
626,knightL,2556,2510
626,Ilya_MSU,2488,2458
626,NanoApe,1958,2066
626,SakurakoujiRuna,2220,2257
626,ikatanic,2697,2616
626,kraskevich,2567,2516
626,tun,2216,2252
626,alecsyde,2167,2216
626,JustasK,2311,2322
626,zhangguangxuan99,1985,2082
626,stefanzzz,2185,2227
626,BIT-silence,2013,2101
626,gxnncrx1993,2377,2369
626,tanphatls987,2342,2342
626,jkxing,1500,1745
626,Temirulan,2257,2278
626,bardek,2285,2298
626,dancho,2088,2153
626,zeulb,2362,2355
626,Golovanov399,2368,2359
626,ksun48,2453,2423
626,fidels,1776,1928
626,bidzilya,2248,2268
626,dojiboy9,2172,2211
626,P_Nyagolov,1966,2061
626,InDaBag,2206,2236
626,JiK,1941,2042
626,gskhirtladze,2072,2136
626,speedermen,1999,2083
626,enot110,2693,2602
626,skrydg,2208,2235
626,ilya151098,1908,2016
626,IvL,2322,2319
626,budalnik,2214,2238
626,josdas,2139,2182
626,amankedia1994,2049,2116
626,tabasz,2302,2302
626,totsamyzed,2048,2114
626,VladaMG98,1886,1997
626,Aidos,2071,2130
626,YakutovDmitriy,2389,2366
626,microtony,2097,2148
626,Ximera,1995,2073
626,Lelby,1848,1968
626,azukun,2237,2250
626,LCM,1662,1837
626,Misha100896,2112,2157
626,Baklazan,2306,2301
626,paulwang,2122,2164
626,Charming_Chen,1838,1958
626,Nikitosh,2396,2367
626,athin,2114,2156
626,Sampson,2393,2364
626,the_arr_of_war,1715,1870
626,darkhh,2132,2168
626,grandhi,1796,1926
626,waterfalls,2319,2307
626,adamant,2058,2113
626,Bobrosoft,2077,2126
626,minthe,1875,1980
626,Balajiganapathi,2125,2161
626,kmjp,2247,2251
626,a.piasta,2176,2198
626,irkstepanov,2257,2258
626,Lewin,2468,2417
626,Namnamseo,2057,2109
626,FatalEagle,2602,2518
626,Na2a,2307,2294
626,uwi,2516,2452
626,MadNick,1921,2008
626,TonySnark,2136,2165
626,pllk,2136,2165
626,MrDindows,2480,2423
626,Nezzar,2243,2244
626,eddy1021,2416,2374
626,netman,2405,2365
626,TsunamiNoLetGo,2181,2196
626,Batma,1500,1715
626,azneyes,2165,2183
626,minimario,1993,2057
626,tonyjjw,2350,2322
626,percywtc,2007,2066
626,Mohammad_Yasser,1789,1910
626,Meirambek,2011,2068
626,kondranin,2108,2139
626,M.Mahdi,2179,2192
626,harry.zhao,1792,1910
626,molamola.,2267,2257
626,Kvark161,2120,2146
626,gamer34,1500,1710
626,gvaibhav21,2137,2159
626,nfssdq,2278,2263
626,akashdeep,2186,2194
626,halin.george,2022,2073
626,sgtlaugh,1983,2044
626,ZhNV,2198,2202
626,Furko,2228,2224
626,Sumeet.Varma,2206,2207
626,Me-and-Myself,1920,1997
626,sancho,1953,2021
626,Flyrise,2199,2201
626,scorpion,1968,2031
626,I_love_Hoang_Yen,2534,2454
626,RamTararam,2158,2170
626,Andrei1998,2291,2269
626,Together_Forever,1753,1875
626,kinol,2089,2118
626,mexmans,2340,2305
626,tyamgin,2115,2136
626,yubowenok,2269,2251
626,CarrieM7,1649,1802
626,randomstr,2027,2070
626,johnasselta,2135,2150
626,ZJiaQ,2073,2103
626,fushar,1959,2020
626,zetamoo,2073,2103
626,Nerevar,2323,2290
626,vladi,2372,2327
626,Viktor_Terziev,1894,1971
626,vml,2244,2229
626,agaga,1781,1890
626,gepardo,2091,2114
626,nakiami,2005,2051
626,FierteDeCeylan,2036,2073
626,Walid_Amin,1775,1884
626,pavel.savchenkov,2224,2212
626,antonkov,2034,2071
626,ngochai94,2052,2084
626,StarCuriosity,1943,2004
626,Tinsane,2046,2079
626,tonkosi,1927,1991
626,Vladyslav,2204,2195
626,zxqfl,2462,2391
626,Eran,1897,1969
626,ADJA,2128,2138
626,AkshajK,1900,1970
626,J-C,1812,1907
626,joyfun,1929,1991
626,sidhant,1907,1974
626,keyvankhademi,2055,2082
626,savinov,2212,2199
626,helThazar,2091,2108
626,Birjik,1863,1941
626,IgorAkhmetov,2200,2189
626,kllp,1988,2032
626,himanshujaju,1787,1886
626,RostVel,2135,2140
626,sharph,2307,2268
626,AnnKats93,2173,2167
626,f.bialas,1913,1975
626,sping128,1934,1990
626,Franklyn_W,1813,1903
626,octopuses,1826,1911
626,srdce,1651,1788
626,caustique,2039,2066
626,CoDeRoK,1831,1915
626,Phoenix_Galaxy,1848,1926
626,albertg,2010,2044
626,igdor99,1958,2006
626,ha1vanka,1963,2009
626,gangsterveggies,2176,2166
626,ch_egor,1819,1904
626,yancouto,2181,2169
626,vintage_Vlad_Makeev,2033,2059
626,ladpro98,1975,2016
626,RetiredAmrMahmoud,2157,2151
626,Egor.Lifar,1969,2011
626,dnvtmf,2060,2078
626,maximumSHOT,2003,2036
626,frcepeda,1938,1988
626,Deemo,2130,2129
626,Stetsyk,2110,2114
626,djdolls,2197,2179
626,Jimanbanashi,2062,2078
626,koci,1926,1977
626,Demarkok,1836,1912
626,Ronnie007,1941,1988
626,__math,2221,2196
626,-imc-,2240,2210
626,lrx97,1803,1887
626,MyLeg,2036,2057
626,sadhwaniyash6,1810,1892
626,temich,1996,2027
626,hellman_,2007,2035
626,Ac-93,1935,1981
626,Martynas,2014,2039
626,GR1n,1834,1908
626,Rostislav_the_great,1949,1991
626,GoldenMan,2027,2048
626,r_clover,2005,2031
626,desert97,2430,2351
626,AllCatsAreBeautiful,1905,1957
