contest_id,handle,old_rating,new_rating
634,zxqfl,2388,2601
634,ko_osaga,2349,2534
634,FatalEagle,2518,2634
634,riadwaw,2556,2646
634,Mikester,2148,2343
634,johnasselta,2150,2334
634,budro,2144,2321
634,wxy_z,2125,2300
634,aliasadiiii,2380,2471
634,qwerty787788,2655,2670
634,cgy4ever,2621,2639
634,savinov,2258,2367
634,Chameleon2460,2253,2359
634,arthur.nascimento,2313,2397
634,mnbvmar,2842,2784
634,HellKitsune,2533,2551
634,guoyu1098,1984,2162
634,vintage_Vlad_Makeev,2188,2294
634,Alex7,2048,2196
634,-imc-,2210,2303
634,voidmax,1938,2118
634,kmjp,2230,2311
634,KuchumovIlya,2478,2487
634,Sumeet.Varma,2168,2262
634,a0666,2140,2240
634,davidlee1999WTK,2251,2315
634,eddy1021,2371,2400
634,Jimanbanashi,2107,2209
634,step5,2672,2623
634,fhlasek,2453,2454
634,MrDindows,2485,2477
634,Wild_Hamster,2125,2213
634,IMAN_GH,2221,2278
634,pvs,2027,2142
634,ngfam_kongu,2293,2326
634,Taube,2292,2322
634,Egor.Lifar,2099,2185
634,djdolls,2179,2239
634,StevenDu,2098,2180
634,m.raszyk,2069,2159
634,abhishek1995,1930,2065
634,rnsiehemt,2064,2152
634,yubowenok,2204,2248
634,Physicist,1960,2079
634,azneyes,2180,2226
634,acherepanov,2080,2156
634,tuna_salad,2266,2286
634,Whalanator,1901,2035
634,waterfall,1991,2090
634,hellman_,2064,2139
634,Pepe.Chess,1955,2065
634,kimiyuki,1974,2075
634,ayakut,1985,2081
634,ZhNV,2202,2231
634,KevinTan,2062,2130
634,ikbal,2091,2149
634,harrypotter192,2141,2183
634,mexmans,2366,2348
634,Deemo,2125,2169
634,MyLeg,1977,2066
634,jklepec,1924,2030
634,hugeh0ge,1986,2069
634,Martynas,2039,2104
634,how_to_become_purple,2037,2101
634,harry.zhao,1914,2018
634,Wolfje,1967,2051
634,rajat1603,1928,2025
634,LeMieux,1996,2068
634,sokian,2151,2176
634,kabell,1922,2017
634,kreker,1919,2014
634,Franklyn_W,1903,2002
634,nfssdq,2254,2248
634,matrix,2448,2395
634,pitfall,1990,2056
634,Eran,1969,2041
634,duyboy135,2025,2078
634,_Eren_,1951,2026
634,simsa.st,2263,2249
634,dnkywin,2320,2291
634,RamTararam,2138,2154
634,Piwattz,2172,2178
634,Quang,2116,2136
634,sidhant,1974,2035
634,Shapo,2480,2410
634,pavel.savchenkov,2191,2188
634,Bobrosoft,2094,2116
634,indy256,2010,2056
634,Konijntje,2317,2281
634,Snezhok,2078,2102
634,NikaraBika,2024,2063
634,WWWWWWWWWWWWWWWWWWWW,2017,2057
634,craborac,1912,1984
634,JustN,2085,2103
634,sharph,2271,2242
634,.tx,2273,2242
634,Philae,2008,2044
634,agul,2006,2042
634,Phronesis,2201,2185
634,teleport,2331,2284
634,khadaev,2051,2073
634,Slamur,1942,1995
634,numbertheorist17,2060,2077
634,Yury_Bandarchuk,2036,2059
634,zcg.cs60,2047,2066
634,ericxu0,1957,2001
634,Alexandr_TS,2023,2047
634,vitux,1933,1984
634,aaaaajack,2299,2253
634,demon1999,2120,2115
634,niquefa_diego,2228,2197
634,behzad.nouri,1945,1988
634,Andreikkaa,2181,2159
634,pekempey,1906,1960
634,agoston,1927,1973
634,intsashka,1958,1993
634,Sampson,2364,2297
634,gepardo,2074,2075
634,nhho,1910,1958
634,Lost,1998,2018
634,netman,2365,2296
634,sahedsohel,1985,2007
634,Death_Knight_DK,2005,2020
634,burakov28,1947,1979
634,irkstepanov,2189,2157
634,Amirnasr,2089,2080
634,Trumen,2299,2241
634,cjoa,1932,1964
634,jonathanpaulson,2248,2200
634,memset123,2071,2063
634,Rafbill,1962,1983
634,6eJIa9IzZzTeHb,1955,1978
634,Na2a,2294,2233
634,kb.,2225,2179
634,balakrishnan,2080,2066
634,anubhav94,2041,2036
634,a.piasta,2198,2156
634,Tinsane,2090,2073
634,vlad8,1968,1981
634,.I.,2115,2090
634,Carups,2033,2026
634,AnnKats93,2167,2129
634,adurysk,2226,2173
634,DmitriyH,2036,2026
634,shym_red,1908,1934
634,hey_boris,2091,2068
634,Morphy,2015,2009
634,gvaibhav21,2159,2119
634,RostVel,1988,1988
634,Rostislav_the_great,1991,1989
634,albertg,2007,2000
634,den2204,2018,2008
634,Arpa,1906,1926
634,KarlisS,2232,2172
634,bicsi,2101,2069
634,temich,1912,1927
634,VastoLorde95,1906,1922
634,SLLN,2011,1998
634,NarutoFan,1988,1980
634,noxwell,1944,1947
634,gongy,1970,1966
634,bertho_coder,1940,1943
634,INVWVZ,1969,1963
634,Irkutsk_ISRU,1966,1960
634,kefaa,1915,1922
634,OpalDshawn,2236,2169
634,rodrigozhou,1941,1940
634,sohelH,1902,1911
634,Nerevar,2311,2227
634,wilcot,1979,1965
634,maxxaon,1957,1948
634,venkat82,1950,1943
634,hzwer,2067,2031
634,Neodym,2018,1993
634,AllCatsAreBeautiful,2061,2026
634,octopuses,1911,1911
634,I_Love_Tina,1931,1925
634,-Morass-,1955,1942
634,CoDeRoK,1915,1911
634,1101_,1972,1954
634,ipaljak,1940,1928
634,satyaki3794,2046,2009
634,tloinuy,2074,2031
634,Al3ks1002,2002,1973
634,Furko,2281,2196
634,vanvector,1928,1916
634,dinarisio,1922,1910
634,613,1918,1907
634,SEFI2,1909,1899
634,radoslav11,2011,1977
634,etal,2126,2067
634,TonySnark,2157,2092
634,terribleimposter,1907,1894
634,zaj,1926,1908
634,Manoel,1986,1954
634,dergach,1984,1951
634,sancho,2021,1980
634,romanasa,1936,1913
634,kleninz,1958,1929
634,tyamgin,2201,2123
634,GR1n,1908,1889
634,Zailton,2083,2026
634,tweety,1942,1914
634,Miteusz,2042,1992
634,RedNextCentury,1971,1935
634,adamant,2125,2058
634,BekzhanKassenov,1959,1924
634,Al2K,1939,1908
634,desert97,2351,2242
634,sahilgrover,1919,1891
634,elio,1923,1893
634,ch_egor,1904,1877
634,Svyat,2058,2000
634,SlavaSSU,2077,2015
634,sadhwaniyash6,2020,1967
634,_Rampage_,1977,1932
634,kalimm,2148,2071
634,alexyz,1929,1892
634,StarCuriosity,2021,1965
634,Tima,1920,1884
634,leaomatheus,1932,1892
634,NedoL,1999,1946
634,Silence_for_Melody,1932,1891
634,TimonKnigge,2087,2017
634,maximumSHOT,2068,2001
634,annikura,2065,1998
634,SamanSami,2225,2130
634,Dongmin,1916,1874
634,kpw29,2110,2033
634,Me-and-Myself,1997,1939
634,Melnik,1980,1924
634,k1nval,1910,1866
634,wu6shen,2043,1975
634,stan,2089,2013
634,s1d_3,1967,1911
634,_Ramtin_,1968,1911
634,PERNEKHAN,1985,1924
634,Ancient_mage,1989,1927
634,mhadih,1925,1873
634,Algiz,1940,1884
634,dima.13,1981,1918
634,Kreyyy,2069,1992
634,Mohamad_sa,1900,1849
634,spiderbatman,1977,1912
634,Instasamka,1920,1864
634,SYury,1901,1847
634,ace_pocket,1927,1868
634,azizkhan,2335,2214
634,cescmentation_folch,1947,1882
634,antonkov,2080,1996
634,iSlava,1928,1866
634,mindol,1901,1842
634,sping128,2012,1936
634,Flyrise,2145,2050
634,aostankov,1915,1851
634,Honour_00,1953,1883
634,ngochai94,2087,1999
634,nezametdinov,1969,1896
634,TerryMcGinnis,1916,1849
634,ZeroShadow,1939,1868
634,hashlife,1968,1892
634,AminAnvari,1942,1869
634,halin.george,2073,1983
634,mishraiiit,1910,1839
634,Roberio,1909,1838
634,hsnprsd,1926,1852
634,martinv,1983,1902
634,Z0RR0,2020,1934
634,ndatta,1948,1869
634,naagi,2004,1918
634,Tudor,1908,1831
634,Lo_R_D,2150,2046
634,SimB4,2011,1922
634,Mohammad_Yasser,1917,1837
634,knst,1941,1857
634,suchir,2009,1919
634,BogdanFlorea,1910,1828
634,StoneCold_,1983,1894
634,Vax,1947,1860
634,452660407,2268,2145
634,BigWhiteRabbit,1902,1817
