contest_id,handle,old_rating,new_rating
756,V--o_o--V,2980,3156
756,bmerry,2757,2940
756,Marcin_smu,2828,2962
756,LHiC,2997,3066
756,qwerty787788,2580,2758
756,eatmore,2862,2940
756,tourist,3739,3544
756,JoeyWheeler,2965,2996
756,Merkurev,2752,2835
756,I_love_Tanya_Romanova,2847,2895
756,ainta,3051,3038
756,niyaznigmatul,2602,2710
756,-XraY-,2845,2876
756,Egor,2897,2908
756,W4yneb0t,3141,3085
756,waterfalls,2730,2778
756,Laakeri,2549,2647
756,geniucos,2712,2756
756,riadwaw,2749,2779
756,FatalEagle,2805,2815
756,IvL,2555,2634
756,andrew.volchek,2372,2507
756,ko_osaga,2595,2654
756,sdya,2729,2743
756,y0105w49,2371,2494
756,VArtem,2745,2748
756,ershov.stanislav,2926,2884
756,al13n,2866,2836
756,yosupo,2699,2709
756,Tinsane,2479,2549
756,tmt514,2451,2527
756,ania,2297,2421
756,uwi,2580,2611
756,ikatanic,2716,2708
756,Coder,2694,2689
756,anta,2897,2840
756,NVAL,2491,2535
756,RAD,2367,2449
756,Arterm,2548,2573
756,Zhukov_Dmitry,2525,2554
756,enot110,2706,2684
756,amethyst0,2572,2583
756,Radewoosh,2753,2716
756,I_love_Hoang_Yen,2422,2471
756,cchao,2287,2376
756,KADR,2612,2603
756,egor_bb,2427,2467
756,DBradac,2540,2546
756,sd0061,2748,2700
756,sokian,2412,2449
756,mmaxio,2728,2681
756,Swistakk,2696,2655
756,DEGwer,2622,2597
756,Trumen,2449,2467
756,zeliboba,2807,2736
756,guille,2301,2358
756,aid,2736,2677
756,Haghani,2636,2596
756,knightL,2529,2515
756,natsugiri,2655,2609
756,eddy1021,2667,2617
756,Kostroma,2600,2564
756,dreamoon_love_AA,2701,2640
756,slavik,2198,2269
756,HellKitsune,2814,2726
756,Gassa,2496,2478
756,M.Mahdi,2439,2433
756,pparys,2378,2387
756,minthe,2223,2275
756,mhss,2386,2389
756,SergeyRogulenko,2492,2466
756,arsijo,2457,2438
756,Vercingetorix,2435,2419
756,KrK,2440,2422
756,rajat1603,2541,2497
756,Errichto,2622,2558
756,Lewin,2337,2339
756,Rafbill,2440,2415
756,White_Bear,2360,2353
756,desert97,2504,2460
756,Navick,2109,2171
756,TimonKnigge,2220,2245
756,tabasz,2371,2354
756,jcvb,2897,2769
756,Sert,2394,2368
756,Kaban-5,2489,2439
756,felix,2161,2194
756,kingofnumbers,2449,2405
756,Milanin,2543,2477
756,albert96,2439,2394
756,bayleef,2530,2463
756,balakrishnan,2151,2176
756,kliu31415,2298,2281
756,abeker,2261,2251
756,Al.Cash,2590,2506
756,voidmax,2426,2374
756,IMAN_GH,2314,2286
756,Sakura,2301,2274
756,AndreySergunin,2354,2313
756,sancho,2188,2186
756,Nerevar,2288,2259
756,zdolna_kaczka,2532,2449
756,eudanip,2234,2215
756,2013300262,2082,2101
756,Shayan,2099,2111
756,Petruchcho,2122,2126
756,Ximera,2155,2148
756,keyvankhademi,2259,2224
756,alecsyde,2441,2366
756,LiChenKoh,2020,2044
756,OpalDshawn,2219,2188
756,quasisphere,2125,2115
756,dai,2227,2190
756,dragonslayerintraining,1603,1769
756,sergmiller,1967,1995
756,xman1024,2113,2098
756,chenmark,2226,2182
756,kondranin,2294,2234
756,trunghai95,2022,2024
756,tpablo,2105,2083
756,ADJA,1977,1987
756,MrKaStep,2318,2246
756,_Reborn_,1833,1882
756,tloinuy,2217,2162
756,AndreySiunov,2081,2052
756,kevinliu,2022,2007
756,behnood,2071,2042
756,Seyaua,2360,2271
756,akhtyamovpavel,2241,2171
756,lavin,2302,2220
756,Alexandr_TS,2299,2215
756,xiaowuc1,2396,2295
756,Hoi_koro,2037,2001
756,abhishek1995,2040,2001
756,pekempey,2394,2289
756,ctzsm,1796,1814
756,Man,1939,1915
756,waterfall,2280,2187
756,Mirlan,2028,1978
756,Kharybin,2078,2016
756,nagibator,2120,2048
756,Noxitu,1956,1913
756,miha715lev,1888,1856
756,chaosagent,1998,1940
756,Raaeeiiss,1952,1900
756,Pennyroyal_Tea,2019,1952
756,tosaka2,1901,1852
756,linkret,2058,1979
756,achm,1863,1814
756,dojiboy9,2041,1959
756,Lo_R_D,2141,2042
756,zeulb,2256,2141
756,Nekola,1827,1766
756,tomlau,1890,1815
756,Martin97,1733,1675
756,thatprogrammer,1718,1655
756,eulerscheZahl,1893,1804
756,kyleliu,1773,1689
756,ChrisWu,1970,1865
