contest_id,handle,old_rating,new_rating
843,yosupo,2891,3113
843,SpyCheese,2759,2961
843,DEGwer,2478,2727
843,W4yneb0t,3181,3226
843,Um_nik,3105,3153
843,jqdai0815,3122,3152
843,tourist,3602,3488
843,FizzyDavid,2416,2612
843,nuip,2179,2439
843,LHiC,3287,3238
843,tun,2728,2816
843,Haghani,2596,2713
843,hogloid,2539,2666
843,latte0119,2523,2649
843,Benq,2530,2649
843,dreamoon_love_AA,2653,2734
843,josdas,2429,2567
843,Nero,2411,2550
843,Taube,2191,2391
843,t90tank,2390,2527
843,Perforator,2419,2544
843,mmaxio,2636,2699
843,TeaPot,2602,2671
843,SidneySun,1965,2225
843,azukun,2422,2533
843,receed,2031,2260
843,_h_,2372,2491
843,KrK,2463,2554
843,Radewoosh,3266,3148
843,geniucos,2507,2581
843,Burunduk1,2773,2776
843,Vercingetorix,2555,2612
843,izban,2626,2662
843,niyaznigmatul,2743,2747
843,snuke,2907,2867
843,ksun48,2739,2739
843,RomaWhite,3001,2934
843,V--o_o--V,2826,2801
843,al13n,2901,2855
843,_Reborn_,2060,2244
843,Endagorion,2801,2777
843,Gassa,2409,2484
843,knightL,2348,2438
843,kpw29,2294,2398
843,guille,2163,2304
843,DPR-pavlin,2420,2485
843,Golovanov399,2602,2618
843,MrDindows,2642,2646
843,aid,2705,2692
843,voover,2585,2600
843,JustasK,2460,2506
843,espr1t,2190,2311
843,SakurakoujiRuna,2171,2294
843,Motarack,2297,2383
843,yp155136,2114,2254
843,rembocoder,2274,2364
843,mingaleg,2030,2195
843,TangentDay,2047,2204
843,AndreySergunin,2322,2394
843,Vladik,2094,2233
843,wa1tz719,2138,2261
843,eddy1021,2745,2704
843,VArtem,2588,2585
843,-skyline-,2077,2216
843,netman,2230,2319
843,HellKitsune,2664,2639
843,ivan100sic,2272,2348
843,AllCatsAreBeautiful,2489,2505
843,chokudai,2398,2437
843,step_by_step,2304,2367
843,MZuev,2227,2311
843,uwi,2709,2666
843,shadowatyy,2193,2283
843,nhho,2300,2360
843,subscriber,2576,2563
843,never_giveup,2218,2299
843,Chmel_Tolstiy,2752,2694
843,kb.,2221,2297
843,Svyat,2256,2323
843,ThePilgrim,2164,2255
843,ei133333,1926,2096
843,GaryYe,2109,2216
843,ikatanic,2789,2716
843,Mohammad.Sj,2111,2215
843,hamayanhamayan,1956,2111
843,Kaban-5,2495,2490
843,TimonKnigge,2386,2409
843,Madball,2262,2318
843,rajat1603,2583,2555
843,sigma425,2427,2437
843,Hasan0540,2159,2241
843,Oleg_Smirnov,2279,2326
843,Ali.Kh,2048,2163
843,please_delete_account,2240,2296
843,Hec,2086,2187
843,Roma,1954,2097
843,akashdeep,2436,2437
843,HackerTina,1948,2092
843,hamlet,2049,2158
843,majk,2370,2386
843,asi1024,2134,2214
843,cdkrot,1913,2065
843,1100011101,1913,2065
843,petrescu,2039,2146
843,pekempey,2482,2466
843,Damon,2365,2377
843,noxwell,2174,2237
843,Tima,2464,2449
843,Snipx,2044,2145
843,krauch,2082,2170
843,300iq,2255,2292
843,shivamkakkar,2095,2177
843,kazel,1909,2053
843,dacin21,2086,2167
843,fetetriste,2188,2239
843,ludo,1928,2062
843,Tzn-40,1951,2077
843,Rafbill,2482,2456
843,ngfam_kongu,2243,2277
843,ditoly,2232,2269
843,nikvas,1904,2042
843,Inventure,2013,2114
843,mika,2025,2121
843,PeterASteele,2104,2174
843,ericxu0,2152,2206
843,akulsareen,2362,2360
843,chemthan,2387,2378
843,akshay_miterani,1927,2052
843,niquefa_diego,2147,2200
843,fmota,2040,2125
843,ItsLastDay,2304,2314
843,VladaMG98,2009,2103
843,comunodi,1927,2048
843,woqja125,2325,2327
843,Wild_Hamster,2313,2318
843,chenmark,2153,2200
843,wrinx,2202,2235
843,halin.george,2250,2268
843,Derbent,2095,2156
843,pashka,2639,2562
843,Sert,2211,2238
843,Sakura,2282,2290
843,OMG_wc,1999,2088
843,Ahmad_Elsagheer,2292,2296
843,vintage_Grigory_Reznikov,1901,2022
843,qoo2p5,2408,2382
843,koyumeishi,1955,2056
843,guoyu1098,2274,2280
843,ajinkya1p3,2039,2111
843,nikgaevoy,2366,2348
843,Rudy1444,2007,2087
843,Vitonka,1963,2058
843,nein,2051,2117
843,victoragnez,2176,2205
843,Skedar,2201,2222
843,ctlchild,1952,2048
843,Fekete,1965,2055
843,Zrj,1966,2055
843,Equinox,2115,2158
843,lebowski998,1913,2019
843,SteelRaven,2138,2173
843,keko37,1940,2035
843,adamant,2120,2159
843,Mohammad_Yasser,2082,2131
843,klamathix,2162,2188
843,vilcheuski,2159,2185
843,SssssssssssssbbbBBBB,2182,2201
843,Filyan,2170,2192
843,yasugongshang,2074,2122
843,-imc-,2433,2388
843,boook,2005,2073
843,bixind,2176,2194
843,liujunhao,2243,2243
843,desert97,2460,2407
843,The_Phenomenal_One,1931,2021
843,.o.,2117,2149
843,kajebiii,2153,2174
843,fnch,1998,2064
843,flashmt,2261,2253
843,andwho,2191,2200
843,longhuenchan,1934,2019
843,Ashitaka,2220,2221
843,Rafiki53,2205,2208
843,Mogby,2019,2074
843,kobortor,2040,2089
843,magrady24,2089,2122
843,wakaka,2323,2296
843,h_noson,2004,2062
843,dima_z,1953,2027
843,urusant,2010,2065
843,Aidos,2346,2312
843,Pepe.Chess,2267,2251
843,zetamoo,2299,2275
843,ShadowLight,2020,2070
843,Andrew_Makar,2367,2326
843,Rebryk,1956,2023
843,Temirulan,2269,2250
843,Alexandr_TS,2102,2126
843,Zoli9,2161,2168
843,jvmusin,1930,2005
843,Bruteforceman,2105,2126
843,-Wave-,2010,2058
843,balakrishnan,2013,2060
843,Rydberg,2083,2109
843,DraZxlNDdt,2148,2155
843,--d,2494,2418
843,DSSGSRA,2052,2085
843,sokian,2433,2370
843,LochNess,2126,2137
843,Al2K,1944,2008
843,hey_boris,2174,2172
843,DBradac,2685,2563
843,fhlasek,2396,2339
843,Danial,2032,2067
843,kissgergely,2004,2047
843,hank55663,2291,2258
843,PavelKunyavskiy,2877,2710
843,BigBag,2381,2326
843,triploblastic,2110,2120
843,Ra16bit,2444,2373
843,lajiniunai,2327,2283
843,OkitegamiKyoko,2199,2186
843,ngkan,2088,2102
843,Melnyk,2169,2162
843,Cydiater,1982,2026
843,Vendetta.,1926,1987
843,Yurik,1959,2009
843,shanin,1925,1985
843,leanil,1902,1969
843,shas19,1962,2009
843,livio,1974,2017
843,djqtxdy,2121,2120
843,nigus,2084,2092
843,ania,2346,2291
843,Navick,2215,2191
843,MrKaStep,2096,2101
843,Trem,2014,2042
843,I_hate_PWN,1919,1973
843,vanvector,1919,1973
843,YerzhanU,2093,2097
843,Ruslan,2120,2117
843,zyding,2135,2128
843,Illyasviel_von_Einzbern,2071,2079
843,lord_bendtner,1935,1982
843,afedor,1940,1985
843,Lollipop,2075,2082
843,Qmant,1948,1988
843,Neil,2049,2060
843,Anadi,2221,2189
843,tqyaaaaang,2187,2163
843,acherepanov,1985,2014
843,greencis,2325,2269
843,khokho,2029,2044
843,ordan,1908,1959
843,MhdMohammadi,2185,2160
843,private,1997,2019
843,yashkumar18,1949,1985
843,Khazhak,1965,1996
843,yyyyyyffffff,2065,2067
843,Kammola,1900,1950
843,tomtseng,1984,2008
843,blazeva1,1903,1951
843,kostka,1966,1994
843,kingofnumbers,2238,2197
843,kreker,2117,2104
843,NormalCoder,1916,1958
843,btk15049,1995,2013
843,leign,1932,1968
843,Mustang98,2014,2026
843,RNS_JKS,2180,2150
843,ooaa,1993,2010
843,Sergey.Bankevich,1994,2010
843,Flyrise,2072,2067
843,tataky,2090,2080
843,vsp4,1990,2006
843,kmjp,2597,2473
843,Bedge,2115,2098
843,dotorya,2615,2486
843,Reyna,2733,2578
843,SaSa,2271,2216
843,shengdebao,2118,2095
843,Jeffrey,1944,1966
843,Mahdi_Jfri,1980,1992
843,Hiasat,1972,1986
843,budalnik,2376,2295
843,pavel.savchenkov,2195,2154
843,Factorio,2388,2305
843,Tinsane,2553,2434
843,Barichek,2032,2030
843,Daniar,1995,1994
843,isaf27,2327,2251
843,mareksom,2404,2311
843,TooDumbToWin,2101,2074
843,NikaraBika,2184,2138
843,Omar_Morsi,1905,1929
843,flatline,2038,2026
843,behzad.nouri,2024,2015
843,fofao_funk,2129,2096
843,craborac,2111,2082
843,Merkurev,2994,2775
843,irkstepanov,2348,2267
843,hohomu,2271,2206
843,amethyst0,2541,2419
843,monster,2025,2016
843,Egor.Lifar,2282,2215
843,samuelfgs,1968,1974
843,sahedsohel,1924,1942
843,bogdan10bos,2032,2017
843,sd0061,2642,2496
843,danielykf,1964,1965
843,TonySnark,2210,2154
843,codelegend,1975,1973
843,Nikitosh,2411,2313
843,wucebrayne,1932,1942
843,cephian,2217,2160
843,EmanuelNrx,2090,2061
843,m.raszyk,2093,2063
843,I_love_MikhailRubinchik,1924,1936
843,TripleM5da,2009,1999
843,ajs97,2007,1990
843,arknave,1954,1950
843,Ronnie007,2235,2168
843,chaxy_2000,1972,1963
843,kimden,1924,1928
843,biGinNer,2488,2369
843,n00bie,1908,1916
843,satyaki3794,2300,2220
843,Furko,2125,2081
843,imaxblue,1996,1982
843,King,1905,1914
843,Vyess,1905,1914
843,polingy,2101,2062
843,maximumSHOT,2092,2055
843,azneyes,1972,1963
843,MAGRANT,1950,1947
843,dai,2116,2074
843,deva2802,1907,1908
843,wiwitrifai,2317,2229
843,anzu,1925,1921
843,Forever_you,2007,1984
843,sokokaleb,2163,2106
843,KhaledKEE,2083,2043
843,falanga,2106,2061
843,Qwerty132,1989,1970
843,Honour_00,1941,1933
843,Kilani,1946,1937
843,jorik,2038,2008
843,ec24,1902,1905
843,MicGor,2211,2144
843,ckw1140,2197,2133
843,Luqman,1992,1965
843,MiteshAgrawal,1963,1943
843,SpoonsAN,1971,1949
843,PrashantM,2158,2096
843,madshuttlecock,2159,2097
843,jtnydv25,2073,2028
843,Na2a,2162,2099
843,Livace,1986,1960
843,tfg,2115,2062
843,ITer,1900,1895
843,zhsh,2140,2082
843,apoorv024,1953,1935
843,Dark,2027,1992
843,abisheka,1935,1921
843,mango_lassi,1903,1897
843,RockyB,1952,1934
843,cjtoribio,2297,2202
843,LCM,2166,2096
843,xen,1979,1947
843,reiracofage,1971,1940
843,mahathirichiro,1995,1959
843,anta.baka,1966,1937
843,gigime,1985,1951
843,gop2024,2114,2054
843,Man,2144,2078
843,natalia,2253,2167
843,luucasv,1966,1937
843,alexbabalau,2106,2048
843,abeker,2352,2247
843,danya090699,2060,2011
843,Minority169,2061,2012
843,Noureldin,2009,1970
843,NURx2,1908,1892
843,TwoFx,1909,1893
843,platypus179,2128,2058
843,Rzepa,1981,1939
843,IgorAkhmetov,2241,2150
843,aliris,1973,1932
843,Triracle,1964,1925
843,kotamanegi,1989,1945
843,Nazikk,2009,1961
843,jianzhi,1975,1934
843,SarvagyaAgarwal,1987,1943
843,shdut,1927,1896
843,kalimm,2349,2238
843,den2204,2060,2002
843,Adalbert,1958,1920
843,Kharouba,1913,1885
843,AminAnvari,2012,1963
843,Ayanami.Rei,2035,1982
843,Remarque,2023,1972
843,MinakoKojima,2156,2081
843,U_Square,1946,1911
843,Lixoskywalker,2166,2089
843,Jhamra,1910,1882
843,ljsss,2225,2132
843,kazuma,2096,2026
843,cr0n,1992,1940
843,Jatana,2025,1967
843,vtcb,1987,1936
843,GroWIng_,1912,1875
843,Zharaskhan,1967,1920
843,Splashing,1916,1879
843,gvaibhav21,2290,2186
843,repeating,2031,1972
843,femto16,1981,1931
843,Goofy57,1976,1927
843,Ilya_MSU,2408,2282
843,rui-de,1930,1890
843,xoxo,1929,1889
843,comfi,2100,2029
843,LeMieux,2084,2012
843,temich,2255,2154
843,Cr0wley,1950,1901
843,yashChandnani,1933,1888
843,Arthurvtr,1916,1874
843,triveni,1968,1916
843,sinus_070,1927,1883
843,_LeMur_,1904,1864
843,SameerGulati,2274,2170
843,ljt12138,1944,1891
843,rotavirus,1919,1871
843,jAckAL_1586,1937,1886
843,williamchen,1965,1909
843,DeshiBasara,1973,1915
843,tloinuy,2078,2003
843,thedark,1985,1925
843,phoenix71,1913,1866
843,Nurlykhan,2066,1993
843,arjundabra,2072,1998
843,Dipak,2067,1992
843,apoorv_kulsh,1920,1869
843,dibil1000,2034,1964
843,Paniago,1946,1890
843,yellowthundercat,1992,1929
843,bhadra,1931,1875
843,vmrajas,1942,1884
843,naveen_iitr,2028,1957
843,venikman1,1999,1932
843,Sonechko,1943,1885
843,agoston,1916,1862
843,Zailton,1933,1874
843,Akinorew,1942,1882
843,stefansav,1991,1923
843,saba2000,2161,2068
843,nagibator,1941,1879
843,SLLN,1901,1846
843,AICoderMike,1991,1922
843,tcchung,2000,1928
843,pawelek1,2321,2200
843,Johnny_2002,2194,2094
843,JATC,1987,1917
843,DoanPhuDuc,1921,1857
843,afaji321,1940,1873
843,gabrielsimoes,1942,1875
843,Satyam22,1909,1846
843,frankbozar,2018,1941
843,Paul-Andre,1947,1879
843,albertg,2100,2011
843,draak_krijger,1944,1875
843,shubhamvijay,2005,1928
843,Vazgen,1930,1862
843,Miteusz,1960,1888
843,radhey_maa,1928,1859
843,Azat_Yusupov,2060,1974
843,ainta,2823,2605
843,Slamur,2114,2020
843,drajingo,1904,1836
843,ShadowGorn,2067,1979
843,Aeon,2145,2046
843,blatuitorulmlc,1963,1886
843,Coder_404,1930,1857
843,noelnadal,1940,1865
843,Hujiwara,2325,2198
843,mbrc,2039,1951
843,pro100leo,2036,1949
843,mshcherba,1954,1875
843,Birjik,1941,1863
843,deep_learning,2196,2087
843,kenkoooo,1990,1906
843,sdnr1,2086,1991
843,SirirNicheBirirDokan,1908,1831
843,jodik,1965,1882
843,sgtlaugh,1946,1864
843,maxxaon,1925,1844
843,iakovlev.zakhar,1935,1853
843,mkisic,1927,1845
843,abistrigova,1955,1870
843,nickluo,1912,1830
843,BaturaDima,1942,1857
843,AnotherRound,1944,1856
843,aurinegro,2436,2286
843,12iq,1925,1839
843,lsrothy,1933,1846
