contest_id,handle,old_rating,new_rating
1028,LHiC,3001,3163
1028,jqdai0815,3280,3327
1028,bmerry,2967,3071
1028,Um_nik,3213,3234
1028,Egor,2966,3039
1028,Benq,3105,3130
1028,tqyaaaaang,2698,2823
1028,DearMargaret,2734,2841
1028,Marcin_smu,2892,2949
1028,Swistakk,3092,3089
1028,zscoder,2457,2617
1028,webmaster,2829,2884
1028,I_love_Tanya_Romanova,2802,2859
1028,PavelKunyavskiy,2670,2757
1028,ksun48,2979,2981
1028,aid,2773,2824
1028,_h_,2553,2658
1028,AndreySergunin,2626,2708
1028,WA_TLE,2508,2617
1028,voover,2578,2665
1028,dario2994,2506,2609
1028,uwi,2491,2595
1028,AllCatsAreBeautiful,2402,2526
1028,isaf27,2398,2517
1028,shpsi,2295,2441
1028,ldst,1936,2181
1028,ecnerwala,2822,2826
1028,ainta,3004,2960
1028,wiwitrifai,2372,2488
1028,isaf,1951,2181
1028,lzyrapx,2140,2314
1028,lastans,2343,2459
1028,vintage_Vlad_Makeev,2621,2663
1028,ikatanic,2761,2765
1028,DEGwer,2706,2722
1028,guille,2089,2266
1028,Motarack,2236,2371
1028,desert97,2392,2484
1028,Qingzhi_chan,1807,2061
1028,Radewoosh,2953,2899
1028,300iq,2556,2600
1028,FizzyDavid,2951,2894
1028,molamola.,2972,2908
1028,dreamoon_love_AA,2578,2611
1028,majk,2740,2731
1028,Merkurev,2800,2774
1028,gepardo,2655,2664
1028,amethyst0,2399,2472
1028,Endagorion,2806,2775
1028,cdkrot,2367,2446
1028,TLEwpdus,2563,2590
1028,mmaxio,2591,2609
1028,mjhun,2530,2563
1028,ToTLeS,2405,2468
1028,xiaowuc1,2418,2477
1028,Deemo,2625,2630
1028,Xellos,2472,2514
1028,budalnik,2353,2425
1028,TwoFx,2115,2249
1028,greencis,2337,2411
1028,ATS,2041,2193
1028,nikanqilaizhenhaoxiao,1749,1986
1028,queria_ser_abella,2200,2306
1028,--d,2576,2584
1028,Wavator,2365,2426
1028,mango_lassi,2255,2343
1028,cookiedoth,2320,2390
1028,fhlasek,2563,2570
1028,emofunc,2189,2292
1028,muratt,2274,2353
1028,knightL,2466,2494
1028,Jatana,2168,2273
1028,kimiyuki,2223,2313
1028,kmjp,2671,2644
1028,lucyanna2018,2615,2602
1028,Hujiwara,2385,2429
1028,JOHNKRAM,2539,2543
1028,KrK,2357,2407
1028,Toeto,1856,2043
1028,alex20030190,2655,2628
1028,Kaban-5,2359,2405
1028,platypus179,2107,2219
1028,paulinia,2175,2268
1028,yfzcsc,2523,2525
1028,hank55663,2212,2293
1028,gamegame,2265,2332
1028,scott_wu,2940,2837
1028,Jeel_Vaishnav,1906,2070
1028,kingofnumbers,2194,2277
1028,ovlrd,1500,1790
1028,alonefight,2069,2184
1028,Mikaeel,2126,2225
1028,khokho,2257,2320
1028,593119681,2411,2433
1028,MicGor,2226,2296
1028,alex700,1990,2122
1028,iddilov,1915,2069
1028,Lebossle,1815,1996
1028,traxex,2130,2222
1028,mstczuo,2346,2381
1028,shadowatyy,2339,2375
1028,stasio6,2127,2218
1028,qq409257934,1500,1779
1028,DBradac,2651,2606
1028,Shef,2518,2506
1028,hey_boris,2177,2252
1028,FallenTurret,1983,2110
1028,gzy_cjoier,2170,2245
1028,hamlet,2080,2179
1028,witua,2273,2320
1028,Jakube,2147,2226
1028,Subconscious,2147,2226
1028,chenmark,2163,2237
1028,Piotr,2019,2131
1028,chenjb,2235,2288
1028,Anadi,2400,2410
1028,jtnydv25,2359,2379
1028,-skyline,2066,2163
1028,MegaBidoof,2100,2187
1028,Enchom,2429,2429
1028,PoDuReM,2249,2295
1028,amsen_,1551,1799
1028,rui-de,2278,2315
1028,orz,2225,2275
1028,Starlit,2233,2281
1028,mareksom,2765,2678
1028,IvL,2474,2459
1028,g13,2002,2110
1028,Juve45,2071,2160
1028,woqja125,2282,2314
1028,kllp,2223,2270
1028,veschii_nevstrui,2113,2188
1028,sxy_to_the_end,1926,2052
1028,MrDindows,2599,2549
1028,cfk,2119,2191
1028,RobeZH,2088,2168
1028,998kover,2311,2332
1028,niyaznigmatul,2826,2719
1028,yang12139,1647,1853
1028,Eccentricity,1805,1962
1028,Dibagger,2193,2242
1028,MofK,2303,2323
1028,shb123,2368,2371
1028,kecaj,1833,1980
1028,_Rampage_,1902,2028
1028,Valiors,1743,1915
1028,nigus,2324,2336
1028,OneStone,2025,2116
1028,fram,2217,2256
1028,ahyangyi,2096,2166
