contest_id,handle,old_rating,new_rating
623,scott_wu,2695,2909
623,PavelKunyavskiy,2768,2923
623,W4yneb0t,2738,2878
623,-XraY-,2803,2910
623,jqdai0815,3000,3040
623,kcm1700,2699,2811
623,Um_nik,3035,3047
623,Egor,3058,3057
623,LayCurse,2682,2776
623,vlad107,2399,2570
623,RomaWhite,2783,2838
623,gs12117,2422,2574
623,Swistakk,2627,2714
623,JoeyWheeler,2797,2834
623,sugim48,2450,2580
623,LHiC,2568,2659
623,MrDindows,2318,2480
623,RAVEman,2539,2631
623,al13n,2769,2795
623,Shik,2598,2667
623,HellKitsune,2693,2733
623,Shef,2395,2516
623,mmaxio,2718,2746
623,ershov.stanislav,2627,2676
623,dotorya,2668,2704
623,albert96,2381,2495
623,Errichto,2508,2583
623,aliasadiiii,2223,2380
623,matthew99,2749,2755
623,jcvb,2815,2803
623,ainta,2537,2594
623,AnnKats93,1921,2173
623,enot110,2677,2693
623,malcolm,2394,2485
623,oml1111,2307,2422
623,fhlasek,2354,2453
623,niquefa_diego,2164,2319
623,ikatanic,2694,2697
623,rowdark,2637,2653
623,JustasK,2162,2311
623,ksun48,2368,2453
623,Zlobober,2643,2652
623,Chmel_Tolstiy,2549,2581
623,fsouza,2658,2660
623,Ilya_MSU,2425,2488
623,Jonick,1907,2134
623,Na2a,2174,2307
623,I_love_Tanya_Romanova,2567,2587
623,Jacob,2472,2516
623,HYPERHYPERHYPERCUBELOVER,2576,2591
623,I_love_tigersugar,2535,2559
623,negativebplusorminus,2081,2236
623,bayleef,2469,2508
623,Marcin_smu,2641,2634
623,izban,2684,2665
623,tunyash,2164,2286
623,aurinegro,2180,2296
623,yummy,2173,2289
623,KADR,2472,2502
623,Endagorion,2672,2649
623,Reyna,1914,2114
623,.tx,2287,2364
623,Burunduk1,2526,2537
623,alex9801,1954,2135
623,msg555,2458,2485
623,sivukhin,2460,2485
623,dj3500,2452,2478
623,Merkurev,2766,2714
623,budalnik,2084,2214
623,Enchom,2436,2463
623,zemen,2543,2540
623,Vercingetorix,2104,2224
623,Copymaster,2458,2476
623,step5,2764,2707
623,andrew.volchek,2633,2605
623,WildUtah,1965,2127
623,zxqfl,2444,2462
623,nfssdq,2192,2278
623,Edvard,2335,2380
623,jinzhao,2197,2278
623,Hezhu,2476,2481
623,Sumeet.Varma,2095,2206
623,Belonogov,2633,2598
623,KrK,2502,2498
623,Kurpilyansky,2239,2304
623,Seemann,2353,2386
623,subscriber,2833,2749
623,gangsterveggies,2060,2176
623,akashdeep,2076,2186
623,Deemo,1994,2130
623,zxozxo4,2144,2230
623,IMAN_GH,2070,2179
623,IlyaLos,2346,2374
623,knightL,2592,2556
623,zld3794955,2393,2407
623,aropan,2560,2532
623,mexmans,2304,2340
623,KAN,2747,2674
623,krismaz,2437,2436
623,TimonKnigge,2014,2134
623,NVAL,2239,2290
623,urusant,2191,2254
623,ComradePetr,1907,2062
623,Laakeri,2397,2403
623,Snezhok,1906,2058
623,Mikester,2091,2181
623,YakutovDmitriy,2381,2389
623,Gerald,2226,2275
623,Flyrise,2121,2199
623,Wild_Hamster,1977,2100
623,maxkvant,1960,2088
623,Vladyslav,2132,2204
623,Landertxu,2268,2301
623,AcrossTheSky,2087,2170
623,el_sanchez,2385,2386
623,dohyun0324,1912,2053
623,witua,2438,2425
623,chenmark,2053,2144
623,LLI_E_P_JI_O_K,2046,2139
