contest_id,handle,old_rating,new_rating
757,tourist,3615,3670
757,W4yneb0t,2884,3027
757,anta,2797,2936
757,Um_nik,2907,3000
757,ershov.stanislav,2778,2890
757,LHiC,3053,3084
757,jcvb,2827,2906
757,GlebsHP,2536,2684
757,jiry_2,2867,2920
757,Egor,2873,2918
757,pavel.savchenkov,2475,2620
757,sd0061,2691,2773
757,savinov,2562,2673
757,zeliboba,2635,2722
757,Shik,2771,2818
757,pacu,2434,2567
757,SirShokoladina,2280,2451
757,mtomic,1919,2191
757,jqdai0815,3267,3171
757,Endagorion,2966,2946
757,Zlobober,2886,2883
757,ToTLeS,2088,2296
757,Merkurev,2549,2628
757,enot110,2663,2709
757,yosupo,2694,2729
757,kraskevich,2429,2532
757,ifsmirnov,2532,2605
757,mmaxio,2474,2560
757,zemen,2730,2747
757,Marcin_smu,2871,2850
757,Kurpilyansky,2310,2433
757,Konijntje,2365,2471
757,uwi,2470,2546
757,halyavin,2574,2621
757,mnaeraxr,2197,2343
757,-XraY-,2668,2687
757,rajat1603,2306,2418
757,khadaev,2489,2551
757,eddy1021,2518,2571
757,Zhukov_Dmitry,2447,2517
757,Swistakk,2773,2757
757,I_love_tigersugar,2350,2442
757,pranjal.ssh,1991,2181
757,rxdoi,2239,2358
757,Jimanbanashi,2221,2343
757,HellKitsune,2733,2720
757,data_h,2683,2681
757,eatmore,2965,2892
757,pekempey,2276,2378
757,yoshinoprpr,2181,2307
757,alecsyde,2390,2459
757,andrew.volchek,2212,2327
757,Golovanov399,2423,2481
757,dreamoon_love_AA,2582,2597
757,KrK,2279,2372
757,zscoder,2234,2338
757,pwild,2255,2352
757,tun,2361,2429
757,natsugiri,2522,2547
757,Temirulan,2386,2445
757,skywalkert,2078,2219
757,Milanin,2440,2483
757,NikaraBika,1972,2141
757,oversolver,2063,2205
757,teleport,2247,2337
757,hellman_,2076,2212
757,bayleef,2442,2479
757,Vladyslav,2274,2354
757,saketh,2573,2574
757,Vercingetorix,2363,2417
757,Andrei1998,2365,2418
757,akashdeep,2224,2313
757,gepardo,2269,2345
757,riadwaw,2702,2667
757,Sert,2228,2313
757,tmt514,2303,2368
757,collares,1929,2096
757,I_love_Tanya_Romanova,2771,2715
757,molamola.,2654,2627
757,Chelly,2117,2228
757,Gassa,2457,2477
757,prabowo,2042,2172
757,Tima,1957,2111
757,Hujiwara,2374,2413
757,f.bialas,2164,2258
757,MPeti,2346,2391
757,t90tank,2315,2367
757,Kaban-5,2432,2453
757,BigBag,2325,2373
757,gskhirtladze,2045,2168
757,please_delete_account,2106,2211
757,kefaa,2189,2270
