contest_id,handle,old_rating,new_rating
27,AnshAryan,1500,1712
27,AChudov,1462,1663
27,popovaclaire,1500,1710
27,Dmitry_Egorov,1500,1708
27,Coder,1500,1707
27,jcebmo158,1500,1705
27,PavelChadnov,1289,1547
27,cuynrq039,1500,1703
27,tracyhenry,1500,1701
27,I-juice,1406,1619
27,r2d2,1500,1699
27,LunaFire2010,1500,1697
27,Sereja,1500,1696
27,KOTEHOK,1500,1694
27,oqjeiy191,1500,1693
27,ant.ermilov,1415,1615
27,moshiur,1365,1586
27,Stupid2,1500,1689
27,X_x,1500,1687
27,lwc626,1487,1651
27,novkostya,1500,1685
27,zgmf_x56s,1500,1683
27,tsukuno,1500,1682
27,swgr,1500,1681
27,Borisp,1500,1679
27,ZyxSlender,1428,1610
27,uynvia842,1500,1674
27,qwas,1500,1676
27,69-64-79,1374,1576
27,secretcoder1,1500,1672
27,nshrimpy,1500,1671
27,bubnov,1392,1573
27,jthread,1500,1670
27,al.mu,1500,1668
27,xelez,1449,1610
27,shindannin,1400,1582
27,XTY,1424,1587
27,antonkov,1351,1546
27,deNULL,1500,1664
27,AliDiep,1273,1501
27,sapalskimichal,1500,1661
27,lorddemonpinsk,1280,1499
27,sequence,1480,1617
27,Andip,1500,1652
27,Farzam,1331,1532
27,commander,1500,1650
27,x3mka,1407,1566
27,mark1989,1500,1645
27,topsky,1500,1649
27,ManalSadek,1434,1583
27,LICH-KING,1500,1646
27,ramhaina,1437,1579
27,rax,1500,1641
27,Kain,1417,1566
27,tokoharu,1500,1638
27,Roman1,1500,1637
27,kyno.yang,1470,1586
27,mystery_boy,1348,1524
27,Rupai,1454,1569
27,RosyIsh,1439,1570
27,redox,1384,1542
27,Parhomets,1436,1566
27,komarov,1488,1588
27,vilcheuski,1388,1534
27,Swrrt,1500,1627
27,fanglon,1500,1626
27,thinkpoet,1426,1552
27,AntonDubovik,1500,1623
27,Debugcool,1385,1530
27,elk,1500,1617
27,xDEMONx59,1466,1566
27,ch_g,1500,1612
27,xhopel444,1500,1615
27,safariworldcom,1419,1541
27,pavlin,1500,1610
27,KaVaBUnGO,1500,1609
27,slalex,1476,1561
27,rizwanhudda,1310,1476
27,robine,1500,1605
27,logicmachine,1337,1490
27,ban_me,1500,1602
27,SAMueL,1500,1601
27,llvllahsa,1500,1595
27,yoseyose,1491,1558
27,tia,1395,1515
27,Andrew_Makar,1500,1597
27,lgarcia,1416,1521
27,okulov,1436,1529
27,liugang123,1355,1488
27,caustique,1418,1509
27,kiseljovkn,1434,1525
27,Kipok,1500,1588
27,Vaness,1500,1587
27,cyx5320856,1409,1510
27,ddd,1356,1483
27,hydrastuff,1478,1537
27,Artishok,1497,1524
27,Gareve25,1452,1524
27,ydnl,1404,1502
27,asif_iut,1271,1430
27,allocator,1452,1518
27,Sanya_M,1500,1575
27,ostream,1500,1573
27,mexmans,1285,1432
27,Janis_Gruzis,1492,1527
27,Furko,1372,1477
27,ixrs,1500,1568
27,Rock.Spartacus,1500,1566
27,0_0,1417,1495
27,vish,1488,1517
27,royalsflush,1251,1402
27,mbbustos,1500,1560
27,MrMT,1458,1502
27,Timus,1500,1558
27,McLaren,1406,1479
27,sp2hari,1394,1456
27,byebyeCF,1500,1554
27,magdi,1126,1308
27,vlade87,1478,1503
27,safeasmilk,1478,1483
27,DFox,1500,1532
27,Integra,1500,1531
27,ortschun,1500,1550
27,f.nasim,1227,1377
27,Gelka,1500,1550
27,PAG,1346,1446
27,kis,1500,1544
27,andreyv,1500,1543
27,inspirer,1500,1542
27,907th,1372,1450
27,TGD,1500,1539
27,fujiyama,1444,1476
27,Shuaib,1168,1325
27,arshuaz,1467,1462
27,Respect2D,1310,1397
27,Ress6,1500,1510
27,zzz,1313,1411
27,qjklw,1428,1461
27,DmitriyH,1419,1456
27,-messi-,1500,1525
27,raphaelferras,1500,1524
27,wilczek256,1500,1522
27,cswudi0,1485,1471
27,jurong,1331,1402
27,fR0DDY,1406,1445
27,mimirrow,1468,1465
27,OSt,1329,1397
27,Dod,1500,1515
27,meparter,1379,1411
27,keivan,1312,1396
27,nelumbo,1500,1511
27,Rubanenko,1399,1400
27,blue_jam,1500,1498
27,Tahlil,1494,1460
27,unki,1345,1409
27,A.I,1500,1503
27,shmel,1402,1426
27,HeVy,1500,1502
27,b4rret,1388,1418
27,GDR,1218,1323
27,maslowmw,1474,1442
27,anserven,1500,1493
27,ljl,1484,1440
27,dj3500,1500,1489
27,xiaobai,1414,1417
27,szatkus,1500,1480
27,tohuuquan,1414,1407
27,lqhuy93,1500,1474
27,siteshshrivastava,1258,1339
27,UESTC_tornado,1377,1402
27,2009210656,1500,1477
27,IranianGuy,1500,1485
27,smolcoder,1500,1484
27,Codemacher,1500,1482
27,chaiyuan,1500,1471
27,htrinh,1500,1465
27,Abra,1428,1402
27,mohammadrdeh,1422,1404
27,logN,1327,1335
27,cfc,1426,1403
27,__Joker,1422,1392
27,zermx_011,1223,1307
27,Cat_2010,1293,1347
27,vance,1500,1463
27,EugeneBolotin,1500,1462
27,tsotneguti,1131,1226
27,HourGlass,1500,1459
27,bogdanov,1414,1387
27,akshayk0406,1449,1382
27,JKeeJ1e30,1412,1385
27,devilofaboy,1500,1455
27,AMIRKG,1405,1382
27,Brambar,1500,1452
27,ArhAngel,1500,1451
27,paulocezar,1407,1378
27,Irkovskaya_Vika,1500,1448
27,taichi,1492,1402
27,Nox,1380,1364
27,ukokke,1500,1395
27,KOKS,1393,1353
27,Choragi,1500,1441
27,phyllo,1311,1333
27,zxy_snow,1251,1300
27,pius_88,1496,1402
27,__int64,1500,1434
27,vermapratyush,1500,1433
27,mikev,1487,1393
27,devils13,1450,1364
27,Grim,1299,1318
27,minorkin,1500,1429
27,007.chandru.vels,1500,1426
27,nuhbye,1500,1425
27,msagimbekov,1500,1423
27,pedlaz,1500,1423
27,aosuka,1382,1338
27,Wayne,1500,1414
27,TheRealRoman,1380,1341
27,philip01169,1451,1363
27,Ruibin.chan,1500,1409
27,Debanjan,1312,1313
27,SyFy,1230,1260
27,riki,1148,1217
27,Mars314,1500,1415
27,Yuliy,1500,1413
27,sdryapko,1451,1361
27,ttsuki,1500,1413
27,marcus,1500,1412
27,15211243642,1500,1411
27,matsu4512,1500,1411
27,t.gogniashvili,1500,1410
27,20092100003,1227,1185
27,Xerxes,1418,1311
27,misaka.mikoto,1500,1410
27,KLaus,1494,1388
27,Ministr,1467,1368
27,OmarEl-Mohandes,1371,1314
27,Dolphin,1240,1255
27,TarifEzaz,1186,1223
27,Alex-Gran,1500,1407
27,satoshii,1141,1190
27,peria,1460,1361
27,borisovsad2,1500,1406
27,Boykov,1301,1282
27,arturs,1479,1373
27,chenchen1024,1500,1404
27,peeyush.lnmit,1400,1316
27,Goofy57,1500,1404
27,onlyillusion,1428,1336
27,userlond,1249,1246
27,Khuyagbaatar,1373,1297
27,sataho,1500,1402
27,onlyone,1387,1305
27,lavkush,1305,1268
27,undefined_thimpu,1469,1362
27,mousavi.uk,1500,1400
27,mail2bidhan,1393,1307
27,adel_gilmullin,1500,1393
27,joker512,1500,1399
27,xtpynx,1484,1372
27,lonelyprog,1500,1399
27,stevechiucn,1500,1398
27,letgo,1500,1398
27,amin.solhizadeh,1500,1398
27,newboy_ils,1500,1397
27,prog.delphin,1500,1397
27,Choby,1500,1396
27,liuzhe1117,1426,1326
27,daira,1500,1395
27,ramzai,1441,1336
27,sabbathist,1340,1262
27,vallejolan,1500,1394
27,Eather,1500,1394
27,koder_dima,1377,1287
27,sign_in158,1469,1355
27,Tribal,1369,1280
27,Rajat_Mathur90,1500,1390
27,polovichok,1500,1392
