contest_id,handle,old_rating,new_rating
30,rng_58,1947,2057
30,KADR,2047,2118
30,Egor,2138,2177
30,PavelKunyavskiy,1927,2038
30,hos.lyric,1914,2028
30,dolphinigle,1750,1934
30,vepifanov,2042,2101
30,alexander86,1690,1899
30,alexey.enkov,1857,1988
30,vlad89,1932,2028
30,907th,1554,1821
30,IgorYevchynets,1859,1983
30,cmd,1803,1951
30,Anton_Lunyov,2205,2178
30,sdya,2056,2086
30,zhouxingxing,1866,1979
30,dzhulgakov,2171,2146
30,wcao,1565,1819
30,uwi,1797,1938
30,Gassa,1957,2019
30,KOTEHOK,1862,1967
30,yeputons,1863,1968
30,permin,1749,1907
30,SpookyCookie,1850,1957
30,dkorduban,1666,1863
30,ivan.popelyshev,2074,2063
30,Seyaua,2049,2048
30,Progger,1852,1949
30,wywcgs,1909,1975
30,Efgen,1580,1812
30,maksay,1673,1858
30,alyaxey,1500,1750
30,Thekid,1891,1958
30,Ignorance,1500,1748
30,Burunduk1,1797,1911
30,kolesov93,1750,1887
30,kormak,1869,1940
30,mmaxio,1825,1918
30,nk.karpov,1579,1801
30,macs,1789,1899
30,SteamTurbine,1510,1750
30,ChuYuxun,1916,1952
30,juver,1624,1821
30,buko,1832,1912
30,mastersobg,1689,1849
30,Igor_Kudryashov,1704,1853
30,Ra16bit,2073,2002
30,ivanromanov,1500,1733
30,taras.klaskovsky,1695,1844
30,Hinidu,1575,1787
30,Fefer_Ivan,1740,1861
30,abhithekid,1606,1800
30,Slevin,1795,1879
30,P___,1714,1844
30,vladimir_nedev,1605,1794
30,yaro,1722,1844
30,EmK,1902,1850
30,Ch0W,1579,1779
30,syco,1797,1872
30,balakrishnan,1574,1776
30,rankalee,1514,1743
30,swgr,1693,1817
30,Rotsor,1675,1721
30,---Grigor---,1635,1800
30,VladBelous,1631,1797
30,Gerald,1835,1877
30,lwc626,1688,1819
30,niyaznigmatul,1596,1768
30,hydrastuff,1537,1749
30,ftfish,1623,1788
30,dragoon,1843,1873
30,slavechaser,1500,1708
30,Mahdi,1611,1779
30,pkhaustov,1796,1849
30,havaliza,1762,1835
30,AngelClover,1506,1725
30,wcwswswws,1558,1748
30,package.zaic,1648,1786
30,Rydberg,1835,1852
30,iensen,1680,1796
30,ir5,1797,1836
30,cyph1e,1766,1824
30,Lepetrandr,1840,1846
30,myar,1673,1788
30,HolkinPV,1788,1811
30,Fdg,1713,1801
30,chEEtah,1668,1784
30,VolodymyrK,1618,1762
30,ulandev,1670,1781
30,hs484,1526,1719
30,idler,1500,1685
30,anhdt,1696,1785
30,tsukuno,1682,1770
30,hasi,1544,1723
30,sidky,1639,1760
30,KirillB,1613,1749
30,TheLlama,1675,1771
30,Polichka,1821,1813
30,ysyshtc,1621,1748
30,steiner,1515,1700
30,Kenny_HORROR,1879,1819
30,alt,1566,1721
30,Oleg805,1714,1768
30,vot,2001,1891
30,Sereja,1762,1786
30,Eugene,1500,1668
30,goo.gl_SsAhv,1649,1748
30,luckman,1782,1785
30,andreyv,1610,1730
30,arupguha6,1500,1662
30,Mikhaylov,1500,1661
30,AnshAryan,1654,1742
30,sjtu_pigoneand,1443,1650
30,yak_ex,1663,1742
30,os_b,1540,1694
30,SCNU20082200090,1691,1748
30,svrsvr,1500,1654
30,Fcdkbear,1752,1761
30,DmitriyH,1456,1652
30,jaamaa,1467,1649
30,dj3500,1657,1732
30,indy256,1543,1689
30,Vaness,1512,1674
30,wangchaohui,1603,1710
