contest_id,handle,old_rating,new_rating
31,moondy,1500,1718
31,Jacob,1500,1717
31,zlxnbn508,1500,1716
31,bzpgnn098,1500,1714
31,scottai1,1500,1713
31,aRSeniy,1499,1674
31,Serg95,1500,1710
31,m1ha1f,1450,1642
31,right_wing,1500,1709
31,robotdron,1500,1706
31,fmm,1404,1613
31,tanzaku,1430,1624
31,parenti,1483,1656
31,ashi009,1406,1612
31,lqw,1500,1699
31,left_wing,1500,1689
31,yvasyliv,1435,1618
31,Jokser,1458,1636
31,FORHAD-SUST-BD,1474,1643
31,giongto35,1240,1501
31,dota.by,1500,1694
31,Ministr,1436,1617
31,ika,1490,1644
31,ylrdtb763,1500,1687
31,NlogN,1500,1686
31,AleX,1500,1684
31,young_firefighter,1500,1683
31,i.nagata110,1498,1639
31,for_fun,1500,1680
31,kdalex,1500,1678
31,Matjaz,1478,1626
31,stolien,1500,1676
31,Artishok,1413,1586
31,aan93,1469,1617
31,cpphamza,1451,1607
31,sdryapko,1354,1552
31,forifchen,1494,1623
31,Mincl,1399,1574
31,Snipx,1496,1622
31,Anton92nd,1406,1575
31,youbin110,1312,1521
31,kinodjnz,1500,1663
31,Afshin,1372,1553
31,srivatsan_1991,1500,1660
31,chviktor,1480,1601
31,kqjskd233,1500,1659
31,arshuaz,1462,1594
31,Light_moon,1500,1653
31,Rock.Spartacus,1436,1579
31,weiqi,1495,1603
31,Abra,1414,1555
31,Rubanenko,1492,1600
31,abcd2,1500,1649
31,dschlyter,1500,1648
31,VArt,1392,1549
31,nikitos59,1500,1645
31,bgabbasov,1491,1592
31,jurong,1331,1512
31,safeasmilk,1478,1579
31,bogdanov,1387,1540
31,pavlin,1446,1535
31,dog20,1500,1638
31,ulysses_mn,1378,1531
31,MrS,1500,1627
31,johnfn,1476,1568
31,Yuliy,1342,1505
31,anyann,1468,1559
31,MaximShipko,1500,1621
31,LGM,1412,1547
31,shashwat.gupta,1341,1510
31,nigo92,1465,1568
31,IwfWcf,1424,1548
31,Snow_storm,1500,1629
31,qlyzpqz,1412,1540
31,akimonoiryou,1395,1524
31,wangyongliang,1500,1617
31,hogeover30,1463,1536
31,tohuuquan,1329,1486
31,2ijunle,1500,1618
31,brunoja,1500,1613
31,mexmans,1359,1501
31,hrkksym,1500,1613
31,KoT,1500,1610
31,Empty,1329,1474
31,JasakovArtem,1292,1458
31,htrinh,1332,1479
31,zakir.exe,1375,1500
31,gystt2010,1500,1599
31,ciprianfarcasanu,1500,1600
31,crbtmac,1463,1531
31,Kh.Madi,1295,1451
31,190510,1499,1539
31,nook,1500,1594
31,Sosi,1395,1497
31,Woodpecker,1376,1487
31,Pancake,1500,1589
31,jiyaodian,1497,1531
31,darthxelam,1478,1523
31,rudolf,1471,1515
31,taichi,1326,1458
31,fcspartakm,1371,1463
31,akshayk0406,1318,1449
31,codeforces_idy_01,1500,1584
31,o948,1451,1510
31,NightRider,1500,1580
31,suhendry,1414,1490
31,dimuli4e4ka,1500,1576
31,knock-knock,1408,1459
31,eduard,1500,1569
31,belltail,1500,1566
31,royalsflush,1469,1507
31,Noxt,1323,1445
31,delta_4d,1430,1482
31,veleandu,1492,1511
31,bm.anas.sust,1500,1570
31,Suvorov,1417,1469
31,HourGlass,1373,1461
31,satoshii,1225,1380
31,ouerliuman,1500,1561
31,Copymaster,1500,1561
31,shahriaroo,1460,1486
31,gaston770,1364,1446
31,K_operafan,1500,1557
31,nsmikhailov,1500,1554
31,sabottenda,1350,1417
31,lordke,1354,1440
31,kiyoshi,1469,1462
31,wasi.ahmed,1478,1463
31,Parhomets,1457,1477
31,daremy,1461,1469
31,meparter,1410,1452
31,superbusinka,1500,1549
31,diepluu0307,1416,1450
31,sabbathist,1262,1375
31,grinch92,1500,1520
31,pcyu16,1500,1546
31,vudduu,1373,1442
31,TRR,1258,1384
31,Alkaline,1500,1485
31,a-hisame,1500,1539
31,liangjiaxing57,1420,1440
31,DevendraPratap,1337,1407
31,ilsaf13,1466,1466
31,nekto,1441,1456
31,ItsLastDay,1387,1426
31,babak,1344,1415
31,mohammadrdeh,1445,1450
31,Psilocybe,1327,1394
31,anp,1500,1522
31,Tahlil,1453,1444
31,pon_64,1500,1505
31,Baco,1360,1411
31,__tabara,1299,1371
31,mylyanyk.ivan,1405,1426
31,Aman,1339,1396
31,Xerxes,1383,1403
31,navinag,1342,1359
31,Padme,1286,1373
31,lijinhui235711,1399,1393
31,route150,1444,1433
31,kris13,1416,1422
31,Tactic,1420,1414
31,siteshshrivastava,1426,1424
31,PAG,1276,1362
31,Dolphin,1255,1340
31,UhoYGw,1142,1249
31,zzz,1377,1382
31,Nursoltan,1342,1389
31,serg_pet,1378,1399
31,15211243642,1287,1359
31,McLaren,1480,1422
31,hhgff,1413,1384
31,ershad,1340,1381
31,Gelka,1332,1360
31,sjbr,1384,1395
31,coproizvedenie,1381,1392
31,paulocezar,1411,1400
31,unki,1319,1361
31,Diabolic,1399,1370
31,KTY,1241,1327
31,redox,1471,1411
31,trololo,1500,1478
31,matrix_sust,1426,1392
31,nextgen,1421,1388
31,nayimsust,1247,1317
31,amit5148,1500,1465
31,ssh_saeed68,1441,1398
31,123pro,1270,1311
31,abhiranjan,1500,1463
31,2009210656,1389,1374
31,Mohannad,1441,1378
31,mng,1500,1466
31,Iren,1441,1373
31,Belbesy,1500,1459
31,nicogu,1267,1315
31,strelok1918,1385,1359
31,dragoon20,1380,1349
31,zulanu,1500,1452
31,TarifEzaz,1267,1312
31,chandubaba,1265,1309
31,dronoff,1327,1334
31,rafilia,1407,1350
31,tokens,1392,1353
31,toxahak,1363,1344
31,hctannus,1500,1443
31,t.gogniashvili,1284,1309
31,destiny,1500,1439
31,zlatkov,1419,1350
31,adam_,1500,1437
31,Gantz,1338,1328
31,anchik12345,1176,1247
31,Corea,1500,1432
31,wudired67,1454,1365
31,mimirrow,1443,1343
31,m.orazow,1397,1337
31,AVoz,1409,1340
31,Artanis,1399,1338
31,magiix,1380,1329
31,logN,1360,1323
31,Andronnix,1399,1333
31,MirOn,1500,1425
31,SavchukAM,1364,1325
31,nanobrain,1500,1425
31,aslan95,1378,1321
31,astrovsky,1341,1274
31,xingh.dll,1500,1418
31,assinbus,1399,1323
31,gurovic,1407,1327
31,romanov.andrey,1383,1296
31,andrey.varenyk,1420,1335
31,xuanquy0102,1322,1301
31,kirr,1500,1417
31,Sleipnir,1271,1280
31,Olzhas_Seilkhanov,1387,1312
31,yasulib,1371,1287
31,v_jam,1309,1257
31,tchrikch,1500,1413
31,mirdamad,1466,1365
31,msagimbekov,1447,1350
31,zafar_sust_bd,1395,1314
31,0_0,1332,1292
31,phillip,1477,1371
31,borysfan,1401,1317
31,rasulzhan,1246,1252
31,Waiter,1355,1273
31,kinaki,1415,1325
31,killmebabyinmoretime,1500,1400
31,Quazar,1359,1292
31,era_kaz_93,1500,1409
31,almaz_kh,1281,1235
31,mkagenius,1214,1203
31,1guangnian,1427,1332
31,Cyrus,1500,1407
31,VanDerGbdrm,1500,1379
31,ViktorM,1235,1240
31,flash,1439,1319
31,vipul_iiita,1342,1242
31,piro1996,1500,1407
31,unrated,1241,1241
31,mingbai,1500,1407
31,Cheburashka,1447,1344
31,larry1,1500,1405
31,Ugzuzg,1410,1317
31,fukirk,1323,1268
31,winterflame,1402,1311
31,newboy_ils,1268,1241
31,asif_iut,1486,1370
31,Furko,1477,1362
31,Kolaveri,1500,1400
31,aqua4,1404,1308
31,sunzuhan,1310,1250
31,emiraga,1500,1387
31,Alisafe,1229,1158
31,Dias,1205,1155
31,sbcd90,1500,1398
31,Xorand,1215,1201
31,sujz,1213,1199
31,kenny59,1399,1301
31,egorkz,1500,1396
31,Tribal,1379,1286
31,SyFy,1212,1155
31,Cris,1440,1331
31,Creed,1191,1143
31,4ybakut2004,1402,1302
31,BenderRodriges,1500,1395
31,Diman_yoyo,1500,1379
31,sepehrmousavi,1365,1274
31,epsilon,1500,1395
31,Mary,1384,1287
31,glukin,1382,1286
31,viktorn93,1500,1393
31,CodeZealot,1294,1221
31,Salat,1321,1239
31,Olzhabay,1361,1268
31,ptr.npexception149,1385,1286
31,Saif,1267,1206
31,kool.coder,1362,1264
31,mostafa_elabady,1444,1325
31,kosalnik,1500,1387
31,carthee29,1500,1391
31,lonelyprog,1336,1243
31,sankalp91,1500,1387
31,mihaildemidoff,1433,1316
31,xlfd,1225,1185
31,Eaglegor,1500,1391
31,Andark,1252,1195
31,bekzat,1221,1149
31,omir,1239,1188
31,leha_raketa96,1500,1390
31,jyoteshrc,1325,1232
31,DarkRaven,1399,1294
31,Varlok,1301,1220
31,mahamudsust,1216,1173
31,majno,1500,1389
31,LaMerced,1500,1388
31,sepehrassadi,1417,1306
31,fe2,1500,1380
31,itchyny,1500,1383
31,aknur94,1399,1287
31,master_j,1204,1152
31,NoobOK,1402,1287
31,shnell,1406,1289
31,Mars314,1285,1200
31,krizalidw,1330,1235
31,mahfuz,1275,1191
31,muriloufg,1399,1286
31,ruban,1403,1286
31,topman3758,1366,1260
31,200830740509,1317,1222
31,just_alisher,1380,1270
31,ZobninVladislav_It-Team,1271,1184
31,gmunkhbaatarmn,1449,1321
31,almabek,1441,1315
31,anvar1101,1376,1266
31,sourav_22,1399,1283
31,Wen_Cz,1320,1223
31,Light_Yagami,1371,1262
31,MitRo,1214,1140
31,Gantushig,1500,1379
31,MohammadMoein,1406,1289
31,YeeeeHa,1289,1198
31,lokeshcse,1117,1082
31,jovank,1500,1379
31,gourav.bit,1407,1289
31,iman_MC,1276,1188
31,mikevalladolid,1286,1196
31,a286729485,1210,1137
31,serg2010,1500,1379
31,undefined_thimpu,1264,1172
31,UESTC_tornado,1279,1184
31,muhammed.adly,1500,1373
31,rajnesh,1345,1236
31,mary-zr,1500,1373
31,parklinkivic,1182,1106
31,fahad.sust,1317,1214
31,Eather,1280,1185
31,evlutsenko,1396,1275
31,geekru2,1371,1256
31,Nox,1338,1230
31,ER.abd_off,1371,1256
31,ulnyau,1500,1373
31,Roma-PKTL,1286,1189
31,jarin,1500,1373
31,samshu,1375,1259
31,dan721,1500,1373
31,shuklaravi,1500,1373
31,MuPHblu,1500,1373
31,vicD,1399,1277
31,CosmoRied,1500,1373
31,liugang123,1475,1334
31,gennad,1500,1373
31,mfkhr,1331,1225
31,jeevacse,1500,1373
31,krad.4sh1sh,1371,1256
31,digberthj,1377,1261
31,magzhan,1272,1178
31,n_bool,1391,1271
31,mounikasiva,1500,1373
31,wats,1270,1177
31,him21sri,1500,1373
31,K.CSE13,1500,1373
31,codecrux,1461,1324
31,kshriram18,1500,1373
31,RetiredLoser,1500,1373
31,whiteknight_907,1500,1373
31,BatyR,1500,1373
31,jdiego089,1500,1373
31,farhan_iut,1069,1028
31,amin4,1379,1262
31,nyama,1371,1256
31,jjchat,1304,1204
31,taruta,1340,1232
31,Askhat,1500,1373
31,Y_Y1,1399,1277
31,Rupak,1321,1217
31,yohta,1455,1319
31,mohammad.mahmoodi,1435,1305
31,Alexander-1709,1399,1277
31,cseibert,1500,1373
31,Opu,1286,1175
31,lolik,1500,1359
