contest_id,handle,old_rating,new_rating
36,RAVEman,2035,2118
36,Petr,2126,2183
36,Coder,1896,2011
36,hos.lyric,2028,2103
36,ilyakor,2134,2176
36,ArtDitel,1748,1900
36,zeliboba,1899,2003
36,dkorduban,1863,1975
36,zibada,1652,1731
36,Ra16bit,2095,2131
36,stgatilov,1894,1991
36,udalov,1667,1834
36,hpfdf,1742,1884
36,maksay,1791,1915
36,krijgertje,1870,1965
36,frost_nova,1709,1855
36,Ignat,1736,1871
36,slycelote,1818,1923
36,Kenny_HORROR,1812,1917
36,Shik,1914,1960
36,Fdg,1880,1958
36,syco,1880,1956
36,kormak,1835,1925
36,AHdoc,1686,1826
36,ivan.popelyshev,2141,2100
36,ruslan.sennov,1655,1801
36,MinakoKojima,1663,1775
36,Efgen,1872,1938
36,juggler,1606,1695
36,Daiver19,1688,1812
36,indy256,1689,1818
36,pkhaustov,1933,1966
36,DDDDDDDDDDDDDDDDDDDDDDDD,1615,1761
36,sky58,1694,1818
36,IgorYevchynets,1983,1978
36,dragoon,1873,1921
36,SirShokoladina,1847,1901
36,henshiru,1582,1731
36,steiner,1700,1808
36,freak93,1679,1794
36,ysyshtc,1748,1823
36,pes,1942,1942
36,marxi,1706,1788
36,xhae,1676,1787
36,wywcgs,1975,1952
36,AliD,1610,1729
36,vladimir_nedev,1794,1854
36,Nenash,1650,1763
36,SergeyLazarev,1723,1804
36,PanZverski,1682,1777
36,xptree,1563,1692
36,KiRiN,1571,1700
36,jaaro,1941,1903
36,wangjunyong,1507,1651
36,zyx3d,1751,1804
36,LayCurse,2078,1999
36,AleX,1873,1861
36,sazzad,1620,1702
36,niyaznigmatul,1948,1894
36,Soultaker,1743,1791
36,LLI_E_P_JI_O_K,1713,1772
36,ChuYuxun,1987,1921
36,hayk.saribekyan,1784,1806
36,murphy,1500,1646
36,evernight,1664,1738
36,Thekid,2015,1940
36,VladGavrila,1658,1731
36,ltaravilse,1651,1725
36,Gassa,2019,1942
36,---Grigor---,1874,1839
36,amir_sh,1553,1657
36,cjc,1560,1634
36,alger95,1659,1722
36,S.Yesipenko,1628,1702
36,andrey-tsb,1711,1747
36,pperm,2086,1991
36,Connector,1624,1694
36,Victor,1507,1616
36,Hadi_Asiaie,1907,1845
36,toni2007,1604,1676
36,I_love_Tanya_Romanova,1500,1646
36,ShadowDancer,1632,1663
36,_sunny,1649,1701
36,Timus,1503,1611
36,Jokser,1723,1741
36,rankalee,1743,1712
36,kyo_key,1620,1681
36,yuzeming,1553,1637
36,yowa,1381,1522
36,xDDD,1658,1699
36,Sereja,1832,1781
36,dj3500,1699,1717
36,scaulyd,1518,1607
36,Knight,1537,1619
36,chronotable,1553,1591
36,hired777,1614,1663
36,BademiChetan,1597,1611
36,hs484,1656,1685
