contest_id,handle,old_rating,new_rating
101,RAVEman,2462,2505
101,ilyakor,2424,2469
101,ACRush,2481,2511
101,tourist,2610,2609
101,SergeyRogulenko,2328,2379
101,watashi,2343,2388
101,kcm1700,2051,2159
101,Shef,2386,2414
101,al13n,2197,2267
101,Dmitry_Egorov,2098,2189
101,ivan.popelyshev,2374,2393
101,meret,1929,2055
101,yeputons,2216,2271
101,opiekacz,1978,2090
101,permin,1920,2043
101,Zhukov_Dmitry,2270,2301
101,pieguy,2027,2122
101,rizar,2079,2159
101,muliguishou,1702,1849
101,stgatilov,2236,2266
101,rudradevbasak,2113,2177
101,AlexSkidanov,2302,2305
101,S.Yesipenko,2021,2107
101,NALP,2103,2164
101,EbTech,1876,1995
101,SteamTurbine,2148,2191
101,DamianS,1887,2000
101,dj3500,2096,2151
101,seanwu,1664,1806
101,mmaxio,1998,2078
101,Ferlon,1918,2018
101,enot110,1864,1976
101,Sereja,2145,2173
101,bayleef,2076,2125
101,self_healing,1859,1968
101,Edvard,1893,1992
101,goo.gl_SsAhv,1998,2067
101,mR.ilchi,1871,1973
101,poopi,2180,2181
101,Cepera,1710,1836
101,balakrishnan,1846,1950
101,Xhark,1724,1849
101,Medium,2042,2086
101,pab2,2057,2094
101,it4.kp,1982,2042
101,package.zaic,1979,2039
101,msg555,2083,2105
101,uwi,2030,2071
101,ft.azadi,1985,2038
101,fmm,1681,1799
101,macs,1857,1945
101,GaoYusong,1739,1850
101,Zlobober,1925,1991
101,goryinyich,2011,2046
101,AndreySiunov,1824,1915
101,dreamoon_love_AA,2051,2068
101,siuvit,1805,1897
101,kennethsnow,1973,2015
101,LGM,1874,1946
101,Gerald,2205,2154
101,Erop,2041,2053
101,kormyshov,1668,1775
101,OgieKako,2021,2037
101,kilotaras,1961,1998
101,wcao,1909,1962
101,AleX,2128,2090
101,Soultaker,2094,2071
101,vitar,2114,2079
101,zaq1xsw2tktk,1887,1941
101,Slevin,1805,1881
101,phinfinity,1947,1978
101,cmd,1878,1931
101,botay,1862,1918
101,glassices,1789,1864
101,Piter,1757,1838
101,volkhin,1969,1984
101,Gassa,2220,2154
101,sankear,2140,2088
101,diver_ru,1853,1904
101,haker4o,1871,1915
101,Amtrix,1796,1861
101,knightL,1914,1940
101,sayuan,1855,1900
101,Unicorn,1744,1819
101,hydrastuff,1987,1981
101,eduardische,1890,1919
101,CherryTree,1990,1980
101,buko,1969,1964
101,SobolS,1794,1850
101,edward_mj,1821,1868
101,KADR,2103,2048
101,Igor_Kudryashov,2040,1997
101,Kenny_HORROR,2113,2055
101,kelvin,2015,1980
101,Dener,1960,1948
101,andre.linhares,2045,1998
101,Igel_SK,2075,2022
101,AntonDubovik,1660,1735
101,Rasifiel,1815,1852
101,havaliza,1940,1929
101,Xazker,1985,1952
101,---Grigor---,1753,1804
101,nevidomy,2057,2003
101,Commandos,1904,1902
101,subscriber,2041,1989
101,Oleg805,2000,1956
101,vlad107,1771,1811
101,azizkhan,1685,1744
101,Malinovsky239,1713,1764
101,zhouxingxing,2117,2049
101,frp,1716,1765
101,RaceBug,1656,1717
101,Fcdkbear,1935,1908
101,serbanstan,1863,1863
101,LinKin,1681,1733
101,mukel,1957,1915
101,Andrew_Makar,1773,1800
101,oversolver,1750,1783
