contest_id,handle,old_rating,new_rating
1119,ecnerwala,3116,3305
1119,tourist,3624,3628
1119,Um_nik,3541,3534
1119,Endagorion,2843,2989
1119,Petr,3330,3341
1119,mnbvmar,3280,3291
1119,sunset,3278,3278
1119,Rewinding,2790,2902
1119,yokozuna57,2525,2697
1119,realDonaldTrunp,2314,2535
1119,krijgertje,2788,2879
1119,yhx-12243,2339,2542
1119,lumibons,2473,2634
1119,leaf1415,2182,2419
1119,Arterm,2373,2552
1119,peltorator,2408,2573
1119,jonathanirvings,2567,2686
1119,lych_cys,2838,2884
1119,fateice,3071,3055
1119,vammadur,-39,1125
1119,MofK,2523,2636
1119,ksun48,3027,3012
1119,webmaster,2863,2886
1119,Kostroma,2681,2748
1119,hos.lyric,2541,2641
1119,neal,2758,2800
1119,Alex_2oo8,2700,2754
1119,TLEwpdus,2547,2638
1119,I_love_Tanya_Romanova,2796,2821
1119,E869120,2226,2399
1119,Subconscious,2598,2669
1119,Egor.Lifar,2428,2541
1119,Nazikk,2137,2329
1119,riantkb,2375,2499
1119,VArtem,2679,2721
1119,edisonhello,2289,2430
1119,fyy2603,2133,2318
1119,voidmax,2260,2406
1119,KMAASZRAA,2412,2516
1119,Rzepa,2415,2517
1119,Egor,2741,2756
1119,AFO_OFA,2378,2487
1119,allllekssssa,2176,2338
1119,Maksim1744,2103,2285
1119,NoLongerRed,2276,2407
1119,mareksom,2425,2515
1119,Itst,2280,2407
1119,TangentDay,2442,2523
1119,chenjb,2537,2594
1119,scanhex,2558,2608
1119,dreamoon_love_AA,2499,2563
1119,TimonKnigge,2351,2451
1119,tfg,2521,2576
1119,Sugar_fan,2311,2420
1119,_Happy_New_Year_,2456,2526
1119,Hazyknight,2370,2461
1119,Roundgod,2443,2514
1119,ania,2519,2569
1119,Xellos,2502,2555
1119,whzzt,2997,2923
1119,flying_fish,2143,2291
1119,djq_fpc,2218,2343
1119,hermano95,2200,2329
1119,fuppy,2175,2310
1119,ilyakor,2821,2785
1119,Cyanic,2444,2504
1119,kokokostya,2489,2537
1119,craborac,2624,2636
1119,cuizhuyefei,2523,2560
1119,Worteltje,2209,2327
1119,kf11,2049,2213
1119,kmjp,2566,2589
1119,zeliboba,2598,2611
1119,kobae964,2447,2499
1119,-14,2331,2411
1119,Reyna,2661,2656
1119,zemen,2811,2769
1119,orbitingflea,2746,2718
1119,SidneyEarth,2230,2335
1119,fedoseev.timofey,2160,2284
1119,chemthan,2505,2536
1119,why_no_girlfriend,2299,2383
1119,PinkieRabbit,2132,2260
1119,HanwhaEagles,2233,2333
1119,TLE,3083,2966
1119,athin,2275,2362
1119,Sonechko,2323,2396
1119,WA_TLE,2638,2630
1119,Rebelz,2238,2333
1119,jijiang,2356,2418
1119,majk,2844,2782
1119,gyz_gyz,2159,2273
1119,aid,2862,2794
1119,adadadd,1500,1821
1119,amnesiac_dusk,2283,2361
1119,BigBag,2544,2553
1119,teapotd,2167,2275
1119,zhouzhendongYa,2074,2208
1119,Sulfox,2273,2351
1119,rais.fathin38,2244,2329
1119,AndreySergunin,2658,2636
1119,RNG_XLB,1698,1944
1119,Toxel,2433,2466
1119,Jiangkangping,2216,2306
1119,gop2024,2381,2426
1119,Alice_foo_foo,2221,2308
1119,maximumSHOT,2202,2293
1119,cwy,2361,2409
1119,ismagilov.code,2294,2359
1119,riadwaw,2699,2661
1119,senpai_notice_me,2100,2216
1119,cjy2003,1994,2141
1119,-Wave-,2317,2374
1119,JOHNKRAM,2732,2683
1119,izban,2747,2694
1119,JiK,2445,2466
1119,T1duS,2122,2229
1119,amethyst0,2637,2608
1119,KrK,2675,2637
1119,ekrem,2118,2224
1119,icecuber,2358,2399
1119,RAVEman,2712,2664
1119,ouuan,2163,2255
1119,train_driver,2203,2284
1119,laofudasuanbaofushehui,2346,2387
1119,Tsukiko,2130,2229
1119,neko_nyaaaaaaaaaaaaaaaaa,2280,2338
1119,Ilya_MSU,2237,2306
1119,Tommyr7,2515,2512
1119,iehn,1757,1965
1119,DEGwer,2707,2655
1119,diko,2253,2316
1119,DW_Zhouyu,1889,2054
1119,Mr_Spade,2305,2353
1119,walnutwaldo20,2360,2393
1119,Zhukov_Dmitry,2507,2502
1119,luhong,2168,2251
1119,Hezhu,2680,2632
1119,never_giveup,2648,2607
1119,uwi,2916,2808
1119,RNS_CUS,2396,2417
1119,thebes,1999,2127
1119,pustaczek,2062,2172
1119,Qing_Yang,2131,2221
1119,TonySnark,2281,2330
1119,ATS,2722,2658
1119,waynetuinfor,2328,2363
1119,mayaohua2003,2440,2446
1119,panole,2422,2432
1119,Arturgo,2273,2321
1119,hank55663,2245,2300
1119,Jatana,2385,2403
1119,OMG_link,2110,2201
1119,gtrhetr,2407,2418
1119,DSG213,2212,2274
1119,sadovan,2126,2211
1119,cerberus97,2396,2409
1119,MrDindows,2779,2697
1119,ppc_qjd,2441,2442
1119,veckoper,1500,1777
1119,hugopm,2202,2264
1119,memset0c,2132,2213
1119,SLLN,2283,2323
1119,HXLLL,2224,2279
1119,Kilani,2187,2252
1119,Golovanov399,2594,2554
1119,zscoder,2730,2656
1119,heno239,2113,2196
1119,komendart,2286,2322
1119,InvUsr,2291,2325
1119,satanic0,2190,2251
1119,Als123,2130,2207
1119,Hyperbolic,2110,2192
1119,Farhod,2480,2465
1119,Jeel_Vaishnav,2193,2252
1119,noimi,2221,2271
1119,endereye,2001,2112
1119,sava-cska,2302,2331
