contest_id,handle,old_rating,new_rating
1428,Radewoosh,3205,3383
1428,Um_nik,3479,3538
1428,kczno1,2862,3043
1428,ecnerwala,3420,3446
1428,littlelittlehorse,2537,2768
1428,300iq,2880,3011
1428,gop2024,2944,3050
1428,ksun48,3465,3432
1428,neal,2837,2953
1428,maroonrk,3447,3404
1428,Benq,3549,3473
1428,Endagorion,2967,3032
1428,Errichto,2726,2847
1428,yosupo,3369,3324
1428,zeronumber,2899,2967
1428,Kilani,2510,2676
1428,Muffinhead,2456,2634
1428,244mhq,3012,3040
1428,Worteltje,2655,2771
1428,tfg,2754,2841
1428,Marcin_smu,2959,2991
1428,Amoo_Safar,2822,2886
1428,dreamoon_love_AA,2982,3002
1428,black_horse2014,2635,2742
1428,Egor,3116,3098
1428,duality,3037,3036
1428,uwi,2751,2820
1428,AliShahali1382,2437,2589
1428,kmjp,2598,2703
1428,krijgertje,2874,2905
1428,KevinWan,2541,2657
1428,Egg_Tart_Forest,2649,2734
1428,dario2994,2665,2744
1428,memset0c,2550,2658
1428,heno239,2699,2766
1428,aid,2885,2902
1428,weishenme,2556,2657
1428,kektus,2519,2628
1428,gyz_gyz,2538,2641
1428,kdh9949,2564,2658
1428,Sulfox,2651,2720
1428,Noam527,2781,2815
1428,ShadowLight,2416,2546
1428,Swistakk,2875,2882
1428,jumpmelon,2398,2530
1428,mtsd,2497,2600
1428,yzc2005,2407,2534
1428,antontrygubO_o,2648,2708
1428,dorijanlendvaj,2603,2674
1428,amnesiac_dusk,2607,2675
1428,KADR,2391,2517
1428,egor_bb,2555,2635
1428,kotamanegi,2742,2771
1428,KostasKostil,2541,2622
1428,Atreus,2535,2616
1428,thebes,2345,2478
1428,UnstoppableChillMachine,2433,2540
1428,SSRS_,2643,2692
1428,huhaoo,2354,2481
1428,almogwald,2515,2596
1428,gamegame,2905,2885
1428,Aleks5d,2536,2609
1428,TLEwpdus,2988,2945
1428,Hyperbolic,2251,2402
1428,cerberus97,2576,2636
1428,endless-chase,2654,2692
1428,rqi,2466,2553
1428,Sana,2604,2653
1428,budalnik,2709,2730
1428,tatyam,2875,2854
1428,tmwilliamlin168,2895,2868
1428,papa3,2187,2349
1428,kimjihoon,2526,2591
1428,amethyst0,2819,2808
1428,_h_,2758,2761
1428,RAVEman,2759,2761
1428,jdurie,2214,2363
1428,tob123,2435,2521
1428,olphe,2771,2768
1428,I_love_Tanya_Romanova,2702,2716
1428,800iq,2091,2274
1428,kostia244,2416,2504
1428,mohammedehab2002,2353,2457
1428,pwypeanut,2581,2623
1428,wrinx,2454,2529
1428,MagicSpark,2352,2454
1428,galen_colin,2583,2622
1428,BigBag,2585,2622
1428,fedoseev.timofey,2679,2692
1428,Shef,2608,2638
