contest_id,handle,old_rating,new_rating
509,___Accepted,1500,1787
509,reverseme,1500,1787
509,zhwzhw,1500,1787
509,attempt,1569,1752
509,Helgui,1647,1771
509,i_wanna_no_exams_fluever,1685,1778
509,Xenon,1447,1706
509,Necromancer,1500,1785
509,qwert_yuiop,1500,1785
509,NFF,1454,1709
509,Progmeistars,1452,1708
509,hzhwcmhf,1680,1775
509,wmx16835,1648,1768
509,HighWayToHeII,1607,1759
509,QAsQ,1377,1670
509,Fujun,1611,1759
509,SButterfly,1523,1733
509,Silver_SouI,1500,1782
509,FastMeat,1529,1735
509,J.T.J.L.,1553,1742
509,Lazar_Angelov,1660,1767
509,whai,1696,1773
509,gabig,1634,1761
509,pyru,1693,1771
509,ShiXingxing18,1500,1781
509,VladYagl,1583,1748
509,yaswanth,1551,1739
509,waItz7I9,1661,1765
509,yucanbao,1240,1581
509,DylanJiang,1524,1729
509,resuscitate,1436,1695
509,catlak_profesor_mfb,1657,1762
509,1995greatwall,1500,1778
509,zzcThomas,1636,1758
509,ml_mhl,1650,1759
509,silvavelosa,1368,1660
509,ruclion,1576,1742
509,Hsiung,1622,1753
509,lmlyz,1395,1673
509,sharat1105,1646,1757
509,luckdoor,1654,1758
509,MiC_KuB_03,1639,1755
509,raggzy,1500,1776
509,jhfjhfj1,1656,1757
509,____________________BMan,1644,1754
509,kaushik_iiitd,1623,1750
509,RatingBooster,1500,1775
509,KumarajivaLee,1516,1721
509,Ixia_,1594,1743
509,1101_,1659,1755
509,xiaoxiaobai,1696,1759
509,guanxin,1473,1704
509,593119681,1562,1733
509,pretorium,1520,1720
509,TLE,1629,1747
509,vignesh_m,1603,1742
509,dennisdaslim,1608,1743
509,abcde12345,1525,1721
509,kzoacn,1500,1771
509,konvpalto,1390,1665
509,gark87,1503,1712
509,Santa-Claus,1500,1770
509,farmerboy,1561,1729
509,xennygrimmato,1566,1730
509,conqueror_of_tourist,1602,1739
509,2609108028,1588,1735
509,tideline,1623,1742
509,dante1995,1507,1712
509,yashkumar18,1632,1743
509,jzh,1697,1750
509,120302508,1602,1736
509,vas.and.tor,1666,1746
509,HsnuRilak,1527,1716
509,xsxsxs,1500,1767
509,lambogeedeesh,1621,1738
509,suchdoubi,1500,1767
509,comet,1622,1738
509,Sword_Art,1575,1728
509,rvkonovalov,1500,1766
509,e-maxx.ru,1100,1460
509,rajat189,1580,1728
509,AlfredoJohnson,1391,1660
509,mukeshmit,1676,1742
509,legusta,1305,1612
509,diralik,1629,1736
509,ConcreteM,1644,1738
509,ChenRJ,1646,1737
509,nellex,1620,1733
509,StarWix,1660,1739
509,Gccc,1674,1739
509,nodim,1392,1658
509,w00t,1533,1712
509,pakhandi,1474,1693
509,smilewsw,1523,1708
509,asvikr,1366,1644
509,volverine,1623,1730
509,sutekine,1628,1731
509,sanket1729,1665,1735
509,Apt,1553,1715
509,mkmax472,1391,1655
509,guptakeshav,1543,1711
509,pratyaksh,1595,1723
509,BUPT_birdstorm,1545,1712
509,Z_silence,1505,1700
509,The_Royalty,1500,1760
509,Portugas,1349,1632
509,mwc123,1535,1707
509,Burbigo,1196,1532
509,benbbb1,1694,1732
509,sigkill-uw,1505,1698
509,wintermelon27,1430,1670
509,vivekmufc,1642,1727
509,RemmargorP,1511,1699
509,1403mashaonan,1501,1696
509,zerosequence,1617,1723
509,oilover,1576,1714
509,Oleh_Lamzin,1687,1729
509,grayhathacker,1504,1695
509,devanshdalal,1592,1717
509,mgajabi,1689,1727
509,loby,1519,1699
509,SmallBoy,1566,1711
509,Gilhirith,1528,1701
509,JAYS,1668,1724
509,codersan,1687,1725
509,vs13,1667,1724
509,nezametdinov,1600,1715
509,osank,1661,1722
509,temich,1662,1721
509,zhangxiaoxiaohao,1684,1722
509,SlaMandor,1668,1721
509,ilovemaohieudong_98,1322,1611
509,flyman3046,1483,1684
509,Sirojiddin,1499,1688
509,yuyan2do,1500,1751
509,ahbbxcy,1617,1714
509,Quimbee,1530,1696
509,farizazmip,1599,1710
509,kperminov,1500,1749
509,tazik,1466,1676
509,cntm1998,1509,1689
509,fourfire_dy,1557,1701
509,sum1ts1nha,1653,1715
509,therainmak3r,1537,1696
509,Alwahsh,1508,1688
509,Tira,1351,1623
509,ilidar,1469,1675
509,Iti,1440,1663
509,exqt,1395,1644
509,karan_thakkar,1312,1601
509,mahbubcseju,1551,1698
509,wangnick1999,1509,1686
509,magnickolas,1630,1709
509,tianchouczl,1610,1706
509,wateret,1533,1691
509,Raywzy,1562,1698
509,tarak,1421,1653
509,mahdigh,1468,1671
509,JoriQ,1633,1707
509,rootial,1663,1708
509,krish123,1370,1629
509,shantanushanto,1481,1674
509,wkind,1500,1743
509,shubhamprasad,1433,1657
509,cdkrot,1298,1589
509,code1freak9,1591,1699
509,lanjiongjiang,1028,1380
509,fpcsong,1473,1670
509,zhiqinzhan,1695,1705
509,mmaks,1412,1646
509,silly_girl,1552,1690
509,quailty,1644,1702
509,ankitaggarwal011,1472,1668
509,1067607,1578,1694
509,balabol,1405,1642
509,InfiniteCodeBattle,1656,1701
509,xRoms,1459,1663
509,ned_chu,1597,1696
509,amlansaha,1523,1681
509,zhoujiahui,1576,1691
509,Isaac,1633,1698
509,noor148,1520,1679
509,obsolescence,1528,1681
509,satyam,1441,1654
509,leeaa,1599,1693
509,Jidong,1345,1610
509,scf0920,1503,1673
509,Jagaa,1449,1656
509,haraduka,1651,1696
509,Solar,1592,1691
509,korun,1506,1673
509,anajin,1616,1692
509,myown1209,1654,1694
509,Uzef,1371,1622
509,E_Fantacy,1653,1693
509,I_Love_Hanh_Trinh,1650,1692
509,nielswiles,1590,1687
509,bhadra,1688,1692
509,WUI,1542,1679
509,ch.c,1400,1633
509,seninandrew,1500,1732
509,ZharkovGK,1604,1687
509,romagolchin,1359,1613
509,abbas,1563,1681
509,MatthewCheung,1478,1660
509,ugnthesea,1500,1731
509,Yamatan,1495,1665
509,manu1311,1595,1684
509,Isfandiyor,1444,1648
509,AlexandrShcherbakov,1471,1657
509,zhukov.ilya,1530,1672
509,sai16vicky,1679,1685
509,chinesejiang,1617,1684
509,xiaowenzi,1500,1729
509,madplanner,1413,1635
509,misterfourtytwo,1558,1676
509,DELETED_USER,1509,1665
509,tiinpeng,1500,1728
509,HASP,1667,1683
509,aniab,1500,1727
509,phoinikas,1500,1726
509,DaniilPlyushchenko,1484,1657
509,beingthan,1548,1672
509,pulkitrohan1,1276,1562
509,slowlight,1584,1676
509,DeWitt,1492,1658
509,shikharid,1477,1653
509,ERIC12138,1626,1679
509,khatribiru,1581,1674
509,Ununus,1578,1674
509,firming,1395,1622
509,loginef,1378,1615
509,_XuMuk_,1509,1660
509,arturas,1603,1675
509,Vesbat,1580,1672
509,brainylark,1521,1662
509,loserup,1550,1667
509,ShadowGorn,1622,1675
509,Shavkat_Aminov,1459,1644
509,diamond_boy,1500,1721
509,rui-de,1623,1673
509,alex_bucevschi,1560,1667
509,kut_ksr1994,1500,1721
509,AndreiBiruk,1541,1664
509,Alexsky,1673,1671
509,redoak,1572,1667
509,Aliir,1694,1670
509,Ra1nWarden,1508,1655
509,minimario,1495,1652
509,kut_kjb1994,1500,1719
509,freepvps,1557,1664
509,lby2013,1223,1521
509,rng__58,1436,1633
509,DeaphetS,1573,1665
509,mjkpl,1470,1643
509,hank55663,1636,1667
509,cielavenir,1686,1666
509,SEFI2,1613,1666
