contest_id,handle,old_rating,new_rating
538,bmerry,2673,2776
538,Egor,2598,2683
538,Petr,2973,2987
538,rng_58,2826,2849
538,scott_wu,2543,2609
538,jqdai0815,2688,2723
538,eatmore,2526,2590
538,atetubou,2299,2414
538,qwerty787788,2661,2696
538,niyaznigmatul,2788,2798
538,gs12117,2481,2551
538,W4yneb0t,2443,2521
538,JoeyWheeler,2462,2535
538,zxqfl,2541,2595
538,yeputons,2777,2780
538,BaconLi,2571,2616
538,Um_nik,2518,2574
538,KADR,2625,2656
538,pashka,2414,2493
538,kuviman,2356,2449
538,Alex_2oo8,2425,2500
538,kraskevich,2343,2438
538,I_love_Hoang_Yen,2394,2475
538,izban,2559,2598
538,Zhukov_Dmitry,2358,2447
538,snuke,2405,2481
538,Jacob,2375,2458
538,TeaPot,2662,2671
538,LHiC,2586,2613
538,anta,2443,2506
538,SirShokoladina,2499,2546
538,subscriber,2751,2731
538,surwdkgo,2283,2387
538,rowdark,2570,2595
538,ershov.stanislav,2500,2543
538,bidzilya,2293,2392
538,alpq654323,2531,2564
538,-XraY-,2540,2569
538,lawrenceli,1968,2164
538,HYPERHYPERHYPERCUBELOVER,2495,2535
538,kcm1700,2560,2582
538,stjepan,2583,2596
538,bayleef,2442,2494
538,AleX,2333,2416
538,ffao,2507,2539
538,piob,2627,2623
538,andrewzta,2466,2508
538,__math,2323,2406
538,stevenkplus,2283,2377
538,aid,2382,2446
538,enot110,2539,2555
538,Golovanov399,2126,2267
538,JeBeK,2410,2463
538,curs0r,2169,2296
538,mnbvmar,2653,2630
538,Ra16bit,2457,2494
538,Belonogov,2485,2512
538,aaaaajack,2318,2396
538,ballon,2500,2520
538,evima,2331,2404
538,Lewin,2389,2443
538,GlebsHP,2587,2576
538,uwi,2616,2594
538,HellKitsune,2283,2368
538,wangyisong1996,1948,2141
538,sdya,2779,2716
538,Leo_Yu,2251,2345
538,ikatanic,2650,2609
538,Nezzar,2011,2182
538,fruwajacybyk,2184,2298
538,yetii,2299,2375
538,harhrayr,2249,2340
538,Sampson,2344,2404
538,Al.Cash,2331,2394
538,matrix,2317,2384
538,Nerevar,2427,2457
538,slavik,2393,2433
538,I_love_Tanya_Romanova,2386,2428
538,Bobik,2434,2459
538,Haghani,2472,2482
538,Kepnu4,2292,2364
538,tonyjjw,2269,2348
538,malcolm,2376,2418
538,edorundo,2407,2437
538,matthew99,2202,2302
538,BSBandme,2374,2414
538,White_Bear,2233,2321
538,sigma425,2218,2311
538,ordcoder,2328,2382
538,zylber,2191,2292
538,tabasz,2356,2399
538,azizkhan,2547,2518
538,no_name_weak_vegetable,2121,2245
538,poopi,2406,2429
538,dj3500,2480,2476
538,KrK,2394,2419
538,ksun48,2164,2271
538,johnathan79717,2218,2306
538,kennethsnow,2440,2447
538,davidlee1999WTK,2085,2219
538,aropan,2419,2431
538,ACube,2262,2332
538,DemiGuo,2455,2451
538,Shapo,2433,2437
538,Ilya_MSU,2198,2289
538,zerokugi,2173,2272
538,danielfleischman,1815,2041
538,ngfam_kongu,2367,2394
538,pavel.savchenkov,2276,2336
538,vfleaking,2508,2477
538,NuM,2385,2403
538,shef_2318,2211,2294
538,2222,2277,2334
538,jetbeans,1500,1783
538,lnsuyn,2048,2189
538,satashun,1991,2152
538,zeliboba,2444,2434
538,IlyaLos,2373,2390
538,xtalclr,2184,2273
538,saketh,2293,2340
538,sabolaji,1883,2081
538,Life_is_like_a_boat,2242,2307
538,nfssdq,2072,2201
538,Goofy57,2054,2189
538,kolesov93,2484,2449
538,knightL,2345,2368
538,marat.snowbear,2295,2337
538,jcvb,2737,2655
538,albert96,2160,2253
538,KenKaneki,2045,2181
538,flydutchman,2591,2527
538,ashmelev,2463,2432
538,Igor_Kudryashov,2367,2376
538,paulwang,2115,2223
538,EbTech,2409,2399
538,adurysk,2238,2298
538,ctunoku,2234,2294
538,YerzhanU,2016,2159
538,tyamgin,2160,2248
538,Xiaodongdong,2173,2256
538,Nikitosh,2286,2323
538,aliasadiiii,2169,2252
538,tooweak,2137,2232
538,etal,1989,2140
538,AnnKats93,1819,2032
538,Nekosyndrome,1943,2111
538,dotorya,2065,2186
538,drazil,2059,2182
538,ondrah,1957,2119
538,chavit,2239,2290
538,Xellos,2350,2353
538,Emarci15,2122,2219
538,shevk,1922,2095
538,yuusti,2331,2340
538,Madiyar,2192,2259
538,fram,2225,2278
538,Martynas,1985,2134
538,oml1111,2184,2253
538,zdolna_kaczka,1925,2095
538,fenzhang,2240,2285
538,hlwt,2326,2333
538,Sergey.Bankevich,1910,2085
538,sergio3010,2238,2282
538,I_love_tigersugar,2304,2319
538,Syloviaely,2587,2514
538,yubowenok,2053,2171
538,Mikester,2021,2152
538,rausen,1906,2081
538,Salvare001,2106,2202
538,sd0061,2196,2254
538,al13n,2683,2596
538,razia_sultana,2251,2284
538,chnluyi,2059,2172
538,map,2403,2365
538,MrDindows,2152,2226
538,tmt514,2422,2373
538,Antoniuk,2205,2255
538,mgch,2401,2361
538,budalnik,2002,2136
538,Qwaz,2233,2270
538,anudeep2011,2006,2137
538,kolina,2059,2168
538,kmjp,2377,2346
538,minh141198,2146,2218
538,nathanajah,2260,2282
538,nonira321,1761,1984
538,komarov,2054,2163
538,a0666,1858,2045
538,yzyz,2020,2143
538,craftomaniac,1500,1768
538,Arti1990,2087,2181
538,VArtem,2643,2556
538,.I.,2252,2273
538,lucasmelo,2018,2139
538,KungA,2217,2253
538,sankear,2614,2530
538,fwm94,2119,2197
538,dzy97,2431,2373
538,gen,2317,2304
538,Hasan0540,2029,2144
538,PlayLikeNeverB4,2126,2199
538,rajabell,1500,1765
538,LLI_E_P_JI_O_K,2013,2133
538,arthur.nascimento,2347,2316
538,Chameleon2460,2103,2184
538,M.Mahdi,2147,2208
538,kawatea,2571,2491
538,ainta,2547,2470
538,azukun,2212,2242
538,pwild,2045,2149
538,Chitoge_Kirisaki,1753,1973
538,Mikan_Tsumiki,1500,1763
538,sokian,2213,2241
538,mexmans,2435,2373
538,mruxim,2252,2260
538,LayCurse,2623,2533
538,Niko,2068,2160
538,antonkov,2309,2289
538,ichyo,2213,2238
538,Lord_F,2295,2280
538,Krig,2275,2269
538,azneyes,2093,2171
538,Nero,2410,2350
538,gskhirtladze,2175,2215
538,kill-z,1912,2066
538,problem-solved,2073,2158
538,Konijntje,2191,2222
538,urusant,2073,2157
538,dalex,2050,2144
538,Koblyk,2073,2157
538,oversolver,2389,2330
538,KJBS2,1880,2045
538,FatalEagle,2284,2266
538,mhss,2115,2178
538,Johnny_2002,1953,2087
538,wanbo,2123,2181
538,Timur_Sitdikov,2262,2253
538,alex_world,2093,2164
538,vlyubin,1992,2108
538,rnsiehemt,1937,2076
538,waterfalls,2231,2235
538,w4r10ck,1754,1965
538,Jimanbanashi,1945,2080
538,gchebanov,2412,2347
538,qph-Jeremy,2165,2199
538,savinov,2210,2222
538,DiEvAl,1847,2021
538,BigBag,2091,2159
538,visanr,1953,2082
538,Milanin,2601,2507
538,diralik,1897,2049
538,el_sanchez,2197,2212
538,akulsareen,2039,2129
538,k21,2049,2134
538,Malinovsky239,2030,2123
538,Witalia,2062,2140
538,desert97,2014,2113
538,DmitriyH,1941,2072
538,fetetriste,2112,2165
538,ABalobanov,2243,2231
538,Swistakk,2515,2431
538,BekzhanKassenov,1858,2023
538,LiTi,2334,2278
538,ydc,2409,2341
538,kuzmichev_dima,2067,2140
538,KarlisS,2188,2200
538,Taube,2159,2185
538,Manul,1870,2028
538,Solaris,2295,2249
538,Tehnar,2112,2160
538,PattS,2021,2112
538,tudort,2162,2184
538,NVAL,2234,2219
538,Timus,1799,1985
538,JayYe,2122,2163
538,Balseraph,2014,2106
538,VladaMG98,2042,2121
538,pacu,2081,2141
538,SamanSami,2255,2225
538,TheDarkKnight989,1849,2013
538,ZJiaQ,2120,2159
538,JohnPaulII,2104,2151
538,Maestr0,2087,2142
538,mbrc,1914,2049
538,odorf,2082,2138
538,keyvankhademi,2025,2108
538,Laakeri,2306,2250
538,scipianus,2165,2178
538,maxkvant,2102,2147
538,randomusername,2113,2152
538,kalimm,1911,2045
538,hey_boris,1983,2084
538,sereja589,1733,1940
538,Logic_zys,2171,2178
538,nuip,2175,2180
538,ko_osaga,2139,2163
538,Kreyyy,2098,2141
538,k1nval,1976,2078
538,xosmig,1995,2088
538,maximumSHOT,1786,1970
538,yurboss,2019,2099
538,m.raszyk,2160,2169
538,A.Elahi,2168,2172
538,yyfmaster,2156,2166
538,Eyelids,2097,2137
538,koci,1877,2021
538,Hocok,1277,1600
538,josdas,2228,2197
538,kingofnumbers,2083,2129
