contest_id,handle,old_rating,new_rating
571,subscriber,2761,2873
571,snuke,2601,2708
571,Endagorion,2621,2706
571,zemen,2445,2557
571,mR.ilchi,2567,2647
571,KAN,2774,2807
571,LHiC,2572,2645
571,Burunduk1,2319,2448
571,TeaPot,2600,2663
571,Swistakk,2661,2708
571,MrDindows,2446,2542
571,RAVEman,2615,2669
571,VArtem,2598,2654
571,VladGavrila,2301,2428
571,FatalEagle,2342,2458
571,darknstd,2101,2273
571,tmt514,2447,2534
571,iridescent,2421,2513
571,ershov.stanislav,2505,2574
571,aaaaajack,2341,2451
571,Hezhu,2141,2300
571,RomaWhite,2593,2633
571,mmaxio,2569,2614
571,HYPERHYPERHYPERCUBELOVER,2494,2558
571,vlad107,2502,2563
571,KenKaneki,2175,2321
571,zylber,2364,2460
571,2222,2479,2542
571,savinov,2404,2487
571,Laakeri,2355,2450
571,slavik,2323,2426
571,Errichto,2385,2470
571,pparys,2061,2229
571,.o.,2573,2598
571,Um_nik,2663,2656
571,mgch,2273,2385
571,Egor,2632,2631
571,Petr,3127,3029
571,mnbvmar,2544,2569
571,Shtrix,1963,2148
571,tabasz,2208,2333
571,Andrei1998,2141,2283
571,Radewoosh,2310,2404
571,skrydg,2199,2323
571,I_love_Tanya_Romanova,2515,2541
571,dnkywin,2347,2426
571,Golovanov399,2383,2450
571,W4yneb0t,2695,2647
571,slycelote,2318,2403
571,ksun48,2375,2441
571,I_love_tigersugar,2409,2462
571,JayBryant,2147,2279
571,sugim48,2311,2394
571,Merkurev,2758,2694
571,HellKitsune,2470,2497
571,vilcheuski,2069,2218
571,Shapo,2558,2549
571,KungA,2283,2370
571,Enchom,2308,2385
571,IvL,2441,2471
571,Shef,2417,2455
571,eddy1021,2113,2246
571,White_Bear,2206,2311
571,_h_,2076,2217
571,LayCurse,2337,2398
571,Timur_Keks,2145,2266
571,NuM,2314,2381
571,I_love_Hoang_Yen,2587,2546
571,creatnx,1990,2150
571,sdya,2705,2638
571,Eurekash,2075,2211
571,ilyakor,2482,2480
571,zxqfl,2514,2497
571,ballon,2465,2467
571,Auster,2167,2274
571,Aidos,2136,2251
571,Lord_F,2177,2279
571,muratt,1967,2126
571,pflueger,2123,2240
571,poopi,2290,2352
571,aid,2387,2411
571,HidenoriS,2052,2187
571,KADR,2767,2683
571,-XraY-,2545,2496
571,ssmike,2297,2351
571,WCG,2201,2287
571,zxozxo4,1922,2086
571,Taube,2267,2329
571,.I.,2057,2185
571,lexuanan,1838,2017
571,ecnerwala,2704,2625
571,alexey.enkov,2291,2341
571,laoriu,2289,2337
571,Rxcso,1923,2082
571,matrix,2323,2356
571,Alex_2oo8,2494,2451
571,xuhaike,1916,2075
571,mareksom,2368,2379
571,PauGra,2051,2174
571,Solaris,2220,2287
571,Fdg,2496,2447
571,Quang,2031,2159
571,AlirezaN,1978,2118
571,mhy12345,1931,2082
571,uwi,2552,2489
571,marat.snowbear,2448,2414
571,adurysk,2186,2259
571,PrinceOfPersia,2258,2303
571,Timur_Sitdikov,2306,2332
571,Landertxu,2221,2278
571,Tyg3R,2009,2136
571,knightL,2457,2410
571,ohweonfire,2104,2200
571,bekzhan97,1758,1937
571,TankEngineer,2634,2554
571,cchao,2217,2270
571,Belonogov,2348,2346
571,paulwang,2316,2328
571,nfssdq,2199,2257
571,danilka.pro,2292,2311
571,ggoh,1866,2022
571,Tsutsukakushi.Tsukiko,1782,1953
571,evima,2348,2340
571,waterfall,2048,2153
571,maxkvant,2233,2272
571,witua,2293,2306
571,Philae,2135,2210
571,a0666,2006,2121
571,CyberQuantum,1733,1908
571,teleport,2329,2323
571,fnch,1706,1884
571,BSBandme,2187,2238
571,desert97,2361,2335
571,Ferathorn,2058,2153
571,Jimanbanashi,2211,2249
571,lych123,1954,2079
571,gpoesia,2010,2118
571,JoeyWheeler,2482,2416
571,Phronesis,2076,2161
571,carabet.cosmin,1979,2094
571,weekend1997,1771,1934
571,gen,2103,2177
571,Roms,1872,2013
571,bayleef,2498,2428
571,geniucos,2351,2318
571,BigBag,1944,2065
571,macs,2126,2187
571,bicsi,2026,2121
571,Lelby,1869,2008
571,Kirishima,1931,2053
571,Ilya_MSU,2404,2347
571,Mikester,2084,2157
571,chaos_king,2072,2149
571,zhsh,2038,2125
571,qingping95,1720,1884
571,bardek,2319,2289
571,YerzhanU,2235,2243
571,ngfam_kongu,2383,2327
571,AnnKats93,2012,2104
571,Ximera,1951,2062
571,matthew99,2350,2301
571,akaiNeko,1942,2054
571,Tinsane,1954,2061
571,yao11617,1803,1948
571,vml,2139,2181
571,Nicolas16,2341,2290
571,ZhNV,2219,2225
571,undercover_rg,1838,1973
571,ed1d1a8d,1913,2028
