contest_id,handle,old_rating,new_rating
578,Um_nik,2657,2779
578,Egor,2631,2723
578,Endagorion,2644,2714
578,-XraY-,2496,2589
578,zhwzhw,2302,2439
578,RomaWhite,2616,2670
578,ershov.stanislav,2470,2557
578,subscriber,2860,2857
578,jiry_2,2364,2476
578,JoeyWheeler,2325,2447
578,uwi,2448,2535
578,jcvb,2669,2698
578,chffy,2307,2431
578,TankEngineer,2622,2659
578,ainta,2309,2430
578,Kostroma,2432,2517
578,ngfam_kongu,2272,2402
578,zeliboba,2386,2482
578,W4yneb0t,2526,2580
578,maksay,2194,2345
578,kriii,2399,2487
578,V--o_o--V,2602,2629
578,step5,2412,2494
578,Marcin_smu,2869,2808
578,mmaxio,2483,2541
578,mruxim,2444,2512
578,bugCollector,1753,2018
578,snuke,2645,2647
578,IvL,2390,2471
578,chipchip3412,2218,2354
578,yzyz,2184,2329
578,darnley,2265,2383
578,Arterm,2375,2456
578,Swistakk,2633,2627
578,ACRush,2669,2648
578,SirShokoladina,2694,2662
578,eddy1021,2291,2397
578,zerokugi,2387,2459
578,Gullesnuffs,2518,2543
578,KFDong,2224,2348
578,Sampson,2350,2431
578,Haghani,2615,2600
578,dotorya,2370,2442
578,matthew99,2277,2380
578,zdolna_kaczka,2205,2331
578,ania,2095,2257
578,dolphinigle,2334,2414
578,tyamgin,2071,2240
578,Fdg,2322,2404
578,malcolm,2304,2391
578,zyf940104357,1739,1996
578,ikatanic,2524,2527
578,fksquare,2105,2259
578,Vedensky,2094,2251
578,CNWSYCF,2067,2232
578,mirecek3,1719,1978
578,mathlover,2202,2319
578,Alex_2oo8,2429,2461
578,arthur.nascimento,2126,2268
578,Golovanov399,2377,2426
578,HFoFNK8qZHobzGBd,1972,2164
578,zxozxo4,2101,2250
578,Konijntje,2245,2341
578,Belonogov,2503,2496
578,sd0061,2424,2449
578,2222,2561,2526
578,Babanin_Ivan,2007,2185
578,Reyna,2035,2203
578,stevenkplus,2521,2499
578,Copymaster,2473,2472
578,saketh,2394,2424
578,GinghouLuk,1998,2176
578,Nikitosh,2346,2394
578,I_dont_have_girlfriend,2188,2296
578,sivukhin,2334,2384
578,ExfJoe,2046,2205
578,quailty,1906,2110
578,-imc-,2142,2264
578,sugim48,2482,2463
578,Delfad0r,2103,2239
578,espr1t,2018,2184
578,MrDindows,2559,2498
578,rng_50216,2110,2241
578,flashmt,2118,2245
578,egor_bb,2268,2335
578,osmanorhan,1876,2084
578,tomriddly,2041,2195
578,yarek,2224,2308
578,JayYe,2135,2254
578,akaiNeko,2054,2201
578,eha,2010,2173
578,Nero,2377,2391
578,zemen,2626,2548
578,Aidos,2183,2277
578,aid,2317,2353
578,HellKitsune,2301,2343
578,Shapo,2548,2480
578,BaconLi,2591,2515
578,Alona,1976,2145
578,rnsiehemt,2053,2194
578,Quang,2261,2316
578,darry140,2045,2187
578,inverfate,1898,2090
578,paulwang,2421,2398
578,Glance,1997,2155
578,StefanoT,2259,2310
578,islands,1863,2064
578,dnvtmf,2159,2252
578,pwild,2247,2301
578,catupper,2293,2325
