contest_id,handle,old_rating,new_rating
673,.o.,1420,1831
673,Herzu,1500,1848
673,co_farmer,1778,2010
673,TDL9,1500,1815
673,polingy,1865,2046
673,Amber00_Chen,1801,1993
673,smurty,1691,1911
673,I_am_sorry_000001,1625,1862
673,MPeti,1863,2017
673,e19-un,1822,1984
673,trunghai95,1827,1983
673,Farhod,1848,1993
673,flatline,1851,1992
673,lunawyll,1848,1986
673,andyshih12,1562,1790
673,sahasumit288,1542,1774
673,eanacra,1865,1989
673,naij,1835,1965
673,unprost,1707,1874
673,AlisherZ,1660,1840
673,NibNalin,1512,1742
673,LightRay,1780,1915
673,greedyTaiga,1564,1770
673,Ununus,1589,1784
673,xuancheng,1880,1981
673,jihoon,1789,1915
673,Supply,1840,1949
673,victor97,1873,1970
673,comfi,1823,1933
673,--d,1704,1850
673,fnch,1873,1966
673,veschii_nevstrui,1812,1921
673,vrobert,1813,1920
673,Sun_For_Life,1844,1940
673,MiC_KuB_03,1808,1914
673,adsz,1709,1844
673,hj929,1656,1807
673,aka.Sohieb,1780,1890
673,Beresta,1881,1960
673,Sora233,1553,1734
673,qscqesze7,1430,1655
673,Ancient_mage,1859,1941
673,ace_pocket,1739,1855
673,MohamedZain,1758,1867
673,zubaer.kh,1832,1918
673,Lingsong,1838,1921
673,hashlife,1805,1896
673,joaogui1,1575,1739
673,jk_qq,1893,1957
673,ZeroShadow,1858,1930
673,zoomswk,1630,1772
673,gauravbansal20,1767,1865
673,anubhav11,1666,1795
673,ZhouXingXings,1522,1698
673,PiffNP,1576,1732
673,shanin,1880,1941
673,nikolayterek,1640,1772
673,Theodor1000,1823,1899
673,cong741,1683,1800
673,Semenar,1541,1705
673,yyyyyyffffff,1726,1827
673,dev.plvlml,1658,1781
673,I_Love_MohseN,1824,1895
673,zzblack,1745,1839
673,ermolmak,1892,1943
673,Sergiu,1758,1846
673,Trans,1868,1924
673,Twishkle.Aevdark,1676,1787
673,ilya_ust,1793,1869
673,lzsz1212,1715,1813
673,skyreal,1785,1862
673,leecs0503,1816,1883
673,jcg,1699,1800
673,alishaterian,1630,1750
673,kshj78,1694,1794
673,sazzach,1840,1897
673,harryapotter,1624,1746
673,Augustynn,1763,1841
673,luoxinchen,1788,1858
673,grandrogue,1601,1728
673,allllekssssa,1764,1840
673,kwazar,1764,1839
673,reccy168,1871,1915
673,Albafica,1738,1820
673,ynq1242,1863,1907
673,ctylim,1680,1778
673,f1u77y,1825,1880
673,5_Apm,1543,1684
673,IHaveInt,1841,1890
673,uc-nuts,1712,1798
673,ZigonK,1656,1758
673,yp155136,1288,1522
673,llaugusty,1758,1828
673,RoundheadOFF,1845,1890
673,dhrumil140396,1799,1856
673,xman1024,1687,1777
673,anta.baka,1500,1651
673,Instasamka,1895,1923
673,mihaiI,1760,1826
673,rickytheta,1791,1848
673,SkullKnight,1544,1677
673,busydog15,1518,1660
673,ctwkji671,1687,1773
673,kronos96,1728,1801
673,Wuvin,1572,1694
673,fofao_funk,1822,1866
673,kongroo,1842,1881
673,sempav,1872,1902
673,merolish,1828,1870
673,ned_chu,1812,1858
673,kzyKT,1738,1805
673,kimnoic,1755,1816
673,Omar_Mekkawy,1735,1802
673,hld67890,1752,1813
673,Kasparyan_Mikhail,1806,1851
673,lethehaiau,1749,1810
673,yang1999422,1535,1663
673,depevlad,1740,1802
673,Zoli9,1871,1896
673,ikid_Hoang,1830,1866
673,cugel,1778,1828
673,szszsz,1857,1885
673,Al2K,1802,1845
673,Hu_huhuhuhuhuhu,1604,1705
673,NNSpasic,1879,1900
673,Grzmot,1533,1657
673,junie,1647,1734
673,Anadi,1787,1832
673,splucs,1563,1675
673,TangentDay,1730,1790
673,paruki,1801,1840
673,arif.ozturk,1537,1657
673,I.Smirn0ff,1804,1842
673,mehrankhodabandeh,1602,1700
673,saharshluthra,1632,1720
673,Blade,1675,1749
673,MiteshAgrawal,1756,1806
673,__Wind,1703,1768
673,Dutzul,1723,1781
673,-is-this-fft-,1792,1830
673,maxxaon,1859,1879
673,samiemad,1854,1875
673,2013302530078,1701,1764
673,bharsi,1724,1780
673,TrungChi,1559,1666
673,out_of_the_box,1805,1837
673,Alex_PKZDL,1831,1856
673,k_sudharsan,1655,1730
673,luras_oil2,1822,1848
673,Fsss,1680,1747
673,Latens,1794,1827
673,Domonion,1673,1741
673,windrises,1785,1820
673,kmisura123,1666,1735
673,team404,1779,1815
673,artisticoder,1400,1557
673,KenjiH,1724,1775
673,Peacalm,1603,1690
673,LoppA,1489,1613
673,RoyYuan,1474,1603
673,Julek,1840,1858
673,Auto,1715,1767
673,asteri,1753,1793
673,HannaYzade,1736,1781
673,LeiQ,1712,1764
673,AnnaVeronika,1540,1645
673,moonflyer,1808,1832
673,ruban,1597,1683
673,amano,1759,1796
673,sultazat,1757,1794
673,ershivasoni,1477,1601
673,kverti98,1698,1752
673,anti_tourist,1575,1666
673,biltharesatyendra,1478,1600
673,Amr.Ayman,1585,1672
673,Guliash,1884,1885
673,DeshiBasara,1621,1696
673,a_g2009,1745,1783
673,rchehab,1670,1729
673,If_Only,1693,1745
673,maha1192,1865,1869
673,KhalidRamadan,1437,1571
673,Seku,1728,1769
673,mbaros,1623,1695
673,tanmay273,1712,1757
673,emotionles,1699,1748
673,ho-jo-bo-ro-lo,1716,1759
673,ivankrut856,1774,1800
673,carlyu,1500,1610
673,mutreta,1824,1837
673,shjwudp,1808,1825
673,naumazeredo,1677,1730
673,yanek,1807,1823
673,Arg_007,1690,1739
673,smiken,1708,1751
673,skavurskaa,1669,1723
673,KyntsevichVova,1860,1861
673,nroets,1539,1633
673,estelle0500,1508,1612
673,Hepic_Antony_Skarlatos,1697,1742
673,notetake,1670,1722
673,Hiasat,1618,1685
673,shubhamgoyal__,1749,1778
673,konjo_p,1860,1859
673,Xrite,1702,1744
673,HeathcliffAC,1606,1676
673,beihai2013,1786,1804
673,Nicola95,1858,1857
673,gkavitha,1401,1538
673,1A2012,1576,1654
673,martins,1548,1635
673,mehrunesartem,1737,1767
673,mccastro,1799,1812
673,rogerioagjr,1800,1812
673,tuanhv5,1523,1617
673,ganeshk2,1835,1837
673,ordan,1683,1727
673,D_Luffy,1695,1735
673,mr_justadog,1780,1796
673,mahmud2690,1858,1853
673,caoyu01,1589,1660
673,WTL,1700,1738
673,andwho,1832,1833
673,mahdigh,1618,1679
673,Cozma_Tudor,1733,1761
673,arshu,1619,1679
673,mostafa_9a7c2,1740,1765
673,zeppelin,1488,1589
673,areke,1659,1706
673,tahmidhamim,1733,1759
673,barashek-be-be,1500,1596
673,Z_silence,1715,1746
673,kaq,1760,1778
673,sasshoumaru,1536,1620
673,HalfBloodPrince,1485,1585
673,ThePontiacBandit,1581,1650
673,zeroxf,1683,1721
673,naruto,1738,1761
673,sonjoydabnath,1635,1687
673,Qwerty132,1850,1843
673,A.Magdy7,1537,1619
673,yanQval,1888,1870
673,DaemonGinger,1587,1652
673,NutelIa,1543,1622
673,kperminov,1809,1811
