contest_id,handle,old_rating,new_rating
738,Ralsei,1855,2116
738,NotDeep94,1820,2060
738,ecvlco397,1849,2061
738,kongroo,1885,2073
738,meeeep,1763,1978
738,shlw,1750,1961
738,ddddddpppppp,1594,1851
738,1100011101,1820,1995
738,hdi,1497,1778
738,innok96,1882,2028
738,fanzhirui,1584,1823
738,devilplus,1664,1871
738,amethyst3,1861,2001
738,IgorSmirnov,1747,1919
738,sjtsjt,1736,1908
738,jseo,1773,1930
738,DysKode,1724,1894
738,Igorjan94,1863,1987
738,sds3031,1897,2009
738,nevernow1,1500,1740
738,Abhedyam,1783,1924
738,hanxueshui,1857,1973
738,Danial,1744,1893
738,popovicirobert,1686,1851
738,Megabyte,1697,1855
738,Naduxa,1849,1960
738,kakalan,1742,1884
738,9mmlitswe,1840,1950
738,wittyskull,1804,1923
738,skdudn12378,1811,1926
738,katan,1644,1811
738,jDomantas,1874,1967
738,Olaf,1783,1902
738,Fuuuuuuuuuuuuuuuck,1579,1763
738,Kyle_Chi,1760,1883
738,palayutmV0,1652,1808
738,AliD,1880,1965
738,takamoto,1892,1972
738,PKUItachi,1708,1842
738,ZhouRunlong,1657,1806
738,KeyurJain,1715,1844
738,pr3pony,1823,1918
738,shanin,1785,1890
738,Mucosolvan,1816,1911
738,BledDest,1866,1945
738,samuelfgs,1764,1872
738,ssw20002,1589,1753
738,YoungPhoenix,1794,1891
738,00001,1801,1895
738,compiler_101,1695,1820
738,hojoon0205,1633,1778
738,Ahmad1,1892,1957
738,h10_is_our_red_son,1500,1689
738,daga,1708,1825
738,liumh8,1800,1888
738,Man,1834,1911
738,Mohammad_Kartoumeh,1671,1797
738,SirNickolas,1752,1852
738,mxzf0213,1681,1802
738,zhed,1326,1576
738,Carlosopher,1676,1797
738,safarisoul,1742,1842
738,UncleGrandpa,1859,1923
738,ConnorZhong,1785,1870
738,Trem,1500,1678
738,Tiny,1764,1854
738,Hiasat,1804,1881
738,twangal,1768,1855
738,xiaoSuSu,1722,1822
738,philologist,1699,1806
738,ZiyaZa,1636,1762
738,Acuion,1588,1729
738,aka.Sohieb,1869,1923
738,Vosatorp,1859,1915
738,fsshakkhor,1804,1875
738,bgkcym931,1835,1897
738,Gilmour,1731,1823
738,kyonrevens,1612,1741
738,lucaasdamaso,1517,1678
738,PedramAghazadeh,1848,1903
738,bvd,1806,1873
738,rogeri,1630,1750
738,ThePilgrim,1783,1855
738,Eson,1801,1867
738,alexwice,1670,1775
738,user3301,1651,1762
738,ycdfwzy,1765,1840
738,hitokoto,1855,1904
738,Took,1780,1849
738,GooZy,1687,1784
738,hiromi_ayase,1629,1744
738,Andriy77,1639,1750
738,papa3,1860,1904
738,Kerim.K,1788,1852
738,Daikon,1707,1795
738,Minology,1762,1833
738,FallDream,1677,1773
738,vvenkai,1770,1837
738,Ice_Cream,1634,1742
738,alex_bucevschi,1621,1733
738,AMR-KELEG,1637,1743
738,BENYAM1N,1880,1914
738,nobystander,1597,1715
738,puru,1766,1831
738,zhuaiballl,1706,1789
738,YourRatzon,1646,1747
738,ntd275,1464,1626
738,Sunnat,1841,1883
738,pakh,1702,1784
738,capythm,1720,1796
738,whzzt,1865,1899
738,matheusataidee,1873,1903
738,only_one_year,1581,1698
738,IfPossibleAgainInTheLife,1758,1820
738,zzx123,1540,1671
738,defias,1736,1804
738,Mohammad.Sj,1788,1841
738,ZloyNegr,1709,1784
738,nonamefour0210,1507,1648
738,just_soso,1713,1786
738,morejarphone_1,1822,1863
738,DorMOUSE-None,1745,1808
738,masonsbro,1870,1897
738,innocent_egg,1759,1817
738,STommydx,1855,1885
738,mavd09,1730,1795
738,hieutrungle,1500,1639
738,AcPlusOne,1787,1835
738,Rudy1444,1708,1779
738,phoinikas,1789,1836
738,yurahuna,1783,1831
738,femto16,1794,1838
738,PrimePassion,1613,1711
738,fengdalu,1711,1779
738,OMG_wc,1738,1797
738,Sophie,1745,1802
738,BitHashTech,1755,1808
738,briansu,1637,1726
738,baqargam,1765,1815
738,tfg,1675,1751
738,SamuelTangz,1736,1793
738,ParhamMLK,1691,1761
738,RAF,1887,1902
738,vontman,1820,1852
738,weakman,1680,1752
738,MengLan,1474,1614
738,lawfung,1716,1777
738,CZWin32768,1769,1814
738,JABAIY,1690,1758
