contest_id,handle,old_rating,new_rating
765,Merkurev,2755,2971
765,Radewoosh,2751,2926
765,666sb666,1931,2324
765,V--o_o--V,3232,3238
765,Shik,2806,2912
765,Belonogov,2602,2754
765,tomasz.kociumaka,2613,2752
765,darry140,2216,2458
765,subscriber,2749,2835
765,jiaqiyang,2532,2671
765,krock21,2034,2306
765,Errichto,2545,2663
765,khadaev,2514,2641
765,RomaWhite,2994,2988
765,xiaowuc1,2295,2472
765,y0105w49,2494,2613
765,enot110,2683,2747
765,MrDindows,2558,2652
765,_Reborn_,2090,2307
765,ainta,2994,2967
765,Hoi_koro,1983,2224
765,zxqfl,2610,2676
765,SanSiroWaltz,2411,2527
765,Al.Cash,2506,2594
765,riadwaw,2779,2793
765,tomsyp,2270,2416
765,kingofnumbers,2320,2450
765,johnchen902,2472,2559
765,mnbvmar,3066,2999
765,Wild_Hamster,2085,2271
765,vintage_Vlad_Makeev,2629,2667
765,khokho,1950,2170
765,biGinNer,2230,2369
765,Ahmad_Elsagheer,2153,2311
765,gskhirtladze,2244,2375
765,paulwang,2195,2337
765,FatalEagle,2815,2795
765,Moe,2179,2322
765,alex.velea,2312,2418
765,reew2n,1845,2079
765,t1016d,2193,2327
765,Kostroma,2562,2597
765,pashka,2656,2665
765,mareksom,2209,2333
765,MathCrusader,2085,2239
765,Perforator,2196,2320
765,Mikester,2405,2473
765,saketh,2573,2596
765,HellKitsune,2717,2703
765,kokokostya,2046,2205
765,knightL,2473,2518
765,gongy,2222,2331
765,chemthan,2232,2336
765,anta,2840,2789
765,rxdoi,2465,2506
765,Taube,2212,2318
765,.o.,2545,2562
765,andyshih12,1917,2102
765,ilyakor,2805,2756
765,Akulen,1946,2120
765,mindol,2127,2249
765,PItS,1500,1813
765,huzecong,2121,2242
765,deMatos,1940,2111
765,uwi,2775,2727
765,gkevinyen5418,2012,2160
765,TLEwpdus,1500,1807
765,bicsi,2442,2474
765,Sammarize,2168,2270
765,Oleg_Smirnov,2134,2244
765,Whalanator,2211,2300
765,alecsyde,2282,2351
765,akashin,2062,2188
765,gog.gerard,2128,2235
765,adamant,2255,2328
765,guille,2346,2395
765,I_love_Tanya_Romanova,2857,2778
765,Laakeri,2589,2574
765,AkaneSasu,2135,2236
765,simonlindholm,2373,2411
765,budalnik,2474,2485
765,albert96,2394,2425
765,ItsLastDay,2154,2246
765,DEGwer,2597,2575
765,littlesheep2014,1788,1982
765,lexuanan,2150,2240
765,bidzilya,2387,2415
765,simulator,2227,2295
765,sslotin,2158,2244
765,Restar,1912,2065
765,Remilia-Scarlet1,2225,2292
765,SaveVMK,2155,2239
765,pwypeanut,2470,2472
765,takamoto,1941,2082
765,frankbozar,2008,2129
765,NVAL,2535,2519
765,pikapikachu,1870,2029
765,imxian,2078,2178
765,niike0goood,2004,2123
765,Baklazan,2364,2388
765,ihopenot,1739,1935
765,-XraY-,2755,2681
765,wiwitrifai,2075,2172
765,Shayan,2129,2211
765,ikbal,2041,2146
765,IceCocoa,2044,2147
765,maxplus,2199,2260
765,piouscity,1962,2087
765,fgcos,1914,2052
765,amsen,1943,2072
765,yokozuna57,2370,2385
765,.I.,2054,2150
765,tomerun,2260,2301
765,balakrishnan,2086,2172
765,sluki,1978,2093
765,hogloid,2586,2544
765,csgo,1500,1762
765,ershov.stanislav,2908,2789
765,mmaxio,2640,2583
765,cdkrot,2036,2131
765,percywtc,2190,2244
765,CorrelationDecay,2231,2274
765,Snukle,1944,2064
765,Kurpilyansky,2316,2336
765,gasin,2051,2139
765,Dragos,1984,2091
765,YerzhanU,1963,2075
765,platypus179,2188,2239
765,mHuman,2163,2220
765,this_isssssyy,2126,2192
765,rantd,1953,2065
765,cerberus97,1923,2043
765,klinchuh,2011,2106
765,HMAXS,2047,2131
765,_ISA_,1917,2037
765,Ixia_,1968,2073
765,Orenji.Sora,2013,2105
765,laurageorgescu,1866,1998
765,Vladyslav,2354,2356
765,dwjshift,2106,2171
765,sugim48,2498,2464
765,kuzmichev_dima,2084,2154
765,tundra,2155,2206
765,Kaban-5,2420,2403
765,Ioser,2276,2295
765,MadNick,2144,2196
765,geniucos,2756,2656
765,bvqrzb640,1618,1821
765,IMAN_GH,2196,2233
765,aid,2801,2689
765,Instasamka,2100,2161
765,sancho,2176,2217
765,Andrei1998,2592,2529
765,KrK,2401,2384
765,latte0119,2376,2365
765,Tiny,1928,2034
765,KyleYoung,1994,2081
765,Tebak_Siapa_Aku,1987,2075
765,fanzhirui,2044,2116
765,Noureldin,1973,2064
765,fnch,2039,2111
765,CarrieM7,1802,1941
765,mraron,1773,1920
765,robinyu,2168,2205
765,palayutmV0,1994,2077
765,DreamAct,1500,1732
765,chihiro,2011,2088
765,ayaze,2305,2305
765,F.Darcy,1669,1844
765,Spylft,1993,2074
765,Amayoneko,1782,1922
765,Lewin,2226,2245
765,dAC.,1910,2012
765,Chenhongkan,1877,1988
765,UESTC_Sphinx,2010,2084
765,ditoly,2109,2156
765,613,2087,2139
765,flpt0x,1898,2001
765,fiver,1877,1986
765,WildUtah,1964,2048
765,Philipsweng,2053,2113
765,zedyz,1708,1865
765,koci,2059,2116
765,Swistakk,2616,2533
765,fxxl,1500,1722
765,Dream-Reality,1975,2054
765,Yurik,1900,1999
765,Darkdawn,1810,1934
765,sjj118,2036,2097
765,hzq84621,2239,2247
765,Farhod,1909,2004
765,superwatermelon,1661,1828
765,noor049,1696,1852
765,bsnipers,1925,2014
765,TerryMcGinnis,1925,2014
765,ajinkya1p3,2021,2083
765,rajat1603,2449,2402
765,bas,1875,1976
765,Na2a,2216,2226
765,jasonvictoryan,2110,2147
765,Hujiwara,2398,2362
765,FenWick,1500,1714
765,shjgkwo,1751,1886
765,LeiQ,1950,2028
765,yao11617,1911,1999
765,shanin,1714,1859
765,Kroma,1787,1910
765,BitHashTech,1963,2036
765,Ketsui,2014,2073
765,Dylans,2395,2357
765,Cyber,1833,1941
765,voover,2503,2437
765,Deemo,2592,2504
765,YxuanwKeith,1936,2014
765,Nhemisirmkow,1542,1737
765,k1nval,1968,2037
765,dzj123,1692,1839
765,NEU20133823,1915,1997
765,Wuvin,2084,2120
765,nuip,2360,2327
765,darksmith,1591,1768
765,ei133333,2014,2068
765,Eric94,1782,1900
765,300iq,1963,2030
765,Gewery,1951,2021
765,shadowfax,1730,1862
765,Chloe_fan,2064,2103
765,Nurlykhan,2046,2089
765,QAsQ,2017,2068
765,Rusu,1858,1952
765,liumh8,2162,2174
765,King,1835,1935
765,ysy_win_ioi,2170,2180
765,helloworldaplusb,1962,2026
765,pekempey,2362,2323
765,forever97.,1862,1953
765,DorMOUSE-None,1867,1956
765,SkyDec,2772,2634
765,NegaTeeF,2192,2194
765,rng_58,3030,2836
765,VictorXie,2053,2090
765,Ali.Kh,1783,1894
765,TLE,2510,2433
765,Marcin_smu,2866,2706
765,yashar_sb_sb,1979,2034
765,SoMuchDrama,2053,2088
765,alex700,2210,2205
765,Hasan0540,2058,2091
765,kaspers,2012,2057
765,dom,1695,1829
765,unused,2332,2296
765,toilanvd_KAIST,2099,2121
765,izban,2836,2680
765,Krydom_Yuudachi,1852,1939
765,konmaj,1838,1929
765,qingczha,2228,2216
765,awoo,1821,1916
765,rubabredwan,2020,2060
765,corwinn,1638,1786
