contest_id,handle,old_rating,new_rating
782,LCM,1888,2155
782,orzfang,1876,2115
782,LoveYayoi,1872,2093
782,AStepanov,1859,2071
782,2ez4me,1659,1925
782,syaro,1788,2003
782,tonykky,1785,1994
782,1e18,1895,2064
782,Morokei,1722,1940
782,maups,1638,1879
782,jaskowo,1500,1786
782,ZYQN,1875,2031
782,phan_trinh,1539,1803
782,ccsnoopy,1831,1993
782,aliris,1839,1996
782,boba5551,1876,2019
782,saliii,1870,2012
782,Amayoneko,1837,1986
782,Jha_The_ME_Coder,1539,1784
782,LLI_E_P_JI_O_K,1878,2010
782,sienmich,1804,1955
782,Shavkat_Aminov,1882,2008
782,YES_RPG,1500,1750
782,y553546436,1847,1979
782,mashiron,1579,1796
782,StillFantasy,1647,1839
782,hamayanhamayan,1873,1992
782,DonutsDose_,1567,1783
782,miha715lev,1774,1919
782,ehsanoo,1765,1911
782,XuYipei,1763,1908
782,YangHong,1815,1943
782,Leyla,1814,1941
782,xiaolaogou,1810,1937
782,ConnorZhong,1884,1987
782,Inhibitor,1864,1972
782,leoly,1864,1969
782,expl0si0nn,1874,1976
782,Androik,1820,1937
782,alex-kozinov,1835,1946
782,ordan,1892,1985
782,MrMirotic,1761,1892
782,kolansburg,1600,1783
782,zendo,1828,1937
782,songtoy,1506,1720
782,Barichek,1835,1939
782,krinkin.m,1882,1972
782,xrdog,1865,1959
782,cadenza,1775,1894
782,TianyiChen,1808,1916
782,NormanXpp,1883,1968
782,Mustang98,1830,1930
782,LochNess,1875,1960
782,Dipak,1805,1910
782,NikitaMikhaylov,1899,1976
782,MuratKhayrulin,1832,1928
782,TiliTim,1607,1772
782,yuanxinyu402,1880,1960
782,abacabadabacabaeabacaba,1699,1833
782,doooodle,1889,1965
782,shaheen_bd,1689,1824
782,chenzezheng,1818,1913
782,Petru,1782,1887
782,shllhs,1812,1907
782,Omar_Mekkawy,1695,1825
782,ott.andrey.ao,1690,1821
782,qweiop77,1711,1834
782,Vicennial,1645,1789
782,4yn,1713,1834
782,XenoAmess,1813,1903
782,Vvalter,1817,1905
782,Austin_Griffin,1770,1871
782,BagInCode,1516,1700
782,shy_visitor,1847,1924
782,mr_justadog,1735,1844
782,rotavirus,1814,1900
782,Valiors,1582,1740
782,nevgen,1864,1934
782,Rpd-Strike,1816,1899
782,MahmoudSayed,1594,1746
782,blueshitgod,1738,1843
782,Gmacem,1814,1896
782,Umi,1896,1954
782,Shying,1544,1711
782,vstrimaitis,1513,1690
782,caojiangxia,1515,1691
782,DysKode,1795,1879
782,NutelIa,1772,1863
782,xzyxzy,1799,1881
782,evg-zhabotinsky,1749,1845
782,philologist,1778,1865
782,AhmedHamed,1802,1881
782,TwoFx,1707,1815
782,GiraffeCoder,1866,1925
782,pjgblt,1832,1901
782,already_last,1837,1904
782,dy0607,1653,1775
782,RoadTo9k,1727,1826
782,luoyb,1799,1876
782,vitconkut3,1802,1877
782,AsLongAs,1881,1933
782,garnacha,1630,1757
782,rommy,1834,1898
782,Vitalya,1782,1861
782,K_Y_M_bl_C,1839,1901
782,balalaika,1578,1720
782,bohuss,1722,1817
782,sheepp,1736,1827
782,paruki,1872,1923
782,Kuyan,1870,1921
782,bvd,1826,1889
782,Shtrix,1872,1921
782,chessmaster,1647,1763
782,n_knuu,1803,1871
782,aspimp,1640,1757
782,Lixiang666,1512,1672
782,RedStone,1758,1838
782,shravanpatel5,1708,1803
782,Milad,1769,1845
782,Planaria,1695,1792
782,mikcorer,1720,1810
782,artisticoder,1846,1898
782,lnovak,1835,1890
782,vilim_l,1846,1897
782,shatovoleg,1683,1782
782,Fire_man,1533,1681
782,softmob,1891,1929
782,_luckyE,1563,1700
782,cdsfcesf,1734,1816
782,RedNextCentury,1865,1909
782,Matrix.code,1844,1893
782,tri,1776,1844
782,Shizuo,1827,1880
782,GG.jpg,1754,1828
782,april1994,1823,1876
782,Prateek1996,1776,1843
782,Poilkxx,1741,1817
782,foyaz05,1630,1740
782,Digwener,1529,1672
782,rhezo,1872,1910
782,praveen97,1475,1636
782,Lusajfer,1742,1816
782,dyf,1777,1840
782,cicicici,1773,1837
782,sunset1995,1782,1843
782,bas,1796,1853
782,Kinderr,1850,1891
782,ainfokinwidya,1707,1789
782,GonzaloCao,1744,1815
782,I_love_Codechef,1779,1839
782,partiallyfinite,1645,1746
782,songzz,1579,1700
782,SlavaSSU,1785,1843
782,LeXofLeviafan,1500,1647
782,ctrasd,1543,1675
782,shubhamgoyal__,1888,1916
782,PengsenMao,1830,1874
782,Akaisora,1794,1847
782,Nanami_ChiaKi,1737,1807
782,poietes,1722,1796
782,amit_shah,1605,1715
782,pkk.tino,1718,1792
782,LbyG,1872,1902
782,tfg,1804,1853
782,DAyamaCTF,1592,1704
782,xy20130630,1500,1643
782,Istarchick,1563,1684
782,Jori,1498,1641
782,Adel_SaadEddin,1520,1655
782,tiagomontalvao,1766,1823
782,devanshg27,1834,1872
782,TooObvious,1711,1784
782,Acarus,1580,1694
782,CatVzhuh,1730,1797
782,Moonlit_Rose,1500,1640
782,LinPC,1886,1908
782,nksheokand,1652,1741
782,Panole23333333,1708,1780
782,banany2001,1521,1652
782,just_soso,1838,1872
782,jenkhai,1743,1804
782,NGUYEN_THANH_LOI,1547,1668
782,Waschbar,1558,1675
782,CrafterKolyan,1722,1788
782,Allanur,1870,1894
782,deva2802,1652,1738
782,enosha_slexsy,1478,1621
782,yurim,1886,1905
782,kolkulator,1688,1763
782,yp155136,1822,1858
782,vovuh,1761,1813
782,GandS,1678,1754
782,guptautkarsh028,1620,1714
782,hardworkingtush,1367,1548
782,pr0grammer,1791,1834
782,sttwopage,1781,1826
782,_Dragon_,1898,1911
782,tinca_matei,1817,1851
782,Sema17,1382,1556
782,zhabo,1820,1853
782,trmango,1841,1868
782,koganeser,1671,1747
782,zhouyuyang,1732,1789
