contest_id,handle,old_rating,new_rating
807,ltaravilse,1859,2124
807,btk15049,1815,2062
807,RCG,1664,1941
807,SUSTechDFS,1622,1901
807,hieutrungle,1718,1953
807,shjgkwo,1722,1948
807,Reskip,1877,2047
807,pittoresque,1796,1984
807,RoundDog,1873,2032
807,I_always_love_cc,1886,2037
807,estelle0500,1867,2019
807,edwardjrolls,1837,1994
807,olphe,1743,1925
807,lucaasdamaso,1889,2023
807,ruhan.habib39,1899,2027
807,bssanches,1895,2021
807,toysmars,1425,1707
807,metowolf,1701,1881
807,Hiasat,1767,1923
807,FreeJ,1651,1843
807,saba2000,1864,1986
807,poikniok,1876,1992
807,chenjb,1589,1795
807,MyLeg,1884,1994
807,ujzwt4it,1712,1873
807,Mucosolvan,1772,1912
807,BohdanPastuschak,1749,1894
807,Mohammad_Yasser,1741,1887
807,DmitriyH,1898,1995
807,sdnr1,1889,1987
807,anelderly,1476,1706
807,gantheory,1725,1869
807,YuChang,1689,1843
807,sunghoo,1652,1816
807,elio,1819,1930
807,ian9696,1839,1943
807,I_love_Thao_Vy,1785,1903
807,HIT_TOM,1712,1852
807,I_hate_my_color,1895,1978
807,Piotr,1500,1710
807,ronisds,1672,1821
807,oipotato,1782,1895
807,N_bu,1610,1777
807,miha715lev,1750,1871
807,dukilee,1752,1871
807,scottScott,1840,1931
807,lxambulance,1661,1806
807,Au-Rikka,1731,1853
807,longhuenchan,1879,1956
807,dened,1864,1944
807,qguaihudou,1473,1679
807,sggutier,1850,1932
807,_LeMur_,1715,1837
807,PhanTrinh,1887,1957
807,stfd,1732,1847
807,AnatolyTolstobrov,1873,1945
807,TaTaPiH,1858,1933
807,LLI_E_P_JI_O_K,1831,1913
807,Stelutzu,1575,1737
807,Rim.K,1868,1938
807,MishaPrigara,1697,1817
807,Roooooo,1779,1873
807,sjq,1761,1860
807,dthangnguyen19,1664,1792
807,TwoFx,1784,1874
807,tonykky,1809,1891
807,overlord4,1849,1919
807,one-punch_man,1635,1770
807,pbt17,1535,1703
807,FelixMP,1550,1712
807,Kirundel,1645,1774
807,awoo,1893,1947
807,OMS,1697,1808
807,bookguy,1500,1676
807,Flavius,1847,1912
807,Mjgonzales,1849,1913
807,hamko,1739,1834
807,neander,1651,1773
807,lsantire,1832,1898
807,Kurt,1723,1821
807,danick,1772,1855
807,walnutwaldo20,1534,1692
807,Ashishgup,1841,1902
807,trungnq,1654,1771
807,Daniar,1843,1902
807,kazel,1842,1901
807,nanu,1843,1901
807,Danlark,1877,1925
807,prophet_ov_darkness,1892,1935
807,SpOleM,1815,1880
807,Guy,1857,1908
807,Minaa,1542,1691
807,bi11a1,1713,1806
807,KhaledMuhammad,1720,1810
807,EromangaSensei,1500,1662
807,sup_bro,1778,1850
807,sharepoLOVEDDD,1621,1741
807,maxxaon,1870,1915
807,AragakiAyase,1831,1886
807,equocredite,1852,1901
807,toomas,1817,1875
807,quotitquot,1513,1666
807,receed,1817,1874
807,eanacra,1844,1893
807,AcInfinity,1643,1751
807,malfple,1707,1795
807,yellowthundercat,1857,1901
807,omar22,1672,1770
807,Allanur,1659,1760
807,Dmitriy.Belichenko,1618,1732
807,SlowDecay,1871,1909
807,Ali.Kh,1741,1816
807,RAMBO_tejasv,1638,1744
807,Erdenebayar,1839,1884
807,NutelIa,1805,1860
807,ehnryx,1449,1617
807,chpipis,1783,1843
807,ahmedselmi,1229,1481
807,zadrga,1828,1874
807,bharathg,1675,1766
807,Rzepa,1712,1791
807,Hemanth_1,1480,1634
807,Agreb,1547,1678
807,Kharouba,1712,1790
807,Seif,1654,1748
807,_chi_,1590,1704
807,Spark003,1500,1645
807,mak_0111,1803,1852
807,_VanGogh_,1372,1562
807,Neverauskas,1807,1854
807,lauer,1641,1737
807,DigiM,1865,1896
807,Code.Ali,1500,1642
807,RockyB,1749,1811
807,waynetuinfor,1662,1750
807,pedrosorio,1770,1826
807,Reventon,1828,1866
807,meridional,1783,1834
807,fauzdar65,1805,1849
807,mohit6143,1565,1682
807,Reem,1726,1792
807,dipta007,1741,1803
807,HardNut,1414,1582
807,paroothisumit95,1667,1750
807,meek,1696,1770
807,khatribiru,1890,1908
807,yashkumar18,1836,1868
807,skydog,1669,1749
807,mahmud2690,1761,1814
807,l21561,1728,1790
807,n_knuu,1836,1866
807,babin,1544,1662
807,kobortor,1795,1836
807,Mustafa.,1624,1716
807,rsola,1833,1864
807,mateuscgc,1628,1718
807,Testoviron,1784,1827
807,Deathly_Hallows,1805,1842
807,mrz,1638,1723
807,AshishYadav,1803,1840
807,ThanhSon_,1519,1643
807,conalmittal,1559,1669
807,baobab,1601,1697
807,gaurav_gehlot,1647,1729
807,Mahir83,1606,1700
807,Vergara,1789,1828
807,IuriG,1659,1735
807,akatkov,1545,1658
807,dprokopenko,1734,1788
807,Firastic,1602,1695
807,milenkoviclazar,1588,1686
807,Baneling3,1500,1625
807,King,1819,1847
807,nirvana,1632,1715
807,draak_krijger,1823,1850
807,HereToDisappoint,1858,1875
807,Bug,1462,1600
807,kpbochenek,1711,1769
807,Carson,1641,1719
807,smu201111192,1888,1896
807,Wholewheatbread,1660,1732
807,fonmagnus,1601,1691
807,volverine,1649,1723
807,xen,1801,1831
807,dbroodryk,1659,1729
807,renadeen,1811,1838
807,darkkcyan,1890,1895
807,AryanSM,1763,1802
807,hmrockstar,1637,1713
807,3EVEHAR_KOAVA,1513,1629
807,KFC_wc,1656,1726
807,smtcoder,1420,1567
807,Hardik.decoder,1583,1675
807,kilimanjaro2,1556,1655
807,satylogin,1675,1738
807,_42,1884,1888
807,tapopadma,1537,1642
807,U_Square,1629,1705
807,ShihoMiyano,1500,1617
807,Zharaskhan,1846,1859
807,Ron_Chen,1713,1763
807,AleXman111,1885,1887
807,BitHashTech,1770,1803
807,Tanmoy1228,1542,1644
807,rubmary,1767,1800
807,mohamedeltair,1594,1678
807,hqwhuang,1549,1647
807,kyrylhol,1451,1582
807,AmrMorsy2,1697,1749
807,Wchabh,1631,1703
807,dyf,1872,1875
807,Jumaboyev_Davlatmurod,1454,1582
807,KillerBeer,1324,1499
807,YourRatzon,1662,1723
807,chakku,1535,1635
807,descrip,1644,1710
807,lahm07,1680,1735
807,Alexxx,1577,1663
807,KK_Mr.BEAN,1786,1810
807,codenious,1434,1567
807,Jeremy1149,1525,1627
807,lebowski998,1670,1726
807,sschilke,1582,1665
807,caprariuap,1358,1517
807,hogeover30,1770,1797
807,mi_,1497,1607
807,0xFED,1800,1819
807,Protap_Ghose,1704,1749
807,Alvee9,1674,1728
807,thphong,1769,1795
807,2oo7,1727,1765
807,Piccolo,1850,1854
