contest_id,handle,old_rating,new_rating
828,ccz181078,1500,1898
828,_rqy,1509,1872
828,houruize,1876,2099
828,_Is_It_Rated_,1500,1834
828,liutianyi000,1835,2046
828,limuyang01,1728,1964
828,misztsu,1754,1975
828,Nson,1657,1903
828,yashChandnani,1580,1847
828,bharsi,1829,2010
828,0MRailgun,1808,1991
828,SidneyMars,1680,1899
828,mutreta,1863,2022
828,rommy,1774,1956
828,Worg,1794,1967
828,Vegito,1703,1901
828,gabrielsimoes,1767,1942
828,Rzepa,1777,1947
828,deva2802,1797,1958
828,VladaMG98,1827,1977
828,MiteshAgrawal,1819,1969
828,ikyrre,1763,1927
828,malfple,1795,1948
828,sonika,1671,1860
828,Gediminas,1670,1858
828,RamiZk,1765,1921
828,_relax_,1500,1743
828,bridgecat,1703,1875
828,__ea,1650,1837
828,CepryH9,1861,1982
828,pro100leo,1833,1960
828,RockyB,1818,1948
828,Iriskinn,1716,1876
828,Mhammad1,1489,1724
828,Savaw,1839,1959
828,gentoo_root,1858,1971
828,ide4list,1738,1885
828,Nooor,1716,1869
828,wyydream,1790,1919
828,dkuzminov,1457,1695
828,Hippskill,1762,1897
828,K.F.,1467,1699
828,Fekete,1857,1962
828,antkhorin,1853,1958
828,papa-ka-para,1661,1823
828,Double_O,1817,1930
828,Shizuo,1807,1922
828,nksheokand,1641,1806
828,knok16,1817,1927
828,ujjwal9895,1727,1863
828,DebNatkh,1893,1979
828,KichhuMichhu,1731,1864
828,wafemand,1850,1946
828,stefansav,1734,1864
828,krzysiek27,1711,1847
828,Yurik,1858,1950
828,tttnns1024,1500,1704
828,_Ash__,1820,1921
828,Neverauskas,1799,1905
828,yakamoz,1688,1826
828,AkshajK,1872,1955
828,Coder_404,1867,1951
828,Barsic,1784,1891
828,Misha100896,1873,1954
828,ME_AJUUUUUDAAA,1644,1792
828,sigkill-uw,1852,1937
828,cabinfever,1843,1930
828,TheConfessor,1819,1912
828,VladProg,1589,1752
828,dantrag,1734,1850
828,matnakash,1540,1719
828,code_witcher,1751,1861
828,Miteusz,1851,1932
828,lujaca,1736,1849
828,Kharouba,1796,1891
828,ambi_dextrous,1568,1733
828,smu201111192,1766,1868
828,jack_zstu,1643,1782
828,jvmusin,1758,1861
828,Mahdi_Jfri,1634,1775
828,Mohammad_Kartoumeh,1658,1791
828,The_Unbeatable,1571,1731
828,philologist,1825,1907
828,nike_007,1500,1684
828,P0LyFish,1716,1828
828,SpoonsAN,1839,1915
828,f1u77y,1667,1793
828,RSBat,1724,1832
828,blau,1593,1742
828,Mustafa.,1680,1800
828,csegura,1844,1916
828,5N1P3R_B0T,1796,1881
828,E.M.T.,1802,1884
828,pa4o,1771,1862
828,Harsh424jan,1539,1702
828,mpanyavin,1656,1780
828,Mikaeel,1582,1730
828,Mikhniuk,1693,1805
828,m.saadat,1472,1656
828,chaxy_2000,1694,1805
828,rareone0602,1648,1772
828,Mstdream,1500,1673
828,CoffeeDog,1500,1672
828,Anti_Nhi_Thuan,1628,1757
828,rainboy,1788,1868
828,bartkaw,1544,1700
828,kimbbakar,1680,1791
828,anshul96gupta,1800,1875
828,keko37,1734,1828
828,Ali.Kh,1876,1929
828,ehnryx,1617,1746
828,peto159,1732,1825
828,jxcakak,1500,1667
828,webalorn,1626,1751
828,Soroush,1562,1707
828,blak_dragon,1701,1802
828,Scut22,1661,1773
828,RVyrodov,1859,1913
828,andy627,1545,1694
828,ziedom,1815,1881
828,playfox,1573,1712
828,Ranis,1814,1879
828,KK_Mr.BEAN,1848,1903
828,TheWayISteppedOutTheCar,1552,1696
828,haojie_chen,1699,1796
828,Emiliatan,1811,1875
828,nona1314,1659,1768
828,solaimanope,1832,1890
828,kissgergely,1829,1887
828,weeping_1,1547,1690
828,ShinobuOshino,1500,1659
828,GabiTulba,1617,1737
828,conquer,1500,1658
828,duliang,1459,1630
828,zssky,1788,1855
828,I_love_Aditi,1486,1648
828,suwuqiang,1627,1741
828,Amoo_Hashem_Mehraban,1657,1762
828,Annie2212,1402,1592
828,Wholewheatbread,1704,1794
828,the_an0nym0us,1406,1594
828,mailo102,1630,1741
828,mk_Shahriar,1718,1802
828,stabmind,1693,1784
828,ankurdhir111,1757,1829
828,TRiddle,1666,1765
828,lzuqer,1688,1780
828,PashaChemerys,1766,1835
828,hrushikesht,1587,1709
828,LinPC,1891,1925
828,yang825641085,1735,1812
828,iit_sujal,1661,1759
828,dlalswp25,1595,1713
828,Cr0wley,1868,1906
828,toxzi,1823,1873
828,rprtr258,1561,1689
828,Poptree,1766,1832
828,pmarecki,1677,1768
828,angelg,1746,1817
828,zx2003,1734,1808
828,sbckvnl,1500,1647
828,sonlh07,1795,1851
828,ovis96,1704,1786
828,Danial,1707,1787
828,thomasdo,1438,1605
828,skolandrik,1754,1820
828,Kniaz,1824,1870
828,heello,1775,1834
828,thiagocarvp,1712,1789
828,bigcrunch,1814,1862
828,Pretest,1474,1626
828,24cell,1764,1825
828,LetsHurtTonight,1595,1706
828,ShockProof,1745,1811
828,Cacoa,1623,1725
828,tin_ibig,1437,1601
828,shashwat7,1817,1862
828,Azret,1754,1816
828,slayerx,1880,1907
828,DatVu,1695,1774
828,popovicirobert,1791,1842
828,forhayley,1667,1753
828,dastan,1700,1776
828,Minaa,1669,1754
828,receed,1840,1876
828,chrome,1719,1789
828,2oo7,1754,1814
828,satylogin,1777,1830
828,nikhilhassija,1730,1796
828,seventh,1507,1642
828,Spiritum,1601,1705
828,ppavic,1679,1759
828,green_frog,1766,1821
828,_grandmaster_,1604,1706
828,lnovak,1711,1781
828,kolansburg,1764,1818
828,okio,1689,1764
828,greenSnail,1418,1581
828,ebaalhuis,1694,1767
828,Svlad_Cjelli,1811,1851
828,predelnik,1770,1821
828,ChickenInKitchen,1793,1838
828,dl1997,1500,1633
828,mikcorer,1771,1821
828,eviebot,1503,1635
828,despair,1772,1821
828,I_Love_Watermelon,1688,1761
828,Perfectxx,1558,1671
828,mihalykoandras,1546,1662
828,ltf0501,1457,1603
828,mrEDitor,1612,1707
828,minhnpqrs,1734,1792
828,micangela,1841,1870
828,hitman623,1845,1872
828,latvian,1618,1710
828,l21561,1838,1867
828,BARPITF,1420,1577
828,zhussupov,1411,1571
828,Saber_Excalibur,1846,1871
828,kaq,1899,1911
828,kusumit,1714,1776
828,If_Only,1777,1821
828,tiagob.reis,1881,1897
828,harryoooooooooo,1434,1584
828,sangria,1500,1626
828,BlackGiraffe,1885,1899
828,fonmagnus,1535,1650
828,sheykh,1235,1460
828,nitesh_gupta,1690,1757
828,BekzhanKassenov,1747,1797
828,Piccolo,1818,1849
828,sbansal3096,1810,1842
828,GT_18,1690,1756
828,slimshura,1836,1861
828,ultrasonic360,1500,1624
828,Megumi_,1804,1837
828,droneKingxiiiiiiiDaddy,1700,1761
828,NYAT0T,1469,1603
828,ruban,1728,1781
828,Protap_Ghose,1675,1743
828,pantw,1574,1673
828,Kengreville,1796,1830
828,yorohit,1405,1560
828,honya121,1775,1814
828,DarkAssassin,1527,1640
828,derbaer,1740,1788
828,P___,1704,1762
828,lzl65826,1898,1904
828,etiennerossignol,1673,1740
828,iamstg,1730,1780
828,vishal4556,1724,1776
828,Meternal,1627,1707
828,16silver,1610,1695
828,Niflheimr,1500,1620
828,Marckess,1542,1648
828,stevie1024,1660,1729
828,SuchLifeMuchWow,1500,1619
828,Qwertenx,1770,1808
828,noelnadal,1741,1786
828,Holidin,1865,1877
828,sarkysaurabh,1591,1680
828,FLDutchman,1503,1620
828,Xrite,1869,1879
828,bnorbert,1471,1598
828,Canoeing,1572,1666
828,JoseAcv2,1760,1799
828,netflix,1614,1694
828,Antygenius,1444,1579
828,dush1729,1625,1702
828,Seven_zk,1651,1720
828,Yo_Lo,1731,1777
