contest_id,handle,old_rating,new_rating
850,BaconLi,2633,2876
850,dreamoon_love_AA,2711,2887
850,sd0061,2496,2706
850,W4yneb0t,3226,3218
850,Um_nik,2992,3032
850,mnbvmar,2989,3018
850,SkyDec,2786,2859
850,Rafbill,2486,2632
850,chitanda,2280,2475
850,budalnik,2296,2479
850,fkguyx042,2428,2567
850,Anadi,2322,2484
850,MemS,2304,2465
850,V--o_o--V,2912,2905
850,yfzcsc,2165,2357
850,J.T.J.L.,2267,2424
850,shanquan2,2034,2260
850,HYPERHYPERHYPERCUBELOVER,2919,2894
850,al13n,2855,2843
850,gtwgtw,2053,2260
850,Andrew_Makar,2326,2445
850,Radewoosh,3148,3053
850,zscoder,2434,2517
850,Swistakk,2652,2675
850,Binary-grid-colouring,2051,2241
850,eddy1021,2704,2708
850,shb123,2226,2355
850,300iq,2361,2449
850,hogloid,2666,2672
850,Kaban-5,2490,2539
850,jtnydv25,1933,2149
850,Wild_Hamster,2208,2329
850,MohamedZain,2009,2192
850,unused,2474,2518
850,natsugiri,2679,2668
850,irkstepanov,2181,2301
850,matthew99,2894,2826
850,ACRush,2872,2808
850,oipotato,2041,2199
850,TeaPot,2623,2616
850,ygmngm817,2247,2337
850,cjtoribio,2202,2303
850,ljsss,2132,2253
850,Hujiwara,2198,2297
850,Phronesis,2384,2430
850,yancouto,2299,2366
850,Endagorion,2777,2720
850,kalimm,2238,2318
850,acyume,1920,2103
850,dai,2136,2243
850,ainta,2711,2665
850,ksun48,2788,2721
850,ayaze,2197,2281
850,Ilya_MSU,2280,2339
850,frankbozar,1902,2082
850,khadaev,2459,2468
850,radoslav11,2205,2281
850,Nero,2550,2534
850,BigBag,2290,2340
850,--d,2496,2489
850,never_giveup,2337,2371
850,abeker,2247,2304
850,WA_TLE,2203,2271
850,mHuman,2086,2188
850,noor049,2166,2243
850,wakaka,2296,2335
850,mosfjh,1994,2123
850,junie,2034,2148
850,wiwitrifai,2210,2268
850,Totoro,2451,2445
850,LochNess,2156,2228
850,sqrtdecompton,2125,2205
850,SirShokoladina,2804,2709
850,triploblastic,2140,2213
850,VladaMG98,2103,2186
850,cephian,2114,2193
850,Baba,2157,2222
850,dnvtmf,1955,2084
850,cxaphoenix,2200,2250
850,shadowatyy,2178,2231
850,sunjam,2316,2332
850,faebdc,2375,2376
850,I_love_Miyukine,1996,2105
850,glebushka98,2170,2224
850,rtilikay,1955,2076
850,zeliboba,2701,2618
850,nguyenthibanh,2165,2217
850,kmjp,2570,2517
850,jvjhfhg,1994,2097
850,Aeon,2043,2129
850,Luqman,2052,2134
850,mmaxio,2742,2644
850,yasugongshang,2030,2117
850,ShinriiTin,2134,2188
850,joyfun,2145,2195
850,nigus,2160,2205
850,M.Mahdi,2396,2378
850,RamTararam,2185,2221
850,Grunt,2092,2154
850,chenjb,2063,2133
850,guille,2273,2283
850,AndreySergunin,2367,2352
850,DraZxlNDdt,2063,2130
850,ajs97,1977,2071
850,ivan100sic,2348,2336
850,Egor.Lifar,2124,2169
850,Amayoneko,2086,2143
850,Tian.Xie,2100,2151
850,BitHashTech,1920,2029
850,Barichek,2030,2101
850,1100011101,2007,2085
850,mnaeraxr,2375,2351
850,meeeep,2121,2162
850,Tehnar,2110,2154
850,AllCatsAreBeautiful,2481,2429
850,aytel,2156,2185
850,CoDeRoK,1996,2071
