contest_id,handle,old_rating,new_rating
867,laizenan,1763,2049
867,PSMao,1809,2048
867,lqs2015,1855,2062
867,Ahmed_Abdellah,1800,2010
867,kr_abhinav,1749,1964
867,Chenghiz,1857,2031
867,ChickenInKitchen,1835,2008
867,Roundgod,1763,1952
867,proofbycontradiction,1583,1826
867,rashish2202,1675,1882
867,Harsh424jan,1810,1970
867,maxxaon,1636,1847
867,laughinging,1724,1902
867,cadenza,1844,1982
867,Perfectxx,1555,1783
867,NADAF,1840,1973
867,Geothermal,1552,1775
867,smartandlean,1685,1860
867,Kaitokid,1419,1685
867,MegaBidoof,1844,1965
867,SKYLlNE,1721,1877
867,Franklyn_W,1870,1979
867,Efina,1500,1726
867,riverwalk7,1500,1724
867,TosiekJunior4ever,1500,1722
867,pedroteosousa,1719,1865
867,Shlyapnik41lv,1663,1825
867,Kreyyy,1816,1929
867,dwivedi,1756,1885
867,Deanamic_Programming,1779,1897
867,VLamarca,1671,1822
867,manu1311,1860,1954
867,John_Weak,1724,1857
867,JustInCase,1711,1846
867,pra_15,1565,1747
867,mtollini,1409,1646
867,xcdxcdxcd,1869,1953
867,kdedovich,1788,1894
867,Kilani,1876,1956
867,iwashi31,1870,1950
867,cudboy69,1426,1649
867,vishalkr07,1589,1753
867,jvj_iit,1833,1920
867,anujdhawan7,1539,1718
867,Mohammadreza_mz,1758,1865
867,NVBabichev,1594,1752
867,PaiGuLong,1707,1827
867,gaurav_gehlot,1674,1803
867,Updown,1619,1765
867,kadalijo,1899,1960
867,gisp_zjz,1623,1766
867,GT_18,1766,1863
867,Quid,1662,1790
867,acoolhandle,1500,1681
867,JasonBaby,1862,1929
867,Dibagger,1772,1864
867,fengjk12138,1677,1797
867,mathusalen,1695,1807
867,raja1999,1751,1846
867,underSpirit,1680,1796
867,iskander232,1853,1917
867,I_Love_Sleep,1573,1722
867,AcidWrongGod,1590,1732
867,Dannywang,1558,1710
867,yycc,1715,1816
867,applese,1829,1896
867,guttusingh80,1623,1751
867,Fairuzi10,1813,1883
867,nazaninnnnn,1751,1838
867,Nakafal,1831,1894
867,DigiM,1807,1876
867,Shun_PI,1650,1766
867,say_my_name,1755,1838
867,TadijaSebez,1520,1677
867,vishal4556,1776,1851
867,hitman623,1871,1918
867,FFyuan,1513,1670
867,2390_,1495,1658
867,ronaldrojas,1515,1670
867,zhongfahai,1418,1607
867,YepYet,1413,1603
867,shubhamgarg18,1762,1837
867,tyrael9,1603,1726
867,_shanky,1612,1731
867,vacuous,1630,1743
867,Willix,1604,1725
867,Loafy,1436,1613
867,begv,1864,1906
867,Azurey,1426,1606
867,sinus_070,1820,1873
867,madn,1880,1916
867,lebeg,1708,1793
867,gohan123,1830,1878
867,jackichul,1544,1679
867,kotamanegi,1859,1898
867,lucaasdamaso,1885,1917
867,anatolik,1552,1683
867,born.kira,1533,1669
867,pkacprzak,1634,1737
867,anveshi,1745,1814
867,toxzi,1890,1918
867,amirhossein.sana,1734,1805
867,shreypandey,1718,1794
867,Robin__Chawla,1647,1743
867,Bassel,1747,1812
867,IKindmanI,1747,1812
867,fifiman,1847,1883
867,apakaden,1826,1868
867,Silent_coder,1737,1804
867,pulkitjain,1621,1722
867,Fazle,1610,1714
867,nmnmnmnmnmnmnm,1614,1717
867,nnbszxx,1439,1600
867,Andrew_Machine,1321,1525
867,Kidd,1563,1680
