contest_id,handle,old_rating,new_rating
876,Cypi,1815,2105
876,Nu11,1615,1940
876,zjt_is_our_red_sun,1629,1930
876,GXZlegend,1635,1921
876,Senji,1794,2017
876,nekochen,1681,1932
876,SD_le,1871,2055
876,MarcotheFool,1894,2065
876,CQzhangyu,1733,1948
876,zawedx,1763,1963
876,zhangyangbo,1816,1995
876,Starria,1664,1889
876,stevenwjy,1818,1989
876,Misaka-Mikoto,1500,1776
876,wwd2002,1756,1940
876,zotjob036,1822,1982
876,Laiu,1885,2023
876,fake123_loves_me,1868,2009
876,hound33,1608,1830
876,GoForIt,1805,1960
876,Magolor,1890,2017
876,wzj152501,1761,1925
876,C.Edward,1509,1757
876,gprano,1780,1934
876,md5_84,1869,1994
876,Emiso,1839,1971
876,MaralK,1500,1744
876,dyzsr,1829,1960
876,vlad8,1861,1981
876,Oktavia,1791,1931
876,Waldis,1875,1988
876,stneng,1857,1974
876,Als123,1648,1829
876,marcospaulo,1868,1977
876,ankeshgupta007,1847,1962
876,hwizard,1584,1783
876,harumaki,1647,1823
876,lsonan,1500,1726
876,nanicode,1863,1969
876,wanglichao1121,1767,1900
876,innocent_egg,1779,1907
876,Sutaner,1853,1958
876,monsoon,1612,1792
876,Meowl,1654,1819
876,flower,1869,1965
876,zyb,1733,1870
876,langsike,1684,1835
876,WHzy,1877,1969
876,nn020701,1808,1919
876,l1ll5,1745,1874
876,negiizhao,1732,1864
876,RetardedZY,1671,1822
876,Joker_23,1796,1906
876,guptautkarsh028,1832,1931
876,znarT,1889,1970
876,WarcraftRusher,1629,1790
876,vintage_Grigory_Reznikov,1812,1914
876,rainy_season,1595,1765
876,chengbowei,1674,1817
876,duckladydinh,1779,1888
876,74Nanashi,1428,1656
876,Thiagohnc,1780,1887
876,Liu_QY,1890,1965
876,xuqijie,1654,1800
876,imone,1823,1915
876,abisheka,1858,1939
876,Never_See,1534,1718
876,131441373,1693,1823
876,yslsj,1681,1814
876,201465,1533,1715
876,PhoenixGS,1710,1832
876,y20070316,1797,1892
876,huangjunqi1,1502,1693
876,nong,1882,1951
876,choutii,1850,1927
876,kazuma_desu,1687,1813
876,sgarg433,1424,1641
876,duweihua,1500,1688
876,rui-de,1868,1938
876,I_Love_Sleep,1665,1795
876,thelonesailor,1636,1775
876,orzccz,1540,1711
876,chielo,1743,1847
876,_Sakits,1859,1928
876,Lynstery,1830,1907
876,HEZLNY,1698,1813
876,DAyamaCTF,1876,1939
876,_42,1747,1847
876,venkat1997,1591,1740
876,FundamentalEq,1840,1911
876,zhysora,1771,1862
876,blue_tree,1576,1728
876,Darts501,1681,1798
876,zeelya,1650,1777
876,sntea,1752,1846
876,Moonlit_Rose,1855,1919
876,hands_yhy,1582,1729
876,mateuszdanowski,1673,1790
876,Lius,1675,1791
876,A.Magdy7,1811,1885
876,Tangenter,1409,1617
876,_blackjack_,1616,1749
876,fengyecong,1508,1678
876,thienlongtpct,1813,1885
876,666666,1785,1864
876,ProboxDu,1665,1780
876,kkkeQAQ,1784,1863
876,AkaiShuuichi9866,1786,1863
876,tobast,1532,1690
876,bleacher,1702,1804
876,cscandkswon,1542,1696
876,diaosipan,1576,1718
876,Obsession,1737,1827
876,Mama_Bullki,1465,1645
876,fangbo,1698,1799
876,alepic,1718,1812
876,black_moon,1824,1886
876,Food_Chain_Rule,1698,1797
876,linkfqy,1504,1667
876,spj_29,1668,1776
876,ronin,1812,1876
876,Yingjie,1789,1859
876,Jaihk662,1750,1831
876,everlasting,1612,1736
876,lemonoil,1413,1607
876,YuanyuanWu,1871,1916
