contest_id,handle,old_rating,new_rating
948,queryquerynk,1650,1994
948,siiri,1881,2118
948,NBAH,1809,2050
948,pupiI,1591,1891
948,fake123,1723,1968
948,xoxo,1811,2019
948,dbdbab,1666,1914
948,TomOwO,1759,1964
948,maroonrk,1677,1909
948,Jayce132,1729,1939
948,lagin,1470,1767
948,yoganteng,1526,1798
948,killjee,1869,2023
948,sam29,1698,1902
948,phuthuynhochienthan,1699,1900
948,gotop,1865,2011
948,freefood,1863,2007
948,fsshakkhor,1881,2014
948,Axcosin,1752,1924
948,xmhuangzhen,1869,2003
948,dhirajfx3,1881,2009
948,solaimanope,1845,1982
948,chinmay0906,1864,1993
948,Vicennial,1832,1968
948,freto,1412,1691
948,arif.ozturk,1863,1986
948,newbiecoder123,1589,1796
948,Mahir83,1694,1866
948,ruhan.habib39,1857,1977
948,backlight0417,1767,1912
948,balakrishnan,1878,1989
948,MSF_Akatsuki,1741,1891
948,karanbatra,1485,1721
948,Shayan.P,1785,1919
948,SlowDecay,1858,1967
948,Jmas2011,1786,1917
948,MegaBidoof,1890,1989
948,nitishk24,1844,1955
948,contest_AI1,1500,1722
948,hubz,1635,1809
948,konbu,1739,1878
948,GhdntYgjs6749,1752,1886
948,Ewwa,1868,1966
948,starmku,1712,1856
948,arjunsanjeev7,1753,1883
948,deepak1527,1694,1841
948,Ali_P,1826,1931
948,2676985892,1843,1943
948,davidberard,1843,1942
948,tripPple_A,1873,1962
948,imulan,1856,1948
948,shadowfax,1845,1940
948,marcospaulo,1870,1957
948,rr_,1722,1852
948,FastestFinger,1878,1960
948,BAACTREE,1898,1974
948,..vince,1896,1972
948,myworld,1810,1910
948,CARLAO_BORRACHA,1500,1700
948,oopsimbad,1676,1815
948,Firastic,1846,1933
948,Idonthavenametouse,1537,1721
948,cxy004,1619,1774
948,szfck,1869,1947
948,EmThoDau,1856,1937
948,honorum,1680,1813
948,Badry,1710,1833
948,guptautkarsh028,1889,1958
948,iura,1870,1944
948,Caring_is_a_disadvantage,1770,1872
948,---------,1876,1947
948,yongshiboshi,1791,1884
948,uhcuyoul,1500,1688
948,great_influence,1768,1868
948,Jaihk662,1877,1943
948,DarkSkyly,1647,1783
948,Reem,1753,1855
948,memcpy,1606,1754
948,universe_dawn,1806,1891
948,spectaclehong,1666,1793
948,I_See_You,1812,1894
948,gerardd,1865,1931
948,jijidarenmengmengda,1420,1631
948,E.Vera.Tse,1612,1754
948,n_dao107,1810,1890
