contest_id,handle,old_rating,new_rating
965,Akylbeek,1827,2088
965,kolkulator,1886,2097
965,reeWorld,1769,1997
965,16bit075,1697,1935
965,teamskiy,1884,2053
965,Inner_x_Peace,1890,2049
965,Unity_wc,1671,1891
965,-d-a-s-h-,1733,1927
965,VladProg,1884,2026
965,MaxZubec,1650,1860
965,min1013,1679,1875
965,scau_support3,1500,1754
965,Veirisa,1649,1847
965,Abu_Muhammad,1890,2009
965,xb0nS,1795,1939
965,CLown1331,1763,1914
965,Candyman,1660,1841
965,Degalat57,1481,1722
965,dorijanlendvaj,1883,1990
965,swetank,1349,1635
965,andrew,1795,1923
965,caojiangxia,1768,1902
965,TooNewbie,1818,1935
965,CodeAce,1881,1977
965,Jonothor_Darry,1754,1886
965,MishaPrigara,1865,1962
965,dendi239,1854,1952
965,shank97,1714,1853
965,bi11a1,1771,1891
965,Shizuo,1773,1890
965,sherewillpower,1491,1700
965,Tyler__Durden,1485,1695
965,am1tbh47,1800,1904
965,pyrus,1671,1814
965,IceLady,1529,1718
965,Maho,1836,1926
965,brain_boom,1500,1697
965,Kardanil,1744,1858
965,TedyLoyalty,1500,1694
965,GodSpeed98,1705,1829
965,BUAAduhao,1898,1962
965,Nataly_Cod,1788,1884
965,Warawreh,1524,1704
965,Charis02,1659,1792
965,mrz,1673,1801
965,Nhqx,1567,1729
965,Minority169,1849,1922
965,TheWayISteppedOutTheCar,1879,1942
965,Shizuka98,1688,1807
965,PedroBortolli,1645,1776
965,skama90,1604,1748
965,gardusig,1814,1892
965,IOI2018,1572,1724
965,epascual_v2,1500,1676
965,Nishimiya,1873,1931
965,Bch,1584,1729
965,AQT,1396,1607
965,karasek,1826,1894
965,JovanB,1753,1842
965,lucaasdamaso,1805,1877
965,olevino,1674,1786
965,rkdtjddyd,1769,1851
965,Kirill.Mikhailov,1530,1687
965,Hinke,1827,1890
965,VLamarca,1874,1923
965,danymalets,1672,1780
965,threeinches,1500,1664
965,Hussien_Ibrahiem,1779,1853
965,XOR-star,1639,1755
965,NTTU,1563,1703
965,zktxdy,1844,1897
965,zdw1999,1625,1743
965,solaimanope,1892,1930
965,Systa,1340,1557
965,Mirlan,1843,1893
965,toma_pirtskhelani,1288,1524
965,FelixMP,1672,1772
965,nishkarsh,1370,1572
965,ZiyaZa,1858,1902
965,olkowski.jedrzej,1374,1574
965,sashashmor,1704,1791
965,mredigonda,1893,1925
965,nitishk24,1676,1770
965,memcpy,1679,1772
965,lnYourDream,1742,1815
965,Genawy,1704,1788
965,kenenalmat,1743,1815
965,Nikitos_228,1758,1825
965,ArGoku,1694,1779
965,yordanlp,1867,1902
965,maxxaon,1824,1870
965,I_LOVE_ROMANIA,1493,1641
965,dusja.ds,1660,1752
965,Malinovsky239,1876,1906
965,fezjo,1557,1682
965,scau_support2,1500,1643
965,code_cola,1740,1807
965,donentseto,1790,1842
965,computerbox,1296,1513
965,code_struck,1631,1729
965,sansen,1597,1705
965,dewitast,1770,1825
965,G0D,1653,1743
965,Ferume,1824,1862
965,mdj982,1750,1809
965,Vardanyan,1573,1686
965,RoIIngHash,1766,1820
965,GabrielCamargo,1595,1700
965,LittleKoala,1694,1768
965,CodeKracker,1094,1388
965,Klift,1526,1652
965,admarkov,1793,1837
965,4mda4mda,1842,1872
965,Fcouds,1714,1779
965,vertrue,1569,1679
965,LME25,1514,1641
965,MysteryGuy,1884,1900
965,sebi110,1676,1751
965,zz050201010,1505,1634
965,Batja_15,1535,1653
965,chithong97,1716,1778
965,Abdelrhman_Akram,1703,1768
965,SpeedOfMagic,1810,1843
965,anant_k_singh,1676,1748
965,Guty,1796,1833
965,LittleFall,1704,1767
965,petiteteaparty,1640,1722
965,dohchuk,1725,1780
965,Arrin,1817,1846
965,Jostic11,1659,1733
965,SI_AM,1366,1538
965,stostap,1759,1803
965,alkil,1763,1806
965,arnab_0017,1572,1672
965,loan,1767,1808
965,oleg_b,1847,1865
965,zudikn,1514,1631
965,KArs,1889,1895
965,TheCrawfish,1409,1562
965,Sheoran_Jitu,1788,1821
965,BiIIy,1703,1760
965,fcgyk,1267,1472
965,lionvs13,1661,1729
965,NoOneTwoHash,1709,1763
965,siddhant22,1565,1662
965,Zovube,1812,1835
965,divakar_tomar,1792,1821
965,scau_support,1816,1838
965,tantam75,1758,1796
965,MohitBaid,1555,1653
965,magrady,1848,1860
965,lolzano,1797,1823
965,curlink,1744,1784
965,HJPEV,1395,1546
965,C137,1636,1707
965,PeregudovSergey,1807,1829
965,IceKnight1093,1835,1849
965,reej,1558,1652
965,xNinja,1254,1456
965,YazanRi,1756,1790
965,Expelliarmus123,1827,1842
965,eu3neuom,1654,1717
965,Romansp,1539,1637
965,snacache,1800,1821
965,amar_1997,1619,1692
965,newbie_forever_at_cp,1839,1849
965,xxxNatangenSxxx,1483,1598
965,TreskaPLUSe,1327,1498
965,a_kk,1622,1692
965,MahmoudAli,1566,1653
965,anno,1737,1773
965,ExRoc_,1747,1780
965,Brough,1595,1672
965,Young_god,1838,1845
965,ecust_wam,1651,1710
965,kfoozminus,1829,1838
965,n.grechiha,1549,1639
965,MatheusLealV,1564,1649
965,_MezMeRriZze_,1563,1648
965,adrians,1593,1668
965,AleXman111,1867,1864
965,Mockingjay,1406,1542
965,rng..58,1546,1635
965,aymanrasheed7,1726,1761
965,ayaNader,1521,1617
965,KhB,1424,1553
965,dheer1206,1647,1703
965,pavtlly2,1541,1630
965,KLPP,1876,1869
965,eriksuenderhauf,1859,1856
965,antohir,1559,1641
965,Messi_The_Legend,1555,1638
965,kobor,1725,1757
965,Pavs,1806,1816
965,sushant_,1505,1603
965,msjohnso,1396,1531
965,sabuj7177,1318,1481
965,Uncomfy,1714,1748
965,tanus_era,1424,1548
965,yermak0v,1813,1819
965,godusheep,1719,1751
965,Jami_CSEDU,1756,1777
965,papa-ka-para,1726,1755
965,FrozenBlood,1886,1872
965,Lammatian,1669,1713
965,vstrimaitis,1707,1740
965,itry,1458,1568
965,Glushen,1461,1570
965,Jack_whj,1759,1777
965,SimB4,1852,1845
965,-_-_-,1412,1536
965,rosseforp_ytrairom,1523,1610
965,zxz_xmx,1256,1437
965,_Muhammad,1427,1545
965,veryverydarkgray,1771,1784
965,PetitAPetit,1303,1465
965,Dexter__,1438,1551
965,filippos,1828,1825
965,MirceaDonciu,1610,1668
965,SPatrik,1698,1730
965,starbot,1594,1656
965,Emsawy,1619,1673
965,IT_MACHINE,1396,1522
965,Snickeen,1658,1700
965,IITianUG,1777,1786
965,Sorting,1876,1859
965,usertab34,1385,1514
965,noelnadal,1816,1814
965,shash42,1745,1762
965,Turing.Machine,1500,1589
965,radu_1997b,1603,1660
965,traxex,1500,1588
965,neko_nyaaaaaaaaaaaaaaaaa,1711,1736
965,A.GATZ,1436,1545
965,LordVoldebug,1868,1851
965,eR6,1261,1433
965,BL7A.,1481,1574
965,wldwldew,1643,1686
965,the.hulk,1629,1676
965,mati9977,1899,1873
965,sexy,1289,1449
965,Aleks5d,1851,1837
965,GLAYS,1498,1584
965,amnesiac_dusk,1883,1860
965,abaab,1615,1664
965,Alex2700,1460,1558
965,kakari,1500,1584
965,layzhi,1737,1751
965,rebecacalazans,1697,1722
965,BdE,1567,1629
965,hunter111,1802,1798
965,TheNextJojo,1544,1613
965,dush1729,1761,1767
965,ILoveBitches,1815,1807
965,erge,1511,1590
965,SleepZzz,1499,1581
965,4llower,1657,1691
965,doddy_dodorio,1500,1581
965,TopDog,1766,1769
965,hryniuk,1553,1617
965,Dmozze,1572,1630
965,OnlyDeniko,1145,1355
965,FuyuMai12,1677,1704
965,darkflamehxy,1489,1572
965,El_Ectric,1475,1562
965,Ares,1703,1722
965,the_badcoder,1743,1751
965,Feechka_,1643,1678
965,no_one_,1556,1617
965,not_surrender,1504,1581
965,BrazilianTurk,1405,1514
965,josif.tepegjozov,1144,1351
965,Shahat,1338,1470
965,EmrulC,1450,1543
965,IMRED,1541,1605
965,stefdasca,1730,1740
965,SiostraSwojejSiostry,1418,1521
965,Araomis,1537,1602
965,peach,1605,1649
965,Turkey,1805,1794
965,sdl,1562,1618
965,BobsOfAlice,1892,1859
965,Harpae,1822,1806
965,flaviu2001,1786,1779
965,warez80,1595,1640
965,omar22,1821,1805
965,magnickolas,1882,1850
965,Linkus,1850,1826
965,wleung_bvg,1757,1756
965,Firastic,1787,1778
965,Tiberiu,1790,1781
