contest_id,handle,old_rating,new_rating
983,fateice,3172,3306
983,skuecrk,2320,2631
983,Egor,2772,2935
983,dotorya,3086,3145
983,LHiC,3067,3115
983,izban,2776,2888
983,zhouyuyang,2168,2432
983,jqdai0815,3201,3181
983,JOHNKRAM,2615,2738
983,MrDindows,2663,2766
983,mareksom,2630,2734
983,webmaster,2700,2780
983,FizzyDavicl,2549,2662
983,Claris,2304,2477
983,choutii,2131,2351
983,Zrj,2026,2277
983,ko_osaga,2888,2895
983,KeyID,2252,2421
983,V--o_o--V,3236,3148
983,Golovanov399,2736,2770
983,Chameleon2460,2424,2534
983,zlc1114,2109,2308
983,Rafbill,2511,2592
983,scanhex,2191,2357
983,lzr_010506,2169,2339
983,Um_nik,3278,3158
983,bicsi,2582,2633
983,Radewoosh,3197,3088
983,yosupo,2764,2764
983,zemen,2561,2610
983,aid,2777,2767
983,saba2000,2234,2366
983,zdolna_kaczka,2634,2657
983,maximumSHOT,2160,2310
983,Kostroma,2795,2774
983,voover,2521,2566
983,_noname,2180,2317
983,kmjp,2359,2443
983,jihoon,2337,2425
983,knightL,2449,2505
983,cz_xuyixuan,2435,2493
983,amit_swami,2293,2388
983,tqyaaaaang,2641,2643
983,maroonrk,2144,2279
983,WA_TLE,2392,2455
983,Swistakk,3016,2919
983,sy_chen,2087,2235
983,Shik,2709,2686
983,niike0goood,2051,2206
983,irkstepanov,2315,2390
983,lsonan,1972,2153
983,voidmax,2450,2487
983,kevinsogo,2523,2537
983,wa1tz719,2261,2344
983,Arterm,2832,2768
983,ae04071,1961,2139
983,fanache99,2550,2554
983,nigus,2186,2287
983,Wild_Hamster,2191,2289
983,mengbierr,2022,2172
983,Gassa,2188,2283
983,jtnydv25,2350,2400
983,Jimanbanashi,2136,2245
983,ShadowFall,1991,2147
983,greencis,2269,2337
983,riadwaw,2604,2584
983,tabasz,2243,2316
983,alphaGem,1907,2089
983,zeliboba,2734,2678
983,TLEwpdus,2385,2416
983,teja349,2457,2469
983,-..,2171,2259
983,AwesomeGuy,1991,2135
983,yuvalsalant,2031,2161
983,Inner_x_Peace,2112,2214
983,Toxel,2319,2361
983,krismaz,2529,2517
983,Hell_Eclipse,2018,2146
983,Blue233333,2131,2223
983,sdnr1,2086,2192
983,natsugiri,2383,2404
983,ultmaster,1999,2131
983,lydrainbowcat,2286,2329
983,Subconscious,2277,2323
983,akashdeep,2450,2450
983,falanga,2055,2165
983,BigBag,2508,2492
983,tfg,2169,2241
983,cescmentation_folch,2215,2273
983,majk,2649,2595
983,woqja125,2355,2373
983,Tommyr7,2344,2365
983,-imc-,2462,2452
983,ezLadder,2158,2227
983,CARLAO_BORRACHA,2124,2203
983,kabuszki,2178,2239
983,_peanut,1933,2073
983,OmarHashim,2100,2184
983,Roms,2310,2332
983,Rpd-Strike,1998,2113
983,beet,2176,2235
983,gisp_zjz,2394,2393
983,Taube,2131,2202
983,liouzhou_101,2088,2171
983,blackbori,2164,2223
983,Makcum888,1949,2076
983,receed,2310,2328
983,Msuale,2132,2198
983,gchebanov,2317,2331
983,abcdeedcba,1981,2094
983,593119681,2283,2305
983,amethyst0,2347,2352
983,omochan,2062,2146
