contest_id,handle,old_rating,new_rating
993,Um_nik,3179,3286
993,Errichto,2466,2716
993,scott_wu,2992,3071
993,Reyna,2540,2722
993,matthew99,2585,2739
993,qwerty787788,2804,2887
993,I_love_Tanya_Romanova,2685,2789
993,Golovanov399,2813,2866
993,LHiC,3148,3114
993,step_by_step,2534,2652
993,uwi,2596,2691
993,Swistakk,2820,2851
993,aid,2624,2700
993,anta,3106,3053
993,zscoder,2644,2705
993,DPR-pavlin,2441,2550
993,Deemo,2655,2704
993,tqyaaaaang,2719,2747
993,Mediocrity,2093,2292
993,consecutivelimit,2784,2788
993,Aeon,2404,2503
993,natsugiri,2492,2564
993,KrK,2670,2693
993,fsouza,2555,2605
993,Radewoosh,3217,3098
993,radoslav11,2355,2452
993,_rqy,2299,2408
993,RomaWhite,2851,2815
993,-..,2377,2460
993,mareksom,2766,2746
993,amit_swami,2388,2463
993,krijgertje,2881,2828
993,dreamoon_love_AA,2715,2701
993,phongthan,2281,2378
993,xolm,2195,2316
993,wakaka,2229,2337
993,Xellos,2366,2434
993,vlecomte,2349,2419
993,mjhun,2530,2551
993,ecnerwala,2801,2752
993,voidmax,2460,2495
993,adamant,2166,2282
993,KADR,2271,2354
993,Franklyn_W,2199,2301
993,ohweonfire,2380,2429
993,Arthur,2346,2403
993,kevinsogo,2537,2542
993,alex9801,2369,2416
993,TLEwpdus,2416,2449
993,2222,2328,2383
993,Arterm,2667,2634
993,kalimm,2145,2250
993,Dream-Reality,2276,2341
993,mango_lassi,2153,2253
993,MrDindows,2842,2760
993,pavel.savchenkov,2357,2396
993,superguymj,2146,2244
993,cwy,2308,2358
993,Toxel,2314,2361
993,kaldiuo,2270,2327
993,nhho,2497,2493
993,webmaster,2922,2812
993,Grzmot,1954,2109
993,V--o_o--V,3007,2874
993,danya090699,2185,2261
993,saba2000,2241,2299
993,vmrajas,2005,2136
993,--d,2561,2534
993,Ra16bit,2563,2534
993,Nero,2169,2244
993,szb,2246,2297
993,flatline,2091,2187
993,maximumSHOT,2355,2374
993,wzporz,2143,2221
993,irkstepanov,2390,2398
993,MicGor,2218,2272
993,teja349,2469,2455
993,dragonslayerintraining,2106,2191
993,Taube,2152,2222
993,isaf27,2305,2331
993,ekzhang,2255,2293
993,Motarack,2238,2280
993,PrinceOfPersia,2299,2323
993,RDDCCD,1954,2084
