contest_id,handle,old_rating,new_rating
995,jqdai0815,3314,3419
995,Swistakk,2851,3018
995,Um_nik,3286,3309
995,bmerry,2839,2958
995,ainta,2835,2939
995,zxqfl,2688,2818
995,yosupo,2816,2901
995,Radewoosh,3098,3101
995,Lewin,2444,2611
995,jhn333,2615,2728
995,qwerty787788,2887,2921
995,azneyes,2124,2364
995,MrDindows,2760,2815
995,ecnerwala,2752,2804
995,Errichto,2716,2773
995,jonathanirvings,2489,2601
995,Shik,2686,2741
995,RAVEman,2452,2565
995,fsouza,2605,2674
995,InvUsr,2160,2349
995,neal,2197,2371
995,Petr,3353,3220
995,webmaster,2812,2813
995,dreamoon_love_AA,2701,2727
995,DEGwer,2547,2610
995,xiaowuc1,2288,2418
995,snuke,2601,2645
995,scanhex,2396,2491
995,AndreySergunin,2218,2360
995,LHiC,3114,3020
995,SirShokoladina,2667,2683
995,Arterm,2634,2656
995,al13n,2655,2670
995,ehnryx,2037,2224
995,ugly2333,2404,2480
995,jtnydv25,2222,2346
995,300iq,2617,2633
995,gisp_zjz,2314,2407
995,majk,2595,2612
995,stevenkplus,2446,2500
995,mango_lassi,2253,2358
995,natsugiri,2564,2584
995,Shef,2448,2496
995,Eclipse,2189,2306
995,ktuan,2099,2243
995,never_giveup,2294,2378
995,V--o_o--V,2874,2808
995,kostka,2301,2379
995,kmjp,2361,2422
995,wa1tz719,2285,2365
995,Bruteforceman,2133,2255
995,lumibons,2101,2232
995,nuip,2512,2527
995,Noam527,2237,2324
995,sinus_070,1920,2110
995,hitman623,2105,2229
995,nhho,2493,2507
995,yasugongshang,2446,2471
995,danya.smelskiy,2227,2309
995,irkstepanov,2398,2433
995,cdkrot,2310,2367
995,gamegame,2174,2268
995,MofK,2201,2286
995,zhed,2110,2221
995,I_love_tigersugar,2248,2317
995,RomaWhite,2815,2738
995,Barichek,2233,2303
995,AryanSM,2173,2259
995,KADR,2354,2389
995,Deemo,2704,2650
995,NurlashKO,2118,2217
995,naumazeredo,1928,2091
995,VArtem,2695,2640
995,comfi,2262,2316
995,Cydiater,2185,2260
995,kobortor,2142,2228
995,SecondThread,2001,2132
995,MissMyDearest,2160,2239
995,KungA,2236,2292
995,Svlad_Cjelli,2199,2264
995,atatomir,2417,2423
995,boook,2113,2201
995,fmqjpt,2227,2281
995,phongthan,2378,2391
995,Fekete,2090,2182
995,uwi,2691,2624
995,scott_wu,3071,2913
995,qoo2p5,2439,2432
995,fetetriste,2142,2214
995,Mikaeel,2003,2119
995,mariand,1964,2092
995,Inner_x_Peace,2206,2257
995,kessido,2126,2199
995,NEU20133823,2172,2231
995,isaf27,2331,2346
995,Roms,2295,2318
995,Ali_Pi,2298,2320
995,Eliden,2090,2170
995,nigus,2224,2264
995,Shimatsukaze,2320,2333
995,hohomu,2265,2291
995,best.code,2123,2189
995,Alpha_Q,2179,2228
995,lessmeaning,2142,2201
995,benmirt,1911,2045
995,tfg,2276,2296
995,TheWayISteppedOutTheCar,1967,2079
995,Expectation,2443,2419
995,x.bryanc,2005,2102
995,Valentin_E,1914,2042
995,Roberio,2104,2168
995,FLDutchman,1999,2094
995,ATS,2136,2189
995,ymatsux,2042,2123
995,aid,2700,2609
995,Ilya_MSU,2308,2312
995,alexX512,1951,2060
995,kyleliu,2178,2215
995,King,2305,2307
995,balakrishnan,2104,2161
995,Illidan,2230,2251
995,leanil,2086,2146
995,pllk,2282,2287
995,vmrajas,2136,2180
995,mike_live,2093,2149
995,Boterphile,2116,2165
995,ckodser,2280,2282
995,KrK,2693,2595
995,sqrtdecompton,2197,2221
995,AkshajK,2059,2122
995,IgorSmirnov,2100,2150
995,wakaka,2337,2323
995,__math,2390,2362
995,paula,1986,2069
995,solaimanope,2135,2172
995,woqja125,2291,2285
995,BigBag,2328,2313
995,YogayogayoG,2142,2174
995,LoppA,2147,2177
995,CrazyMerlyn,1947,2038
995,Jakube,2170,2192
995,aviroop123,1996,2070
995,allllekssssa,2164,2187
995,erge,2051,2106
995,ruhan.habib39,1977,2055
995,Rayker,2074,2121
995,zdw1999,1954,2038
995,PuRpLe_FoReVeR,1901,2003
995,LiChenKoh,2356,2327
995,STommydx,2115,2147
995,Gassa,2103,2138
995,JABAIY,2011,2073
995,conqueror_of_conqueror,2136,2160
995,matipau,1981,2051
995,Minnakhmetov,2112,2142
995,simp1eton,1900,1996
995,aayush9,1941,2022
995,naagi,2003,2063
995,antguz,1903,1996
995,NirShalmon,1965,2036
995,Antoine,2075,2111
995,kazuma,2164,2175
995,Dmitriy.Belichenko,2158,2170
995,poao899,1972,2038
995,niquefa_diego,2146,2160
995,aka.Sohieb,2001,2056
995,fedimser,2010,2062
995,Cams,1936,2011
995,fedoseev.timofey,2086,2114
995,mircea85,1954,2022
995,moraeduji,2273,2252
995,wawawa1998,2054,2090
995,KacaMG00,2075,2104
995,Kuzey,2128,2142
995,SPatrik,1915,1992
995,Lenh_Ho_Xung,2038,2076
995,aditya1701,1953,2017
995,Mediocrity,2292,2262
995,abeker,2206,2196
995,calabash_boy,2010,2054
995,EtoNagisa,2074,2098
995,budalnik,2451,2382
995,Igorjan94,1912,1985
995,Aviously,2056,2084
995,variance,1992,2038
995,adamant,2282,2251
995,aloomya,1953,2010
995,tinca_matei,1916,1985
995,train_driver,2084,2101
995,UnstoppableChillMachine,2129,2133
995,Egor.Lifar,2320,2277
995,amethyst0,2352,2301
995,forestryks,2044,2070
995,Hasan0540,2198,2183
995,Diego,2002,2039
995,--d,2534,2439
995,kilotaras,1964,2011
995,voidmax,2495,2408
995,agaga,1972,2016
995,ipaljak,2004,2037
995,TERESO,1972,2015
995,Nazikk,2153,2145
995,samuelfgs,2201,2181
995,wewark,1928,1983
995,TripleM5da,2160,2149
995,threeinches,2230,2201
995,Nson,2114,2113
995,aquablitz11,1980,2015
995,xh286286,1995,2026
995,Moysenko,2051,2065
995,vanvector,1954,1996
995,dalex,2028,2048
995,sy_chen,2235,2202
995,Stelutzu,1919,1970
995,fnch,1972,2006
995,Arthurvtr,2151,2137
995,Kharouba,2135,2124
995,Holidin,2013,2034
995,kongroo,1934,1978
995,vbobrov,1997,2020
995,smiken,2132,2120
995,almasip,1968,1999
995,fleimgruber,1943,1981
995,GoogleBot,2001,2022
995,kaldiuo,2327,2267
995,Motarack,2280,2230
995,Kilani,2091,2086
995,aj1729,1924,1965
995,dilsonguim,2044,2050
995,danya090699,2261,2214
995,Minority169,1958,1987
995,jjjjj19980806,1964,1991
995,smu201111192,1978,2000
995,cerberus97,2173,2145
995,VinayakaB,1971,1994
995,lucaasdamaso,1949,1978
995,Nicola95,2107,2093
995,NimaV,2014,2023
995,smartnj,2105,2090
995,Smaug,2119,2101
995,gazelle,2073,2065
995,compiler_101,1971,1990
995,zoomswk,2207,2167
995,MoHib85,1922,1955
995,jarakcyc,1928,1958
995,Marckess,1992,2003
995,tap_tapii,1918,1950
995,davidv1992,1923,1953
995,Nhqx,2080,2067
995,CaptainMAK,1902,1937
995,super_azbuka,2301,2236
995,conquistador,1941,1963
995,spiderbatman,1975,1987
995,HIT_TOM,2113,2090
995,vpike,1952,1969
995,WNG,1908,1938
995,Taube,2222,2172
995,ec24,2113,2088
995,neko_nyaaaaaaaaaaaaaaaaa,1940,1959
995,anayMehrotra,1943,1960
995,sysulby,2016,2013
995,Man,2067,2051
995,leaf1415,1923,1944
995,rotavirus,2123,2092
995,DicksOut4Harambe,2069,2051
995,suibaka,1967,1974
995,jma127,2129,2096
995,ImaniAm,1991,1990
995,VankaTaganai,1976,1979
995,ollpu,2043,2029
995,paulinia,2029,2018
995,rmn,1975,1977
995,ernestvw,1900,1922
995,just_soso,2138,2100
995,shoemakerjo,2229,2170
995,min1013,1937,1947
995,fpdqwq,2128,2091
995,flatline,2187,2136
995,Em00n,2011,2000
995,noxwell,1998,1990
995,yashChandnani,2173,2124
995,Danylo99,2117,2080
995,Juve45,1981,1975
995,aabdelzaher,2010,1997
995,LeCaRiBoU,2067,2040
995,VladProg,2138,2094
995,win11905,2048,2024
995,Rudy1444,2137,2093
995,Ralsei,1939,1941
995,RobeZH,2187,2131
995,Karasick,1916,1923
995,Tiramister,1949,1947
995,Snipx,2040,2015
995,mredigonda,2109,2068
995,matthew99,2739,2564
995,iaNTU,1921,1924
995,Filyan,2200,2139
995,Anadi,2359,2265
995,Gold_Three_Fat,2016,1994
995,Tonks,1959,1949
995,stefdasca,1958,1948
995,ltf0501,2058,2025
995,dpaleka,2122,2075
995,_LeMur_,2233,2160
995,laurageorgescu,2234,2161
995,BC_,1974,1956
995,vovuh,2093,2048
995,Krisha,1973,1955
995,CARLAO_BORRACHA,2231,2158
995,bill_kondo,1942,1931
995,nitesh_gupta,1908,1906
995,vanogam,1981,1958
995,roman.kolganov,1950,1935
995,cescmentation_folch,2273,2190
995,Noche_2,1925,1915
995,johnathan79717,2109,2058
995,chpipis,2130,2075
995,zhouzhendong,1951,1932
995,bertho_coder,2002,1971
995,AminAnvari,2058,2015
995,evpipis,2034,1996
995,omidazadi,2262,2179
995,gop2024,2227,2151
995,adedalic,2375,2269
995,Jeel_Vaishnav,2111,2056
995,n_dao107,1904,1894
995,max_flow,1914,1902
995,mr.stefan,1900,1889
995,Omar_Elawady,1934,1915
995,pavel.savchenkov,2396,2284
995,Makcum888,1909,1896
995,xuanquang1999,2235,2153
995,Tanzir5,2149,2084
995,mtsd,1981,1949
995,cristb,2031,1986
995,Atreus,1987,1952
995,Vicennial,1905,1888
995,amnesiac_dusk,2010,1970
995,awoo,2067,2015
995,pedroteosousa,2023,1978
995,philologist,1927,1902
995,FastestFinger,2089,2031
995,abhishek_saini,2157,2086
995,Mohammadreza_mz,1985,1947
995,Shayan.P,2125,2059
995,killer_god,1907,1885
995,lazyc97,1965,1928
995,collares,2319,2216
995,Roundgod,2134,2065
995,Toxel,2361,2250
995,hank55663,2162,2087
995,Hiasat,2193,2112
995,caoyuan,1961,1924
995,Aryan,1969,1929
995,yordanlp,1903,1874
995,nimphy,1919,1887
995,gs15120,1910,1879
995,brimix__,1919,1887
995,998kover,2185,2103
995,JiangYu,1916,1884
995,abisheka,2230,2139
995,spj_29,1963,1919
995,Amaryllis,1994,1944
995,gafeol,1964,1920
995,s_h_shahin,1953,1910
995,LittleKoala,1934,1895
995,sparkuggz,2104,2033
995,rednivrug15,1958,1912
995,Vendetta.,1912,1875
995,Grzmot,2109,2036
995,ngkan,2188,2102
995,mathusalen,1902,1865
995,Hyperbolic,2120,2044
995,ericxu0,2162,2079
995,bibibi,2002,1945
995,duckladydinh,1983,1929
995,prince_of_crows,1919,1875
995,I_love_myself,1903,1862
995,Reyna,2722,2530
995,EliteWantsYou,1903,1862
995,metatron,2071,2000
995,Rzepa,2301,2192
995,dened,1994,1934
995,sempav,1958,1904
995,M.Mahdi,2491,2345
995,ialakhtin,2162,2074
995,Antygenius,1944,1891
995,_Dragon_,2041,1971
995,edogrigqv2,1942,1888
995,Lius,1954,1898
995,perekopskiy,2003,1937
995,pulkitjain,1908,1857
995,satanic0,2064,1989
995,244mhq,2160,2069
995,JettyOller,1959,1899
995,imAnik,1979,1915
995,Omar_Morsi,2201,2103
995,----------,2177,2083
995,slonichobot,1915,1859
995,dsgsjk,1971,1906
995,MegaBidoof,2113,2027
995,I_love_Aditi,2057,1979
995,tob123,1937,1875
995,ExRoc,1955,1890
995,txingml,2108,2021
995,Jatana,1999,1927
995,s34vv1nd,1977,1907
995,Hennkka,1948,1882
995,raja1999,1970,1900
995,MysteryGuy2,2038,1959
995,Mustang98,2065,1982
995,xxxxxxmk,1926,1860
995,EmThoDau,1967,1895
995,loan,2115,2024
995,_Dark_Shadow_,1911,1845
995,Tom--CCS,2067,1981
995,hugopm,2057,1972
995,Deanamic_Programming,2144,2047
995,KrukovAA,2139,2043
995,Jon,1965,1890
995,teqwve,1994,1915
995,ransewhale,1932,1859
995,jt3698,1980,1901
995,AkiLotus,2047,1960
995,kempusss,1979,1899
995,vhnvn,1904,1832
995,mareksom,2746,2538
