contest_id,handle,old_rating,new_rating
1012,Um_nik,3131,3248
1012,LHiC,2928,3047
1012,dacin21,2462,2682
1012,ksun48,2926,3001
1012,Swistakk,2956,3009
1012,orbitingflea,2514,2674
1012,sunset,2773,2853
1012,TLE,2961,2982
1012,Shik,2807,2861
1012,ainta,2939,2952
1012,majk,2639,2725
1012,V--o_o--V,2948,2947
1012,fateice,3337,3230
1012,Konijntje,2461,2578
1012,ko_osaga,2881,2882
1012,Ra16bit,2534,2622
1012,DEGwer,2610,2674
1012,244mhq,2364,2490
1012,lucyanna2018,2436,2539
1012,JustasK,2572,2635
1012,uwi,2459,2548
1012,fhlasek,2525,2593
1012,yosupo,3091,3012
1012,nuip,2402,2498
1012,Gassa,2226,2370
1012,zeliboba,2579,2622
1012,Rewinding,2503,2563
1012,matthew99,2658,2675
1012,zhouyuyang,2561,2601
1012,dreamoon_love_AA,2416,2492
1012,The_Unbeatable,2257,2376
1012,Anadi,2374,2457
1012,kriii,2729,2716
1012,OnionPringles,2562,2590
1012,omidazadi,2171,2307
1012,AwesomeGuy,2135,2280
1012,moraeduji,2344,2424
1012,Merkurev,2853,2800
1012,monsoon,2132,2272
1012,Elegia,2333,2411
1012,zemen,2750,2718
1012,WA_TLE,2471,2508
1012,_rqy,2466,2503
1012,Golovanov399,2733,2700
1012,consecutivelimit,2846,2783
1012,waltz,2276,2360
1012,receed,2198,2303
1012,AndreySergunin,2310,2381
1012,wiwitrifai,2331,2394
1012,Farhod,2210,2305
1012,fmqjpt,2186,2289
1012,dario2994,2489,2506
1012,wzp666,2217,2307
1012,Deemo,2654,2627
1012,.o.,2432,2458
1012,Ali_Pi,2348,2397
1012,mmaxio,2820,2748
1012,programmer228,2135,2244
1012,DOlaBMOon,2104,2221
1012,kaldiuo,2267,2332
1012,voover,2520,2517
1012,Mahdi_Jfri,2372,2405
1012,MarkF,2107,2218
1012,Adalbert,2246,2312
1012,khsoo01,2496,2495
1012,Andrew_Makar,2697,2645
1012,erfanesm,2210,2284
1012,Nisiyama_Suzune,2380,2406
1012,MrDindows,2663,2616
1012,Xellos,2324,2362
1012,Julek,2141,2232
1012,Feeey,2154,2239
1012,ZiyaZa,1915,2082
1012,yukuai26,2053,2167
1012,Chuzyh,1922,2083
1012,Arya_,1931,2089
1012,KMAASZRAA,2143,2226
1012,N3SL,2067,2174
1012,zbww,2136,2220
1012,cuizhuyefei,2296,2332
1012,papa3,2263,2307
1012,Tommyr7,2373,2386
1012,abeker,2327,2352
1012,PinkRabbitAFO,2163,2232
1012,goldgenius,2108,2194
1012,Alex_2oo8,2555,2519
1012,rxdoi,2609,2559
1012,nigus,2267,2303
1012,yhx-12243,1931,2075
1012,IohcEjnim,2133,2207
1012,BigBag,2482,2460
1012,cwystc,1956,2086
1012,ckodser,2319,2337
1012,beginend,2211,2258
1012,ec24,2140,2207
1012,Joyemang,2102,2180
1012,negiizhao,2096,2175
1012,wzporz,2221,2261
1012,.Ali.,2101,2176
1012,QAQAutoMaton,2154,2212
1012,gop2024,2349,2352
1012,khokho,2219,2257
1012,wangyenjen,1965,2082
1012,Martin53,2091,2165
1012,998kover,2138,2197
1012,poisonous,2057,2141
1012,gchebanov,2424,2404
1012,Hujiwara,2454,2425
1012,muratt,2270,2288
1012,mariand,2154,2204
1012,sigma425,2600,2533
1012,woqja125,2264,2282
1012,cai_lw,2311,2315
1012,616156,2072,2144
1012,zx2003,2277,2287
1012,superguymj,2244,2263
1012,Taube,2149,2195
1012,antontrygubO_o,2006,2096
1012,I_love_tigersugar,2317,2316
1012,btk15049,2032,2113
1012,ryo_issy,2113,2167
1012,orz,2196,2225
1012,lebowski998,2215,2238
1012,dwjshift,2200,2227
1012,Juve45,1975,2071
1012,sulfuric,2003,2089
1012,Motarack,2108,2159
1012,Ilya_MSU,2312,2306
1012,.I.,2180,2209
1012,irkstepanov,2301,2296
1012,kipa00,1984,2072
1012,kajebiii,2156,2190
1012,Jayce132,2034,2104
1012,Subconscious,2336,2320
1012,riadwaw,2584,2507
1012,Yukki_Asuna,1929,2033
1012,wxy_z,2207,2223
1012,dpaleka,2000,2078
1012,zsyzsy,1902,2013
1012,lezdzh,2204,2219
1012,diamond_duke,2213,2225
1012,InvUsr,2349,2324
1012,Stetsyk,2026,2091
1012,RDDCCD,2171,2193
1012,boleyn.su,2173,2193
1012,sugim48,2666,2564
1012,kimiyuki,2136,2166
1012,smiken,2164,2185
1012,yybyyb,2155,2178
1012,AryanSM,2326,2304
1012,eddy1021,2718,2601
1012,rembocoder,2356,2325
1012,FoodSheep,2010,2074
1012,ra1driar233,1958,2039
1012,nein,2085,2124
1012,liu_runda,2070,2113
1012,applese,2228,2226
1012,Vedensky,2330,2302
1012,kasrakhoshjoo,2018,2075
1012,natsugiri,2360,2324
1012,leaf1415,1961,2036
1012,Cekavis,2052,2097
1012,cerberus97,2276,2259
1012,awoo,1926,2012
1012,jacobtpl,2201,2202
1012,bciobanu,2070,2107
1012,Shayan.P,2170,2178
1012,zhouzhendong,2010,2065
1012,AngusRitossa,2054,2094
1012,yashChandnani,2185,2187
1012,ANTIMIRAGE,1947,2021
1012,Sehnsucht,2059,2096
1012,_mangoyang,1924,2004
1012,olphe,2159,2166
1012,sun_en_ze,1964,2029
1012,dima_z,2069,2101
1012,ae04071,2180,2180
1012,aquablitz11,1998,2051
1012,fpdqwq,2091,2115
1012,fyy2603,2142,2151
1012,maximumSHOT,2287,2258
1012,shadowatyy,2389,2335
1012,Shivram,2104,2122
1012,Powerslave,2042,2077
1012,Antoine,1933,2002
1012,madn,2057,2087
1012,lgkm39,2139,2144
1012,bazsi700,2289,2256
1012,gepardo,2353,2304
1012,q234rty,2361,2310
1012,outer_form,1942,2005
1012,adedalic,2267,2238
1012,natalia,2150,2150
1012,fram,2149,2148
1012,metatron,2091,2106
1012,adamant,2328,2282
1012,DAyamaCTF,2053,2078
1012,cjwj5505,1906,1977
1012,AbolfazlB3,1974,2022
1012,ghostfly233,1912,1980
1012,realDonaldTrunp,2417,2348
1012,sunsiyu,2163,2154
1012,mixnuts,2128,2128
1012,blackbori,2273,2237
1012,Mediocrity,2262,2227
1012,just_soso,2011,2043
1012,danya090699,2211,2188
1012,XuYipei,1968,2013
1012,_LeMur_,2154,2145
1012,danielykf,1978,2018
1012,MicGor,2222,2195
1012,sava-cska,2188,2168
1012,Antygenius,1975,2015
1012,hugopm,1993,2027
1012,bertho_coder,2022,2046
1012,boook,2294,2247
1012,Gromah,2352,2292
1012,YxqK,2170,2152
1012,-is-this-fft-,1976,2012
1012,HbFS-,2202,2176
1012,zhed,2130,2121
1012,Kananix,2204,2176
1012,newbiecoder123,1904,1961
1012,epicure,2066,2073
1012,mango_lassi,2299,2248
1012,rabbit_lb,1971,2005
1012,Illidan,2226,2191
1012,-skyline-,2315,2259
1012,oyqy1203,1916,1966
1012,AntiLeaf,2141,2125
1012,Mohammadreza_mz,2082,2081
1012,OPG,1912,1961
1012,Atreus,2060,2064
1012,sysulby,1997,2019
1012,Omar_Morsi,2138,2121
1012,kilotaras,2238,2196
1012,johannesk,2073,2072
1012,hg_pt,1948,1983
1012,Fekete,2041,2048
1012,AminAnvari,2023,2034
1012,Hiasat,2032,2040
1012,win11905,1978,2001
1012,zoomswk,2277,2223
1012,kimden,2273,2220
1012,abisheka,2126,2107
1012,AprilGrimoire,2273,2219
1012,Serval,1906,1949
1012,linjek,1981,2000
1012,LCM,2185,2150
1012,Dance_Of_Faith,1913,1952
1012,yyb_test,1955,1980
1012,KeyID,2440,2347
1012,abhishek_saini,2088,2075
1012,JiK,2172,2138
1012,Akulyat,1965,1986
1012,_Rhombicosidodecahedron_,2023,2026
1012,di_z,2014,2019
1012,noimi,2021,2024
1012,Khazhak,2215,2169
1012,cbhcbh,2349,2273
1012,missAsuzy,2152,2120
1012,GyojunYoun,2377,2294
1012,traxex,2006,2011
1012,sqrtdecompton,2303,2236
1012,I-Love-Islam,1925,1953
1012,lzw4896s,2157,2122
1012,samgiz,2122,2095
1012,zoxl,1982,1991
1012,Diuven,2088,2068
1012,fefe,1936,1958
