contest_id,handle,old_rating,new_rating
1019,Marcin_smu,2590,2854
1019,Radewoosh,2984,3098
1019,Swistakk,3009,3091
1019,Panole233,2010,2365
1019,ko_osaga,2882,2964
1019,ainta,2952,3004
1019,Um_nik,3248,3213
1019,bmerry,2926,2967
1019,fateice,3230,3184
1019,tribute_to_Ukraine_2022,2613,2720
1019,TLEwpdus,2449,2594
1019,step_by_step,2652,2737
1019,DearMargaret,2258,2447
1019,ACRush,2861,2882
1019,Benq,2974,2962
1019,Deemo,2627,2699
1019,Gassa,2370,2507
1019,consecutivelimit,2783,2807
1019,qoo2p5,2351,2486
1019,dreamoon_love_AA,2492,2585
1019,scott_wu,2936,2912
1019,cz_xuyixuan,2493,2579
1019,ilyakor,2567,2630
1019,matthew99,2675,2708
1019,AndreySergunin,2381,2489
1019,LonelyDonkey,1941,2192
1019,sunset,2853,2833
1019,neal,2421,2510
1019,lych_cys,2516,2577
1019,--d,2518,2576
1019,laofudasuan,2622,2651
1019,lucyanna2018,2539,2585
1019,xumingkuan,2459,2526
1019,irkstepanov,2296,2407
1019,dragonslayerintraining,2191,2332
1019,logicmachine,2273,2386
1019,TLE,2982,2909
1019,ditoly,2435,2499
1019,Diuven,2068,2242
1019,JiK,2138,2286
1019,ei133333,2411,2476
1019,fsouza,2618,2627
1019,Alif01,2314,2403
1019,laurageorgescu,2184,2310
1019,ksun48,3001,2910
1019,kmjp,2602,2609
1019,Xellos,2362,2429
1019,gepardo,2304,2388
1019,Lewin,2456,2496
1019,nhho,2324,2399
1019,waltz,2360,2424
1019,NgocHai,2168,2287
1019,.I.,2209,2314
1019,al13n,2534,2547
1019,SoMuchDrama,2104,2239
1019,atatomir,2393,2441
1019,walnutwaldo20,2102,2235
1019,abeker,2352,2408
1019,ugly2333,2496,2513
1019,bomo,2131,2250
1019,budalnik,2280,2353
1019,hank55663,2186,2286
1019,isaf27,2346,2398
1019,jhdjames37,1977,2144
1019,sqrtdecompton,2236,2317
1019,Grunt,2183,2279
1019,sfiction,2355,2400
1019,gskhirtladze,2108,2226
1019,DmitryBelikov,2166,2264
1019,bazsi700,2256,2326
1019,Reyna,2445,2461
1019,duality,2050,2182
1019,gop2024,2352,2391
1019,AprilGrimoire,2219,2295
1019,_h_,2655,2616
1019,KADR,2332,2373
1019,f.bialas,2267,2326
1019,nigus,2303,2351
1019,djqtxdy,2428,2441
1019,Temirulan,2251,2312
1019,SLLN,2089,2197
1019,WerKeyTom_FTD,2113,2213
1019,will7101,2085,2194
1019,Antoine,2002,2138
1019,liji,1935,2095
1019,Chameleon2460,2277,2324
1019,mtsd,2170,2248
1019,244mhq,2490,2480
1019,Yongaron,2001,2133
1019,IHaveShort,2241,2296
1019,Starlit,2123,2210
1019,cookiedoth,2279,2320
1019,cerberus97,2259,2306
1019,lsrothy,2186,2252
1019,webmaster,2821,2725
1019,KrK,2484,2470
1019,pllk,2244,2290
1019,yfzcsc,2426,2424
1019,998kover,2197,2257
1019,KungA,2301,2330
1019,papa3,2307,2334
1019,MofK,2298,2325
1019,Vladyslav,2282,2314
1019,frcepeda,2031,2139
1019,kopricky,2163,2227
1019,fram,2148,2217
1019,cnnfls_csy,2081,2170
1019,chenmark,2125,2199
1019,Hyperbolic,2130,2202
1019,wangck1998,1947,2079
1019,samjia2000,2428,2417
1019,antontrygubO_o,2065,2155
1019,shadowatyy,2335,2346
1019,Hoi_koro,2167,2223
1019,zhed,2121,2191
1019,BaaaaaaaaaaaaaaarkingDog,2035,2130
1019,freak93,2537,2495
1019,boook,2247,2278
1019,Rudy1444,2093,2169
1019,tqyaaaaaaaang,2413,2400
1019,applese,2226,2260
1019,johannesk,2072,2152
1019,Hujiwara,2425,2406
1019,MinakamiMarisa,2138,2196
1019,liangjs,1949,2069
1019,superguymj,2263,2284
1019,JOHNKRAM,2429,2408
1019,MicGor,2195,2233
1019,abc473848880,2244,2269
1019,dy0607,2308,2315
1019,lyk248289469,2051,2131
1019,saketh,2524,2477
1019,NoLongerRed,1946,2061
1019,QAQAutoMaton,2212,2242
1019,sysulby,2019,2107
1019,kllp,2177,2215
1019,CountOlaf,1921,2041
1019,knightL,2514,2466
1019,newbiegcz,2034,2114
1019,_rqy,2503,2455
1019,zscoder,2705,2608
1019,lzw4896s,2122,2172
1019,spiderbatman,1957,2061
1019,Timsei,2205,2230
1019,beet,2235,2252
1019,AminAnvari,1998,2086
1019,Franklyn_W,2301,2299
1019,vincent163,2033,2108
1019,pekempey,2323,2314
1019,maximumSHOT,2258,2266
1019,edisonhello,2212,2231
1019,cthbst,2115,2162
1019,FallingStar,2036,2107
1019,txingml,2156,2190
1019,williamswu2002,1981,2068
1019,yarek,2473,2425
1019,xuanquang1999,2216,2230
1019,kimden,2220,2233
1019,xwchow,2020,2091
1019,Subconscious,2320,2307
1019,TheLagoon,2295,2287
1019,hamayanhamayan,2021,2090
1019,RAVEman,2565,2492
1019,baneling,2053,2111
1019,Emiso,2235,2240
1019,n_dao107,1939,2033
1019,xolm,2159,2184
1019,zhaimingshuzms,1957,2044
1019,fhlasek,2593,2511
1019,Fister,1917,2017
1019,posij118,2043,2100
1019,Cyanic,2174,2193
1019,---Grigor---,2029,2090
1019,Nisiyama_Suzune,2406,2366
1019,lsmll,2144,2169
1019,TonySnark,2155,2176
1019,Inner_x_Peace,2152,2174
1019,jvjhfhg,2066,2111
1019,lxambulance,1993,2061
1019,henryrabbit,1998,2064
1019,dragoon,2305,2286
1019,aneesh2312,1990,2058
1019,zx2003,2287,2271
1019,riantkb,2102,2134
1019,Dreamless_Dreams,2038,2089
1019,kaldiuo,2332,2304
1019,RDDCCD,2193,2199
1019,SpicyChickenDDC,1983,2049
1019,lucasr,2108,2136
1019,zhouzhendong,2065,2105
1019,rareone0602,1919,2006
1019,fmqjpt,2289,2268
1019,wiwitrifai,2394,2348
1019,jiangshibiao,2267,2250
1019,Saber_Excalibur,2145,2160
1019,UESTC_Sphinx,2151,2163
1019,waic,1951,2023
1019,Mediocrity,2227,2218
1019,ngkan,2042,2084
1019,fruwajacybyk,2159,2167
1019,dredwerkz,1977,2038
1019,Jimanbanashi,2152,2161
1019,Noam527,2201,2196
1019,Jungarr1k,2161,2166
1019,mayaohua2003,1911,1992
1019,ppavic,2120,2136
1019,Wavator,2289,2262
1019,wu_qing,1905,1986
1019,danya090699,2188,2184
1019,lucasturci,1971,2029
1019,beginend,2258,2237
1019,smiken,2185,2181
1019,cuizhuyefei,2332,2292
1019,math957963,1950,2013
1019,GoogleBot,2060,2088
1019,epicure,2073,2097
1019,iura,1930,1997
1019,sunsiyu,2154,2155
1019,PhoenixGS,1932,1998
1019,cjtoribio,2310,2272
1019,gbuenoandrade,1900,1976
1019,rotavirus,2161,2158
1019,sun_en_ze,2117,2125
1019,dpaleka,2078,2097
1019,-is-this-fft-,2031,2063
1019,Degalat57,1902,1974
1019,Jayce132,2104,2114
1019,kimiyuki,2166,2160
1019,dohyun0324,1998,2038
1019,IgorI,1965,2014
1019,HIT_TOM,1993,2033
1019,KieranHorgan,1942,1998
1019,Filyan,2019,2051
1019,MaxZubec,1955,2006
1019,Roundgod,2155,2148
1019,Klungs,2155,2148
1019,smallest_ling,2052,2072
1019,Kuroni,2038,2062
1019,PlasmaVortex,2118,2119
1019,kostka,2421,2351
1019,Aeon,2503,2413
1019,Joker_23,1922,1979
1019,Feeey,2239,2209
1019,Hec,2229,2200
1019,hld67890,2106,2108
1019,KevinWan,2002,2032
1019,tkandi,2022,2046
1019,MisakaKuma,2017,2042
1019,anpans,1912,1969
1019,Tommyr7,2386,2320
1019,LittleFairyMY7,2019,2041
1019,dzerzhinski,1933,1982
1019,Mstdream,2251,2214
1019,Michael,2313,2262
1019,negiizhao,2175,2155
1019,LiChenKoh,2282,2237
1019,paulinia,1996,2023
1019,Julek,2232,2198
1019,mango_lassi,2248,2209
1019,SiriusRen,1900,1955
1019,njupt_lyy,1916,1965
1019,Rzepa,2119,2110
1019,donentseto,2069,2072
1019,lnhc1,1951,1988
1019,Derbent,2074,2075
1019,sadovan,2012,2030
1019,teapotd,1916,1962
1019,johann_wang,1938,1976
1019,elizarov,2101,2093
1019,Odin-,1904,1953
1019,Marckess,2132,2115
1019,just_soso,2024,2035
1019,fjuengermann,1909,1954
1019,mzhmxzh,2116,2103
1019,uwi,2548,2439
1019,Snipx,1984,2005
1019,Kallaseldor,1965,1991
1019,ehnryx,2343,2277
1019,TsReaper,2160,2134
1019,gisp_zjz,2381,2306
1019,xzm2024,2014,2024
1019,ATS,2079,2072
1019,kessido,2016,2025
1019,desert97,2492,2392
1019,kotamanegi,2141,2117
1019,sddyzjh,2015,2023
1019,SoSad,1961,1984
1019,yusufsholeh,2130,2107
1019,_smhx,1912,1948
1019,yp155136,2057,2052
1019,cjwj5505,2069,2060
1019,ppetter1025,2018,2022
1019,aiwprton,1925,1955
1019,PuRpLe_FoReVeR,2001,2009
1019,mike_live,2060,2052
1019,harryoooooooooo,2242,2191
1019,Darling-IcePrincess_1968,1971,1986
1019,fange123,1971,1985
1019,Hazyknight,2197,2155
1019,hohomu,2291,2228
1019,zjuwyz,1959,1976
1019,Apollon76,2053,2044
1019,tinca_matei,1954,1971
1019,Allunlimited,2236,2184
1019,Gediminas,2112,2087
1019,Quang,2124,2096
1019,natsugiri,2324,2252
1019,adorkable_,1981,1988
1019,Jakube,2192,2148
1019,egor_bb,2499,2390
1019,Farhod,2305,2236
1019,aabdelzaher,1941,1957
1019,RGR,1937,1954
1019,Stelutzu,2006,2004
1019,IgorL,1916,1938
1019,PinkRabbitAFO,2232,2177
1019,Neil,2196,2148
1019,AsleepAdhyyan,1902,1927
1019,AkshajK,2153,2114
1019,great_influence,2046,2031
1019,dorijanlendvaj,1970,1974
1019,kissgergely,1969,1973
1019,aditya1701,2056,2038
1019,georgerapeanu,2117,2084
1019,waynetuinfor,2181,2133
1019,Dancing_In_The_Dark,1978,1977
1019,Hiasat,1946,1953
