contest_id,handle,old_rating,new_rating
1040,GSHSIF,1500,1903
1040,gosuto,1817,2079
1040,Onjo,1885,2107
1040,sturdyplum,1868,2082
1040,LYJabc,1500,1829
1040,kimnait,1891,2080
1040,Mlxa,1726,1959
1040,spj_29,1880,2059
1040,Yoohyeon,1500,1801
1040,starmku,1837,2019
1040,Archange1,1659,1894
1040,Photon_,1854,2022
1040,DoomzGay,1802,1982
1040,kvk1920,1880,2033
1040,st-Firdavs,1654,1876
1040,Laiu,1738,1929
1040,Deathly___Hallows,1737,1925
1040,IC-LiuLi,1577,1814
1040,pro100leo,1882,2020
1040,KruciGang,1764,1936
1040,_vg_,1749,1923
1040,Xrite,1787,1947
1040,KobetheGOAT,1779,1940
1040,zser,1582,1806
1040,_Dragon_,1871,2000
1040,RP_9,1810,1955
1040,Fly_37,1801,1944
1040,w0nsh,1759,1915
1040,sega_hsj,1819,1956
1040,VinceJudge0,1628,1825
1040,APwhitehat,1709,1878
1040,Samaritan123,1774,1920
1040,PeregudovSergey,1884,1996
1040,alexxx998,1801,1936
1040,maksim.gaponov,1747,1898
1040,DSG213,1645,1827
1040,JonasAAA,1607,1801
1040,antguz,1898,1999
1040,mandinga,1872,1979
1040,Linkus,1888,1990
1040,blazeva1,1827,1944
1040,DoanPhuDuc,1721,1871
1040,murugappan_s,1874,1976
1040,yamunaku,1888,1985
1040,VLamarca,1842,1950
1040,zhhhplus,1654,1821
1040,manishtanwar,1832,1942
1040,miha715lev,1891,1983
1040,muht,1783,1906
1040,DomiKo,1762,1890
1040,EloHell,1666,1824
1040,levapnilirbuz,1880,1971
1040,pavlekn,1838,1941
1040,m4tx,1590,1770
1040,Rinne,1812,1921
1040,simonm,1880,1968
1040,mredigonda,1836,1934
1040,knandy,1853,1946
1040,nickpros,1898,1978
1040,celesta,1487,1699
1040,aymanrasheed7,1822,1923
1040,loyolman,1814,1916
1040,arshad2117,1714,1846
1040,VadymKa,1753,1872
1040,cbosch_carlgauss,1731,1856
1040,Road_to_8a,1622,1782
1040,tubone,1880,1959
1040,Information_schema,1760,1874
1040,m4h,1794,1897
1040,ingloryon,1670,1811
1040,Mistra,1750,1865
1040,SHAMPINION,1899,1969
1040,kumino,1813,1907
1040,kuprelis,1595,1758
1040,euLnaKt,1720,1841
1040,pmarecki,1733,1850
1040,Adel_SaadEddin,1690,1819
1040,Flavius,1819,1908
1040,gggggxz,1732,1847
1040,lucasturci,1874,1946
1040,baobab,1736,1848
1040,JABAIY,1893,1958
1040,flash_7,1871,1942
1040,vadimmm,1892,1957
1040,csfxjtu96,1705,1825
1040,Silentselene,1899,1961
1040,old_boo,1625,1769
1040,Allen_3,1818,1902
1040,xb2403,1823,1904
1040,mateuszlewko,1703,1820
1040,jackyliuxx,1761,1860
1040,lucky_love,1469,1664
1040,sarkar,1856,1926
1040,stefansav,1853,1923
1040,bitcoin,1804,1888
1040,vtantia,1766,1860
1040,FrozenBlood,1828,1904
1040,the_timur,1757,1853
1040,romarioGI,1729,1833
1040,redotter,1638,1770
1040,snv2,1702,1813
1040,minty99,1530,1698
1040,IceKnight1093,1754,1848
1040,peti1234,1888,1943
1040,primaryStu,1698,1809
1040,waow,1535,1699
1040,Kharouba,1861,1922
1040,VinBat,1875,1932
1040,printul,1827,1897
1040,abeaumont,1670,1787
1040,fivut,1824,1894
1040,taiwaiming2003,1667,1784
1040,Degalat57,1845,1908
1040,MortadaMansour,1875,1929
1040,TurboSergikk,1718,1817
1040,Jostic11,1845,1907
1040,ielenik,1879,1931
1040,Hydrophis,1889,1938
1040,abhinavchoudhary1997,1791,1867
1040,sayedgkm,1844,1904
1040,Firebat,1631,1755
1040,kulezi,1729,1822
1040,comosus7,1848,1906
1040,maras,1794,1867
1040,saluev,1725,1818
1040,newbiecoder123,1814,1880
1040,Vitorvgc,1654,1768
1040,MccNess,1517,1677
1040,Harshad,1768,1846
1040,daniboybye,1508,1670
1040,MishaPrigara,1894,1936
1040,just_try,1236,1501
1040,aniaBOS,1461,1638
1040,oleg_b,1785,1857
1040,lsantire,1837,1893
1040,deepanshugarg,1740,1824
1040,WildUtah,1858,1907
1040,Plurm,1787,1857
1040,risujiroh,1878,1921
1040,no_one_,1617,1738
1040,_nEro_,1681,1781
1040,CCDV2,1824,1881
1040,walht,1823,1880
1040,nuclode,1419,1607
1040,curlink,1767,1840
1040,sarthakmanna,1691,1786
1040,MohamedHamada_,1338,1556
1040,MathAlex,1881,1920
1040,incognito_,1625,1740
1040,Hossam,1674,1773
1040,ajecc,1829,1882
1040,vnd,1623,1737
1040,zxnm19980609,1895,1928
1040,_no0B,1655,1759
1040,moyamo,1844,1891
1040,m0nk3ydluffy,1733,1812
1040,Princ_iple,1749,1822
1040,romanovsavelij,1615,1730
1040,Shahyn,1511,1660
1040,iwanttobered25,1691,1781
1040,harveyycyang,1610,1725
1040,I_am_hungry,1640,1745
1040,AnandVeeramani,1519,1664
1040,baqari131,1461,1626
1040,47th-draganov,1780,1842
1040,poteryan_i_ne_naiden,1829,1877
1040,I_AM_KHELAR_CHELE,1361,1562
1040,arman_ferdous,1733,1808
1040,vamshi007,1707,1789
1040,DanWallgun,1571,1696
1040,liulise,1666,1760
1040,nicksona,1799,1853
1040,govind_lahoti,1847,1887
1040,universe-,1701,1783
1040,eLLo,1717,1794
1040,TrueStore,1500,1647
