contest_id,handle,old_rating,new_rating
1060,scott_wu,2887,3064
1060,sunset,2962,3076
1060,TLE,3137,3181
1060,whzzt,2679,2826
1060,fateice,3026,3067
1060,bmerry,2824,2907
1060,AwD,2742,2837
1060,xumingkuan,2678,2782
1060,ugly2333,2551,2681
1060,Radewoosh,2899,2931
1060,crhkr,2314,2495
1060,yhx-12243,2075,2319
1060,yfzcsc,2525,2639
1060,Tommyr7,2391,2536
1060,orbitingflea,2539,2640
1060,zhangzy,2262,2433
1060,wiwitrifai,2488,2594
1060,Golovanov399,2547,2634
1060,WA_TLE,2617,2682
1060,cz_xuyixuan,2776,2797
1060,lyx_cjz,2023,2245
1060,tqyaaaaaaaang,2505,2590
1060,mHuman,2031,2244
1060,kczno1,2421,2523
1060,fmqjpt,2206,2363
1060,yuanmaoheng,1664,1985
1060,Wild_Hamster,2283,2414
1060,chenjb,2355,2464
1060,sqrtdecompton,2311,2430
1060,ksun48,2991,2933
1060,RAVEman,2480,2549
1060,_rqy,2470,2538
1060,BledDest,2520,2575
1060,voover,2694,2702
1060,briansu,2255,2376
1060,supy,2237,2361
1060,Um_nik,3237,3104
1060,lastans,2492,2545
1060,FutureGadgetLaboratory,1783,2034
1060,zhouzhendong,2146,2288
1060,TLEwpdus,2600,2620
1060,duweihua,2333,2421
1060,Kaildls,2061,2223
1060,applese,2320,2407
1060,gskhirtladze,2182,2306
1060,craborac,2619,2624
1060,TripleM5da,2097,2241
1060,lsmll,2222,2331
1060,izban,2925,2853
1060,FizzyDavid,2903,2835
1060,Subconscious,2363,2430
1060,Aguin,2118,2250
1060,Kuzey,2224,2326
1060,DEGwer,2722,2694
1060,cdkrot,2446,2486
1060,neal,2569,2577
1060,nocriz,2211,2311
1060,Starlit,2273,2355
1060,gisp_zjz,2506,2526
1060,KCAH,1635,1905
1060,kektus,1927,2104
1060,blatuitorulmlc,2089,2216
1060,nikanqilaizhenhaoxiao,2522,2534
1060,splay,1550,1843
1060,cly_none,2012,2159
1060,junie,1964,2124
1060,Roundgod,2109,2226
1060,memset0c,1596,1869
1060,YuanyuanWu,2094,2213
1060,blackEarth,2517,2523
1060,Morokei,2151,2252
1060,HIR180,2472,2488
1060,AceSrc,2340,2389
1060,Isaaaaaaac,2233,2309
1060,will7101,2300,2357
1060,mmkh,1942,2098
1060,yzyyyIx,1723,1945
1060,ohweonfire,2718,2667
1060,MrDindows,2596,2575
1060,zusuyu,1911,2073
1060,Emma.Yin,1878,2049
1060,Merkurev,2677,2633
1060,black_horse2014,2697,2647
1060,_Happy_New_Year_,1829,2012
1060,panole,1500,1788
1060,Rzepa,2303,2350
1060,RDDCCD,2280,2332
1060,nqiiii,2162,2245
1060,imeimi,2237,2299
1060,beginend,2308,2351
1060,irkstepanov,2441,2449
1060,hohomu,2355,2384
1060,greencis,2318,2356
1060,zzdAK,1500,1780
1060,RedNextCentury,2163,2241
1060,jijiang,2140,2223
1060,Elegia,2361,2385
1060,zscoder,2679,2623
1060,Timsei,2230,2287
1060,Feeey,2300,2338
1060,adamant,2128,2211
1060,MarkF,2364,2384
1060,readers4,1901,2047
1060,emoairx,2095,2185
1060,xuanquang1999,2395,2404
1060,dwjshift,2294,2329
1060,LJC00118,2142,2217
1060,BigBag,2515,2493
1060,YogayoG,2319,2346
1060,ikatanic,2764,2680
1060,tkandi,2046,2145
1060,Deluxurous,2122,2198
1060,ppc_qjd,2298,2328
1060,OYJason,2080,2167
1060,RNG.Uzi,1985,2098
1060,xuanyi,1791,1961
1060,OMG_link,2022,2123
1060,mengbierr,2084,2168
1060,kimden,2234,2277
1060,LGD.GodV,1500,1760
1060,GoForIt,2391,2392
1060,yybyyb,2238,2278
1060,ytc020306,1765,1937
1060,KDTree,1541,1784
1060,budalnik,2416,2408
1060,jiangshibiao,2250,2284
1060,LoneFox,2100,2173
1060,ddpag,1800,1959
1060,zbww,2130,2195
1060,pekempey,2329,2341
1060,Anadi,2462,2440
1060,imalyd,1885,2017
1060,I_love_tigersugar,2245,2277
1060,baluteshih,2163,2216
1060,sirknightingfail,2176,2225
1060,SYCstudio,1820,1968
1060,KungA,2239,2270
1060,amethyst0,2579,2525
1060,luhong,1925,2041
1060,DOlaBMOon,2221,2255
1060,memset_inf,1500,1747
1060,Mr_Spade,2123,2182
1060,TEA_AK,1667,1858
1060,kimiyuki,2285,2301
1060,riantkb,2217,2250
1060,PaulShi,1511,1751
1060,-eidolon-,2279,2295
1060,davidlee1999WTK,2090,2155
1060,ghostfly233,1992,2083
1060,-FizzyDavid,1494,1737
1060,AndreySergunin,2712,2619
1060,jonathanirvings,2601,2534
1060,fblogy,2181,2220
1060,newbiegcz,2248,2269
1060,super_rudy,1702,1876
1060,bzh,1938,2042
1060,tene3nt,2109,2165
1060,Cekavis,2147,2192
1060,FluffyBunny,1804,1945
1060,AristocratMarser,1749,1906
1060,Jiangkangping,2019,2097
1060,functionendless,1892,2006
1060,Samsara_Karma,2121,2171
1060,HEXU123,1973,2063
1060,yusufsholeh,2111,2163
1060,superguymj,2358,2346
1060,Danylo99,2192,2221
1060,Sugar_fan,2229,2248
1060,huzzah,2127,2173
1060,high-cold,1582,1785
1060,std_algorithm,1656,1836
1060,goldgenius,2194,2221
1060,Camouflager,2023,2094
1060,binsjl,2231,2247
1060,Chuzyh,2112,2159
1060,Dilute,1613,1804
1060,laurent.demonet,1886,1995
1060,Anson529,2010,2083
1060,sarkar,1984,2064
1060,cwy,2472,2426
1060,darkfire,1810,1939
1060,samjia2000,2564,2495
1060,athin,2278,2279
1060,PinkRabbitAFO,2158,2189
1060,fengsuiyan,2126,2165
1060,fange123,2030,2094
1060,wucstdio,1986,2062
1060,Ilya_MSU,2362,2340
1060,ComicLover,2095,2141
1060,ATS,2287,2282
1060,sunsiyu,2241,2248
1060,_Reborn_,2244,2250
1060,Michael_Bryant,1667,1833
1060,fyy2603,2151,2180
1060,haj_lemon,2114,2152
1060,mshcherba,1932,2019
1060,kkkkkkDylan,1771,1904
1060,Itst,1695,1850
1060,hloya_ygrt,2400,2365
1060,Uziiiii,1500,1716
1060,tfg,2221,2229
1060,SqwrIwy,2192,2207
1060,GuessYCB,1711,1860
1060,Belalabella,1718,1864
1060,ljt12138,2137,2166
1060,akat,1889,1985
1060,Stikas,1791,1914
1060,G20202501,1738,1876
1060,shb,2012,2072
1060,skip1978,1818,1932
1060,N.E.R.O,1992,2057
1060,Als123,1966,2038
1060,ae04071,2043,2093
1060,DCXDCX,1659,1819
1060,zhouyuheng,1971,2040
1060,falanga,2156,2175
1060,lakelolasta,1500,1709
1060,liangjs,2152,2172
1060,the_Despair_,1833,1940
1060,dgklr,1491,1702
1060,just_soso,2138,2161
