contest_id,handle,old_rating,new_rating
1067,Radewoosh,3128,3239
1067,ksun48,2946,3051
1067,LHiC,3183,3199
1067,aid,2748,2858
1067,Kostroma,2847,2917
1067,azneyes,2084,2364
1067,Phronesis,2290,2490
1067,Xellos,2376,2541
1067,Chameleon2460,2334,2504
1067,KADR,2505,2619
1067,uwi,2753,2796
1067,Lewin,2612,2686
1067,MAMBA,2122,2336
1067,I_love_Albert_Gural,2257,2422
1067,chemthan,2440,2546
1067,kefaa,2496,2582
1067,neal,2525,2599
1067,zemen,2854,2840
1067,bazsi700,2326,2449
1067,Fekete,2110,2299
1067,skywalkert,2274,2406
1067,593119681,2428,2512
1067,krijgertje,2787,2774
1067,Anadi,2402,2487
1067,Toxtricity,2146,2307
1067,Sonechko,2314,2419
1067,Anachor,2109,2277
1067,Subconscious,2419,2489
1067,MrDindows,2544,2578
1067,irkstepanov,2380,2456
1067,Boterphile,2046,2226
1067,Reyna,2368,2443
1067,receed,2348,2427
1067,DearMargaret,3116,2995
1067,Markellonchik,2255,2357
1067,Firastic,1907,2128
1067,fdironia,1958,2157
1067,misztsu,2114,2255
1067,TLEwpdus,2553,2565
1067,antontrygubO_o,2217,2321
1067,scanhex,2514,2533
1067,percywtc,2283,2363
1067,Arterm,2512,2528
1067,_LeMur_,2211,2309
1067,comfi,2041,2194
1067,molamola.,2942,2846
1067,kostka,2360,2410
1067,Jatana,2184,2284
1067,Martin53,2242,2323
1067,Milanin,2196,2289
1067,nuip,2414,2444
1067,riadwaw,2433,2456
1067,Roundgod,2173,2269
1067,gamegame,2691,2647
1067,vhnvn,1993,2147
1067,Egor.Lifar,2282,2341
1067,abc473848880,2461,2470
1067,Nazikk,2177,2265
1067,AFO_OFA,2171,2258
1067,voover,2630,2594
1067,erd1,1979,2130
1067,zeliboba,2518,2507
1067,BigBag,2625,2587
1067,KrK,2566,2541
1067,misael,2145,2234
1067,kektus,2104,2203
1067,Wild_Hamster,2483,2475
1067,amethyst0,2665,2612
1067,laurageorgescu,2164,2242
1067,dorijanlendvaj,2065,2174
1067,dai,1982,2118
1067,Golovanov399,2665,2608
1067,I_love_tigersugar,2348,2369
1067,Deemo,2563,2529
1067,LoneFox,2262,2304
1067,sqrtdecompton,2383,2391
1067,423555290,2290,2323
1067,AllCatsAreBeautiful,2445,2436
1067,.I.,2100,2186
1067,MicGor,2377,2383
1067,mango_lassi,2421,2415
1067,Noam527,2240,2281
1067,Weeeee,2154,2220
1067,tamionv,2281,2309
1067,_rqy,2411,2403
1067,hloya_ygrt,2337,2348
1067,mHuman,2307,2325
1067,LiChenKoh,2322,2336
1067,toxzi,2045,2139
1067,ngkan,2168,2223
1067,Temotoloraia,2139,2201
1067,polingy,1937,2065
1067,hank55663,2211,2250
1067,Zarxdy34,2138,2198
1067,244mhq,2490,2455
1067,Gloid,2059,2142
1067,Farhod,2180,2224
1067,Motarack,2402,2387
1067,btk15049,2185,2226
1067,Pakalns,2178,2221
1067,zoomswk,2115,2175
1067,guille,2336,2334
1067,MofK,2430,2404
1067,ZhNV,2290,2298
1067,lessmeaning,2064,2137
1067,yarrr,2118,2172
1067,cephian,2223,2247
1067,khokho,2257,2271
1067,ipaljak,2119,2170
1067,mkisic,1949,2055
1067,ec24,2114,2166
1067,Shayan,2374,2355
1067,memopaper,2259,2269
1067,amsen_,2068,2132
1067,gauss148,1902,2021
1067,Len,1961,2059
1067,sarkar,2159,2192
1067,danya090699,2286,2285
1067,xh286286,2176,2204
1067,Minnakhmetov,2136,2174
1067,posij118,2040,2107
1067,Qwertenx,2131,2169
1067,splucs,2148,2181
1067,leaf1415,2122,2160
1067,mshcherba,2078,2129
1067,EnjoyCallen,1940,2036
1067,lebowski998,2201,2216
1067,leaomatheus,2254,2254
1067,trueshogun,1913,2016
1067,Nisiyama_Suzune,2471,2418
1067,peanutpedo20,2148,2175
1067,nhho,2412,2371
1067,AlanWaP,2054,2107
1067,Bassel,1973,2049
1067,almasalmas,1928,2020
1067,hayk.saribekyan,2045,2098
1067,Marckess,2163,2181
1067,anta.baka,2046,2097
1067,radoslav11,2339,2311
1067,yplusplusplus,1985,2055
1067,2002iq,2170,2184
1067,Mikaeel,2218,2218
1067,super_azbuka,2207,2210
1067,Aleks5d,1999,2060
1067,Jajceslav,2067,2107
1067,gop2024,2228,2223
1067,malcolm,2249,2238
1067,ajinkya1p3,2050,2093
1067,dujvet,2093,2123
1067,WillyPillow,1931,2011
1067,spj_29,2038,2082
1067,kmjp,2498,2426
1067,AkshajK,2121,2139
1067,LeCaRiBoU,2105,2128
1067,SerezhaE,1956,2024
1067,roman.kolganov,1988,2045
1067,BenniKartefla,1955,2022
1067,nothing100,2196,2192
1067,kimiyuki,2202,2196
1067,Kita_The_Dragon,2235,2220
1067,hitman623,2105,2123
1067,kvk1920,2019,2062
1067,IgorSmirnov,2061,2091
1067,abisheka,1936,2003
1067,fruwajacybyk,2258,2234
1067,ludwig,1958,2017
1067,KrukovAA,2059,2086
1067,.anis.,2029,2065
1067,risujiroh,2120,2129
1067,Sampson,2131,2137
1067,nitishk24,2002,2043
1067,Updown,2066,2088
1067,Lixoskywalker,2075,2093
1067,mbrc,2125,2130
1067,Hell_Eclipse,2022,2055
1067,F0XY,2208,2191
1067,tfg,2320,2274
1067,Hasan0540,2244,2216
1067,YaKon4ick,2122,2124
1067,vanvector,2053,2074
1067,ae04071,2184,2170
1067,konbu,1912,1975
1067,_Rampage_,1995,2031
1067,Mindstorm,1998,2032
1067,rui-de,2273,2235
1067,Jaihk662,2042,2061
1067,miska924,1986,2022
1067,TripleM5da,2205,2182
1067,ei133333,2162,2149
1067,Tima,2137,2129
1067,Shayan.P,2201,2177
1067,xxxxxxmk,2039,2056
1067,Wielomian,1997,2026
1067,kilotaras,2141,2130
1067,AlesyaIvanova,2039,2054
1067,ludo,1996,2023
1067,Marca,1913,1965
1067,sinus_070,2038,2050
1067,leign,2021,2038
1067,rareone0602,2041,2053
1067,ppavic,2099,2094
1067,LoppA,2110,2102
1067,denis2111,2180,2155
1067,SlowDecay,2043,2052
1067,Juve45,2133,2118
1067,Maksim1744,1954,1987
1067,achi_basadzishvili,1908,1955
1067,papa3,2320,2261
1067,DSG213,1974,1999
1067,KhaledKEE,2194,2161
1067,YuHsin,2014,2026
1067,iura,2148,2126
1067,WonderMouse,2035,2040
1067,bukefala,1963,1988
1067,loan,1972,1994
1067,Shef,2469,2374
1067,SmokeOut,2059,2055
1067,bvd,1977,1996
1067,sadovan,2327,2261
1067,Barichek,2167,2136
1067,Omar_Elawady,2236,2189
1067,akat,1932,1961
1067,leanil,2155,2125
1067,MaxZubec,1951,1973
1067,Kilani,1989,2000
1067,Holidin,2424,2335
1067,fredrik.w.ekholm,2061,2051
1067,Jimanbanashi,2310,2244
1067,divanik,1921,1949
1067,VFeafanov,1938,1960
1067,Amoo_Safar,2014,2014
1067,sturdyplum,1977,1987
1067,AminAnvari,2120,2093
1067,SaSa,2157,2121
1067,Ahmed-,1953,1968
1067,_Reborn_,2250,2193
1067,adamant,2210,2161
1067,bbatti93,2286,2221
1067,ckr,2004,2002
1067,maxxaon,1990,1991
1067,_Dragon_,1956,1966
1067,Taxman,1987,1988
1067,Snich,1916,1936
1067,codelegend,2181,2135
1067,farmersrice,1942,1953
1067,mouse_wireless,2011,2003
1067,Aeon,2559,2436
1067,sdnr1,2028,2015
1067,Linkus,1928,1941
1067,tloinuy,1986,1982
1067,ankurdua15,1937,1946
1067,rotavirus,2314,2237
1067,tempura0224,2208,2152
1067,JonasAAA,1904,1920
1067,fake123,1996,1987
1067,yashChandnani,2291,2217
1067,mahathirichiro,1903,1918
1067,okwedook,1935,1939
1067,BohdanPastuschak,2222,2161
1067,cjtoribio,2273,2201
1067,ekrem,2099,2063
1067,Hiasat,2204,2145
1067,Zain,1909,1918
1067,dilsonguim,2011,1993
1067,lsantire,1964,1957
1067,ArtDitel,2039,2013
1067,MoHib85,1923,1925
1067,okura,1939,1936
1067,Arpa,2040,2012
1067,layzhi,1944,1939
1067,Flavius,1941,1936
1067,vstrimaitis,1918,1918
1067,aayush13,1941,1935
1067,Omar_Morsi,1919,1918
1067,aarcturus,2031,2002
1067,Gmacem,2050,2016
1067,Winniechen,1980,1962
1067,ovis96,1910,1908
1067,natsugiri,2500,2378
1067,snek_Case,2156,2098
1067,icecuber,2228,2156
1067,STLW_,1986,1963
1067,bertho_coder,2053,2015
1067,fsshakkhor,1994,1968
1067,Vladik,1980,1957
1067,Alisafe,1912,1904
1067,blet_Gorshok_umer,2124,2069
1067,xiaowuc1,2298,2210
1067,CtrlAlt,1971,1947
1067,budalnik,2662,2505
1067,forestryks,2254,2173
1067,----------,2101,2048
1067,Mohammad_Kartoumeh,1950,1929
1067,RUSH_D_CAT,2273,2187
1067,saba2000,2455,2336
1067,test616.cpp,2423,2310
1067,lawfung,2057,2010
1067,Filyan,2216,2139
1067,fedoseev.timofey,2164,2096
1067,ankeshgupta007,2006,1968
1067,Lebossle,2081,2028
1067,chinmay0906,2050,2002
1067,fange123,2094,2037
1067,totsamyzed,2285,2194
1067,Anai,2137,2071
1067,evpipis,2134,2068
1067,Iriskinn,1979,1943
1067,131131yhx,2301,2206
1067,remember,1910,1886
1067,ShadowLight,2162,2089
1067,rodz,1973,1936
1067,architkarandikar,1921,1893
1067,darkkcyan,2036,1985
1067,maximumSHOT,2322,2220
1067,HumptyDumpty,2013,1965
1067,jklepec,2096,2033
1067,Tanzir5,1983,1940
1067,SirShokoladina,2631,2473
1067,night_fury208,1915,1884
1067,Roberio,1986,1940
1067,xoxo,2030,1976
1067,Quang,2244,2152
1067,ThePontiacBandit,1936,1898
1067,Julek,2119,2048
1067,pajenegod,1956,1913
1067,killer_god,2005,1952
1067,bendyna.ivan,2017,1961
1067,gazelle,2079,2012
1067,anil9717,2078,2011
1067,ssor96,1968,1919
1067,GoogleBot,2136,2059
1067,RED_INSIDE,1995,1940
1067,MakArtKar,2083,2013
1067,ggoh,2212,2121
1067,AndreiCotor,1907,1866
1067,veschii_nevstrui,2215,2122
1067,cjoa,1910,1867
1067,SUN.LOVE,1949,1899
1067,Savaw,1940,1890
1067,ilovekidneystone,1983,1925
1067,SoMuchDrama,2276,2173
1067,stasio6,2256,2156
1067,samuelfgs,2237,2139
1067,mkmkl93,1972,1914
1067,haut_zy,1959,1902
1067,ANTIMIRAGE,2035,1966
1067,aropan,2407,2281
1067,PedyD,1929,1875
1067,Alpha_Q,2140,2054
1067,zyfzyf,2054,1980
1067,ltf0501,1945,1886
1067,Emiso,2149,2060
1067,Deathly__Hallows,1906,1852
1067,VLamarca,1945,1884
1067,00max09,1926,1867
1067,mike_live,1986,1896
1067,kr_abhinav,2154,2049
1067,yiku,2017,1925
1067,Karasick,2018,1926
1067,eidan,1982,1893
1067,prophet_ov_darkness,2073,1976
1067,Enolla,1935,1849
1067,Lukij,2162,2056
1067,Snipx,1939,1853
1067,Akulyat,2263,2145
1067,moe.tsuki,1986,1896
1067,VladProg,2193,2084
1067,MyXoMoP4uK,2104,2004
1067,Mediocrity,2147,2043
1067,YJHX,1945,1858
1067,levapnilirbuz,2018,1926
1067,Tiricabira,2111,2011
1067,TheLazybones,1964,1876
1067,Sorting,1945,1858
1067,james007,2155,2050
1067,N.E.R.O,2072,1975
1067,Vanek,2081,1983
1067,zdw1999,1916,1831
1067,buri_buri_zaemon_,1936,1850
1067,sggutier,1989,1899
1067,paula,2085,1987
1067,vintage_Vlad_Makeev,2221,2108
1067,naijeuohz,2012,1920
1067,Allen_3,1915,1830
1067,BaaaaaaaaaaaaaaarkingDog,2283,2163
1067,davidv1992,1953,1866
1067,jtnydv25,2288,2167
1067,aabdelzaher,2009,1918
