contest_id,handle,old_rating,new_rating
1043,scott_wu,2936,3149
1043,mnbvmar,3246,3333
1043,HIR180,2608,2833
1043,ksun48,3051,3141
1043,Benq,3098,3161
1043,geniucos,2958,3045
1043,Alex_2oo8,2638,2798
1043,Petr,3161,3176
1043,Um_nik,3176,3179
1043,V--o_o--V,3005,3046
1043,xyz111,2900,2962
1043,FizzyDavid,2895,2952
1043,zeliboba,2507,2658
1043,Endagorion,2883,2933
1043,Tangjz,2322,2512
1043,Radewoosh,3239,3189
1043,dreamoon_love_AA,2613,2718
1043,gamegame,2647,2740
1043,Golovanov399,2608,2707
1043,998kover,2476,2605
1043,LHiC,3199,3141
1043,zeronumber,2409,2549
1043,irkstepanov,2456,2581
1043,RomaWhite,2824,2852
1043,qwerty787788,2768,2807
1043,izban,2884,2891
1043,zscoder,2739,2780
1043,ChiliuDog,2380,2511
1043,kostka,2410,2530
1043,majk,2720,2759
1043,ecnerwala,2874,2871
1043,ainta,3115,3048
1043,Bedge,2287,2431
1043,Kostroma,2917,2898
1043,zxozxo4,2296,2434
1043,amethyst0,2612,2665
1043,neal,2599,2654
1043,Deemo,2529,2600
1043,MrDindows,2578,2634
1043,VArtem,2640,2679
1043,Xellos,2541,2603
1043,ko_osaga,3115,3032
1043,uwi,2796,2790
1043,peltorator,2428,2515
1043,aid,2858,2834
1043,sd0061,2636,2666
1043,Omar_Elawady,2189,2335
1043,MofK,2404,2491
1043,nanachi,1980,2184
1043,wa1tz719,2406,2489
1043,hitman623,2123,2282
1043,chemthan,2546,2591
1043,riadwaw,2456,2522
1043,voidmax,2379,2464
1043,131131yhx,2206,2336
1043,teja349,2373,2457
1043,fmqjpt,2252,2367
1043,LaiMeiyun,1500,1847
1043,TripleM5da,2182,2314
1043,Lewin,2686,2685
1043,YouAreMine,1887,2103
1043,Phronesis,2490,2537
1043,BigBag,2587,2608
1043,Wild_Hamster,2475,2523
1043,gepardo,2665,2664
1043,ikatanic,2703,2691
1043,maksay,2193,2313
1043,archie_fake,1906,2108
1043,Arterm,2528,2557
1043,Reyna,2443,2493
1043,qoo2p5,2302,2388
1043,wzp666,2307,2391
1043,muratt,2295,2381
1043,gop2024,2223,2327
1043,tamionv,2309,2389
1043,scau_support,1941,2124
1043,fsouza,2397,2452
1043,xiaowuc1,2210,2314
1043,Crossguard,1824,2040
1043,ayaze,2413,2461
1043,P_Nyagolov,1922,2106
1043,TrainingMachine,1903,2092
1043,liujunhao,2083,2218
1043,SaSa,2121,2244
1043,liuzhangfeiabc,1952,2123
1043,tfg,2274,2354
1043,AndreySergunin,2619,2609
1043,athin,2204,2301
1043,AbbCCCdddd,1500,1812
1043,waynetuinfor,2149,2259
1043,Fdg,2582,2578
1043,adkroxx,1665,1919
1043,gskhirtladze,2333,2391
1043,GT_18,1980,2136
1043,eatmore,2708,2670
1043,mHuman,2325,2383
1043,was_n,1821,2022
1043,zdolna_kaczka,2657,2630
1043,TiChuot97,2105,2221
1043,Bodo,2102,2218
1043,Mediocrity,2043,2174
1043,sunqingyanstc,1646,1898
1043,TheColemanClassic,2002,2144
1043,Motarack,2387,2423
1043,antontrygubO_o,2321,2374
1043,fastcoder,2432,2455
1043,ACRush,2811,2739
1043,natsugiri,2378,2414
1043,Jimanbanashi,2244,2315
1043,cephian,2247,2316
1043,gvaibhav21,2285,2343
1043,monster,2053,2174
1043,chitanda,2454,2467
1043,DT_Kang,1616,1869
1043,fengsuiyan,2165,2253
1043,abisheka,1908,2069
1043,pekempey,2342,2382
1043,zbww,2135,2229
1043,mxzf0213,2089,2196
1043,Roundgod,2269,2326
1043,jtnydv25,2167,2251
1043,liymbear,2299,2347
1043,Anachor,2277,2330
1043,gafeol,2039,2157
1043,bestFy,2180,2258
1043,tourist,3581,3312
1043,yuanmaoheng,1893,2051
1043,AghaTizi,2208,2276
1043,meaningIess,1744,1946
1043,Winniechen,1962,2098
1043,Egor.Lifar,2341,2373
1043,Destinies,1569,1825
1043,Shivram,2049,2158
1043,OmarHashim,2256,2308
1043,baneling,2142,2224
1043,evpipis,2068,2170
1043,stasio6,2156,2233
1043,Merkurev,2736,2665
1043,dotorya_,1500,1775
1043,ivan100sic,2440,2442
1043,TLEwpdus,2565,2535
1043,tmwilliamlin168,2623,2578
1043,saketh,2331,2358
1043,Errichto,2744,2668
1043,zemen,2840,2740
1043,sadovan,2261,2306
1043,JustasK,2635,2585
1043,Eliden,2208,2266
1043,bogdan10bos,2170,2237
1043,Tutis,2191,2252
1043,KMAASZRAA,2223,2275
1043,nhho,2371,2384
1043,KrK,2541,2511
1043,Kaban-5,2655,2596
1043,SYury,2465,2453
1043,Baliuk,1955,2079
1043,saba2000,2336,2356
1043,KieranHorgan,2039,2138
1043,nuip,2444,2435
1043,cerberus97,2386,2392
1043,allllekssssa,2096,2178
1043,ania,2237,2280
1043,dario2994,2596,2548
1043,imeimi,2299,2325
1043,fanache99,2554,2516
1043,radoslav11,2311,2333
1043,milisav,2289,2316
1043,bazsi700,2449,2435
1043,I_Love_Irelia,1975,2087
1043,rotavirus,2237,2277
1043,GoGooLi,2149,2212
1043,snek_Case,1981,2090
1043,amnesiac_dusk,2231,2271
1043,hohomu,2493,2466
1043,moe.tsuki,1896,2028
1043,Markellonchik,2357,2363
1043,murugappan_s,2081,2159
1043,briansu,2404,2397
1043,voover,2594,2540
1043,iakovlev.zakhar,2240,2274
1043,ajinkya1p3,2093,2166
1043,toomas,2235,2270
1043,YaKon4ick,2124,2188
1043,sqrtdecompton,2391,2385
1043,MicGor,2383,2379
1043,nezametdinov,2004,2100
1043,Quang,2152,2207
1043,anpans,2178,2226
1043,percywtc,2363,2362
1043,applese,2407,2395
1043,AllCatsAreBeautiful,2436,2417
1043,polingy,2139,2195
1043,nigus,2397,2386
1043,killer_god,2035,2119
1043,YogayoG,2263,2285
1043,Updown,2088,2157
1043,fake123_loves_me,2083,2153
1043,Shef,2374,2367
1043,DmitryBelikov,2213,2247
1043,kotamanegi,2133,2188
1043,aayush13,2015,2102
1043,banany2001,1748,1911
1043,Ronnie007,2122,2179
1043,sas4eka,2070,2140
1043,tinca_matei,2057,2129
1043,Barichek,2136,2187
1043,Kuha,2191,2227
1043,ladpro98,2176,2216
1043,pazabol,2023,2104
1043,Neil,2303,2310
1043,kmjp,2426,2402
1043,gen,2203,2235
1043,sava-cska,2303,2309
1043,tataky,2104,2161
1043,yashChandnani,2217,2244
1043,ThePilgrim,2326,2324
1043,Sehnsucht,2096,2154
1043,reeWorld,1991,2078
1043,Nazikk,2265,2278
1043,_Reborn_,2193,2225
1043,duyboy135,2344,2336
1043,_LeMur_,2309,2310
1043,Lixoskywalker,2045,2115
1043,wiwitrifai,2594,2524
1043,zoomswk,2175,2210
1043,egor_bb,2108,2160
1043,shb123,2416,2389
1043,how_to_become_purple,2097,2151
1043,happyrowing,2002,2082
1043,stefdasca,2207,2232
1043,Kilani,2151,2190
1043,samuelfgs,2139,2181
1043,frodakcin,1767,1913
1043,avnyu,1951,2043
1043,SeyedParsa,2302,2300
1043,rareone0602,2122,2167
1043,LoneFox,2304,2301
1043,kmyiu,2042,2108
1043,RedNextCentury,2046,2110
1043,hey_boris,2252,2262
1043,kristevalex,1756,1902
1043,papa3,2261,2268
1043,BlueDiamond,1924,2021
1043,comfi,2194,2217
1043,Toeto,2184,2210
1043,kyleliu,2128,2168
1043,hett,1958,2044
1043,Martin53,2323,2312
1043,boook,2347,2330
1043,KArs,1985,2063
1043,Pakalns,2221,2235
1043,xxxxxxmk,2022,2089
1043,IgorI,2162,2191
1043,CARLAO_BORRACHA,2200,2218
1043,helThazar,2114,2155
1043,Suzukaze,2131,2167
1043,Riqirez,1638,1814
1043,ngkan,2223,2234
1043,PoDuReM,2374,2348
1043,khokho,2271,2270
1043,azukun,2455,2408
1043,rols,1823,1942
1043,reku,2189,2208
1043,ggoh,2121,2157
1043,kimden,2269,2267
1043,foothai,2016,2080
1043,nocriz,2257,2257
1043,PaoloB,1770,1903
1043,AlexLuchianov,2163,2187
1043,Derbent,2077,2123
1043,iura,2126,2159
1043,burek967,1973,2047
1043,Hayven,2059,2109
1043,Kharouba,2023,2083
1043,kimnait,2248,2248
1043,spj_29,2037,2092
1043,nanicode,1906,1997
1043,easter.prince,2126,2157
1043,_Ash__,1987,2055
1043,IgorL,2007,2069
1043,okaduki1,2163,2183
1043,tmt514,2282,2271
1043,Sert,2340,2315
1043,VLamarca,1840,1947
1043,Amoo_Safar,2014,2073
1043,TianyiChen,2033,2086
1043,dima_z,2005,2066
1043,-is-this-fft-,2269,2260
1043,Shayan,2355,2325
1043,ialakhtin,2165,2182
1043,Tima,2129,2155
1043,gravito12345,1968,2037
1043,arnold518,1758,1887
1043,robinyu,2330,2305
1043,glebushka98,2241,2237
1043,Vadim,1779,1901
1043,dukati8,1844,1946
1043,lethalboy,2001,2060
1043,LoppA,2102,2133
1043,Hansuzu,1950,2022
1043,TahsinEnesKuru,1992,2052
1043,GabrielPessoa,2183,2193
1043,BaaaaaaaaaaaaaaarkingDog,2163,2177
1043,.I.,2186,2194
1043,average_frog_enjoyer,1969,2035
1043,aneesh2312,1876,1967
1043,arjunsanjeev7,1873,1965
1043,HDMMBLZ,1585,1761
1043,Megumi_Tadokoro,1842,1942
1043,leduythuc,1946,2016
1043,huhaoo,1984,2044
1043,xsc,1857,1952
1043,KevinWan,2030,2077
1043,pajenegod,1969,2032
1043,mbrc,2130,2150
1043,Dalgerok,2055,2094
1043,EtoNagisa,1959,2024
1043,toxzi,2139,2156
1043,FallenTurret,2072,2106
1043,wucstdio,2058,2095
1043,manoprenko,2054,2092
1043,veschii_nevstrui,2122,2142
1043,vovuh,1948,2014
1043,zetamoo,2074,2106
1043,Temotoloraia,2201,2200
1043,kilotaras,2130,2147
1043,KungA,2309,2281
1043,La-Mariposa,1816,1918
1043,miska924,2054,2090
1043,TrumPence,2243,2230
1043,jasonyik,2121,2139
1043,tamref,2008,2056
1043,--d,2504,2427
1043,Roberio,2103,2125
1043,flashmt,2322,2289
1043,RSBat,1988,2040
1043,hugopm,1976,2031
1043,lawfung,2010,2056
1043,aleex,2142,2153
1043,baluteshih,2226,2215
1043,Antoine,2114,2132
1043,gyuni,2013,2057
1043,jefrai,1838,1930
1043,PedyD,1963,2020
1043,indy256,1931,1997
1043,LeCaRiBoU,2128,2141
1043,cfk,2144,2153
1043,Emiso,2148,2155
1043,Avonazhrets,1762,1874
1043,espr1t,2184,2182
1043,fuppy,2030,2067
1043,Ferume,1909,1979
1043,bumbar,1904,1975
1043,zyfzyf,1972,2024
1043,dilsonguim,1930,1993
1043,hackerman07,1500,1690
1043,Len,2037,2071
1043,godusheep,1926,1990
1043,AQT,1961,2015
1043,----------,2159,2160
1043,beast_sl,1818,1911
1043,Ashishgup,2259,2236
1043,Firastic,2128,2137
