contest_id,handle,old_rating,new_rating
1086,mnbvmar,3099,3253
1086,V--o_o--V,3135,3232
1086,ecnerwala,3054,3147
1086,Um_nik,3166,3208
1086,Radewoosh,3357,3334
1086,Merkurev,2641,2797
1086,cz_yixuanxu,2147,2429
1086,Rewinding,2571,2724
1086,FizzyDavid,2844,2918
1086,aid,2928,2972
1086,yutaka1999,2941,2975
1086,scott_wu,3168,3137
1086,lych_cys,2649,2745
1086,sunset,3018,3014
1086,whzzt,2735,2799
1086,fivedemands,1994,2268
1086,GoForIt,2350,2504
1086,TLE,3101,3058
1086,Rzepa,2423,2549
1086,tqyaaaaang,2823,2843
1086,receed,2710,2755
1086,tabasz,2458,2564
1086,zhouyuyang,2452,2553
1086,maroonrk,2625,2681
1086,ugly2333,2597,2657
1086,zerokugi,2374,2489
1086,never_giveup,2478,2563
1086,krijgertje,2750,2763
1086,neal,2695,2719
1086,mrscherry,2412,2504
1086,Enchom,2381,2481
1086,NightGlow,2218,2363
1086,kczno1,2587,2629
1086,Motarack,2512,2571
1086,dreamoon_love_AA,2526,2579
1086,RAVEman,2733,2729
1086,uwi,2723,2722
1086,Johnny_2002,2156,2307
1086,ditoly,2581,2612
1086,function348,2454,2516
1086,Feeey,2206,2336
1086,Timsei,2263,2374
1086,love.zy,2387,2461
1086,kdh9949,2332,2419
1086,natsugiri,2609,2622
1086,gop2024,2540,2569
1086,lumibons,2204,2324
1086,DearMargaret,3157,3030
1086,diko,2280,2374
1086,131131yhx,2433,2483
1086,wxy_z,2318,2398
1086,kektus,2371,2435
1086,zscoder,2740,2708
1086,Marcin_smu,2820,2766
1086,Elegia,2367,2427
1086,Ilya_MSU,2338,2405
1086,TimonKnigge,2168,2283
1086,Quang,2376,2430
1086,hank55663,2231,2325
1086,mateusz,2342,2403
1086,----------,2229,2320
1086,sava-cska,2368,2419
1086,riantkb,2250,2333
1086,liujunhao,2338,2395
1086,Delfad0r,2205,2299
1086,mango_lassi,2499,2511
1086,orzwaz,2295,2360
1086,Subconscious,2526,2529
1086,Jatana,2342,2392
1086,Benq,3096,2955
1086,nikanqilaizhenhaoxiao,2537,2534
1086,chenjb,2464,2478
1086,Aeon,2226,2304
1086,Swistakk,2961,2849
1086,pavel.savchenkov,2268,2332
1086,ksun48,3184,3017
1086,icecuber,2249,2316
1086,TheWayISteppedOutTheCar,2016,2156
1086,DSG213,2128,2230
1086,falanga,2192,2273
1086,betrue12,2114,2218
1086,Anai,2141,2235
1086,yao11617,2095,2203
1086,HackerTina,1903,2079
1086,Shayan.P,2222,2289
1086,Konnyaku233,1910,2081
1086,saba2000,2418,2430
1086,SaSa,2141,2229
1086,Mediocrity,2432,2438
1086,espr1t,2107,2204
1086,georgerapeanu,2087,2190
1086,Arturgo,2327,2358
1086,KerimKochekov,1942,2094
1086,KCSC,2409,2417
1086,SirirNicheBirirDokan,2105,2198
1086,knightL,2282,2322
1086,omidazadi,2220,2277
1086,Noam527,2226,2280
1086,Svyat,2115,2202
1086,Okrut,2129,2210
1086,t1016d,2332,2354
1086,DEGwer,2694,2625
1086,radoslav11,2422,2418
1086,Bruteforceman,1950,2089
1086,tribute_to_Ukraine_2022,2623,2569
1086,Laggay,2241,2284
1086,matthew99,2829,2722
1086,TianyiQ,2279,2310
1086,bzh,2059,2155
1086,liji,2170,2230
1086,yefllower,2248,2285
1086,yashChandnani,2529,2493
1086,Bodo,2282,2308
1086,iakovlev.zakhar,2266,2296
1086,HbFS-,2280,2306
1086,altruist,2113,2186
1086,_Happy_New_Year_,2314,2329
1086,liriKl,2036,2133
1086,pimsp,1998,2107
1086,tfg,2481,2451
1086,elizarov,2022,2121
1086,AceSrc,2389,2381
1086,YogayoG,2318,2328
1086,sy_chen,2370,2366
1086,_guess,2124,2187
1086,Iscream2001,2269,2290
1086,yybyyb,2242,2269
1086,nocriz,2257,2280
1086,QAQAutoMaton,2171,2217
1086,MohanLau,2150,2202
1086,xdc2017,2121,2181
1086,__math,2473,2438
1086,Tsuare,2005,2101
1086,memset0c,2015,2107
1086,E.Space,2223,2250
1086,Eliden,2213,2243
1086,dario2994,2685,2595
1086,Lawali,2034,2116
1086,newbiegcz,2154,2198
1086,KrK,2603,2532
1086,OYJason,2200,2230
1086,how_to_become_purple,2246,2263
1086,ggoh,2167,2204
1086,TwoFx,2252,2266
1086,math957963,2073,2137
1086,renjingyi,2251,2264
1086,codejudge,2159,2197
1086,fshp971,2054,2123
1086,chemthan,2466,2423
1086,lmn0x4F,2145,2184
1086,zbww,2293,2291
1086,jijiang,2147,2185
1086,Hazyknight,2342,2327
1086,Pickupwin,2210,2229
1086,Shayan,2552,2485
1086,cloudcat111,2091,2143
1086,n_dao107,2135,2174
1086,RNG.Uzi,2098,2147
1086,Arpa,2102,2149
1086,Omar_Elawady,2176,2201
1086,Vergara,2246,2252
1086,cerberus97,2459,2411
1086,purple_sun,1913,2020
1086,Cyanic,2378,2349
1086,LordVoldebug,2105,2148
1086,Tima,2220,2230
1086,fetetriste,2139,2171
1086,AlanWaP,2107,2147
1086,LJC00118,2274,2268
1086,allllekssssa,2197,2210
1086,Ebola_Emperor,2049,2105
