contest_id,handle,old_rating,new_rating
1130,Markadiusz,1815,2110
1130,kizen,1802,2069
1130,TAISA_,1867,2096
1130,ista2000,1664,1945
1130,OnlyGetAC,1733,1981
1130,yhchang3,1895,2084
1130,imnotreal,1648,1909
1130,Hakumapilita,1794,2000
1130,FIawIess,1712,1939
1130,Zaee,1659,1899
1130,aryanc403,1845,2021
1130,JhonnyZaz,1895,2052
1130,IbragiMMamilov,1693,1909
1130,songer,1740,1938
1130,alex99999,1823,1991
1130,m4h,1867,2019
1130,SucculentLover,1804,1972
1130,diralik,1832,1989
1130,nic6200,1633,1852
1130,Lohehong,1782,1949
1130,Igorjan94,1853,1996
1130,Enigma27,1872,2008
1130,Tommy_2,1597,1819
1130,unkoob,1868,2001
1130,ShitFace,1500,1751
1130,tyler,1808,1955
1130,LUL____SEPLED1305,1644,1842
1130,emanuelefwm,1607,1816
1130,phoenix71,1765,1920
1130,b06401079,1556,1779
1130,binpaw,1618,1818
1130,tieuphong__,1814,1949
1130,Dmitriev,1627,1821
1130,HereToDisappoint,1712,1876
1130,Laoskiv,1626,1817
1130,silxi,1842,1963
1130,wythend,1619,1810
1130,Captain_Hook,1860,1973
1130,SvojPredivniJa,1630,1815
1130,sorry_lililalala,1721,1874
1130,xskhirtladze,1626,1809
1130,Dbro,1823,1942
1130,adversary,1759,1897
1130,asminimulin,1691,1848
1130,Mavzes,1879,1979
1130,deadRabbit,1804,1925
1130,TuGSGeReL,1781,1908
1130,Just_a_fat,1708,1855
1130,kamishogun,1807,1924
1130,TheFallenOne,1737,1874
1130,Shaykhutdinov-T-I,1786,1907
1130,begv,1886,1977
1130,wakax365,1723,1861
1130,lunch,1737,1870
1130,Sajfooo,1714,1854
1130,_koreec,1740,1871
1130,Abdelrhman_Akram,1884,1971
1130,ILoveBitches,1862,1953
1130,claw88,1861,1953
1130,0442A403,1783,1895
1130,pinksheep,1842,1936
1130,DeD_TihoN,1814,1916
1130,omar22,1838,1933
1130,Boolean17,1720,1850
1130,Junakson,1814,1915
1130,diKuprikhin,1626,1784
1130,lebeg,1885,1964
1130,natofp,1887,1964
1130,VdovinPituh,1500,1701
1130,AQT,1801,1901
1130,aaaaawa,1861,1944
1130,torus711,1898,1970
1130,BrutBurger,1884,1959
1130,Kuzia,1787,1889
1130,Bakry,1745,1859
1130,buggy.code,1768,1875
1130,qwertyyt,1780,1882
1130,aajisaka,1869,1945
1130,secret.coder,1784,1884
1130,pannenkoek,1612,1766
1130,Tsarist_Russia,1594,1753
1130,sebi110,1841,1922
1130,Reem,1865,1939
1130,introverted,1755,1861
1130,rebecacalazans,1651,1788
1130,Shan_Xian,1616,1765
1130,Drand,1637,1777
1130,amanuko,1827,1908
1130,WolfBlue,1765,1865
1130,PERNEKHAN,1820,1902
1130,baolidakai,1547,1716
1130,cqu_cxw,1692,1812
1130,Anchar,1835,1912
1130,katana_handler,1760,1858
1130,ShJ,1722,1831
1130,jeeeerrrpop,1833,1909
1130,Wesam,1786,1875
1130,Mikunyan,1324,1572
1130,E-Maxon,1607,1751
1130,F0_0H,1763,1857
1130,Redux,1752,1849
1130,zhanghuimeng,1646,1776
1130,BohotySenpai,1858,1923
1130,ThePtrocanfer,1825,1899
1130,smartandlean,1677,1795
1130,aboAdnan,1646,1774
1130,SebaMarin,1859,1922
1130,Adibov,1870,1929
1130,ruterute1,1852,1916
1130,bibaIboba,1500,1675
