contest_id,handle,old_rating,new_rating
1161,Benq,3262,3396
1161,Petr,3321,3381
1161,Errichto,2859,3005
1161,aid,2757,2906
1161,Endagorion,3014,3082
1161,Um_nik,3548,3459
1161,Kostroma,2719,2835
1161,gisp_zjz,2722,2827
1161,sevenkplus,2541,2684
1161,maroonrk,3082,3079
1161,DearMargaret,3250,3196
1161,ecnerwala,3285,3216
1161,kektus,2299,2483
1161,ainta,3066,3042
1161,dreamoon_love_AA,2664,2737
1161,niyaznigmatul,2656,2726
1161,Golovanov399,2674,2735
1161,ksun48,3037,3002
1161,scanhex,2608,2678
1161,natsugiri,2677,2725
1161,duality,2302,2449
1161,zeliboba,2611,2669
1161,mrscherry,2512,2593
1161,Arterm,2606,2659
1161,TLEwpdus,2638,2679
1161,majk,2763,2770
1161,almogwald,2193,2354
1161,NewBalance,2121,2303
1161,receed,2575,2622
1161,saketh,2519,2578
1161,Xellos,2574,2614
1161,Shayan.P,2206,2350
1161,tmt514,2271,2390
1161,black_horse2014,2774,2758
1161,MrDindows,2550,2589
1161,JustasK,2793,2769
1161,Nezzar,2593,2617
1161,Noam527,2371,2452
1161,jianzhi,1992,2192
1161,yosupo,2958,2884
1161,izban,2874,2819
1161,tmwilliamlin168,2638,2641
1161,HIR180,2684,2673
1161,fmqjpt,2293,2385
1161,bicsi,2639,2637
1161,Shef,2524,2549
1161,danya090699,2285,2372
1161,lesskreker,2172,2293
1161,KevinWan,2287,2371
1161,AndreySergunin,2552,2564
1161,Shik,2684,2661
1161,dragoon,2375,2431
1161,Barichek,2227,2320
1161,yashChandnani,2382,2431
1161,Rzepa,2474,2499
1161,dpaleka,2040,2192
1161,nonamefour0210,2426,2461
1161,fuppy,2241,2326
1161,sqrtdecompton,2490,2505
1161,Winniechen,2147,2258
1161,MicGor,2327,2383
1161,Morokei,2347,2396
1161,risujiroh,2165,2266
1161,kilotaras,2120,2234
1161,Anachor,2305,2362
1161,kort0n,2183,2274
1161,nuip,2599,2577
1161,Akulyat,2071,2196
1161,aropan,2298,2352
1161,Amoo_Safar,2311,2360
1161,leaf1415,2319,2365
1161,BigBag,2565,2546
1161,wiwitrifai,2336,2375
1161,sava-cska,2351,2385
1161,RAVEman,2560,2539
1161,tamionv,2396,2415
1161,--d,2662,2614
1161,lawfung,2132,2225
1161,244mhq,2549,2527
1161,tfg,2601,2564
1161,cerberus97,2424,2431
1161,edisonhello,2430,2434
1161,Atreus,2509,2492
1161,-Midnight-,2137,2221
1161,wakaka,2412,2418
