contest_id,handle,old_rating,new_rating
1204,79brue,1895,2224
1204,sinus_070,2062,2308
1204,baluteshih,2086,2307
1204,weishenme,1903,2167
1204,shahaliali1382,2068,2271
1204,CrescentRose,1500,1887
1204,Mohammad.H915,1831,2092
1204,ilove33,1931,2154
1204,MtOI,2069,2245
1204,Acmen,1882,2110
1204,dream_maker,1972,2167
1204,FurryChina,1833,2068
1204,jerome_wei,1876,2094
1204,Buzhibujue,1831,2060
1204,Yousef_Salama,2012,2181
1204,miblet,2061,2212
1204,Dilute_,2091,2231
1204,lzqaq,1684,1950
1204,seiko.iwasawa,2096,2229
1204,minQZ,2032,2181
1204,idxcalcal,2069,2205
1204,shurongwang,1817,2029
1204,DoubleHappy,1916,2094
1204,haleyk100198,2045,2182
1204,ustze,1898,2078
1204,popovicirobert,2057,2187
1204,Holland_Pig,1763,1983
1204,ngfam,2041,2172
1204,Ufowoqqqo,1876,2055
1204,BlakeGriffin,1862,2044
1204,TheWayISteppedOutTheCar,2063,2183
1204,-Artistic_Fantasy,1769,1978
1204,_overrated_,2006,2140
1204,icfan,1896,2061
1204,est_stella,1875,2046
1204,Yushen,2036,2157
1204,junie,1929,2080
1204,EternalAlexander,1820,2004
1204,NOI-C,1461,1769
1204,Alex_Wei,1931,2078
1204,command_block,1848,2019
1204,cy1999,2049,2159
1204,installb,1879,2038
1204,Supermagzzz,1905,2055
1204,manu,2017,2131
1204,Soul_Full_Of_Thunder,1897,2047
1204,nh_dantz,1897,2046
1204,klentory,1965,2093
1204,Rubikun,2027,2136
1204,Grzmot,2055,2155
1204,KeNaj712,1994,2110
1204,KotoriMinami,1696,1905
1204,walht,2019,2126
1204,jxf378440404,2005,2115
1204,MakeSPGreatAgain,1987,2102
1204,ljc2002,1940,2068
1204,ayerszz,1909,2045
1204,mizu163,1898,2037
1204,mihaild,2041,2137
1204,zhouhebin,2091,2171
1204,wh_bestwyj,2068,2154
1204,ShJ,1976,2088
1204,frame233,1944,2065
1204,Sumeet.Shirgure,2098,2174
1204,GreatEagle,2003,2105
1204,StevenZhu,2075,2156
1204,SoraKasugan0,1290,1637
1204,dolphingarlic,1700,1894
1204,lfw,1962,2073
1204,badcw,1828,1979
1204,s20b1_chernikov,2048,2133
1204,517,1607,1829
1204,smart_iyer,2044,2128
1204,Aug13th,1631,1844
1204,ChthollyTree,2021,2111
1204,Alexdat2000,1560,1796
1204,ultramanzero,1903,2026
1204,Dormi,1979,2079
1204,SKearbvaanl,1500,1755
1204,manocu_rat,1881,2009
1204,JPepper,1874,2003
1204,forelax,2053,2129
1204,sudoBug,1964,2065
1204,Shae,1592,1811
1204,ruogu,1627,1833
1204,Tourist_Sa_Dec,1887,2009
1204,zzq235,1658,1853
1204,fundushobhit,1500,1749
1204,YJq,1947,2049
1204,cutmdo,1850,1981
1204,ccsu_cat_love_jiejie,1990,2079
1204,dillon0108,1888,2006
1204,xiayuyang,1875,1997
1204,ttttan,1847,1977
1204,Lgq_3de5,2011,2091
1204,YeXiaoRain,2016,2095
1204,spetsnaz,1759,1915
1204,Shirley_lf,1730,1894
1204,Forneirdis,1500,1743
1204,aytal.d,2060,2124
1204,Chestnut,1735,1896
1204,retired.old.cake,1937,2035
1204,telma,1640,1831
