contest_id,handle,old_rating,new_rating
1314,sunset,3351,3438
1314,why_no_girlfriend,2511,2760
1314,Radewoosh,3199,3242
1314,maroonrk,3116,3162
1314,molamola.,3046,3095
1314,yosupo,3249,3233
1314,VivaciousAubergine,2683,2803
1314,nick452,2610,2741
1314,hos.lyric,2924,2966
1314,E869120,2723,2809
1314,ainta,3226,3178
1314,gisp_zjz,2850,2892
1314,TadijaSebez,2654,2742
1314,Shayan.P,2390,2548
1314,shadowatyy,2522,2637
1314,tribute_to_Ukraine_2022,2881,2896
1314,LayCurse,2524,2630
1314,Amoo_Safar,2505,2612
1314,-14,2402,2536
1314,jiangly,2907,2901
1314,boboniu,2189,2385
1314,twitch.tv_wookje,2415,2535
1314,kektus,2669,2716
1314,-Wave-,2326,2467
1314,lzr_010506,2667,2709
1314,TLEwpdus,2682,2717
1314,neal,2875,2858
1314,cxaphoenix,2377,2492
1314,kmjp,2617,2662
1314,nuip,2578,2631
1314,Noam527,2763,2766
1314,jtnydv25,2376,2482
1314,hank55663,2686,2704
1314,mango_lassi,2754,2753
1314,EricHuang2003,2518,2577
1314,chemthan,2521,2577
1314,Hamzqq9,2065,2261
1314,amnesiac_dusk,2705,2709
1314,fivedemands,2651,2667
1314,Isoeasy,2341,2442
1314,satashun,2401,2482
1314,Deemo,2583,2612
1314,Isonan,2456,2518
1314,orzdjq,2586,2611
1314,Timur_Sitdikov,2569,2597
1314,fastmath,2438,2501
1314,JettyOller,2384,2460
1314,cescmentation_folch,2505,2546
1314,w0nsh,2429,2490
1314,zbww,2346,2429
1314,Pigbrain,2500,2538
1314,yokozuna57,2552,2575
1314,Eliden,2332,2415
1314,ATS,2619,2622
1314,kotatsugame,2418,2473
1314,tfg,2372,2439
1314,diko,2370,2436
1314,Atreus,2502,2530
1314,qazswedx2,2550,2565
1314,ngkan,2417,2466
1314,Sulfox,2505,2529
1314,Retro3014,2547,2558
1314,hugopm,2334,2403
1314,olphe,2322,2394
1314,Toxel,2504,2524
1314,milisav,2517,2532
1314,peti1234,2225,2323
1314,aropan,2455,2485
1314,uwi,2571,2569
1314,icecuber,2656,2632
1314,mnaeraxr,2497,2512
1314,Kilani,2341,2398
1314,msuwakow,2426,2458
1314,yamunaku,2409,2445
1314,snuke,2975,2868
1314,dyxg,2138,2253
1314,alireza_kaviani,2341,2393
1314,_Ash__,2311,2371
1314,GaloisTears,2537,2534
1314,AliShahali1382,2435,2458
1314,DSG213,2208,2296
1314,littlewowo,1920,2108
1314,math957963,2503,2505
1314,pajenegod,2273,2338
1314,boook,2268,2333
1314,KevinWan,2321,2370
1314,IF_IR_A_1_IR,2217,2296
1314,fuppy,2254,2321
1314,arnold518,2202,2284
1314,spacevortex,2394,2419
1314,PinkieRabbit,2619,2586
1314,YangDavid,2225,2297
1314,please_delete_account,2332,2372
1314,GoGooLi,2345,2379
1314,BohdanPastuschak,2391,2413
1314,MrDindows,2586,2557
1314,tempura0224,2476,2474
1314,staniewzki,2122,2221
1314,SHZhang,2154,2242
1314,betrue12,2421,2431
1314,KADR,2409,2421
1314,cerberus97,2704,2642
1314,danya090699,2414,2423
1314,yashChandnani,2672,2616
1314,heno239,2594,2557
1314,Egor.Lifar,2676,2618
1314,aditya_sheth,1915,2080
1314,Anachor,2316,2348
1314,DaniilF,2333,2360
1314,Onjo,2335,2360
1314,adamant,2436,2434
1314,pavlekn,2196,2260
1314,raoxj,2185,2251
1314,natsugiri,2626,2575
1314,okwedook,2188,2252
1314,lebowski998,2429,2425
1314,edisonhello,2268,2306
1314,aarr,2159,2230
1314,fpdqwq,2141,2216
1314,mateusz,2268,2305
1314,zml,2178,2240
1314,doped.silicon,2055,2156
1314,-mmd-,1927,2074
1314,s_r_f,2143,2214
1314,ei133333,2449,2433
1314,NoLongerRed,2390,2389
1314,I_love_tigersugar,2453,2436
1314,ShadowLight,2327,2342
1314,Goorkiewicz,2359,2365
1314,Gnoud__,2142,2208
1314,Delfad0r,2372,2373
1314,Reyna,2724,2639
1314,Hezx,2097,2176
1314,dlalswp25,2476,2449
1314,wildwolf_pty,2092,2171
1314,YoshikaMiyafuji,2225,2263
1314,saketh,2671,2596
1314,xX_ucfNOTpt_Xx,1956,2080
1314,Dilute_,2146,2205
1314,Ari,2287,2305
