contest_id,handle,old_rating,new_rating
1320,ksun48,3152,3303
1320,maroonrk,3162,3268
1320,jijiang,2415,2707
1320,Radewoosh,3242,3285
1320,Um_nik,3177,3224
1320,Benq,3081,3143
1320,mnbvmar,3281,3281
1320,VivaciousAubergine,2803,2922
1320,Farhod,2578,2752
1320,FizzyDavid,2900,2979
1320,WZYYN,3081,3107
1320,Itst,2462,2651
1320,fateice,3155,3151
1320,kczno1,2755,2852
1320,skip2004,2127,2407
1320,budalnik,2735,2829
1320,aid,2976,3002
1320,boboniu,2385,2569
1320,EricHuang2003,2577,2702
1320,gtrhetr,2848,2897
1320,Maksim1744,2715,2796
1320,Rafbill,2440,2594
1320,Golovanov399,2835,2879
1320,NephrenRuqInsania,2461,2603
1320,Jayce132,2251,2453
1320,jiangly,2901,2920
1320,mo_onrabbit2,2397,2550
1320,Atreus,2530,2642
1320,E869120,2809,2844
1320,wucstdio,2796,2832
1320,step_by_step,2652,2724
1320,gop2024,2673,2735
1320,mateusz,2305,2471
1320,MicGor,2447,2569
1320,998kover,2744,2784
1320,fmqjpt,2459,2574
1320,Amoo_Safar,2612,2683
1320,DucPro,2126,2339
1320,nealchen,2517,2610
1320,cjy2003,2508,2602
1320,Toxel,2524,2612
1320,jxdxhy,2186,2372
1320,amethyst0,2855,2853
1320,wimh,2178,2363
1320,dqa2021,2179,2362
1320,nhho,2430,2536
1320,AliShahali1382,2458,2553
1320,tfg,2439,2539
1320,endless-chase,2507,2587
1320,wzp666,2493,2574
1320,neal,2858,2844
1320,Merkurev,2934,2899
1320,hitonanode,2603,2652
1320,mango_lassi,2753,2761
1320,emthrm,2132,2316
1320,msuwakow,2458,2539
1320,LayCurse,2630,2665
1320,balbit,2188,2349
1320,ezreal,1911,2171
1320,I_love_tigersugar,2436,2521
1320,fmota,2403,2496
1320,asdfghjk,2195,2349
1320,merke,2094,2280
1320,crasysky,2090,2275
1320,Nakagawa.Kanon,2194,2344
1320,Kewth,2056,2252
1320,Zory,1946,2182
1320,liji,2433,2510
1320,ainta,3178,3067
1320,lumibons,2678,2688
1320,lmtdora2004,2296,2408
1320,KrK,2693,2697
1320,Noam527,2766,2750
1320,Shayan.P,2548,2587
1320,gisp_zjz,2892,2844
1320,Anachor,2348,2440
1320,kongroo,2055,2239
1320,wooookje,2140,2294
1320,chemthan,2577,2604
1320,beet,2400,2474
1320,cuizhuyefei,2702,2695
1320,SunshinePie,2193,2326
1320,yokozuna57,2575,2599
1320,PinkieRabbit,2586,2606
1320,nehnait,2126,2277
1320,JettyOller,2460,2511
1320,arnold518,2284,2384
1320,FoodSheep,2214,2334
1320,rapel,2185,2314
1320,smiken,2447,2499
1320,VArtem,2758,2730
1320,Aleks5d,2362,2436
1320,thebes,2150,2286
1320,changle_cyx,2134,2275
1320,ShadowLight,2342,2419
1320,Geothermal,2491,2527
1320,Lagoon_,2507,2538
1320,2829908231,2148,2280
1320,uwi,2569,2582
1320,natsugiri,2575,2586
1320,sugarrr,2122,2261
1320,BaaaaaaaaaaaaaaarkingDog,2102,2247
1320,LiciaDu,2224,2329
1320,Onjo,2360,2425
1320,CrescentRose,2145,2273
1320,Pigbrain,2538,2554
1320,teapotd,2372,2431
1320,zbww,2429,2471
1320,cescmentation_folch,2546,2558
1320,SeehtEntity,2247,2339
1320,izban,2833,2773
1320,disposrestfulIy,2179,2291
1320,pr3pony,2324,2392
1320,Yurushia,2182,2291
1320,smhh22,2085,2225
