contest_id,handle,old_rating,new_rating
1341,Zhtluo,1500,1955
1341,nusuntian,1500,1924
1341,PrinceBubblegum,1500,1906
1341,DreamLo1ita,1500,1893
1341,Sana,1889,2141
1341,NishimiyaShouko,1500,1875
1341,Prutekoi,1624,1947
1341,_Kuro_Neko_,1896,2125
1341,stevenzhang,1876,2106
1341,APELSINCHIK,1795,2045
1341,zhixusheng,1829,2064
1341,Me_and_my_girlfriend,1798,2039
1341,ay2306,1779,2022
1341,Kerpoo,1809,2039
1341,Anunay1605,1677,1947
1341,amolpratap007,1811,2035
1341,nhathuy_313,1874,2076
1341,plourde27,1756,1992
1341,sizzziy,1824,2036
1341,PizzaLovers007,1836,2042
1341,steinum,1662,1922
1341,pedrohlf,1880,2068
1341,PuKuMAPTuH,1608,1882
1341,LebronDurant,1846,2040
1341,Dalgerok,1845,2038
1341,Lelby,1818,2017
1341,ujju_karega_compy,1814,2013
1341,00000007,1878,2056
1341,IHateProma,1754,1968
1341,login,1893,2063
1341,BrunoTissei,1797,1995
1341,4eT_llpuyHblJl,1842,2025
1341,IArifAlta,1858,2034
1341,petushara,1500,1793
1341,jkchen,1749,1956
1341,Lokeo,1882,2047
1341,AbhishekVanjani,1755,1958
1341,BonI_va,1864,2032
1341,ParkJH,1689,1911
1341,Vergil,1855,2022
1341,b06401079,1887,2045
1341,Gareton,1759,1955
1341,mtewathia99,1782,1968
1341,MyAngelNanako,1876,2034
1341,freyes,1871,2029
1341,1936448617,1780,1965
1341,rising0321,1500,1779
1341,zifeiy,1201,1598
1341,tinymon,1891,2039
1341,alex.dobleaga,1899,2044
1341,TomazGomes,1758,1945
1341,2021dzeng,1842,2002
1341,pspencil,1675,1887
1341,tiliguzov,1834,1994
1341,anhpp,1899,2040
1341,forget__it,1745,1931
1341,NatInTheHat,1831,1990
1341,bvd,1847,2000
1341,sebach,1776,1951
1341,tooexperienced,1817,1978
1341,kirdmivus,1880,2022
1341,border,1739,1922
1341,Wegz,1742,1924
1341,You_,1797,1961
1341,marcipan5000,1595,1825
1341,tuananh238,1830,1983
1341,cannoneer,1803,1963
1341,notpsaini,1661,1866
1341,MarcosK,1864,2005
1341,Japoorv,1639,1850
1341,spooky__boogie,1778,1943
1341,Roll_Num_56,1858,1998
1341,cxxxxxxx,1737,1913
1341,suri_kumkaran,1840,1984
1341,ss1729,1852,1992
1341,MADKIRUS,1715,1897
1341,miss_robot,1741,1914
1341,NiceTryMan,1712,1894
1341,PedroBigMan,1852,1989
1341,Spanta,1827,1971
1341,N.N_2004,1851,1988
1341,Ice_Bear_,1543,1780
1341,ascent,1739,1909
1341,Anurag_Mudgil,1894,2017
1341,Sakhiya07,1811,1958
1341,m0nk3ydluffy,1803,1952
1341,oscar1f_will_win_IOI2024,1898,2018
1341,CallMeVictus,1616,1823
1341,javatemplate,1743,1909
1341,rivalq,1889,2010
1341,vmik7,1764,1922
1341,blackyuki,1713,1886
1341,aasom143,1720,1890
1341,tauhrick,1883,2004
1341,giangdao,1854,1983
1341,alt_acc3,1706,1880
1341,Lxyc,1885,2003
1341,terserah,1683,1863
1341,Peppa__Pig,1876,1996
1341,Lautaro,1614,1816
1341,black_grape,1734,1896
1341,bi11a1,1694,1869
1341,AmdSadi,1759,1913
1341,Sturdy,1659,1844
1341,ExplodingFreeze,1840,1968
1341,Vimmer,1691,1865
1341,aminullptr,1699,1869
1341,priyesh_coder,1824,1955
1341,yapoo,1645,1833
1341,Decayed,1744,1899
1341,MasterPlease,1689,1861
1341,khaled_ismaeel,1833,1960
1341,zesus,1802,1938
1341,fake_practice,1784,1925
1341,wewark,1809,1942
1341,andr1y,1833,1958
1341,dg2004,1761,1908
1341,Nodir_Bobiev,1851,1970
1341,Venio,1884,1993
1341,forgotten,1801,1934
1341,holden1,1628,1816
1341,tikul,1876,1986
1341,aman9875,1761,1905
1341,mailo102,1822,1947
1341,NotKrip,1820,1946
1341,NelsonGomesNeto,1677,1847
1341,Ran,1885,1991
1341,UngaBunga,1688,1854
1341,CLVVV,1658,1833
1341,PedroCastillo,1862,1972
1341,Dragonmind,1893,1994
1341,hackerwizard,1896,1997
1341,ak532,1851,1965
1341,nishant.ns19,1840,1956
1341,twocutcake,1863,1972
1341,___Johniel,1728,1878
1341,shadowPokemon314,1580,1778
1341,dcordb,1835,1951
1341,puneetrai04,1873,1978
1341,DANDROZAVR,1821,1941
1341,WyattWismer,1890,1989
1341,gumgood,1617,1801
1341,twobrothers,1882,1983
1341,123pow,1808,1930
1341,slava.sh,1734,1878
1341,sajibreadd,1874,1976
1341,Takagi,1853,1961
1341,Sunyx_2021,1668,1833
1341,purp4ever,1857,1963
1341,yukinon0808,1843,1953
1341,FrozenGuardian2,1609,1792
1341,ONSEMIRO,1545,1750
1341,anishmahto,1677,1837
1341,killpop,1718,1865
1341,Licha06,1500,1719
1341,qpwoeirut,1757,1891
1341,ccsu_deer_4,1754,1889
1341,freezedome,1727,1870
1341,index_,1763,1894
1341,fire_tornado,1765,1895
1341,korkinkos,1886,1980
1341,geek_unknown,1803,1921
1341,knifeman,1819,1932
1341,ProfGiri,1766,1895
1341,monkey.master,1772,1899
1341,ubamba98,1619,1794
1341,31536000,1876,1971
1341,SaeedSabbagh,1726,1866
1341,pranavg000,1843,1947
1341,satyamgarg121,1718,1860
1341,300iqtxdy,1786,1907
1341,Tzak,1836,1941
1341,0-jij-0,1852,1952
1341,Renatyss,1643,1808
1341,Charbel,1856,1954
1341,highbias,1744,1876
1341,2sozx,1836,1940
1341,TheHarshShow,1771,1894
1341,kuksag,1719,1858
1341,Hibiki_72,1730,1865
1341,AnimeshSinha1309,1872,1965
1341,avm,1826,1931
1341,REALBOY,1714,1853
1341,futanaristic,1755,1882
1341,moidda,1684,1833
1341,insider_pants,1771,1892
1341,rishabh_singh_,1768,1890
1341,bansals888,1890,1976
1341,ShawnDong,1682,1830
1341,bestara,1731,1863
1341,jjun55,1568,1753
1341,I_love_Michel_Sardou,1706,1845
1341,A05,1789,1903
1341,smokescreen,1836,1936
1341,roronoa_,1618,1785
1341,reiracofage,1839,1937
1341,LZDQ,1850,1945
1341,kogorou,1842,1939
1341,_Aaryan_,1879,1965
1341,ball_of_wool,1856,1948
1341,XarrisApoLemeso,1740,1866
1341,GandarfGamer1,1549,1738
1341,yuto1115,1602,1773
1341,enutroh,1870,1957
1341,_samariddin_,1637,1796
1341,nipun19,1644,1800
1341,Kirill_Mitkin,1805,1911
1341,mello,1761,1880
1341,catchharsh,1691,1831
1341,andreumat,1784,1895
1341,nEw_PineaPple,1811,1914
1341,BakaC1rno,1824,1923
1341,amankrsingh1812,1795,1902
1341,zzc123,1436,1663
1341,YoyOyoYOy000y000,1695,1832
1341,low_kii_savage,1834,1929
1341,ghoshsai5000,1704,1838
1341,BitHashTech,1639,1794
1341,Willem,1743,1865
1341,jurichhh8,1880,1961
1341,coxie,1660,1807
1341,safiullinzufar,1713,1843
1341,shajal,1599,1766
1341,phantom11,1763,1877
1341,Mellor,1733,1856
1341,dAC.,1788,1894
1341,newStartNotSure,1601,1766
1341,ss_loves_AC,1758,1873
1341,nightlight,1873,1954
1341,Raveesh,1852,1939
1341,Ardor,1875,1955
1341,badSHAH,1721,1846
1341,xianlong,1500,1698
1341,SinaSahabi,1687,1822
1341,derovi,1891,1966
1341,elliptic,1690,1824
1341,ankit_1107,1735,1855
1341,jupiro,1896,1969
1341,akshat17014,1580,1750
1341,JOF,1364,1611
1341,vladalos,1895,1967
1341,yordanlp,1851,1936
1341,bahakz,1883,1958
1341,Dzwhzzmcbw63q,1742,1858
1341,DavitMarg,1827,1918
1341,ertuan,1809,1905
1341,asklvd,1708,1834
1341,2018LZY,1740,1856
1341,dummkopf,1680,1815
1341,almostretired,1741,1857
1341,chnge_t,1836,1923
1341,Isaiasprepa9,1798,1896
1341,prashiksahare110044,1708,1833
1341,Dubvas,1870,1947
1341,orientor,1703,1829
1341,bogorodniy,1803,1899
1341,Wild4Stone,1795,1893
1341,Araz.G,1799,1896
1341,royhahayayaha,1627,1776
1341,zzfzzfzzfs,1729,1846
1341,noahlewis.ca,1748,1859
1341,Kon567889,1780,1881
1341,batee,1494,1688
1341,ilaburkov,1697,1823
1341,__sharma__,1711,1833
1341,ankurdhir111,1576,1741
1341,awooga,1808,1900
1341,Poppy-Rose_Steele,1560,1730
