contest_id,handle,old_rating,new_rating
1361,tourist,3409,3520
1361,Um_nik,3544,3567
1361,boboniu,3055,3174
1361,ecnerwala,3260,3309
1361,maroonrk,3431,3421
1361,Benq,3260,3283
1361,yosupo,2971,3057
1361,Endagorion,3112,3154
1361,Radewoosh,2990,3055
1361,aid,2828,2929
1361,cookiedoth,2813,2912
1361,Merkurev,2894,2966
1361,tribute_to_Ukraine_2022,2778,2876
1361,isaf27,2766,2862
1361,mnbvmar,3050,3068
1361,ksun48,2957,2995
1361,Swistakk,2618,2742
1361,zemen,2825,2890
1361,Marcin_smu,2760,2838
1361,amethyst0,2590,2711
1361,244mhq,2752,2826
1361,Egor,2795,2855
1361,dorijanlendvaj,2445,2597
1361,wucstdio,2692,2773
1361,gop2024,2693,2772
1361,heno239,2666,2749
1361,lumibons,2511,2634
1361,receed,2859,2887
1361,Maksim1744,2996,2987
1361,ehnryx,2206,2412
1361,tempura0224,2342,2504
1361,cdkrot,2662,2733
1361,AndreySergunin,2676,2739
1361,icecuber,2655,2724
1361,orz,2600,2681
1361,stevenkplus,2731,2776
1361,scanhex,2769,2802
1361,Chelly,2697,2747
1361,gs12117,2700,2748
1361,fedoseev.timofey,2480,2585
1361,snuke,2775,2800
1361,izban,2811,2825
1361,noimi,2340,2480
1361,zeronumber,2831,2837
1361,fivedemands,2902,2888
1361,waynetuinfor,2370,2496
1361,al13n,2551,2626
1361,KAN,2827,2828
1361,oleh1421,2389,2506
1361,ainta,3025,2974
1361,GoGooLi,2426,2529
1361,teapotd,2327,2457
1361,EricHuang2003,2702,2729
1361,TLEwpdus,2915,2887
1361,DBradac,2453,2544
1361,Rafbill,2385,2493
1361,Noam527,2810,2805
1361,jiangly,2946,2906
1361,muratt,2301,2430
1361,nikgaevoy,2480,2557
1361,TadijaSebez,2524,2588
1361,mnaeraxr,2489,2562
1361,PinkieRabbit,2546,2602
1361,LayCurse,2385,2484
1361,nutella_waxberry,2182,2341
1361,hank55663,2813,2797
1361,teja349,2375,2474
1361,Xellos,2582,2623
1361,risujiroh,2580,2621
1361,spacevortex,2453,2527
1361,LJC00118,2513,2570
1361,kotamanegi,2393,2481
1361,natsugiri,2665,2680
1361,Golovanov399,3064,2979
1361,kort0n,2713,2714
1361,Lomk,2335,2436
1361,Jatana,2513,2564
1361,Egor.Lifar,2513,2563
1361,yashChandnani,2508,2559
1361,aytel,2357,2447
1361,TeaPot,2602,2626
1361,Cirno_9baka,2437,2504
1361,xtqqwq,2544,2582
1361,amnesiac_dusk,2746,2731
1361,loan,2249,2367
1361,msuwakow,2607,2626
1361,VEGAnn,2193,2327
1361,milisav,2358,2442
1361,dreamoon_love_AA,2769,2745
1361,awoo,2465,2518
1361,Arpa,2242,2357
1361,Anachor,2505,2546
1361,riadwaw,2616,2627
1361,hubz,2171,2306
1361,AlesyaIvanova,2550,2576
1361,Barichek,2464,2513
1361,Alpha_Q,2339,2421
1361,aropan,2443,2495
1361,DamianS,2278,2376
1361,teraqqq,2193,2316
1361,Tutis,2371,2441
1361,Tlatoani,2539,2563
1361,mango_lassi,2794,2754
1361,MetB,2135,2274
1361,znirzej,2508,2539
1361,cwise,2262,2360
1361,KADR,2432,2481
1361,FoodSheep,2223,2331
1361,jacynkaa,2286,2375
1361,little_misfortune,2270,2363
1361,ouuan,2232,2335
1361,goie,2104,2248
1361,MaksymOboznyi,2388,2445
1361,Nezzar,2548,2562
1361,Will_Dearborn,2474,2507
1361,arknave,2130,2262
1361,sansen,2406,2456
1361,Temotoloraia,2600,2599
1361,keymoon,2122,2255
1361,frodakcin,2195,2304
1361,olphe,2640,2627
1361,Bruteforceman,2184,2295
1361,johannesk,2201,2306
1361,YeongTree,2205,2308
1361,hitonanode,2632,2618
1361,fuppy,2420,2461
1361,gafeol,2101,2236
1361,leaf1415,2392,2439
1361,.erfanesm.,2424,2462
1361,saba2000,2649,2629
1361,namespace_std,2052,2201
1361,Volkov_Ivan,2411,2451
1361,Suika_predator,2225,2317
1361,lzr_010506,2687,2655
1361,VladProg,2317,2381
1361,nusuntian,2192,2292
1361,Mr.Robot_28,2121,2243
1361,ANZ,2180,2283
1361,tob123,2225,2313
1361,edenooo,2193,2291
1361,anatolik,2165,2271
1361,KagamineRin,2138,2251
1361,Lawali,2382,2424
1361,donentseto,2259,2335
1361,QAQmika,1925,2114
1361,Osama_Alkhodairy,2112,2232
1361,nuip,2814,2744
1361,Bedge,2310,2369
1361,Andreasyan,2299,2360
1361,kostia244,2285,2350
1361,ollpu,2393,2428
1361,joseacaz,2048,2187
1361,cerberus97,2503,2508
1361,gs15120,2118,2232
1361,tnowak,2433,2455
1361,Minnakhmetov,2276,2340
1361,Mlxa,2316,2369
1361,mateusz,2416,2441
1361,falanga,2328,2376
1361,gaurav172,2250,2319
1361,crasysky,2202,2286
1361,upobir,2177,2268
1361,xiaowuc1,2272,2334
1361,summitwei,2320,2368
1361,potoooooooo,2346,2387
1361,Tima,2275,2335
1361,dlalswp25,2517,2512
1361,oopsimbad,1976,2133
1361,EbTech,2062,2187
1361,hochesh,2137,2237
1361,SLLN,2323,2367
1361,namo_superstar,2203,2281
1361,Arg_007,2388,2414
1361,kimjihoon,2385,2411
1361,liouzhou_101,2144,2239
1361,KimGongju,2333,2372
1361,Savior-of-Cross,2163,2251
1361,alex_36,2128,2226
1361,int128.,2276,2330
1361,nxteru,2224,2292
1361,pwypeanut,2319,2360
1361,tomekkulczynski,2245,2306
1361,GRT_2018,2202,2276
1361,RUSH_D_CAT,2342,2375
1361,EnEm,2311,2352
1361,osmanorhan,2361,2388
1361,Neraxis,2377,2400
1361,rembocoder,2394,2412
1361,JioFell,2234,2296
1361,Kekolokol,2160,2243
1361,kektus,2716,2652
1361,KeNaj712,2276,2324
1361,Gassa,2388,2405
1361,jell,2187,2260
1361,I_Love_Tatyana_P,2051,2168
1361,majk,2806,2719
1361,Sutaner,2194,2264
1361,SSRS_,2243,2298
1361,uwi,2805,2717
1361,SeehtEntity,2375,2393
1361,antontrygubO_o,2440,2441
1361,RobeZH,2286,2327
1361,Shef,2481,2471
1361,jhnan917,1921,2081
1361,Amoo_Safar,2826,2731
1361,KevinWan,2494,2479
1361,Tianhen,2320,2350
1361,paula,2463,2455
1361,Kilani,2408,2414
1361,betrue12,2595,2554
1361,sava-cska,2491,2475
1361,Isonan,2853,2749
1361,Sulfox,2461,2452
1361,Isoeasy,2373,2386
1361,zhangguangxuan99,2287,2323
1361,Goorkiewicz,2215,2271
1361,Kostroma,2678,2615
1361,Jimanbanashi,2400,2405
1361,suncongbo,2292,2325
1361,Yongaron,2245,2291
1361,AQT,2109,2196
1361,shengdebao,2046,2153
1361,TheeLooser,1966,2102
1361,fastmath,2433,2427
1361,Sugar_fan,2613,2563
1361,MarcosK,2100,2188
1361,klimoza,2132,2209
1361,Man,2201,2257
1361,OYJason,2412,2410
1361,BigBag,2649,2588
1361,jtnydv25,2360,2371
1361,yorky,2194,2251
1361,LamoreauxAJ,2256,2294
1361,Reinier,2369,2376
1361,fredrik.w.ekholm,2272,2305
1361,SameerGulati,2150,2218
1361,zscoder,2727,2646
1361,akifpatel,2000,2117
1361,Lius,2128,2202
1361,Sonechko,2476,2455
1361,s_r_f,2340,2353
1361,Motarack,2538,2501
1361,vladmart,2034,2137
1361,rama_pang,2248,2284
1361,ppavic,2412,2405
1361,okwedook,2198,2248
1361,guyan,2295,2317
1361,Quang,2385,2384
1361,Ra16bit,2513,2480
1361,La_Pushok,2135,2203
1361,square1001,2473,2449
1361,eriksuenderhauf,2103,2180
1361,Mehrdad_Sohrabi,2226,2266
1361,PedyD,2337,2346
1361,Pajaraja,2394,2388
1361,maxuh14,1907,2052
1361,Ilya_MSU,2325,2337
1361,lzqwq,2318,2331
1361,Stasana,2318,2331
1361,mshcherba,2285,2306
1361,clyring,2058,2147
1361,buko,2541,2497
1361,gyz_gyz,2390,2383
1361,nirvana,2197,2241
1361,Aldas25,2184,2232
1361,knifeman,2008,2112
1361,Plurm,2117,2185
1361,stoq_,2020,2119
1361,Roundgod,2586,2529
1361,Shibuyap,2256,2282
1361,SlowDecay,2300,2314
1361,74TrAkToR,2144,2201
1361,toothbrush,2128,2190
1361,simpatine,2140,2198
1361,Vedensky,2224,2258
1361,Ernestico,2177,2224
1361,shenxy13,2460,2432
1361,edisonhello,2379,2370
1361,w4p3r,2115,2180
1361,777777777Plus,2194,2235
1361,DeD_TihoN,2109,2175
1361,Ivang,2129,2188
1361,Ali.Kh,2425,2404
1361,JamesCole,2140,2195
1361,toritori,1901,2037
1361,sokokaleb,2142,2196
1361,TAISA_,2310,2317
1361,vsriram1012,2128,2186
1361,swapnil159,2181,2223
1361,rdd6584,2148,2199
1361,edw21,2112,2174
1361,JungYerin,2209,2242
1361,Vax,2211,2243
1361,qingczha,2227,2254
1361,aarr,2219,2248
1361,Narset,2111,2171
1361,Kirill22,2190,2226
1361,KostasKostil,2299,2305
1361,shef_2318,2138,2189
1361,golikovnik,2112,2171
1361,hey_boris,2290,2298
1361,solaimanope,2139,2189
1361,hzk_cpp,2125,2179
1361,taran_1407,2144,2192
1361,Malomalomalomalo,2194,2227
1361,Makcum888,2332,2328
1361,mohammedehab2002,2235,2256
1361,senjougaharin,2324,2321
1361,Ajax,2132,2182
1361,hasi,2129,2180
1361,Svlad_Cjelli,2302,2304
1361,VLamarca,2147,2192
1361,sqrtnull,2111,2166
1361,Kaildls,2105,2162
1361,ILoveBitches,2119,2171
1361,SharpnessV,2034,2113
1361,galen_colin,2226,2247
1361,PrincessConsuela,2103,2159
1361,JhonnyZaz,2136,2182
1361,trabbbart,2065,2133
1361,denisrtyhb,1991,2083
1361,wassim.omais,1950,2056
1361,minato,2211,2234
1361,POWERRR,2128,2175
1361,BaaaaaaaaaaaaaaarkingDog,2147,2188
1361,emorgan,2118,2167
1361,cjy2003,2617,2538
1361,rebornplusplus,2135,2178
1361,Pragyan_c2,1906,2027
1361,BhaskarTM,2048,2118
1361,Toxel,2661,2571
1361,qiangbao,2171,2203
1361,Atill83,2014,2095
1361,Fly_37,2310,2304
1361,cute_hater,2110,2159
1361,albertg,2100,2152
1361,jjaworska,2100,2152
1361,perekopskiy,2363,2343
1361,TAB_0905,2191,2216
1361,Piurko,2218,2235
1361,Salim_Shebli,2080,2137
1361,Enchom,2576,2503
1361,demoralizer,2217,2233
1361,laralalala,2119,2163
1361,P___,1917,2028
1361,mkisic,2039,2107
1361,Bench0310,2214,2230
1361,Atreus,2558,2488
1361,sharansh12,2001,2081
1361,antguz,2165,2194
1361,schtamas,2237,2246
1361,George1123,1993,2075
1361,gazelle,2381,2353
1361,dario2994,2864,2722
1361,pustaczek,2175,2200
1361,kolina,2100,2146
1361,h4rdlyfunc710n4l,2035,2102
1361,rafaelgo,2028,2097
1361,whd,2136,2171
1361,xyz100,2565,2491
1361,William324,2058,2116
1361,alocytus,2196,2213
1361,_santongding,2106,2149
1361,tyler,2146,2176
1361,dimdum,2084,2133
1361,Nanored,2004,2079
1361,Arayi,2163,2188
1361,camille,2117,2155
1361,tdas,2058,2114
1361,Mohammad_Yasser,2249,2250
1361,blackyuki,2218,2226
1361,meeeeeeeeendko,2117,2154
1361,HeathcliffAC,2128,2162
1361,CarusoX,1901,2010
1361,Binary_Search_Tree,2240,2242
1361,_Ash__,2185,2202
1361,MofK,2635,2541
1361,jjang36524,2258,2255
1361,espr1t,2146,2173
1361,wontgiveup,2041,2099
1361,snow39,2302,2287
1361,Wild_Hamster,2411,2369
1361,lucaperju,2200,2211
1361,Mikaeel,2124,2156
1361,DucPro,2222,2227
1361,rotavirus,2319,2299
1361,Giada,2129,2159
1361,dvdg6566,2335,2310
1361,156250lcy,2191,2203
1361,Ferume,2191,2203
1361,Xylenox,2284,2271
1361,BENYAM1N,2100,2137
1361,_no0B,2235,2234
1361,passer_,2068,2114
1361,kekekeke228,2148,2170
1361,SHZhang,2120,2150
1361,INVWVZ,2180,2193
