contest_id,handle,old_rating,new_rating
1444,hos.lyric,2968,3170
1444,Benq,3299,3373
1444,ksun48,3357,3390
1444,Isonan,2653,2853
1444,jiangly,3051,3132
1444,yhx-12243,2981,3069
1444,TadijaSebez,2680,2838
1444,neal,2864,2965
1444,zx2003,2939,3013
1444,Bohun,2357,2587
1444,IZONE,2484,2669
1444,KevinWan,2657,2788
1444,Rewinding,3012,3044
1444,heno239,2697,2807
1444,Fecto_Elfilis,2429,2611
1444,Rafbill,2517,2669
1444,djq_fpc,2742,2828
1444,Hazyknight,2724,2811
1444,risujiroh,2351,2541
1444,pupiI,2296,2500
1444,maroonrk,3243,3188
1444,Szoboszlai10,2535,2661
1444,Egor.Lifar,2603,2707
1444,natsugiri,2777,2832
1444,uwi,2774,2827
1444,Roundgod,2697,2768
1444,Muffinhead,2634,2719
1444,RoundDog,2158,2385
1444,noimi,2672,2743
1444,Sana,2659,2731
1444,yosupo,3324,3225
1444,PinkieRabbit,2662,2729
1444,Farhod,2764,2802
1444,jiangly_fan,2616,2691
1444,Itst,3069,3026
1444,hitonanode,2662,2721
1444,KrK,2614,2684
1444,EternalAlexander,2282,2446
1444,Savior-of-Cross,2485,2587
1444,boboniu,3164,3088
1444,rembocoder,2288,2445
1444,NoLongerRed,2582,2653
1444,danya090699,2375,2502
1444,Nyaan,2397,2516
1444,Rubikun,2452,2552
1444,p6pou,2102,2314
1444,math957963,2463,2559
1444,Chelly,2819,2819
1444,tran0826_1,2316,2452
1444,Soulist_s,2373,2491
1444,TiwAirOAO,2486,2570
1444,AriaH,2195,2365
1444,kostia244,2506,2580
1444,Amoo_Safar,2876,2855
1444,Argentina,2483,2562
1444,black_horse2014,2742,2751
1444,-is-this-fft-,2492,2567
1444,amnesiac_dusk,2693,2713
1444,sansen,2412,2507
1444,basic_string,2265,2400
1444,alireza_kaviani,2431,2517
1444,xtqqwq,2782,2775
1444,dlalswp25,2697,2709
1444,kmjp,2688,2703
1444,Anachor,2448,2526
1444,qazswedx2,2450,2525
1444,cwise,2471,2540
1444,Kewth,2250,2380
1444,blackbori,2837,2808
1444,Dmitriy.Belichenko,2969,2907
1444,jell,2298,2413
1444,Kodaman,2104,2281
1444,abeker,2346,2444
1444,realcomplex,2356,2451
1444,jtnydv25,2441,2510
1444,fuppy,2506,2557
1444,YxqK,2222,2354
1444,nantf,2375,2460
1444,skyh,2320,2420
