contest_id,handle,old_rating,new_rating
1446,Um_nik,3348,3482
1446,ecnerwala,3446,3506
1446,Benq,3478,3503
1446,ainta,3182,3267
1446,ksun48,3412,3421
1446,maroonrk,3218,3267
1446,Errichto,2847,2983
1446,boboniu,3134,3186
1446,ko_osaga,3207,3232
1446,244mhq,3040,3101
1446,jtnydv25,2460,2670
1446,AndreySergunin,2736,2863
1446,stevenkplus,2753,2870
1446,Sulfox,2709,2833
1446,Radewoosh,3374,3322
1446,duality,3036,3066
1446,Farhod,2810,2894
1446,nocriz,2662,2781
1446,AliShahali1382,2660,2775
1446,mango_lassi,2643,2759
1446,jiangly_fan,2691,2791
1446,fanache99,2566,2697
1446,tranquility,2088,2366
1446,Amoo_Safar,2876,2919
1446,SecondThread,2474,2622
1446,receed,2750,2820
1446,peti1234,2595,2703
1446,Itst,3124,3093
1446,aid,2990,2990
1446,TeaPot,2558,2669
1446,Golovanov399,2873,2899
1446,TadijaSebez,3027,3011
1446,jiangly,3151,3102
1446,Isonan,2894,2908
1446,Legilimens2023,2442,2575
1446,yosupo,3225,3152
1446,egor_bb,2635,2710
1446,qwerty787788,2692,2750
1446,mrsrz,2389,2529
1446,saketh,2651,2716
1446,Noam527,2862,2871
1446,kotatsugame,2505,2606
1446,2002iq,2480,2587
1446,Isoeasy,2580,2657
1446,cerberus97,2595,2667
1446,Jatana,2635,2694
1446,hank55663,2570,2645
1446,nuip,2701,2740
1446,kort0n,2591,2658
1446,Asymmetry,2192,2375
1446,Hazyknight,2811,2817
1446,Kostroma,2594,2655
1446,Aishiteru.,2360,2486
1446,sqrtdecompton,2606,2662
1446,Origenes,2300,2441
1446,wrinx,2494,2577
1446,EnEm,2595,2650
1446,kokokostya,2438,2534
1446,tob123,2496,2575
1446,ikatanic,2605,2653
1446,tonyjjw,2523,2592
1446,Siberian,2370,2481
1446,natsugiri,2832,2818
1446,Atreus,2616,2656
1446,Ali.Kh,2541,2600
1446,dlalswp25,2668,2693
1446,heno239,2796,2787
1446,hitonanode,2742,2745
1446,muratt,2256,2393
1446,dario2994,2743,2744
1446,dqa2021,2455,2531
1446,ugly2333,2668,2686
1446,Barichek,2212,2358
1446,BigBag,2695,2704
1446,WiwiHo,2292,2411
1446,Deemo,2597,2630
1446,Iscream2001,2262,2388
1446,Flannery,2150,2311
1446,01191020csl,2448,2518
1446,noimi,2737,2730
1446,T1duS,2393,2476
1446,Bohun,2587,2617
1446,orz,2574,2605
1446,posij118,2436,2505
1446,SlowDecay,2090,2264
1446,MixaPlt,1900,2145
1446,w0nsh,2509,2555
1446,zscoder,2778,2754
1446,He_Ren,2407,2479
1446,Fuyuki,2761,2740
1446,amnesiac_dusk,2713,2702
1446,uwi,2932,2867
1446,_Yuru_,2128,2282
1446,amethyst0,2750,2728
1446,Arpa,2384,2457
1446,nhho,2363,2442
1446,antekb,2247,2359
1446,haruki_K,2323,2411
1446,Martin53,2601,2613
1446,bthero,2511,2546
1446,Andreasyan,2273,2374
1446,AmShZ,2068,2234
1446,Mahsa.rf,2201,2322
1446,primenumber,2398,2460
1446,Lawali,2395,2457
1446,.ckodser.,2255,2357
1446,gmh77,2309,2394
1446,RobeZH,2551,2569
1446,sudoBug,2057,2221
1446,mbalsells,2163,2291
1446,zidder,2170,2295
1446,ShadowLight,2484,2517
1446,Rafbill,2764,2725
1446,gamegame,2966,2877
1446,donentseto,2399,2453
1446,Ormlis,2542,2557
1446,_Ash__,2328,2400
1446,jell,2401,2452
1446,Shun_PI,2395,2447
1446,talant,2176,2292
1446,Xylofo,2329,2398
1446,jass921026,2136,2264
1446,Kude,2064,2215
1446,GRT_2018,2132,2259
1446,shubham__36,2250,2340
1446,Tokyo_Drift,2076,2221
1446,AcPlusOne,2015,2181
1446,xtalclr,2284,2362
1446,KostasKostil,2536,2544
1446,hubz,2129,2253
1446,wifiiii,2320,2385
1446,Endagorion,3168,3019
1446,klimoza,2234,2323
1446,RAVEman,2627,2609
1446,realcomplex,2496,2511
1446,Geothermal,2740,2694
1446,Supermagzzz,2147,2261
1446,gop2024,2991,2883
1446,aropan,2528,2532
1446,littlelittlehorse,2689,2653
1446,zeliboba,2682,2647
1446,Maksim1744,2828,2757
1446,Ra16bit,2542,2541
1446,qhqh,2161,2265
1446,Xellos,2680,2643
1446,Moririn2528,2403,2436
1446,tfg,2841,2764
1446,GoGooLi,2529,2528
1446,LayCurse,2763,2704
1446,yamunaku,2559,2550
1446,PinkieRabbit,2721,2671
1446,icecuber,2587,2570
1446,balbit,2590,2572
1446,alchemax99,1950,2122
1446,Egor.Lifar,2707,2658
1446,kilotaras,2263,2330
1446,Kerim.K,2211,2293
1446,Yousef_Salama,2529,2523
1446,eudanip,1985,2141
1446,loan,2437,2453
1446,compute,2277,2337
1446,JaeminPark,2158,2253
1446,Stepavly,2136,2238
1446,chenkuowen,2674,2629
1446,cscsc,2118,2224
1446,Sutaner,2420,2438
1446,andr0901,2179,2265
1446,JustasZ,2089,2203
1446,cxmsqjh,2244,2309
1446,Apsara,2403,2424
