contest_id,handle,old_rating,new_rating
1695,AliceMana,1643,2126
1695,furaffinity,0,962
1695,adamant,2025,2273
1695,123456787,1884,2218
1695,Andyvanh1,2091,2288
1695,EEIEE,2056,2289
1695,sare,2074,2258
1695,Lynkcat,1402,1865
1695,sdafsgdgsdf,895,1501
1695,BondarLiza,1452,1867
1695,megurine,2082,2240
1695,hir35,2075,2230
1695,Alexdat2000,2069,2222
1695,HalfQuark,1880,2086
1695,Zany,1978,2151
1695,djm03178,2017,2175
1695,Ricky_Q,1718,1967
1695,egge,2034,2181
1695,LamGoBrrr,1966,2130
1695,seadoglee,2013,2161
1695,newhar,1930,2100
1695,Aiburito,1971,2127
1695,altgifted,2048,2179
1695,NIKTOP,1833,2027
1695,pooya-shams,2051,2177
1695,10circle,1898,2067
1695,wiz_cs,2038,2164
1695,WillTheBill,2054,2172
1695,kwangg,1713,1936
1695,over_flow,1931,2083
1695,CrazyJohnny,1818,2003
1695,JSONNN,1442,1753
1695,graveyard111,1985,2116
1695,highboi,1822,2001
1695,ArianKheirandish,1879,2039
1695,induk_v_tsiane,2085,2183
1695,mperikov,1487,1774
1695,Bambusaceae,1722,1928
1695,kitsune,2041,2148
1695,tassei903,2042,2147
1695,WipeyTabletku,1629,1861
1695,BrainFreeze,1802,1977
1695,Iejoepher,2022,2129
1695,satyabrat369,1808,1979
1695,Sid0309,1624,1853
1695,AlphaCodeKiller,1436,1800
1695,sakshamalt_02,1858,2010
1695,TheRaja,1659,1873
1695,Kofta,1843,1996
1695,caan_do,1884,2025
1695,welleyth,1775,1948
1695,Younha,0,798
1695,NeuraXmy,1889,2026
1695,HeartBreakerKid,1921,2047
1695,windva,2097,2172
1695,VietaFan,1962,2074
1695,Yu_212,1953,2125
1695,kpeng815,2031,2122
1695,Ignut,1651,1857
1695,cs142857,1912,2035
1695,BobsonJoe,2084,2157
1695,uhtyzmaaa,1894,2021
1695,lexiyvv,2045,2128
1695,eggag32,1986,2085
1695,Azurus,0,784
1695,CoachDanke,2075,2148
1695,DerKleinUbermensch,1826,1971
1695,MrDemon,2038,2120
1695,ikrpprppp,1708,1888
1695,Alcohol,1543,1810
1695,Edlue,2000,2090
1695,saajid_chowdhury,1492,1741
1695,Valters07,2065,2135
1695,tykkipeli,1937,2043
1695,Agohal,586,1185
1695,purinliang,1982,2074
1695,hjcafaroUC,1933,2038
1695,myotra,1601,1809
1695,curly_braces,1953,2051
1695,Legitimity,1996,2081
1695,Your_Name,1987,2074
1695,pavlovoleg4889,1893,2007
1695,rushitote,1780,1927
1695,berekuk,1961,2053
1695,LittleFall,1762,1913
1695,dongliyushao,899,1388
1695,praeteriti,1813,1947
1695,shadow9236,1987,2070
1695,balakrishnan,1859,1978
1695,tarattata1,2004,2081
1695,Nea1,2013,2087
1695,Whiteqwq,0,765
1695,Kyou_mo_kawaii,1892,2000
1695,KTR,1874,1986
1695,towrist,2034,2100
1695,jum.yip98,2000,2075
1695,Cardiloig,1652,1831
1695,Je-O,2054,2112
1695,plagues,2024,2091
1695,Nopenope,1923,2017
1695,lhq_djuanlao,1945,2033
1695,Nero,2080,2130
1695,kai1000_don,0,758
1695,Skeef79,2047,2105
1695,leo020630,2027,2090
1695,smthh,0,757
1695,danieli,1799,1928
1695,raulandreipop,1477,1709
1695,Krzychuo,1820,1976
1695,Kira_1234,2086,2131
1695,RandomLB,1784,1915
1695,guperman,2089,2132
1695,CharlesWuQiushi,2051,2104
1695,prins,2070,2118
1695,Kochekov,1866,1971
1695,Mahmoud_Haddad,2031,2088
1695,Sky_Warrior,1658,1826
1695,e0y,1874,1975
1695,AndreySiunov,2006,2069
1695,woshiluo,1788,1914
1695,ivatopuria,2069,2114
1695,saftig2,1695,1882
1695,ParsaAp,1891,1985
1695,lizh1,1801,1921
1695,wrihapcod,1150,1550
1695,BigHeadMonster,1827,1938
1695,lunchbox,2048,2096
1695,_schoolron_,1667,1861
1695,Joanna.S,1880,1974
1695,nvllable,1956,2028
1695,DerekYeh,1827,1936
1695,bitcoin,1749,1881
1695,Mirbek,1920,2001
1695,xukai,1889,1979
1695,Uno-Reverse,2035,2083
1695,Tianct,0,742
1695,klemblem94,1982,2080
1695,Aging1986,2095,2126
1695,popo,1931,2007
1695,leeh18,1856,1953
1695,turkhuu622,2015,2066
1695,ZZZGen,1961,2027
1695,Tatsuyaaaa,2016,2067
1695,ritik_m,1869,1961
1695,srinjoy_ray,1919,1996
1695,jukhega_nahi,1738,1868
1695,AmamiyaYuuko,1910,1989
1695,dsolunov,1943,2012
1695,sunyuheng365,1868,1958
1695,NotImplemented,1613,1780
1695,panda211panda,1766,1886
1695,LastDance_NotLastOfMe,1948,2014
1695,joelau,2043,2083
1695,jerdno,1942,2009
1695,HumHumMonster,1373,1619
1695,Suri429,1918,1991
1695,procodgok,1779,1892
1695,orz_wmg,2076,2105
1695,DimonKrutoi,1746,1869
1695,s_jaskaran_s,1984,2037
1695,fast_photon,1741,1864
1695,RamanujGoel,1855,1944
1695,Abhishek_Tiwari26,1705,1838
1695,outfinity,1631,1787
1695,helloZ,657,1187
1695,Tima32,810,1291
1695,northbank,1972,2026
1695,D0min0,2011,2054
1695,kakel_san,1787,1894
