contest_id,handle,old_rating,new_rating
1785,ksun48,3326,3491
1785,maroonrk,3504,3575
1785,QuietBeautifulThoughts,3110,3262
1785,Mr_Eight,2963,3136
1785,ecnerwala,3354,3405
1785,jiangly,3465,3474
1785,orzdevinwang,3460,3461
1785,DearMargaret,3256,3302
1785,gyh20,3205,3256
1785,ugly2333,3169,3223
1785,ZhuJianfeng,2778,2927
1785,Um_nik,3541,3486
1785,inaFSTream,3297,3299
1785,Xylenox,2576,2761
1785,Endagorion,3010,3076
1785,QAQAutoMaton,3264,3260
1785,Sol1,2738,2865
1785,Rainbow_qwq,2280,2534
1785,crashed,2427,2632
1785,zihouzhong,2938,3001
1785,nantf,2814,2906
1785,m_99,2667,2794
1785,Chenyu_Qiu,2900,2963
1785,CC2021zyz,2305,2529
1785,peiwenjun,2332,2545
1785,Elegia,3009,3035
1785,blackyuki,2883,2938
1785,yaoxi,2284,2503
1785,crazy_sea,2735,2823
1785,huzhaoyang,2438,2603
1785,Toxel,2794,2862
1785,huangzirui,2632,2740
1785,xcyle,2700,2788
1785,sunzh,2584,2701
1785,5002ryx,2156,2400
1785,Brewess,2233,2449
1785,platelets,2480,2619
1785,EternalAlexander,2647,2738
1785,tatyam,2818,2863
1785,hank55663,2967,2972
1785,skip2004,2929,2942
1785,potato167,2894,2914
1785,hitonanode,3182,3128
1785,998kover,2863,2887
1785,yuto1115,2830,2861
1785,Kevin114514,2657,2731
1785,kotatsugame,2905,2914
1785,mtsd,2535,2639
1785,Rubikun,2922,2923
1785,feecle6418,2725,2775
1785,Tlatoani,2652,2720
1785,hos.lyric,3142,3084
1785,waaitg,2414,2544
1785,Joyemang,2162,2369
1785,dlalswp25,2814,2834
1785,thenymphsofdelphi,2693,2743
1785,FastFreeTask,2734,2772
1785,weinei,2362,2500
1785,Vercingetorix,2961,2939
1785,fallleaves01,2608,2675
1785,Savior-of-Cross,2515,2605
1785,Asuka,2492,2586
1785,PetelgeuseRomaneeconti,2668,2715
1785,Nyaan,2735,2764
1785,SSRS_,3094,3032
1785,sjcsjcsjc,2838,2838
1785,smiken,2581,2646
1785,Eccentricity,2777,2790
1785,BurnedChicken,2943,2914
1785,gamegame,3314,3192
1785,superguyjm,2471,2561
1785,nok0,2513,2591
1785,Alex_Wei,2793,2796
1785,PinkieRabbit,2776,2783
1785,noimi,3353,3217
1785,StarSilk,2283,2422
1785,SegT1018,2410,2511
1785,MagicalFlower,2824,2815
1785,cmll02,2670,2699
1785,p_s_c_,2207,2366
