contest_id,handle,old_rating,new_rating
1982,lunchbox,2099,2366
1982,_JiaY19_,1570,2049
1982,gxy001,2075,2298
1982,_DongY19_,1870,2204
1982,Muelsyse_sep005,1204,1754
1982,deerbefree,1572,2000
1982,BoSinn,0,908
1982,PhoenixRebirth,1702,2058
1982,cocae,1546,1944
1982,gyydp123_LIM,0,891
1982,ak661stfn4xtitanholo,0,886
1982,yandlo,812,1449
1982,6235326235326235327175,761,1410
1982,sichengzhou,1831,2123
1982,RIGC,1754,2013
1982,HaccerKat,2075,2231
1982,xatu,1535,1861
1982,Tuanlinh123reborn,1785,2082
1982,HieuDang2008,1807,2095
1982,h2rsh,1901,2097
1982,HNBlackHorse,699,1341
1982,Shirayuki_Noa,0,851
1982,Evirir,1954,2128
1982,TrivialPermutation,0,847
1982,Au5,1680,1939
1982,xvzhiming,2021,2171
1982,stewartCM,771,1378
1982,4977,0,839
1982,2514631360a,1954,2119
1982,danofo7855,0,835
1982,momizi,884,1450
1982,NujObIuc,1790,2062
1982,ahmadkhafif,1664,1970
1982,russian_proger,2041,2173
1982,_chkksc_,1979,2128
1982,kondasujay2,2045,2173
1982,300lQ,723,1342
1982,Huangyf,2009,2144
1982,kaiboy,1420,1746
1982,cccrrrkkk,1462,1819
1982,Kaleem_Raza_Syed,1777,1978
1982,lishujia090623,2089,2195
1982,_helloLad,1889,2052
1982,loyalixa,1797,2042
1982,BrynzaWillWinIOI2025,1609,1860
1982,Traumatize,1765,2017
1982,kookeudas,2090,2190
1982,514InParadise,1961,2097
1982,ilovefsy,1943,2118
1982,hongjiaohu,1389,1779
1982,I_Love_Diar_Narumov,1731,1934
1982,nocap,1862,2023
1982,izhang,2074,2172
1982,LilyWhiteOwO,2033,2200
1982,MrNachoX,2092,2183
1982,Junhe,1187,1577
1982,TimaDegt,1919,2057
1982,Ferume,1993,2109
1982,hmm789,1877,2026
1982,LunaEclipse,871,1402
1982,surajchip2,2079,2168
1982,xiaruize,2066,2157
1982,luciocf,1857,2009
1982,sharkycode,2047,2142
1982,de_sousa,2060,2151
1982,A1--aone,1389,1741
1982,leo1805,1933,2058
1982,tht2005,1862,2008
1982,imlpfffff,0,790
1982,HighAndDry,0,789
1982,serichaoo,2011,2112
1982,I_am_Polish_Girl,1685,1884
1982,ibrahimwq,1831,1984
1982,ArsenGotov,2048,2136
1982,ILLIT,864,1386
1982,zhongpeilin,1931,2051
1982,fkufuykuu,881,1412
1982,cloudxcy,0,783
1982,goooooool,1622,1894
1982,Nika533,1973,2079
1982,Pagode_Paiva,2001,2098
1982,Taktikatikin,2092,2163
1982,cpbeginner,1999,2096
1982,firexial,2006,2100
1982,Tima19,1718,1898
1982,lvovkir,2016,2106
1982,onetap,1847,1986
1982,Elup,2057,2133
1982,sjhi00,1903,2024
1982,Kustov_Vadim_533,1922,2036
1982,Rainbowfall,0,775
1982,siuhou,1787,1941
1982,Suxiaowan,1913,2086
1982,Enearly,2054,2129
1982,attempt0,1931,2040
1982,Faizal,1850,1983
1982,wiritos,2083,2148
1982,Forever1507,1786,1937
1982,kost,1941,2045
1982,atakanysr,2002,2088
1982,flight,1820,1959
1982,d1312,0,768
1982,Luvidi,2013,2095
1982,asdf63vx,1206,1613
1982,SajidZakaria,1765,1919
1982,314tonick,1912,2021
1982,Mohamed308,1879,1997
1982,FHQY,1977,2066
1982,NekoRolly,1811,1949
1982,TrendBattles,1821,1955
1982,shorya1835,2086,2143
1982,Mifort,2012,2089
1982,catluo,0,762
1982,Zi_Gao,0,762
1982,fahimcp495,2051,2117
1982,Gogolev,1764,1913
1982,mihey26,1591,1795
1982,balakrishnan,1983,2067
1982,hehapig,1778,1922
1982,wu_sir,1820,1950
1982,UshanGhosh,2043,2108
1982,Prady,1881,1992
1982,IvanRenison,1696,1863
1982,MinhTuan11,1779,1920
1982,FIorian,2057,2117
1982,zyt1253679098,2069,2125
1982,Pouyaaan,2062,2120
1982,Nullptrs,1602,1797
1982,-O3,1792,1926
1982,lucri,2047,2107
1982,gustavocruz,1726,1880
1982,etherinmatic,1996,2070
1982,eyadhjarray111,2041,2102
1982,EunTil0fy,1851,2032
1982,LarrixAntofanin,1728,1934
1982,wxt1221,1749,1893
1982,Madboly,1454,1694
1982,hcs1994,1664,1834
1982,xiaopangfeiyu,1592,1785
1982,NuclearMint,1686,1848
1982,geeseesee,1964,2043
1982,SMIrrichto,1997,2066
1982,liupengsay,1788,1918
1982,dqu192,1946,2098
1982,dragon_bra,1980,2053
1982,Timonnable,1931,2017
1982,Airths,2007,2072
1982,Dobriy_Kozel,1992,2060
1982,jmyszka,1947,2028
1982,-proof-by-ac-,1908,1999
1982,hocln,1860,1965
1982,yoshiko_wakabayashi,1673,1895
1982,__sig,2045,2097
1982,Artistic_Conjurer,1759,1893
1982,sdyakonov,1691,1845
1982,Gatina,1996,2060
1982,vgoofficial,1963,2036
1982,IHateGeometry,2049,2098
1982,elijjah,2004,2065
1982,taozhilin,1064,1474
1982,wriggle.nightbug,676,1214
1982,user235811,2006,2065
1982,realxiaofeixia,1694,1845
1982,__int256,1813,1962
1982,citrinitas,1882,1975
1982,3T3RN1TY,1803,1919
1982,AryRDW,2069,2110
1982,frostaur_,1891,1981
1982,whoami3182,2016,2070
1982,binminh01,1756,1885
1982,Iingfunny,1684,1896
1982,KritarthBatra,1688,1837
1982,fishy14,1128,1530
1982,jiang_jiang,2043,2088
1982,XDEv11,1959,2027
1982,Hihihah,2010,2064
1982,Meeperbunny,1939,2012
1982,Abito,2070,2107
1982,John_Scatman_fan,558,1129
1982,gs17005,1963,2028
1982,bit-2-coder,2039,2083
1982,ueFanJ,2063,2161
1982,IF_IR_A_1_IR_2.0,1994,2050
1982,ZrjaK,2067,2103
1982,VAntonuk,2018,2066
1982,shiqingbaiya666,2033,2077
1982,dewana310,1835,1935
1982,juruoA,1738,1866
1982,Rushit27,1776,1893
1982,DerrickLo,1922,1996
1982,dongbin1999,1836,1934
1982,Rohan217,1869,1957
1982,kanao_enjoyer,2063,2097
1982,Son_of_Dijkstra,2034,2075
1982,Dusk_Y,1993,2046
1982,Iceturky,1989,2042
1982,su_da,1328,1620
1982,brenner1,2078,2107
1982,longhuenchan,1821,1921
1982,samnever,2000,2049
1982,Piokemon,1937,2003
1982,polariscyy,1738,1862
1982,Xiaohuba,1880,1962
1982,Fly37510,1804,1908
