contest_id,handle,old_rating,new_rating
1983,_worst_,0,1005
1983,Shirayuki_Noa,1469,2014
1983,cynNYCal,0,955
1983,cocae,1944,2285
1983,_furina,868,1543
1983,naydlo,1174,1751
1983,nguyentunglam,1292,1768
1983,Hevix,2024,2236
1983,ndt23,1867,2181
1983,Darko1,0,897
1983,sadonion,1555,1956
1983,Skird,2062,2244
1983,ampl,1138,1684
1983,harsh__h,2078,2246
1983,crossedNightTour,2066,2234
1983,DF_Roieee,1563,1890
1983,diandian2020,2065,2284
1983,6235326235326235327175,1607,1962
1983,A_box_of_yogurt,1782,2077
1983,xcc_szy0905,1731,1987
1983,Salty__fish,1605,1951
1983,secretman1312,2016,2177
1983,Fracture-Dream,1810,2033
1983,_Separation,1052,1555
1983,Caiiii,2003,2218
1983,bemyqueenkong,0,849
1983,tassei903,2022,2173
1983,dabbler1,2078,2210
1983,ByteRace_2024,0,844
1983,GammaRays,1933,2106
1983,zawatin,2003,2153
1983,steveonalex,1937,2105
1983,flygon,1959,2119
1983,siiuuuuuuu,2084,2206
1983,taozhilin,1596,1903
1983,su_da,1717,1949
1983,11231123,1922,2087
1983,duckonduck,1472,1833
1983,ajxu2,1852,2036
1983,teekaytai,2049,2172
1983,PoPularPlusPlus,2004,2139
1983,Badint,1927,2083
1983,tostes,2074,2186
1983,zseefvhu12,1928,2080
1983,EunTil0fy,2032,2212
1983,Anonyme23,2035,2190
1983,Joler_,1943,2088
1983,Karuk,1964,2102
1983,Chifwin,1859,2027
1983,MarSer020,2058,2167
1983,yahia,2007,2128
1983,Jimanbanashi,2060,2166
1983,Maksiwelle,1873,2088
1983,nan01,2073,2173
1983,yangjl,2045,2152
1983,hanuta,1631,1917
1983,Johnson_and_Johnsons,1249,1678
1983,temporary1,1892,2042
1983,Htmt,2077,2171
1983,EN_SA,1987,2106
1983,CodeChild,1709,1914
1983,HatodaAko,1706,1945
1983,STommydx,1887,2034
1983,devans,1909,2048
1983,Tyx2019,2094,2179
1983,RockSnow,2045,2143
1983,steven.novaryo,2050,2145
1983,wsyj_AK_IOI,0,798
1983,-dub-otrezkov-,2073,2161
1983,hocln,1978,2093
1983,Leonardo_Paes,1773,1949
1983,ReEndofaDream,0,795
1983,VividVibe,1822,1982
1983,-DN,1977,2125
1983,dqu192,2098,2235
1983,NintsiChkhaidze,1920,2048
1983,dbaumg,2096,2173
1983,Pacybwoah,2085,2164
1983,mahimero2006,1814,1972
1983,Yhs_Joker_06,1948,2065
1983,BlueJade,2071,2152
1983,hongjiaohu,1779,2007
1983,zxx_orz,1694,1946
1983,caf_sq,2021,2114
1983,howareyou1,2031,2121
1983,stan23456,1981,2084
1983,mylittlepookybear,0,785
1983,mrmoooo,2051,2134
1983,DDUDUDDUDU,1970,2075
1983,Halyavka,2063,2141
1983,Octagons,1888,2016
1983,MedMdg_MOI,2093,2162
1983,waste_f,2007,2099
1983,djm03178,2075,2148
1983,qmk,1745,1915
1983,diskodevil,671,1248
1983,Tang2,1896,2017
1983,CoderAbhi27,2084,2151
1983,BNDStxdy,1212,1625
1983,SWUT_Official,0,777
1983,BrynzaWillWinIOI2025,1860,1992
1983,brimix__,2090,2155
1983,Cai1000,2070,2140
1983,contest_virus,2014,2099
1983,fanfly,2071,2139
1983,Hasan0540,1950,2052
1983,zsombor,1856,1986
1983,Mutiny,1754,1949
1983,ibrahimwq,1981,2073
1983,piratZnachor,1754,1913
1983,RabbieWjy,1895,2011
1983,pwned,2098,2156
1983,ksu_,1887,2004
1983,uptime,1654,1843
1983,wjh666,2043,2114
1983,delussive,2056,2123
1983,Zero_L,1916,2022
1983,ByeWorld512,2084,2143
1983,nightiefury1720,1505,1742
1983,lowbob,2011,2089
1983,mjj_,1772,1921
1983,katonyonko,1862,1983
1983,blitztage,2095,2148
1983,andrej246,1803,1941
1983,Minie_Jim,1383,1659
1983,FransValli,2005,2082
1983,yuvrajKharayat,2097,2148
1983,yyh603,1751,1903
1983,jtmaster1000,2049,2113
1983,wangck1998,1870,1985
1983,JokerSmile,1470,1713
1983,unalive,809,1322
1983,KKT_89,1848,1968
1983,Timonnable,2066,2123
1983,lyingflat1,1834,1957
1983,andrewtt,1977,2058
1983,lastridem,651,1214
1983,masonpop,1963,2047
1983,int233233,1951,2038
1983,arimxcoder,2098,2144
1983,FierteDeCeylan,2029,2093
1983,splay.tree,0,756
1983,I_Love_Ekaterina,2022,2088
1983,chernega,1956,2040
1983,inoader,1951,2036
1983,Kent530,2044,2103
1983,H-R-2004,2059,2113
1983,happy_lazier,1731,1881
1983,BBhaa,615,1185
1983,bykem,1958,2039
1983,crystaI,1672,1893
1983,pengin_2000,2009,2075
1983,puriflame,1973,2085
1983,tanaka255,1831,1948
1983,hengliao,2054,2107
1983,4977,1432,1754
1983,Kirkon,1987,2058
1983,argtarg,1848,1959
1983,cmdgbb,1970,2045
1983,apricity,1746,1887
1983,dwyang_Separation,0,749
1983,lvle,2052,2103
1983,NuclearMint,1680,1841
1983,alxwen711,2072,2117
1983,ASahib,1025,1469
1983,Linuyin,1923,2009
1983,LarrixAntofanin,1931,2015
1983,pomuchle,0,746
1983,GSH_gsh,1966,2039
1983,huikang,1994,2059
1983,cockatooo,2053,2101
1983,sarun061729,1931,2013
1983,Zxyoul,1916,2002
1983,zhouchenfeng,2010,2069
1983,BuzzyBeez,1813,1929
