contest_id,handle,old_rating,new_rating
446,vepifanov,2661,2747
446,subscriber,2603,2671
446,RAVEman,2551,2613
446,ztxz16,2421,2501
446,anta,2221,2344
446,acherepanov,2134,2275
446,mmaxio,2507,2557
446,kcm1700,2343,2429
446,Bobik,2391,2464
446,kuviman,2281,2380
446,knightL,2312,2402
446,RNS,2100,2244
446,gchebanov,2289,2382
446,I_love_Tanya_Romanova,2222,2333
446,adurysk,1956,2134
446,data_h,2389,2451
446,betaveros,2231,2335
446,Petr,2720,2685
446,CaliburianC.C.,2225,2328
446,WhitedarkWalker,2019,2178
446,oversolver,2204,2311
446,.o.,2271,2357
446,SirShokoladina,2410,2455
446,littlelittlehorse,2008,2166
446,ikatanic,2431,2466
446,wjh720,2020,2174
446,vlad107,2366,2417
446,kybconnor,2041,2187
446,tunyash,2118,2241
446,this_isssssyy,2285,2357
446,ilyakor,2384,2423
446,izban,2493,2494
446,sevenkplus,2366,2408
446,SteamTurbine,2407,2434
446,Komaki,2311,2368
446,Kurpilyansky,2332,2381
446,gediiiiiii,2105,2225
446,zhanyl,1953,2116
446,Shapo,2105,2223
446,snuke,2133,2241
446,nfssdq,1866,2049
446,cmd,2246,2316
446,ssmike,2092,2210
446,dreamoon_love_AA,2485,2465
446,HUST_LAZ,1875,2053
446,Gullesnuffs,2406,2413
446,infrmtcs,2178,2265
446,namonakiaccount,2123,2227
446,znirzej,2016,2153
446,gs12117,2273,2324
446,andrew.volchek,2006,2144
446,PattS,2228,2293
446,Rivx,2109,2213
446,Astein,2289,2329
446,liouzhou_101,1920,2080
446,W4yneb0t,2281,2321
446,ngfam_kongu,2321,2344
446,Sammarize,2018,2147
446,ecnerwala,2276,2314
446,TeaPot,2359,2363
446,kuangbin,2059,2173
446,marspeople,2058,2171
446,zanoes,2193,2259
446,I_love_tigersugar,2016,2141
446,niquefa_diego,2218,2272
446,WHITE2302,1954,2097
446,KrK,2301,2319
446,Shef,2186,2249
446,slavik,2069,2172
446,Oyk,1841,2012
446,TsunamiNoLetGo,2041,2152
446,flashmt,2136,2214
446,Orfest,2386,2358
446,laoriu,1899,2052
446,bidzilya,1986,2112
446,cgy4ever,2491,2429
446,Xellos,2317,2315
446,ika,1737,1926
446,tuna_salad,2280,2291
446,cxlove,2117,2193
446,SamanSami,2016,2127
446,al13n,2484,2420
446,marat.snowbear,1831,1997
446,Skedar,1774,1952
446,kawatea,2106,2183
446,StefanoT,2012,2121
446,azizkhan,2312,2300
446,ainta,2336,2310
446,Ilya_MSU,2083,2164
446,IvayloS,2136,2196
446,matrix,2164,2211
446,Nero,2119,2183
446,wo_,1950,2075
446,yummy,1980,2094
446,cssystem8,1853,2005
446,fksquare,1990,2100
446,Marcin_smu,2455,2388
446,tanzaku,2069,2147
446,Nikitosh,2091,2161
446,espr1t,1850,2000
446,Belonogov,2144,2189
446,alex_world,1966,2079
446,zerotrac,1915,2044
446,BaconLi,2367,2312
446,wanbo,1898,2031
446,bayleef,2259,2247
446,Hachiikung,2010,2104
446,LayCurse,2479,2403
446,zxqfl,1899,2029
446,wangliang,1736,1909
446,I_dont_have_girlfriend,1853,1996
446,crystal_mis,1766,1931
446,Logsha,1835,1983
446,kmjp,2233,2224
446,HentaiPrince,1868,2004
446,yosupo,2179,2196
446,Vladyslav,2145,2174
446,prowindy,2039,2112
446,I_love_Hoang_Yen,2308,2257
446,Jimanbanashi,2202,2202
446,sping128,1948,2053
446,bill125,1995,2082
446,Andrei1998,1794,1945
446,Milanin,2422,2348
446,sergio3010,2075,2128
446,pompon,1839,1976
446,openxxx,1796,1945
446,simenl,1855,1986
446,behzad.nouri,1790,1939
446,mjy0503,2063,2116
446,ed1d1a8d,1953,2050
446,ershov.stanislav,1984,2068
446,zeliboba,2182,2178
446,sspa,2252,2210
446,moonlight131,2233,2200
446,huangyunhao,1728,1888
446,yubowenok,1944,2040
446,cyk2011,2007,2078
446,zhsh,1706,1869
