contest_id,handle,old_rating,new_rating
413,V--o_o--V,2280,2318
413,LHiC,1896,1942
413,enrevol,1667,1736
413,nmakeenkov,1764,1810
413,alex_world,2002,2022
413,-imc-,2237,2226
413,Olga24912,1902,1922
413,haku,1877,1897
413,stanislav-morozov,1788,1813
413,andrewgark,1550,1590
413,promentol,1646,1722
413,yurboss,1786,1806
413,G-Back,1610,1699
413,thefacetakt,1754,1774
413,Lavrentiy,1682,1742
413,Fraaraco,1547,1656
413,ipavlov,1899,1900
413,iroodaz,1673,1735
413,VeniVidiVici,1505,1627
413,AllCatsAreBeautiful,1595,1685
413,Artem_kh,1770,1783
413,irkstepanov,1697,1746
413,riskingh,1701,1719
413,Flyrise,1770,1778
413,ser398,1771,1777
413,vient,1834,1828
413,iskhakovt,1644,1658
413,qwer_zcc,1698,1745
413,DiegoCR,1693,1742
413,i_am_kind_of_lucky,1521,1542
413,master_j,1555,1657
413,nhtrnm,1977,1944
413,NiceDayToDie,1631,1704
413,53645,1451,1585
413,mbrc,1653,1715
413,ApachE,1554,1654
413,Laakeri,1690,1736
413,aid,1928,1897
413,sajo,1515,1627
413,danceonly,1593,1676
413,Slyusar,1451,1581
413,ebrahim,1470,1594
413,albertg,1566,1658
413,Zidni,1606,1614
413,bear961023,1609,1683
413,infm,1696,1732
413,Morphy,1522,1627
413,feniks,1695,1730
413,Qubit01,1606,1678
413,RetiredAmrMahmoud,1596,1671
413,Guliash,1635,1693
413,MikleM2,1428,1447
413,gasin,1641,1696
413,mc_mosa,1685,1720
413,gustokashin,1692,1723
413,moinul.shaon,1638,1693
413,ZYY,1644,1695
413,vacuous,1581,1658
413,Hennkka,1614,1677
413,scotter,1500,1633
413,mbaros,1576,1652
413,I_love_Chelsea,1624,1679
413,ishita,1651,1694
413,Korvin79,1684,1711
413,mob_lived,1502,1604
413,dallex4,1500,1630
413,ilya.krokus,1664,1698
413,minh141198,1686,1709
413,wynnew,1697,1713
413,robots.txt,1549,1630
413,Ringod,1591,1654
413,zulkan,1566,1639
413,HASP,1749,1736
413,hzwer,1517,1608
413,Mon_PleaseHitMeAgain,1387,1519
413,yantlyao,1436,1553
413,_malioboro,1477,1581
413,bsnipers,1611,1662
413,HeavMyna,1634,1673
413,ikejiri,1611,1660
413,souvikkrm,1634,1673
413,chenzeyu97,1448,1558
413,LipAnn,1506,1516
413,d40a,1532,1611
413,Denzed,1541,1548
413,Disintegrator,1657,1680
413,audin1000,1715,1700
413,Dragonborn,1558,1626
413,yujiesheng,1615,1658
413,MicaelCarvalho,1603,1650
413,Tiko,1649,1674
413,LiuRunkY,1577,1634
