contest_id,handle,old_rating,new_rating
655,jqdai0815,3250,3312
655,anta,2743,2848
655,Alex_2oo8,2447,2600
655,NaiveNaive,2150,2368
655,eddy1021,2400,2533
655,Radewoosh,2421,2537
655,FizzyDavid,2227,2387
655,Nezzar,2195,2356
655,dreamoon_love_AA,2759,2761
655,rowdark,2779,2770
655,flydutchman,2480,2543
655,matrix,2395,2475
655,ffao,2351,2437
655,Rafbill,1898,2114
655,Moe,1995,2175
655,zerokugi,2390,2453
655,I_love_Hoang_Yen,2454,2496
655,Shef,2516,2539
655,alex20030190,2409,2456
655,sd0061,2714,2682
655,natsugiri,2315,2380
655,fsouza,2660,2635
655,TsunamiNoLetGo,2196,2287
655,zscc,2207,2292
655,NarutoFan,2024,2159
655,alecsyde,2224,2299
655,atetubou,2172,2259
655,Deemo,2134,2229
655,teleport,2313,2357
655,Shik,2631,2594
655,Sampson,2352,2381
655,SakurakoujiRuna,2218,2281
655,FatalEagle,2634,2590
655,MrDindows,2477,2469
655,arthur.nascimento,2397,2407
655,totsamyzed,2038,2143
655,mexmans,2384,2393
655,Arthur,2266,2304
655,sy2006,2327,2346
655,Snezhok,2087,2170
655,kmjp,2311,2332
655,Ronnoc,2169,2226
655,TimonKnigge,2017,2115
655,azukun,2171,2224
655,ikbal,2149,2206
655,Luqman,2072,2149
655,harrypotter192,2183,2228
655,Mediocrity,2278,2297
655,aropan,2479,2447
655,t90tank,1991,2085
655,aguss787,2015,2101
655,.I.,2152,2198
655,tun,2390,2374
655,guille,2189,2222
655,flowlight,2252,2268
655,ngochai94,2090,2148
655,davidlee1999WTK,2291,2294
655,albertnez,1931,2031
655,Tedeza_Rize,1813,1948
655,NikaraBika,2063,2123
655,MathCrusader,2104,2151
655,MyLeg,2003,2077
655,PPFish,1871,1983
655,sadhwaniyash6,1967,2049
655,anubhav94,1967,2048
655,hohomu,2021,2085
655,kliu31415,1963,2042
655,fruwajacybyk,2042,2098
655,touristv2,2052,2104
655,greencis,2158,2180
655,qoo2p5,1916,2004
655,Fadeaway,2091,2129
655,pekempey,1912,1999
655,jinzhao,2313,2293
655,maksay,2527,2455
655,ayaze,2189,2197
655,MottoX,2004,2061
655,Godely,2144,2161
655,Prime21,2045,2088
655,visanr,1962,2027
655,StoneCold_,1894,1978
655,Orenji.Sora,2024,2070
655,nuip,2276,2256
655,Totoro,2147,2158
655,takio,2345,2307
655,linkct,2105,2126
655,hsnprsd,1959,2018
655,gvaibhav21,2119,2134
655,ExfJoe,2213,2203
655,Ripatti,2236,2220
655,ADJA,2138,2146
655,adurysk,2173,2171
655,aniket20,2022,2058
655,alanM,1783,1886
655,nlj1999,1646,1790
655,Quang,2132,2137
655,karanaggarwal,1935,1992
655,KrK,2402,2340
655,mgch,2318,2275
655,annikura,1998,2035
655,petrescu,2066,2084
655,mgradicek,1738,1847
655,logicmachine,2162,2154
655,RetiredAmrMahmoud,2210,2190
655,pokorski,1910,1967
655,rodrigozhou,1940,1988
655,LeTango,1665,1792
655,Butane,1963,2003
655,Landertxu,2206,2183
655,Amirnasr,2080,2087
655,Eran,2041,2058
655,maximumSHOT,2001,2028
655,kingofnumbers,2116,2112
655,LeMieux,2068,2075
655,tehqin,2044,2057
655,new_page001,1939,1979
655,athin,2021,2039
655,lajiniunai,1771,1857
655,rais.fathin38,2046,2056
655,sping128,1982,2008
655,Irkutsk_ISRU,1990,2013
655,anthonyhkf,1959,1989
655,rnsiehemt,2079,2077
655,dendicodeforces,1968,1995
655,KeyID,1890,1937
655,AlexandruVlad,1765,1847
655,AmirAz,1945,1976
655,minh141198,2302,2244
655,gongy,1959,1985
655,biGinNer,1781,1855
655,koyumeishi,1974,1994
655,FxF,2017,2025
655,tanakh,2114,2098
655,PrashantM,2105,2090
655,FoolForCS,1877,1920
655,dai,1940,1966
655,Archazey,1966,1984
655,okaduki1,1845,1895
655,J_X,1850,1898
655,alexeykuzmin0,2023,2024
655,himanshujaju,1984,1995
655,yancouto,2170,2135
655,LWMAN,1867,1908
655,Sakura,2077,2063
655,xzj1998,2149,2117
655,determinism,1883,1918
655,DmitryBelikov,1659,1756
655,mink_ank_loves_me,1501,1647
655,oeoyex222,1979,1986
655,spetsnaz,1967,1977
655,sahedsohel,1978,1984
655,tanyuqian,2125,2095
655,prabowo,1965,1974
655,sonlh07,1693,1776
655,mkrjn99,1864,1898
655,acerlawson,2009,2005
655,Morphy,2016,2009
655,ZeroShadow,1754,1817
655,3z_sky,1850,1886
655,jeremy624lolz,1972,1975
655,sammyMaX,2147,2107
655,polingy,1864,1893
655,pvs,2150,2108
655,Infoshoc,1846,1880
655,johnathan79717,2092,2062
655,NelsonMondialu,1904,1921
655,Dongmin,1858,1887
655,RepairComputer1,2032,2016
655,arechitsky,2139,2096
655,Birjik,1941,1946
655,bssanches,1830,1863
655,Sick_coder,2100,2065
655,slava.sh,1999,1988
655,graszka22,1702,1770
655,Jimanbanashi,2209,2147
655,Elise,1737,1794
655,shym_red,1914,1922
655,Maxim,1861,1883
655,nightfury1204,1743,1796
655,ilya_ust,1715,1775
655,AStepanov,1830,1858
655,khrak,1663,1736
655,sidhant,2035,2010
655,ibra,1939,1937
655,Tyg3R,2130,2082
655,Aspirin,1677,1744
655,fchirica,1829,1854
655,maopao,1855,1873
655,HannaYzade,1928,1927
655,hnuRoshan,1937,1933
655,KenjiH,1735,1783
655,mindol,1838,1858
655,AminAnvari,1853,1869
655,KichhuMichhu,1727,1776
655,adamant,2201,2132
655,foxermen,2001,1978
655,dpaleka,1989,1969
655,amarmalik,1742,1785
655,Mohammad.Sj,1650,1718
655,mynameisveryshort,1500,1612
655,justdoit0989,1517,1624
655,LiChenKoh,2075,2032
655,tahmidhamim,1592,1675
655,morejarphone,1692,1746
655,TerryMcGinnis,1894,1893
655,cbhcbh,1536,1634
655,new_doubleh,2097,2047
655,mselivanov,1711,1757
655,anveshi,1738,1776
655,Freedom,1717,1761
655,_Rampage_,1852,1859
655,Filyan,1897,1892
655,CyberQuantum,1908,1900
655,dummy,1790,1812
655,Dutzul,1819,1833
655,shadowfax,1722,1761
655,linrunbo,1784,1806
655,orponik,1725,1763
655,angelg,1515,1612
655,romanova,1906,1895
655,Silentium,1506,1605
655,Testment,1717,1755
655,Chameleon2460,2382,2263
655,a.piasta,2156,2085
655,tafit3,1829,1836
655,628_LJ,1522,1614
655,joycode,1593,1663
655,halin.george,1983,1950
655,vsp4,1674,1720
655,Zailton,2019,1977
655,Relax,1858,1855
655,UESTC_Sphinx,1941,1917
655,danft,1907,1891
655,Reese,1500,1594
655,xiper,1983,1947
655,allllekssssa,1948,1921
655,biltharesatyendra,1654,1702
655,fange121,1906,1888
655,VastoLorde95,1922,1900
655,Ahmad_Elsagheer,1935,1909
655,sancho,1980,1943
655,numbertheorist17,2077,2017
655,alexey.shchepin,2146,2070
655,nbybyyby,1877,1864
655,the_arr_of_war,1861,1851
655,Cadongllas,1426,1537
655,buggy.code,1661,1702
655,I_Love_MohseN,1612,1666
655,chemthan,2191,2103
655,loi_dqs,1449,1551
655,sifrit98,1606,1660
655,mirs,1731,1751
655,AndrNef,1888,1868
655,kubusgol,1825,1820
655,24201,1740,1757
655,Spartina,1323,1464
655,Jakube,1822,1817
655,T1024,1813,1809
655,descrip,1870,1852
655,SerVasilich,1621,1667
655,a3636tako,1449,1545
655,baobab,1643,1683
655,merolish,1769,1775
655,hrazvan,1794,1793
655,Miteusz,1988,1940
655,Green_Hand,1721,1738
655,BitHashTech,1737,1748
655,code_note,1938,1900
655,yum,2010,1955
655,FallenTurret,1627,1667
655,mimirrow,1789,1786
655,ap_hawkdown,1714,1730
655,gepardo,2006,1950
