contest_id,handle,old_rating,new_rating
645,Petr,3212,3342
645,tourist,3582,3534
645,vepifanov,2963,3049
645,rng_58,3062,3102
645,I_love_Tanya_Romanova,2861,2937
645,riadwaw,2640,2765
645,PavelKunyavskiy,2729,2816
645,Egor,2961,2978
645,ershov.stanislav,2577,2690
645,Burunduk1,2537,2653
645,ACRush,2758,2809
645,JoeyWheeler,2962,2951
645,Um_nik,2937,2929
645,Zlobober,2711,2757
645,uwi,2452,2562
645,HellKitsune,2487,2583
645,-XraY-,2743,2767
645,matthew99,2646,2691
645,Nikitosh,2406,2510
645,Kostroma,2778,2782
645,Xellos,2640,2675
645,andrew.volchek,2643,2674
645,Reyna,2300,2419
645,mmaxio,2751,2748
645,Belonogov,2586,2622
645,Kaban-5,2471,2534
645,zimpha,2226,2352
645,sokian,2176,2313
645,aid,2437,2501
645,V--o_o--V,2707,2699
645,Edvard,2388,2459
645,subscriber,2640,2644
645,savinov,2367,2439
645,Arterm,2308,2393
645,oversolver,2224,2330
645,zeliboba,2404,2459
645,blackEarth,1728,1982
645,Copymaster,2544,2559
645,map,2467,2499
645,I_love_tigersugar,2605,2600
645,sfiction,2250,2336
645,doubility,2182,2284
645,IlyaLos,2374,2423
645,yosupo,2489,2506
645,Balajiganapathi,2161,2263
645,kriii,2332,2386
645,niyaznigmatul,2864,2785
645,ifsmirnov,2558,2551
645,DPR-pavlin,2248,2319
645,VArtem,2711,2664
645,ko_osaga,2572,2557
645,qwerty787788,2670,2630
645,bayleef,2508,2506
645,Merkurev,2713,2659
645,vintage_Vlad_Makeev,2294,2343
645,Fdg,2502,2497
645,Kurpilyansky,2337,2372
645,netman,2439,2447
645,darnley,2383,2404
645,LHiC,2776,2700
645,TeaPot,2585,2553
645,budalnik,2180,2249
645,sankear,2679,2622
645,sivukhin,2431,2433
645,Aidos,2337,2361
645,yarrr,2417,2420
645,kyuridenamida,1862,2017
645,ballon,2362,2376
645,agul,2043,2141
645,Ximera,2195,2250
645,danilka.pro,2431,2424
645,613,1875,2020
645,.tx,2226,2269
645,Seemann,2338,2351
645,NVAL,2363,2369
645,antonkov,1976,2085
645,BigBag,2277,2302
645,albert96,2437,2421
645,-imc-,2279,2302
645,eatmore,2656,2585
645,ashmelev,2484,2454
645,Michael,2340,2342
645,Vercingetorix,2143,2196
645,chitanda,2114,2175
645,marat.snowbear,2217,2249
645,el_sanchez,2412,2394
645,lydrainbowcat,2294,2304
645,StarCuriosity,2000,2088
645,microtony,2249,2269
645,Svyat,2000,2086
645,Gassa,2251,2268
645,ultizet,2014,2094
645,crossopt,1890,2006
645,duyboy135,2078,2138
645,irkstepanov,2120,2168
645,Vaness,1932,2032
645,vilcheuski,2278,2283
645,tenshi_kanade,2087,2141
645,scorpion,2031,2100
645,skrydg,2272,2276
645,quailty,2229,2242
645,vml,2238,2249
645,LLI_E_P_JI_O_K,2090,2139
645,zshi,2452,2408
645,KungA,2365,2342
645,Borisp,2161,2188
645,paulwang,1998,2068
645,Roms,2064,2115
645,uikos,2094,2137
645,joyfun,2055,2107
645,lych123,1932,2018
645,KuchumovIlya,2487,2429
645,Algiz,2146,2171
645,AllCatsAreBeautiful,2060,2108
645,kb.,2174,2191
645,Sert,2249,2246
645,Antoniuk,2192,2202
645,cescmentation_folch,2052,2099
645,komendart,2065,2107
645,Golovanov399,2256,2247
645,Sinner,2193,2200
645,Auster,2290,2272
645,tyamgin,2123,2147
645,Furko,2252,2242
645,Mikester,2275,2259
645,alex_world,2118,2141
645,U.M.R,1818,1925
645,AndrewB330,1951,2017
645,akashdeep,2194,2195
645,RamTararam,2075,2106
645,Taube,2193,2193
645,eha,2078,2107
645,Ilya_MSU,2458,2392
645,IMAN_GH,2278,2255
645,Timur_Sitdikov,2190,2188
645,sahilgrover,1913,1983
645,Bobrosoft,2116,2131
645,shdut,1955,2013
645,hiyot,2044,2077
645,MrKaStep,2089,2109
645,xosmig,1943,2003
645,Saturday,1879,1957
645,chenmark,2047,2077
645,alexey.enkov,2342,2297
645,rantd,2100,2114
645,Oleg_Smirnov,2040,2069
645,mhadih,1947,2001
645,Sammarize,2132,2136
645,madshuttlecock,2051,2076
645,malcolm,2425,2356
645,glebushka98,2003,2039
645,passick,2077,2093
645,maxplus,1970,2014
645,6eJIa9IzZzTeHb,1978,2019
645,Stetsyk,2114,2118
645,rajat1603,2053,2073
645,PraveenDhinwa,1929,1982
645,Deamon,1945,1993
645,hey_boris,2068,2082
645,_noname,2059,2075
645,zclimber,1948,1993
645,Perforator,2218,2193
645,-oo-,1881,1944
645,M.Mahdi,2127,2123
645,Nerevar,2282,2239
645,AU.Bahosain,1901,1956
645,WhiteRose1100011,1500,1683
645,natalia,2106,2105
645,platypus179,2012,2035
645,trilis,1984,2013
645,Sehnsucht,2012,2033
