contest_id,handle,old_rating,new_rating
662,tourist,3588,3640
662,vepifanov,2985,3079
662,riadwaw,2759,2881
662,PavelKunyavskiy,2816,2899
662,Merkurev,2735,2824
662,VArtem,2498,2652
662,Egor,2978,2972
662,ershov.stanislav,2704,2764
662,mmaxio,2838,2850
662,Belonogov,2538,2631
662,ifsmirnov,2498,2596
662,Xellos,2675,2708
662,TeaPot,2459,2553
662,DPR-pavlin,2319,2455
662,Copymaster,2596,2630
662,LHiC,2722,2714
662,Arterm,2340,2444
662,Zlobober,2776,2743
662,Edvard,2448,2494
662,Kostroma,2776,2733
662,savinov,2445,2478
662,Um_nik,2994,2893
662,Kaban-5,2529,2532
662,darnley,2404,2437
662,aid,2516,2511
662,subscriber,2745,2681
662,V--o_o--V,2781,2705
662,-XraY-,2781,2701
662,danilka.pro,2506,2481
662,sokian,2392,2391
662,zeliboba,2485,2454
662,I_love_Tanya_Romanova,2834,2729
662,Kurpilyansky,2265,2280
662,IlyaLos,2328,2317
662,niyaznigmatul,2785,2678
662,andrew.volchek,2825,2709
662,agul,2208,2206
662,map,2505,2427
662,budalnik,2243,2214
662,netman,2522,2436
662,HellKitsune,2488,2401
662,qwerty787788,2694,2576
662,yarrr,2390,2302
662,sivukhin,2498,2393
