contest_id,handle,old_rating,new_rating
173,tourist,2906,2919
173,Zhukov_Dmitry,2384,2459
173,winger,2194,2304
173,Petr,2703,2711
173,KADR,2246,2339
173,yeputons,2394,2451
173,sdya,2366,2427
173,rng_58,2581,2595
173,tmt514,2368,2426
173,peter50216,2421,2464
173,FattyChicken,2004,2145
173,Edvard,2125,2235
173,al13n,2360,2412
173,neex.emil,2147,2250
173,Endagorion,2391,2430
173,NALP,2181,2272
173,vepifanov,2470,2487
173,vot,2126,2229
173,dancho,2151,2246
173,KOTEHOK,2260,2324
173,zjut_DD,1984,2120
173,v.haralampiev,2205,2282
173,cgy4ever,2372,2401
173,Vedensky,2092,2197
173,Milanin,2309,2352
173,bayleef,2245,2304
173,Alexus,2060,2169
173,meshanya,2026,2144
173,wrong,2181,2255
173,DPR-pavlin,2278,2322
173,fhlasek,2203,2268
173,SergeyRogulenko,2429,2424
173,aropan,2138,2220
173,ashmelev,2504,2469
173,PavelKunyavskiy,2490,2458
173,sankear,2149,2224
173,Gassa,2174,2241
173,niyaznigmatul,2407,2398
173,VArtem,2222,2271
173,subscriber,2284,2312
173,ytau,2087,2175
173,Fdg,2336,2345
173,valich,2092,2177
173,yaro,2153,2218
173,SpookyCookie,2123,2196
173,vsb,2200,2248
173,Zlobober,2180,2233
173,dreamoon_love_AA,2364,2353
173,sexyprincess91,2327,2327
173,liympanda,2346,2338
173,Archon.JK,2110,2181
173,SirShokoladina,2044,2135
173,voover,2367,2346
173,R_R_,2225,2254
173,weiyang,1967,2079
173,pperm,2286,2291
173,siuvit,2088,2160
173,fagu,2170,2215
173,kterry,2025,2116
173,rinigan,2122,2180
173,wjomlex,1913,2037
173,paulik,1851,1992
173,shangjingbo,2322,2303
173,Shtrix,2067,2140
173,Sammarize,2199,2224
173,LayCurse,2395,2339
173,Copymaster,2377,2327
173,SuBaRaSi,2193,2217
173,dj3500,2199,2219
173,Nerevar,2190,2213
173,kelvin,2401,2338
173,xay,2126,2170
173,zglicz,1973,2069
173,riadwaw,2169,2196
173,chnlich,2215,2222
173,flashmt,2291,2267
173,ll931110,2031,2104
173,vilcheuski,1733,1898
173,---Grigor---,1821,1960
173,goryinyich,2044,2110
173,GlebsHP,2243,2233
173,dinosaurs,1959,2052
173,Fire,1665,1845
173,hytirt,1706,1875
173,quyse,2071,2122
173,dalex,2016,2086
173,Dener,1937,2034
173,SkyHawk,1985,2066
173,EbTech,1998,2072
173,xkszltl,1850,1973
173,map,2006,2075
173,kmxyvb,1858,1978
