contest_id,handle,old_rating,new_rating
181,Lizzy-,1612,1672
181,Likogra,1640,1688
181,alexlinzhai,1636,1684
181,sdryapko,1655,1695
181,Jimanbanashi,1683,1710
181,hiphip,1699,1718
181,Artishok,1568,1639
181,dusty.and.rusty,1682,1706
181,tjmtss,1699,1716
181,waterhao,1619,1669
181,Timur_Keks,1680,1703
181,Rmin,1476,1575
181,NikitaD,1697,1711
181,delta,1645,1681
181,kael,1527,1607
181,phiysp,1500,1613
181,semicfly,1613,1660
181,sixteentons,1626,1667
181,sniper0221,1617,1661
181,Simplex,1582,1639
181,hama-du,1667,1687
181,lxc,1471,1566
181,fxu,1443,1546
181,efim,1550,1616
181,Darmani,1630,1663
181,bidzilya,1599,1645
181,renisfan,1592,1640
181,bor2com,1502,1583
181,vagnard,1672,1683
181,darkhh,1658,1675
181,kleninz,1647,1668
181,Izot_NNSTU,1640,1663
181,ishikado,1643,1664
181,ilona,1466,1556
181,AlGebr,1671,1678
181,kolina,1527,1594
181,ichyo,1683,1683
181,flexme,1632,1654
181,Tatyana_Petrashko,1697,1689
181,shef_2318,1617,1644
181,shibly,1683,1679
181,toxahak,1692,1683
181,Perlik,1588,1626
181,Electronick,1547,1601
181,byte,1445,1535
181,yongwhan,1613,1638
181,nebokaknebo,1485,1560
181,techxacm,1530,1588
181,littlekfc,1663,1663
181,hypercube,1500,1594
181,UCI-Night,1447,1533
181,qqz003,1665,1661
181,pavel.savchenkov,1556,1600
181,Alisafe,1610,1630
181,135678942570,1487,1557
181,cup_of_tea,1478,1550
181,sachith500,1474,1547
181,SiddharthBora,1544,1590
181,NVAL,1366,1471
181,PeterGriffin,1534,1583
181,PetarV,1480,1549
181,yh_victor,1648,1644
181,Serzhan,1484,1550
181,mirsaid_mir,1480,1547
181,Petrushenko,1565,1598
181,nrg3,1675,1653
181,Sayakiss,1637,1634
181,tiirz,1514,1566
181,tclsm2012,1559,1591
181,fiver,1672,1649
181,Spone,1313,1425
181,Shafaet,1600,1611
181,Brilliant,1504,1556
181,radix.ru,1622,1622
181,Nicolai_Kovrov,1685,1651
181,Golovanov399,1675,1644
181,lpm,1500,1580
181,makrusak,1559,1585
181,abdukodir,1546,1577
181,pernay,1632,1622
181,XiaoDan,1591,1600
181,Koblyk,1475,1534
181,Volkswagen,1560,1582
181,velvet,1649,1626
181,MSPA,1501,1547
181,sakib_rulez,1597,1599
181,liuyubobobo,1572,1586
181,fcspartakm,1621,1610
181,pius_88,1545,1570
181,Obaida,1544,1568
181,cxjyx_xme,1533,1562
181,Alex_2oo8,1462,1519
181,mjbeat,1662,1625
181,VeraK,1612,1602
181,aaa_bbb_ccc,1579,1584
181,coderbd,1585,1586
181,MrBear,1546,1565
181,cxjyxx_me,1558,1571
181,dorellin,1464,1516
181,tyamgin,1631,1605
181,beyondxgb,1356,1442
181,lcastillov,1627,1602
181,jainor,1541,1559
181,mongolrgata,1529,1551
181,PAG,1343,1432
181,Misha,1569,1571
181,treert,1672,1619
181,cs_Diablo,1415,1480
181,yuta1024,1495,1529
181,scientist1642,1476,1518
181,dshaman92,1373,1450
181,Alexander_USU,1497,1528
181,trungda,1527,1544
181,jobs.in.hanoi,1337,1423
181,carter91620,1500,1529
181,cholerikasi,1624,1590
181,phantom11,1426,1482
181,matteojug,1587,1572
181,MinWoo,1583,1570
181,hithere,1621,1586
181,alabax,1529,1540
181,bbugaev,1639,1592
181,fujiyama,1494,1521
181,hhddff,1370,1440
181,urutom,1664,1607
181,MrDindows,1517,1530
181,peking2,1426,1476
181,vector9x,1611,1575
181,RepairComputer1,1485,1511
181,Paulina,1586,1562
181,jefferson_,1556,1547
181,obfuscated,1415,1466
181,Algiz,1583,1559
181,NSV,1425,1472
181,greenmoon55,1457,1491
181,brunoja,1691,1625
