contest_id,handle,old_rating,new_rating
299,satashun,1682,1756
299,Miron95,1655,1740
299,Ingkarat,1697,1763
299,IgorKoval,1600,1707
299,pichayut,1640,1729
299,pratyai,1658,1739
299,cup_of_tea,1685,1753
299,semicolon29,1698,1759
299,demolishka,1489,1633
299,Feu,1651,1732
299,kingofnumbers,1692,1754
299,yermak0v,1624,1716
299,bekzhan29,1593,1697
299,Fbulatov,1548,1670
299,vlfom,1685,1747
299,Bidhan,1685,1746
299,Jarekczek,1652,1728
299,kolina,1641,1721
299,Anonymous3,1500,1653
299,Nibutani_Shinka,1500,1634
299,cocls,1666,1733
299,Cyber.1,1546,1663
299,ACJulian,1514,1642
299,urahara,1664,1729
299,ximo,1653,1723
299,Azat_Yusupov,1678,1736
299,hgame,1692,1742
299,felix,1581,1681
299,enhydra,1570,1673
299,Darko,1581,1680
299,zhj5chengfeng,1670,1729
299,aios,1347,1519
299,Hasan0540,1515,1638
299,pllk,1682,1731
299,alexandre,1646,1713
299,App,1565,1666
299,Samchenko,1637,1706
299,bristy1588,1673,1724
299,chaos0000,1666,1720
299,O-1-,1533,1644
299,giatringuyen,1294,1473
299,cgangee,1686,1728
299,nikalosaberidze,1332,1503
299,kco_c,1533,1644
299,RepairComputer1,1586,1673
299,ItsLastDay,1526,1637
299,QuantumKnight,1533,1641
299,ibra,1694,1727
299,lrb,1610,1685
299,abistrigova,1649,1703
299,diannaok,1531,1637
299,dwoolley3,1439,1577
299,soup_boy,1411,1558
299,netman,1623,1688
299,Erfan_Mot,1689,1720
299,renorth,1491,1610
299,AK93,1621,1684
299,totoroXD,1594,1670
299,smx,1598,1671
299,studenikina,1196,1383
299,fwm94,1442,1575
299,AU.Bahosain,1297,1467
299,shovonshovo,1586,1662
299,zlbing,1676,1707
299,nardy,1568,1651
299,rasmus,1665,1700
299,sourcecode,1680,1706
299,gxnncrx1993,1611,1673
299,ns_serg,1689,1709
299,abdukodir,1690,1709
299,maha1192,1666,1698
299,Andrew_Merkulov,1560,1642
299,nakari1124,1683,1703
299,vanogam,1344,1498
299,PERNEKHAN,1659,1691
299,LongTimeNoThin,1588,1655
299,baqargam,1230,1406
299,FoxyKun,1690,1703
299,Quexint,1595,1657
299,vadimmm,1564,1640
299,otero1991,1584,1651
299,mohammadrdeh,1684,1697
299,BryantMark,1660,1686
299,bajaga2,1597,1656
299,dr.ikros,1608,1659
299,Stratonov,1548,1628
299,dahailixuxu,1493,1596
299,AbiriAmir,1588,1649
299,ikmwxe715,1598,1652
299,xtestw,1394,1528
299,Artem_kh,1665,1683
299,nfssdq,1615,1659
