contest_id,handle,old_rating,new_rating
245,betalife37,1500,1691
245,ILoveChaJie,1500,1690
245,IbukiSuika,1652,1748
245,tsundere,1653,1748
245,DexTrom,1699,1768
245,ChaJie,1500,1688
245,sicasli,1646,1743
245,135678942570,1669,1752
245,Ahmed_Salama,1698,1765
245,11224d,1500,1687
245,soultama,1542,1688
245,Mr.,1682,1756
245,DeathCoil,1574,1704
245,Martial,1667,1748
245,Muali,1684,1755
245,PlayLikeNeverB4,1656,1742
245,Eugen,1610,1720
245,Kharybin,1689,1756
245,nownikhil,1565,1696
245,xiaoshua,1689,1754
245,doxuanviet1996,1569,1697
245,bzdbz,1648,1735
245,duolon,1651,1735
245,urahara,1656,1737
245,blackBird,1494,1653
245,kwlyeo,1669,1742
245,khanhptnk,1699,1754
245,mrunique.01,1582,1701
245,what7Usay,1651,1732
245,UESTC_Spartacus,1500,1679
245,goodhope,1424,1608
245,sameer47,1682,1743
245,matrix,1697,1748
245,Hachiikung,1595,1703
245,ron.ryv,1521,1665
245,Corei13,1687,1744
245,Sinner,1685,1741
245,Androik,1686,1742
245,nzyvbo331,1671,1734
245,Metamorphus,1668,1732
245,Jovfer,1629,1715
245,Raoul,1423,1603
245,jefferson_,1556,1680
245,mystery_boy,1660,1727
245,ig_dug,1620,1709
245,pashakovalenko,1624,1710
245,Hedayet,1599,1698
245,idlerboris,1500,1671
245,klamathix,1679,1731
245,wwared,1552,1674
245,tereshinvs,1593,1693
245,lost3030,1531,1662
245,vector9x,1557,1675
245,kzr.buet08,1483,1635
245,capythm,1691,1732
245,guliashvili,1668,1723
245,Krasnokutskiy,1659,1718
245,Lugera,1349,1547
245,pltozf044,1460,1619
245,Nikitosh,1609,1696
245,tsoy,1627,1703
245,Vault_34,1344,1541
245,cs_Diablo,1636,1706
245,pumpkinsm,1662,1715
245,avusturalya,1500,1664
245,roman.kolganov,1500,1664
245,Eulerdora,1597,1687
245,aitch_nu,1590,1683
245,JustN,1693,1724
245,amirrr,1672,1716
245,ptnk_1215_panaka_13,1466,1617
245,rucwdp,1500,1661
245,accidentallygivenfuck,1599,1684
245,nkt,1551,1662
245,egor-belikov,1627,1695
245,Temirulan,1654,1706
245,out_of_theblue,1653,1705
245,chaos_king,1616,1689
245,Vladyslav,1673,1711
245,tjsuwd,1581,1673
245,amitsaharana,1351,1539
245,IDontEnGoI,1500,1657
245,potpath,1492,1627
245,0x1337,1593,1676
245,Geners,1528,1645
245,AlexandrShcherbakov,1532,1647
245,Anastasiya.Zhyr,1428,1588
245,madlpx,1660,1701
245,ljcc0930,1593,1673
245,lyc12345,1611,1680
245,D_style,1673,1703
245,MichaelChung,1645,1694
245,pavel.savchenkov,1550,1652
245,Delta003,1582,1666
245,caijunxiong,1515,1634
245,b92paul,1643,1690
245,Zeroclock,1688,1704
245,Mark_Fan,1491,1620
245,MrShocoladka,1601,1671
245,feldsherov,1538,1643
245,Bega,1624,1680
245,Yukar,1661,1692
245,gohard,1380,1551
245,ixxa,1555,1649
245,migdal,1697,1701
245,leha_raketa96,1514,1629
245,sasha.sochka,1562,1651
245,ACMood,1420,1575
245,tatuyan_edson,1631,1677
245,BigArcher,1608,1669
