contest_id,handle,old_rating,new_rating
1231,Timonnable,1892,2010
1231,Pechalka,1973,2005
1231,Maho,1781,1836
1231,EremeevD,1777,1808
1231,Nakinamo,1694,1729
1231,tricky_lifer,1757,1756
1231,romchikk19,1504,1562
1231,Ulukele,1468,1521
1231,Sem_1337,1852,1788
1231,FairyWinx,1500,1513
1231,rokirovochka,1447,1462
1231,Soul_Catcher,1439,1442
1231,Ivan_Dunko,1522,1491
1231,Nortron,1413,1397
1231,ruban,1725,1630
1231,Hrun,1296,1283
1231,alexger1999,1022,1076
1231,fredboy,1246,1212
1231,.death,1122,1097
1231,Stanislav_gro,1273,1177
1231,c.constantinov05,1408,1300
