contest_id,handle,old_rating,new_rating
960,jqdai0815,3102,3242
960,Benq,2712,2893
960,Syloviaely,3258,3274
960,ainta,2759,2882
960,ko_osaga,2677,2806
960,dotorya,3068,3086
960,Um_nik,3370,3297
960,uwi,2724,2810
960,izban,2689,2776
960,SpyCheese,2780,2837
960,dreamoon_love_AA,2691,2765
960,ilyakor,2657,2734
960,chemthan,2317,2475
960,JOHNKRAM,2698,2754
960,eddy1021,2408,2533
960,MrDindows,2643,2704
960,Deemo,2512,2603
960,Endagorion,2961,2934
960,Expectation,2306,2443
960,BledDest,2351,2472
960,Kostroma,2788,2795
960,gvaibhav21,2222,2371
960,Temirulan,2118,2293
960,y0105w49,2681,2706
960,zyb,2334,2445
960,el_sanchez,2398,2490
960,Egor.Lifar,2321,2431
960,Belonogov,2673,2690
960,djqtxdy,2324,2428
960,cwy,2163,2308
960,Farhod,2153,2299
960,aid,2781,2763
960,kevinsogo,2398,2475
960,wiwitrifai,2470,2526
960,khokho,2344,2431
960,.tx,2390,2463
960,knightL,2394,2462
960,pranjal.ssh,2194,2315
960,WA_TLE,2330,2413
960,irkstepanov,2403,2466
960,Anadi,2454,2502
960,budalnik,2416,2472
960,Baba,2368,2435
960,PORONGON,2465,2506
960,yashChandnani,2153,2274
960,hohomu,2301,2381
960,593119681,2205,2309
960,cuizhuyefei,2026,2179
960,lbn187,2375,2432
960,mango_lassi,2202,2303
960,TadijaSebez,2004,2158
960,Aidos,2337,2400
960,teja349,2418,2457
960,EmanuelNrx,2074,2205
960,ppavic,2016,2162
960,GaryYe,2165,2268
960,Xellos,2548,2550
960,TeaPot,2521,2529
960,Bedge,2140,2247
960,comfi,2180,2274
960,tribute_to_Ukraine_2022,2443,2468
960,nhho,2364,2408
960,SeyedParsa,2009,2148
960,iqqsoszs,2143,2243
960,xuanquang1999,2072,2191
960,vilim_l,2066,2186
960,laurageorgescu,2032,2160
960,matrix,2064,2182
960,LiChenKoh,2304,2356
960,m.raszyk,1982,2122
960,shadowatyy,2340,2381
960,SoMuchDrama,2071,2183
960,vintage_Grigory_Reznikov,2113,2213
960,cookiedoth,2174,2256
960,The_Unbeatable,2176,2257
960,alexbabalau,2206,2278
960,_LowestJN,2146,2233
960,monsoon,2138,2226
960,Kurpilyansky,2248,2306
960,KMAASZRAA,2075,2179
960,1021839,2144,2228
960,Lo_R_D,2143,2226
960,nqiiii,2055,2162
960,negiizhao,2058,2163
960,visanr,2261,2311
960,PinkRabbitAFO,1746,1943
960,pavel.savchenkov,2299,2337
960,Motarack,2322,2354
960,bmerry,2970,2839
960,Ra16bit,2603,2563
960,fanache99,2587,2550
960,Toxel,2300,2334
960,..vince,1967,2090
960,Slamur,2241,2289
960,yancouto,2393,2401
960,Aeon,2338,2360
960,NanaKagura,1872,2021
960,voidmax,2493,2475
960,platypus179,2218,2269
960,Minnakhmetov,2028,2130
960,244mhq,2083,2169
960,Subconscious,2181,2239
960,jtnydv25,2278,2310
960,Golovanov399,2791,2694
960,suchir,2199,2251
960,gop2024,2196,2248
960,vosptu,1500,1762
960,kmjp,2412,2407
960,alex9801,2293,2318
960,AOME,1982,2090
960,queria_ser_abella,1759,1933
960,Markellonchik,2097,2171
960,papa3,2329,2342
960,HellKitsune,2729,2642
960,Sampson,2318,2333
960,TonySnark,2149,2207
960,saba2000,2347,2353
960,Hasan0540,2054,2137
960,allllekssssa,1987,2088
960,chenjb,2168,2219
960,eatmore,2794,2687
960,omidazadi,2159,2211
960,Mr_Spade,1979,2080
960,ffresh,1968,2071
960,KeyID,2122,2182
960,ismagilov.code,2089,2157
960,KADR,2235,2264
960,rkm0959,2043,2123
960,I_love_Albert_Gural,1998,2090
960,mexmans,1984,2079
960,abc473848880,2276,2293
960,kostka,2079,2147
960,Arpa,2115,2173
960,ajinkya1p3,2082,2148
960,P_Nyagolov,2142,2191
960,Navick,2259,2277
960,SaveVMK,1903,2018
960,masonsbro,2190,2225
960,polingy,2279,2291
960,lebowski998,2193,2226
960,DmitryBelikov,2109,2164
960,blatuitorulmlc,1954,2051
960,hitman623,1950,2048
960,kllp,2129,2177
960,-imc-,2455,2420
960,vilcheuski,2252,2267
960,Baliuk,1876,1994
960,superguymj,2069,2131
960,love_story,1557,1773
960,998kover,1943,2040
960,azneyes,2130,2175
960,Tsuare,2026,2098
960,Ali.Kh,2036,2105
960,-d-a-s-h-,1500,1733
960,kondranin,2178,2208
960,GT_18,1990,2070
960,jasonyik,2112,2159
960,Equinox,2114,2160
960,wasyl,2096,2146
960,eidan,1805,1937
960,sinus_070,1988,2067
960,gepardo,2311,2304
960,TearinFree,2105,2151
960,kefaa,2167,2196
960,Shivram,2037,2100
960,bvd,1996,2070
960,balakrishnan,1959,2043
960,TripleM5da,2130,2167
960,Pi_Tigrannik,1967,2048
960,afedor,2112,2153
960,Hazyknight,2095,2140
960,kimhasang,1877,1982
960,leemonage,1921,2013
960,ThePilgrim,2068,2119
960,afaji321,2043,2100
960,_xyz_,1858,1967
960,Sehnsucht,2169,2192
960,adamant,2366,2340
960,Melnyk,2155,2181
960,dai,2174,2195
960,YogayogayoG,1926,2013
960,abisheka,2042,2097
960,pedobearr,1820,1937
960,nishant_coder,1998,2064
960,Pringle-Man,1500,1718
960,TooDumbToWin,2085,2127
960,HXLLL,2016,2076
960,----------,1904,1995
960,Thiagohnc,2101,2137
960,bazsi700,2237,2238
960,orz,2295,2281
960,Arthurvtr,2016,2074
960,Qwertenx,1967,2038
960,Honour_00,1920,2004
960,garuna,2005,2065
960,I_love_tigersugar,2100,2134
960,olphe,1932,2011
960,Mediocrity,2285,2271
960,Makcum888,1926,2006
960,paulinia,2052,2097
960,riverwalk7,2058,2101
960,gafeol,1983,2046
960,toxzi,2024,2076
960,yosupo,2848,2694
960,SureYeaah,2000,2058
960,deMatos,1905,1989
960,adedalic,2409,2362
960,nagibator,1989,2048
960,_Ash__,1947,2018
960,erfanesm,1993,2051
960,Starlit,2006,2060
960,abhishek_saini,1924,2000
960,Hansuzu,1999,2054
960,Jimanbanashi,2168,2178
960,Lewin,2439,2381
960,Franklyn_W,2197,2199
960,Kita_The_Dragon,2106,2131
960,Valentin_E,1924,1998
960,Jatana,2093,2121
960,uhateme,2086,2115
960,kingofnumbers,2325,2294
960,kvk1920,1925,1997
960,Dark,2130,2147
960,altruist,2082,2111
960,victorsenam,2134,2149
960,Mjgonzales,2036,2076
960,tataky,2106,2128
960,turci,1918,1990
960,ayush_agrawal_,1586,1757
960,ridam,1845,1937
960,Anachor,1912,1985
960,Reyna,2396,2344
960,JustN,2292,2265
960,ludwig,1904,1978
960,VladaMG98,1890,1968
960,Eran,1955,2014
960,0101-1001,1840,1931
960,nike_007,1732,1855
960,chokudai,2234,2220
960,lzr_010506,2209,2200
