contest_id,handle,old_rating,new_rating
1513,JrNTR,0,1000
1513,flowmaster,1021,1707
1513,yuigahama_yui,2067,2305
1513,platelets,0,935
1513,Ideal_End,0,924
1513,rainboy,1946,2202
1513,RennGladars,1241,1785
1513,scansex,1283,1802
1513,X_qaeq,808,1461
1513,YahiaSherif,2088,2262
1513,mdj982,2009,2201
1513,magnus.hegdahl,2083,2247
1513,HolyK,1864,2091
1513,weak-chicken,1862,2138
1513,programusmaximus,1327,1776
1513,Flamire,2043,2202
1513,Rahul,2044,2199
1513,harshhx17,2039,2193
1513,lucasturci,2054,2200
1513,GavinZheng,1845,2053
1513,kogorou,1954,2125
1513,MagentaCobra,2022,2170
1513,c8kbf,1979,2137
1513,qx4ever,2033,2173
1513,AmirrzwM,2047,2180
1513,not_an_alt,1748,1973
1513,ExplodingFreeze,1985,2132
1513,agul,2031,2163
1513,universeofHk,2095,2207
1513,YxqK,2081,2195
1513,gupta_nitin,2000,2136
1513,nimom,1805,2000
1513,Shirorz,2078,2188
1513,yinwuxxx,729,1330
1513,qqx,2002,2131
1513,dOuOb,865,1416
1513,Nyaruko,2072,2177
1513,vibhav011,2047,2158
1513,MUFTI_KAZI_IBRAHIM,993,1516
1513,FLEA,2038,2149
1513,KDVinit,2073,2173
1513,iyaditta,761,1339
1513,CRJ_ZCR,1960,2090
1513,yan_qiu_ynlchrz,2006,2122
1513,XueYJ,1926,2064
1513,czhang2718,1915,2056
1513,mohit1O98,2097,2182
1513,..ow_ow..,1666,1885
1513,mcfr,1980,2098
1513,Be_dos,2038,2138
1513,GudDay,2020,2124
1513,Raghu150999,1931,2060
1513,Intercept,2012,2116
1513,jianzhi,2087,2169
1513,golions,2070,2156
1513,zhaoyutxdy,1996,2102
1513,Still_Hobodog_Jo,1948,2067
1513,rivalq,2079,2159
1513,Altervoke__,1687,1938
1513,HanTroid,2014,2111
1513,Narut,1989,2093
1513,ssor96,1722,1908
1513,saravpreet14,1880,2015
1513,Lacheck,1996,2095
1513,gum9ood,1809,1964
1513,yyzs123,2094,2164
1513,wattaihei,1958,2066
1513,spidermen,2076,2149
1513,CLDP,2050,2130
1513,alimq,2098,2164
1513,artem3605,2034,2117
1513,balakrishnan,1932,2044
1513,WNG,2099,2162
1513,Dolodu123,893,1396
1513,_baka,681,1254
1513,min.O_O,1917,2030
1513,bin101,1953,2055
1513,LBR_,1877,2001
1513,I_love_Ilya_Krasnov,1323,1678
1513,Yupiteru,2076,2141
1513,xh092102,633,1218
1513,ivan24,1821,1960
1513,mikeleven,1959,2055
1513,purinliang,2078,2140
1513,N-V-M,1190,1587
1513,curly_braces,1959,2053
1513,yrotciv,1998,2081
1513,HynDuf,1965,2056
1513,huangzirui,2093,2148
1513,RitikBaid,1733,1894
1513,.Sara.,1753,1907
1513,arvindr9,2003,2081
1513,Rafi22,2070,2129
1513,Sh0,1910,2014
1513,SebaMarin,2085,2138
1513,BroadwayNight,2054,2116
1513,tejas10p,2056,2117
1513,Valters07,2047,2110
1513,ttklwxx,2031,2097
1513,Zain,2006,2079
1513,trainwithoutpain,1702,1926
1513,joylintp,1998,2072
1513,TheeLooser,1879,1988
1513,Adoki,1853,1969
1513,munghatekartik,1938,2028
1513,satyamgarg121,2043,2103
1513,Essawi,1763,1905
1513,__ZMF__,1956,2039
1513,killer_god,1994,2065
1513,rapira,2057,2111
1513,_chandler_,2009,2076
1513,__23333,1909,2004
1513,Bay_Heckler,2009,2075
1513,Alexdat2000,2015,2078
1513,tomato_potato,1890,1989
1513,Theo830,1944,2027
1513,vivekZI,1941,2024
1513,Raiden,2068,2115
1513,michao,2084,2126
1513,Merqwq,1738,1943
1513,O_E,1891,1987
1513,YugiHacker,1635,1811
1513,cooklook,0,754
1513,viego,0,753
1513,log2win,1941,2022
1513,flashsonic,1882,1980
1513,mexomerf,1956,2031
1513,WolfBlue,1989,2055
1513,jerdno,1949,2026
1513,amanbol,2010,2069
1513,LastRonin,2064,2108
1513,Lazar,1307,1625
1513,zech,1762,1893
1513,windy7926778,2056,2101
1513,islingr,2080,2118
1513,Thallium54,1988,2051
1513,the_hyp0cr1t3,2036,2085
1513,Boredom,1857,1957
1513,bufftowel,2047,2092
1513,ck_platypus,1616,1791
1513,Roll_Num_56,1933,2009
1513,Darko1227,2089,2122
1513,noshin_faiza,1908,1991
1513,DmitryLzr,1998,2055
1513,Jonson,0,743
1513,albatross_errantia,1555,1803
1513,yatgaotofu,1420,1734
1513,Rogue33,1866,1960
1513,CC_LOVE_ZZ,1830,1969
1513,Riladavin,1951,2019
1513,Shakil17,1683,1832
1513,abj02,1955,2021
1513,codetiger927,2055,2093
1513,the_computer_jock,1682,1830
1513,patriot1488,1904,1984
1513,to_be_or_not_to_be,1724,1858
1513,yur3k,2067,2101
1513,31ballons,1782,1897
1513,nbl97,1975,2033
1513,amystar101,1908,1985
1513,whitelily,1784,1898
1513,Trantor,1387,1631
1513,dvulakh,1942,2008
1513,Annchoys,1739,1865
1513,Mayimg,1848,1941
1513,lfw,1994,2045
1513,zhangzx123,1728,1857
1513,boredApe,1556,1740
1513,PR_0202,1960,2019
1513,ManavJ07,2008,2053
1513,FatihSolak,1924,1993
1513,GZHU_WA_TLE,1985,2036
1513,TISparta,1969,2024
1513,Ruki.cf,1982,2033
1513,lucky_21,1826,1922
1513,yash30201,1699,1834
1513,priyanshu_x,1762,1877
1513,NRolly,1856,1942
1513,izlyforever,1778,1887
1513,phattd,1982,2031
1513,xuyifeng,2065,2092
1513,TheCreator,1789,1894
1513,bobib,1898,1970
1513,MaytaCapac,1924,1989
1513,Mirbek,1795,1897
1513,yjsp114514,1921,1986
1513,Aur_Batao,1935,1995
1513,reboot_restart,1647,1794
1513,yang12138,2036,2068
1513,zanj0,1646,1793
1513,LushCat,1880,1955
1513,zwuis,1953,2007
1513,towrist,1954,2007
1513,Delirious_Butter,1979,2025
1513,yutabi,1845,1929
1513,Starry,1960,2011
1513,Kawaii2DIdolOfGSHS,1820,1911
1513,ZADaCHI,1979,2024
1513,.Mahdi.,1974,2020
1513,kenzo.nobre,1718,1838
1513,lyyyyy,1751,1861
1513,Strawberry_Swing,1779,1881
1513,_c_k_r_,1945,1998
1513,lcch,2034,2062
1513,PrideBlack,1906,1969
1513,k1saki,1871,1980
1513,dujinyvluori,1743,1854
1513,swiftqwq,2012,2045
1513,Cyber_Wizard,1845,1925
1513,lx_xl,1782,1881
1513,yongjun18,1976,2018
1513,VictorBulov,1912,1971
1513,koper,1863,1936
1513,StrawHatWess,1951,1999
1513,M1v1savva,2044,2067
1513,Shahraaz,1930,1984
1513,GoatTamer,1897,1960
1513,Likfa,1039,1446
1513,MYJY,981,1406
1513,rappel,2034,2058
1513,silverfish,1704,1823
1513,yzy1,1496,1682
1513,Anastasia_Yun,1910,1968
1513,Tatsuyaaaa,1967,2008
1513,zwu_2018010337,1750,1854
1513,fu2tian2,1891,1953
1513,Rebro,1772,1869
1513,adikrsingh,1824,1905
1513,tloinuy,2058,2074
1513,speedstar,1818,1900
1513,rushabh7,1897,1956
1513,bipinpathak,1783,1875
1513,newbie_forever_at_cp,2062,2076
1513,NinjaDragon,1887,1948
1513,zzx,1733,1840
1513,Tapojit047,1633,1770
1513,_bom_bom_,1701,1817
1513,j.garima22,480,1051
1513,AlanSkarica,2044,2061
1513,Mprimus,1988,2020
1513,Monster.,1797,1883
1513,geckods,2048,2063
1513,FulopMate,1650,1780
1513,Markellonchik,2052,2066
1513,Takesha,1807,1889
1513,jain,1644,1829
1513,tdsb,1930,1976
1513,Muh,1716,1824
1513,abhi2402,2007,2031
1513,Badont,1906,1958
1513,shinbay,1918,1967
1513,BlueMoon,1635,1767
1513,heyongxin233,2000,2026
1513,jakao,1778,1866
1513,Liang_Hui,1997,2023
1513,Sugardorj,1833,1905
1513,Mahipalkeizer,1631,1764
1513,A_psycho,1428,1680
1513,Franco1010,1733,1834
1513,limabeans,1876,1935
1513,IWishYourNameCouldBeHere,1306,1595
1513,Ziware,1995,2020
1513,zheland,1829,1901
1513,tahsin_protik,1711,1817
1513,too_slow_to_code,1632,1762
1513,Youarethebest1234567,1695,1806
1513,AdilSadyk,1823,1896
1513,Crab_Dave,1728,1828
1513,toanlecuteee,1678,1848
1513,RogueNinja,1667,1786
1513,chx111,1952,1987
1513,Komershan,1852,1915
1513,mars4,2013,2032
1513,EDqwq,1942,1979
1513,XJIE6,1841,1906
1513,Cegax,1736,1832
1513,Dragneel007,1750,1842
1513,faguzman4,1667,1784
1513,geekpradd,1820,1891
1513,i8nd5t,2016,2032
1513,WhatIsLove,1836,1901
1513,vulpes2,1747,1839
1513,wptef,1851,1912
1513,willy108,1367,1580
1513,fangbo,1897,1945
1513,marko312,2014,2030
1513,NguyenDangQuan,1942,1977
1513,katara,1679,1790
1513,AlphaCentauri,1396,1651
1513,qazsdf,1709,1810
1513,HimanshuG,1830,1895
1513,Tameshk,1855,1913
1513,BrehamPie,1868,1922
1513,AC_sahER,1973,1998
1513,nishit.sharma,1786,1863
1513,batyousef,1600,1734
1513,fjtx,1064,1442
1513,boocoo,1535,1689
1513,Boboge,1911,1952
1513,moinmemon,1978,2001
1513,Perry_Prasad_Platypus,1941,1973
1513,devansh05,1883,1931
1513,akat,2044,2048
1513,World_Best,1557,1702
1513,walk_alone,1639,1758
1513,rgnerdplayer,1976,1997
1513,Yamatan,1843,1902
1513,vok8,1975,1997
1513,guapisolo,1969,1992
1513,julysky,1506,1719
1513,GVZ_Hao,2082,2075
1513,Mohammad.gholamzade,1796,1866
1513,Harshu2608,1900,1941
1513,RUDRA_DAS,1726,1817
1513,Kal-El,1694,1794
1513,Abdelrahman_Etman,1753,1836
1513,actinium16,1981,2000
1513,peuch,1774,1850
1513,mindsweeper,1737,1823
1513,ycxtzctietie,1999,2012
1513,Redsquanium,1796,1865
1513,_morsmordre_,1388,1636
1513,bluespex,1778,1852
1513,Crocuta,1755,1835
1513,pulkit1411,1942,1969
1513,zyrch,1708,1802
1513,Tekor,2044,2044
1513,Zoma17,1678,1781
1513,spider_0859,1953,1977
1513,born_again2,1750,1831
1513,Ahykw,1797,1864
1513,vrobert,1846,1899
1513,Alfeh,1934,1963
1513,gomdori,1959,1981
1513,_the_cake_is_a_lie,1729,1815
1513,bonopo,1989,2001
1513,dtanaka,1846,1898
1513,A.Freeman,1802,1866
1513,jlohse,1877,1920
1513,BearChild_Chen,1605,1728
1513,yinky,1894,1932
1513,aniket_lakhotia,1640,1752
1513,minhnguyenxuan60,1877,1919
1513,jt.cheng26,1650,1758
1513,Elo,1860,1906
1513,Ziad_Youssef,1034,1412
1513,God_Slayer,1664,1768
1513,Muhimin_Osim,1824,1880
1513,Harshvrdhn_459,1913,1944
1513,shadow_8902,1619,1735
1513,Mksiyak,1894,1930
1513,perdu,1699,1791
1513,Jonathan1234,2003,2009
1513,All1gator,1971,1985
1513,Hanikarak,1892,1964
1513,vipul73921,1768,1839
1513,Lyulko_Alex,1633,1744
1513,mdhivagar09,2063,2054
1513,Hasnaine_,1808,1866
1513,tnaito,1664,1765
1513,katsurap_,2093,2076
1513,AK.,1756,1829
1513,bobbilyking,1602,1721
1513,ncduy0303,1740,1817
1513,jonatas57,1767,1836
1513,Adam_pxx,1904,1934
1513,kc54,1748,1823
1513,ZeroHL,1907,1937
1513,hardikkapoor,1910,1939
